	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	64.6186055204798	0.000884384696866786	0.279841556462455	0.00853772898547931	0.612271439267895	0.0420575964154237	0.736528197796022	0.0843549294089442	0.0873253411589208	0.00697151018033605	0.453891871612153	1.02972477150249	0.0558722402615688	0.00251128925112664	1.96502326743833	0.00396519474644567	1.15155206923191	0.133817985682911	0.00874234319797277	7.26248623757104	0.767480589832533	0.827043459961886	0.0377438261761678	0.000694571883031117	10.804971289837	0.000127386591743862	0.0320014938073174	0.0134697803826528	0.00409265360540538	0.00429821537590021	0.0870914536104969	1.387095994273	1.09924995345168	0.103675838595689	0.0893673902562924	0.00570701192779767	0.46757568297804	0.127284057336516	1.4564164337721	8.14414589520253	0.515980115016427	0.0270245429188059	0.092880956264337	0.178884270702031	8.31020945600854e-05	0.00301327366113027	0.882555862107924	0.496463136533277	0.00420553798175537	0	0	0	0	0	0.0411415621989072	0	0	0	0	106.246730813685	105.689609147825	28.1264527708682
AM	0.0136107363482525	42.5903372444993	0.00784642741532336	20.5270583120095	0.00500499979748486	0.00402459985058025	0.0423259415141289	0.0175113464921053	0.00696438267428382	0.37291297760162	0.00762666579511893	0.0354818083292959	0.00315405073811405	0.00120004875629857	0.149086167096169	0.00643201017958024	0.0612634646303345	0.00772609243261028	3.79079120806544	0.226638609449469	0.00662749357221526	0.0107900167642799	0.00195555367688335	0.00114402742018006	0.117906050114333	0.00144296841403797	0.159498100289255	0.00199077457730057	0.000270566277063927	0.000958074669911916	0.00848590080120257	0.00265916690436561	0.0113383815881236	0.00183049902247377	0.0053848830086117	0.00199284635664561	0.0238953914991511	0.01059486408808	0.0735686598219542	0.0423343296853579	0.851717514698126	0.00256361917912488	0.00189357812264523	0.00371720209559999	0.00121250631658702	0.817349471980824	44.9100381463976	0.0981984012925812	0.321761267379317	0	0	0	0	0	23.8958887128546	0	0	0	0	139.266006062543	114.518399238873	1.18966609665694
AT	0.245733922997604	0.000300874357183097	248.662885283019	0.00186328293757459	1.28910731066998	2.36444856978905	0.39188400632371	0.448049265253826	18.3942211843611	0.00420085275119326	42.6267758907475	169.057269372861	1.58005080077148	0.0145596555098297	3.36235090710453	0.0397127283683352	19.6570982130279	4.76698797897274	0.00131607610839191	0.414775444799078	7.24054777461732	12.2078103565838	0.633337783469778	0.00569317251127951	43.0357030806371	0.000125846914295504	0.0112533354484976	0.127132597781248	0.38421786228429	0.0340828480121766	0.133936393483127	0.106436550575354	0.146054630336083	0.00893267334454372	5.39396225877681	0.119466849117912	8.45738532268848	0.183631085069986	3.32966307726842	5.63859385319044	0.47452839582305	0.405590691394774	13.8147007264471	4.64499770143865	0.000159920581033255	0.00165190881149221	0.155241529827088	1.15145615207108	0.00302192927647218	0	0	0	0	0	0.0181750947935318	0	0	0	0	621.191083023307	620.698375719314	592.84469307587
AZ	0.0178401787693865	11.8669599244833	0.0156636907979546	247.50275917163	0.00817570336296248	0.0109738938620836	0.07105606562826	0.128344714053253	0.0116748293602542	0.446555333824682	0.0215646378444721	0.113060427708395	0.0111183457159762	0.00408411227759192	0.20573320992869	0.021294571067912	0.0980476337312285	0.0270482960504226	11.6588224818853	0.280852835827066	0.0115611932635419	0.0227896587190468	0.00529647574946286	0.00239794225207892	0.170271665466258	0.00735427594596211	0.936034337479396	0.017168460729742	0.000675337235954674	0.00423378368812881	0.0294741159283481	0.00402094518265598	0.0145245622911061	0.00228481943091168	0.0191228910913131	0.00618538645792222	0.157272542885114	0.0152781918072736	0.165791281907743	0.0723203406780506	12.1158444728341	0.0101007453389556	0.00315497660734456	0.00963688396755689	0.023790416527802	6.36414825031933	37.8502888149965	0.617773711101444	2.6254121584168	0	0	0	0	0	56.4945334087358	0	0	0	0	390.300372104845	321.689996515844	1.94169195794174
BA	1.22204886752947	0.000167611126478687	4.22606903025802	0.000992505702055144	60.4043543584171	0.313460974600592	0.956750008886273	0.757835497594174	0.401027886888229	0.00346206409052249	7.84991851735853	10.839337341386	0.57903374258473	0.0144801534431071	3.76492336074538	0.0320811912653576	2.62958442190877	1.02004510435906	0.000671134573615271	0.768808419175811	25.5995989523927	11.7135124030327	0.252588721552435	0.00166508560475442	22.677883804544	1.89615371494719e-05	0.0119072381229316	0.0912768404249098	0.023998646128934	0.0295941337674203	0.1019070149578	2.0062064007948	0.261507664331445	0.0545412479564174	0.76958936020914	0.0388232169739712	5.61584058576536	0.236456418577938	4.9925350761115	24.6499508302042	0.774371098772821	0.241475391209405	1.46641781123919	3.23573211334242	2.1110936340299e-05	0.00119371049177705	0.30663362094565	1.25639269668511	0.00316796197064544	0	0	0	0	0	0.0103169352183248	0	0	0	0	202.210177245696	201.425489352738	109.998995859475
BE	0.000249586057208707	0.000103273101887258	0.251915006447361	0.000389471564560579	0.00238324936778236	169.198537786297	0.00354394088058059	0.160525565161052	0.611367229319125	0.000385043153364559	0.436734559615528	30.2668664403181	1.05759026997659	0.0102688670113436	2.79799356215829	0.0228272794301433	84.8393012116941	17.8530052244784	0.000369652350763281	0.00119074298629292	0.0152420266013256	0.0609801140397995	2.31494781850854	0.00662691901653127	0.263758963916653	1.09755010133429e-05	0.00573644543612512	0.0663798713316333	2.97294427626968	0.0208943097926898	0.00838290457715545	0.000264215916439345	0.000515073073622973	0.000866069758741995	38.3182585069734	0.112534820690666	1.08936182149308	0.219082996388195	0.0608545539030662	0.0180640709106603	0.27258991910658	0.25269341978169	0.0155031166056027	0.0375619668887534	1.67483773228544e-05	0.000373715774940278	0.023571168018924	0.104494683264396	0.000684782716494938	0	0	0	0	0	0.00178039901371235	0	0	0	0	353.780524635017	353.506149264237	352.449490013583
BG	4.18460231777778	0.0501859248542445	1.18464895680322	0.580674908254899	1.12716495435234	0.134646201348521	158.825128707198	1.66402723697607	0.2304408615453	0.0980896227851773	1.97299507612086	3.78318617767533	0.305638789387447	0.0425321348612619	2.43929592766601	0.109828940698379	1.47697204151468	0.257940829171983	0.438887434013297	33.0891221729253	1.6550301762284	5.18884027265468	0.0661598838467662	0.00460293977991078	8.20482969298351	0.00101104214890135	0.459489947267442	0.211476530271541	0.020024772918159	0.0635172524843746	3.68837978675072	0.636655370993545	7.72306251832824	0.040378803632882	0.220702833834032	0.0547570808103387	3.12076608005251	0.172938484450359	71.6838158345464	29.8396124932311	16.0004922020419	0.207284780914453	0.286112998190642	1.37821506766501	0.0006937312479553	0.232232010987379	31.9450914276439	14.8602329463039	0.258389248950068	0	0	0	0	0	0.515979736727502	0	0	0	0	410.736785163816	394.220315379492	296.240119486447
BY	0.437210510176281	0.192136212140961	3.75665112097524	1.50915221370303	1.20346146946112	1.44992972515835	2.77170610112175	551.768103260337	1.20699950715528	0.0927844791622562	9.91126929398941	32.2353917566147	4.78978353411312	0.893391814514625	1.52560437838793	1.13769686259133	8.11382969850906	2.98919512053882	1.24374446112822	2.10128891214245	3.14270970150117	10.4485856591328	0.580242035233608	0.0186271314130298	7.25608796899939	0.0141673284038886	2.78003805524075	21.7038793456091	0.159691075282886	4.18365572574008	8.24301428123148	0.213308707124319	0.471292836627023	0.00880524851959398	3.1964423739989	0.791992664935809	100.126848909936	0.119201864842619	33.8335691569637	9.21503257981752	114.675004954204	3.73802534179642	1.18184766001032	4.8755669322944	0.0187431880172261	0.989249247770443	15.4798549846196	127.311067798232	1.63378431737215	0	0	0	0	0	1.96456586948467	0	0	0	0	1107.70423337628	991.064664550352	266.32368197409
CH	0.00114103917205831	0.000167051329121196	4.12672859702099	0.00076969232322954	0.0191999077518789	1.921448171509	0.0118652993070941	0.0504810962057517	270.906751434659	0.000273543410094114	0.938346748267915	45.3383826038779	0.249473589941942	0.00477752177585402	6.29362789408446	0.0106363969453848	41.8934424070584	2.1779273611898	0.000228246943396042	0.00250205592236829	0.185534281300058	0.19149130685562	0.366650213227464	0.00223633568044858	23.6747091357175	0.000228532605347464	0.00257088628049667	0.0168107583383594	0.356406953043034	0.00609652254810837	0.0128460249226246	0.0013177665021689	0.000940000653337521	0.00442041772345043	2.89232930778185	0.023088260187789	0.537351388022646	0.375353914792928	0.130832735642174	0.113015821339745	0.0700358583178775	0.0791434767745586	0.187547562846533	0.0965604885684802	0.000247985382946302	0.000925704557647812	0.0276051354154771	0.1233781748417	0.00202628670848111	0	0	0	0	0	0.00898487190150112	0	0	0	0	403.438856767176	403.359837402878	132.070670090208
CY	0.012250616447177	0.00153556588002629	0.00449960056622815	0.00879695773514589	0.00359341771332715	0.00239755245449396	0.045083198984131	0.00706252818454702	0.00163348655827462	13.4634372503716	0.00455553189482937	0.0151652400318272	0.00148014294496672	0.000595888479590133	0.0746523586183364	0.00163576082956817	0.0389439079821016	0.00250836409882798	0.010357031413809	0.328596299756709	0.00563116218013867	0.0108092341912341	0.000650003345048895	5.70510980065517e-05	0.0985784471933169	1.81950052539057e-05	0.00384178299739071	0.000721108309915686	0.000123038080640985	0.000325024200408517	0.00877231566274772	0.00173253089992394	0.0185521261727948	0.00214933184954581	0.00225382793480496	0.000397124199496925	0.0156637423230552	0.00476961516108749	0.0670279953169834	0.0392439502266385	0.175161625109824	0.00101220729833189	0.00122936423191928	0.00280754894700541	1.44693885751151e-05	0.00277280330484777	3.56331779409173	0.0709524695732931	0.00241378697938308	0	0	0	0	0	0.837688235678059	0	0	0	0	18.9674686118969	17.9546185922985	14.1973028308263
