	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	47.4903973482277	0.000970458521577652	0.562825338633165	0.00379704102228118	0.742688119313696	0.0804556815007326	2.01104752021793	0.241236704697567	0.296824346966987	0.000463292744965093	0.915364648464197	1.43800494494952	0.147787070338809	0.00608485399292458	3.30401478112336	0.00870171497158201	2.16849321469766	0.0954462659419512	0.00578498681416119	6.27142503337096	0.969382886811311	1.61623160717395	0.0262973559242706	0.000285036029482648	14.2909248087029	5.10788859736311e-07	0.00347418821726249	0.0431818687529494	0.00912009001394618	0.0156282008310159	0.185911832792342	1.68489786759122	1.74226516966991	0.0633549894951091	0.208728885345155	0.00828083813986849	1.03751769718103	0.1922047631688	2.572248732251	10.2696247381235	0.672438895550872	0.0364236456355751	0.214449475512397	0.545558124595644	3.610037122573e-06	0.000472741042658849	0.603594975478178	1.60089672596932	0.00154183932403876	0	0	0	0	0	0.00513007091126145	2.0163309889791	0	0	0	106.428216526552	104.406753573814	38.7559209200085
AM	0.0120002751991418	30.9856442278561	0.0108816807631131	12.8313647022051	0.00425676711892132	0.00373882055504902	0.0872348115878904	0.0341644892878927	0.00401741496702892	0.26076277788825	0.0208058646345045	0.0513147893505557	0.00723603833598177	0.00153335122326975	0.046065309326333	0.00251100374099144	0.025066236828692	0.00537467537986873	6.38909576003934	0.203783838686422	0.00925114537972921	0.0290103725408914	0.000917569900861111	7.83675044725385e-05	0.0775768460154476	0.000258303054130862	0.0894644978563416	0.00736051826767713	0.000296383026227028	0.00280669387336655	0.041774132897606	0.00212504804015729	0.00991490899895939	0.00130095818931502	0.0121606327477968	0.00131325066373859	0.0819900596332579	0.00627679541770514	0.161134683479171	0.0432553188002828	1.93759337862408	0.00377747934762741	0.00367211637185266	0.0120133523778732	0.000646761768690306	0.163377202297357	61.0815361728664	0.456833835375368	0.181238086673957	0	0	0	0	0	17.6919982134625	0.401156185772453	0	0	0	133.4989621062	115.405808601183	1.1304801220517
AT	0.146239031676579	0.000438994924330306	238.202415676553	0.00142302615650774	1.01324360770638	2.90141256071317	0.853298629017253	0.708568638313943	26.7008271118603	8.20072538969956e-05	31.4644295606853	101.718012307728	1.38487149903635	0.0371587049220114	5.36855858288378	0.0676813424886614	29.8649349153911	2.96340085726746	0.00492645752687692	0.191449995157753	7.01919089473993	13.6035135217099	0.516956575478961	0.00285870140359681	62.4954344142885	1.03073462379079e-06	0.00690907702971533	0.44182763959156	0.348010458891133	0.110291868149392	0.195598472172791	0.112658114653428	0.126176500783909	0.0156917417511905	6.65531163323355	0.105753903882756	14.7783111024231	0.499166210847949	4.13161495262731	5.03871734297937	0.904725648158254	0.373174843214963	15.2801842214919	6.48669785092681	2.83178965520497e-06	0.0020213391651255	0.15966391372546	3.25959603353612	0.00904083616286214	0	0	0	0	0	0.00291576956850353	0.633637145757597	0	0	0	586.909028098132	586.272471688943	544.809682642857
AZ	0.020195164462604	9.08327367896869	0.0289869132583756	155.81535285943	0.00900070549797119	0.011134085851955	0.16463861440475	0.21410936269528	0.0125829392853482	0.301093797372495	0.069487048150266	0.174184921215357	0.0332153506974168	0.0096710694482498	0.0667809236274299	0.0133179302690582	0.0755311581586216	0.0182463841692858	20.7678744240106	0.307578494363606	0.0218302515482104	0.0746566134724604	0.00272751793232062	0.00027423314272217	0.135236774503022	0.00483928860651298	0.862505454729037	0.0457877741523929	0.000970798469010589	0.0182768256945765	0.0892465261527089	0.00374506778684726	0.0182355610696164	0.00178831582589672	0.0395717493645481	0.00474839271637427	0.312861596094794	0.0085702954762242	0.316157442379271	0.0847585413032111	27.8837515128656	0.0154404096947569	0.00962386488161	0.0348970251660322	0.0106753026561195	1.87108065922776	52.2210954098523	2.33427917939448	2.04236590081032	0	0	0	0	0	43.8601516874447	0.591410344262604	0	0	0	320.117816142013	275.666254092535	2.29401756229599
BA	0.902192700106953	0.00256194496902433	4.65594947160814	0.0107916495537413	48.1205466792083	0.388948726703388	1.58983950788524	0.950773563785808	0.917916972427944	0.000488655632510582	7.04646451519188	8.02390947290927	0.598251955174465	0.0279935882295748	6.04055542608479	0.0329931483335848	4.46888648627906	0.456988468924169	0.00902028008982082	0.728839939776985	22.1530730522128	16.8741482593594	0.0946669097629102	0.000991386173406751	35.7546424678997	1.54876338904672e-06	0.00580009950464838	0.234974347840366	0.0352909282360586	0.0784780640385435	0.152340432462068	2.01537644548745	0.256573621317493	0.0757922110836764	1.19047951215729	0.0493916263385046	6.4649514853693	0.356427349949258	6.1400449748212	23.506976915349	0.967446472170705	0.259654565082882	1.7540221074039	4.7629058836216	1.189321953272e-05	0.00190028794208375	0.303014266555817	4.47579913922205	0.00705666788525645	0	0	0	0	0	0.0095526647139452	2.47836091143192	0	0	0	215.434059650251	212.946143881522	129.832673291711
BE	0.00199354920558284	1.76808033479684e-05	0.584940685989831	0.000110047259222613	0.00870113681579854	240.045415933027	0.0171668154485172	0.361888979449671	0.682059211611345	5.04222802652255e-06	1.36605954639593	27.0974061091242	1.15434361879373	0.0306553576632146	5.08015736505368	0.0317874807988182	106.553075234321	17.2599544922936	3.67256387760815e-05	0.00242423981473836	0.046530108221517	0.177567777927265	2.84190333952124	0.00337633943328349	1.25822110358388	3.78501939910302e-07	0.000607797422858695	0.305598979166376	2.75704778905652	0.0935671888861905	0.0302239922565745	0.00169504744258616	0.00155163861691512	0.000493618666229115	66.1919265638366	0.0795824354438793	2.82200440693096	0.64220063839174	0.118402139115067	0.0516545802423896	0.272877033388548	0.208011672003302	0.0397898704966661	0.166712140354876	1.12054590819167e-06	0.000244464181214092	0.00254438274627568	0.4893053784431	0.000969595612867438	0	0	0	0	0	0.000227751542260882	0.14640109943756	0	0	0	479.029439623153	478.882806701249	459.633412338819
BG	3.96730801115249	0.0133291920181347	2.34327829985292	0.100212772840071	1.98431981182911	0.404938056488441	291.645972937259	3.83164901962667	0.597449366850253	0.0432568369763176	4.73132972223108	8.29197167535496	0.853725368936958	0.0694102416668269	2.66731811455819	0.124504468803906	3.23062096051278	0.566586348503769	0.230804053747332	24.1274346206218	3.27612409996793	11.5592854546346	0.114339522640062	0.00194781510486284	11.4254412138146	1.90020346883579e-05	0.178659716942002	0.86908991272031	0.0380879714016586	0.249887041664883	10.0535897044683	1.16615184462922	9.80463029266942	0.0378935086079187	1.39053919209394	0.0681919314855912	9.07166236166409	0.25857242575775	112.512030943001	39.7043552024045	22.22960998246	0.28440104287059	0.788602810076579	3.86689357718089	0.00011289125338034	0.0724663421901781	22.7683433419804	48.632342712266	0.255907128044679	0	0	0	0	0	0.0905544402828395	1.88794217729417	0	0	0	662.483095483438	660.504588759487	494.276612058098
BY	0.639860767573357	0.0639339906132045	4.6806362627146	0.295359692561564	1.24085173452061	3.64672128302768	7.79944654992286	453.47998112198	2.49491678752569	0.00580173863157367	18.4480724956704	53.4772588990286	12.7313837811146	2.42789487508279	3.16012955465657	2.49790685056159	13.7481566632286	7.15914598151444	0.510595115759305	2.45555377783491	3.88607248613795	14.6937526660245	1.40363637048946	0.0136224264789637	8.7509685458716	0.00127962815095922	0.836337312830907	44.3306091984857	0.212973754370791	10.5536376484935	12.5711247442428	0.300454805747223	0.917443316817399	0.0148739697375948	13.3805206176536	0.894222677147542	164.142410198464	0.348212907806319	40.0912329846557	9.92732718762567	105.431434352501	6.27555389214689	1.77568949122016	8.3823719328251	0.00326537649962231	0.129106614067406	7.66883679464306	205.956386711661	0.586476789759062	0	0	0	0	0	0.276690541956249	0.858598348144489	0	0	0	1255.57873221618	1254.4434383282	443.321479406266
CH	0.0051985228634909	1.0444795354799e-05	3.88813021363769	2.60323870901839e-05	0.0375985149374162	0.842321088446658	0.0132657648924161	0.0596978784806447	292.639177964296	5.48236772033351e-05	2.00150010353837	26.5452846369987	0.283428473750648	0.00577581925600575	7.42691622960475	0.00952420861197974	42.4389998408831	1.22437572915057	0.000165064979619849	0.0163081119427394	0.30368715629362	0.281917308027273	0.431610675121056	0.000810308393186883	34.0965970359945	8.47919548541422e-08	0.000139007279920319	0.061806285576336	0.147676092956939	0.0173740927789474	0.00253274745960431	0.00377645731815628	0.00166573018562522	0.00220700569628626	1.66693640015673	0.0274750291258791	1.16788904610897	0.662364865244067	0.0684612649875598	0.0967571528349036	0.0694625168253064	0.0968256633564278	0.329306676482624	0.138718717912318	1.90983695915455e-07	6.1467039606244e-06	0.027355301276584	0.0904141713903047	1.90075038234987e-05	0	0	0	0	0	0.000511067231270861	0.406885780920527	0	0	0	417.638948454049	417.231541414262	122.944886723554
CY	0.0394810745773019	0.00281391067489048	0.0271083994854376	0.00810982464316867	0.016254333795283	0.00608983651613555	0.17449427931275	0.0438664996448454	0.00858912064847588	13.1437445482928	0.046493669956789	0.101041478066685	0.0111394950234132	0.000596068639725616	0.0856698798621836	0.000875336315271894	0.0607997162320093	0.0067658443904997	0.0203987885656054	0.586319415863572	0.0275151736024299	0.0591878817616463	0.00145444894557637	3.78908372251348e-05	0.267012765786231	9.4441876803235e-07	0.00143673695531555	0.00983233727078642	0.000430309044843096	0.00251452628711935	0.037782436891541	0.00819026261319085	0.0362149909905117	0.0061922032169545	0.0259590698961284	0.00100586781964307	0.121602551011624	0.00442159381446538	0.235712623897705	0.12361488147951	0.29599326652069	0.00435691235112948	0.00979605021017927	0.0239594556687252	3.82821671719072e-06	0.000282043035927539	9.01575034819892	0.385010500151314	0.000431758733810091	0	0	0	0	0	0.552685106407832	0.568082241140793	0	0	0	26.2171225276841	25.0963546120711	15.0443198300674
