	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TR	UA	ATL	BAS	BLS	MED	NOS	ASI	NOA	BIC	DMS	VOL	SUM	EMC	EU
AL	45.6537800704	0.00281782266666667	0.862362282666667	0.00705359893333333	0.261695266133333	0.259300130133333	2.8221530112	0.291734152533333	0.361237060266667	0.00283447893333333	0.4904004608	2.02417288533333	0.182116266666667	0.0288686144	4.32227068586667	0.0254299349333333	3.9339360256	0.6666604544	0.00481910186666667	15.0778522282667	1.44956020053333	1.63969583786667	0.0985631829333333	0.0008872716	13.7631039488	0.0451916416	0.0999578538666667	0.0204478677333333	0.0287497152	0.379011413333333	3.91418702506667	4.72723674453333	0.0347703210666667	0.323793544533333	0.0336619285333333	2.41505512106667	0.445228885333333	2.56530131626667	7.6652281856	0.373074670933333	0.0792017578666667	0.288645358933333	0.632253781333333	0.516658039466667	2.0491776	0.109118711466667	0.0363668266666667	0.0121591701333333	-0.2711046144	0.0899192149333333	0.0201551701333333	2.24541095253333	1.95497014613333	0.0513422293333333	-0.171400704	124.947074848933	120.870137746	47.7456716245333
AM	0.0220622741333333	40.9220590250667	0.0273982698666667	18.8565553152	0.0209876522666667	0.0160933578666667	0.2210602496	0.165521527466667	0.0158703733333333	0.109792298666667	0.0542281216	0.171424443733333	0.0219129216	0.0204753536	0.132333525333333	0.0145581354666667	0.133611818666667	0.0765225642666667	3.4610946048	0.249259554133333	0.0322526890666667	0.0612666581333333	0.00763259466666667	0.0003595142	0.234723584	3.89476952746667	0.0177300010666667	0.0010679698	0.00782217813333333	0.0435767893333333	0.0103860885333333	0.0208762538666667	0.0023278968	0.0184151338666667	0.00380076133333333	0.212717397333333	0.0176153472	0.258856686933333	0.0565652992	2.99218234026667	0.0134603776	0.0111162965333333	0.0245430762666667	46.2475799210667	0.967293064533333	0.004778632	0.0102669845333333	0.0274918613333333	0.114693205333333	0.00618602026666667	33.2364469589333	0.384155204266667	2.4286920704	0.0378862506666667	-0.1007020544	156.0216539672	119.871758833867	1.6580488762
AT	0.114243524266667	0.00502763946666667	196.911318084267	0.0348115818666667	0.170380765866667	6.3571263488	1.0154170368	1.2592513024	24.8363352064	0.000184813533333333	27.0134695253333	170.363785489067	3.12244660906667	0.109584494933333	3.44407026346667	0.259035648	25.5349161984	6.36142987946667	0.00914236693333333	0.241804014933333	7.48251818666667	13.1623540053333	0.7091279872	0.00528152213333333	76.7517523968	0.1995618816	0.3633606656	0.741737403733333	0.1297810176	0.441286280533333	0.066344896	0.0974124032	-0.00292636266666667	9.6131710976	0.337913617066667	14.7018077525333	0.388029064533333	5.77532177066667	1.64122815146667	1.55491232426667	1.1666583552	19.814580224	7.35718550186667	0.0584868650666667	5.3847375872	0.2410279936	0.316862600533333	0.0145820832	0.2746463232	0.787017045333333	0.0209415189333333	1.20814605653333	3.95126811306667	0.3461925888	-0.0887642453333333	642.177325466334	635.105405388466	584.6157904786
AZ	0.0366711296	11.6519206912	0.0560311936	103.019332676267	0.0206341610666667	0.03646144	0.336485137066667	0.465149815466667	0.0298707285333333	0.112222250666667	0.132114065066667	0.374879061333333	0.0494831616	0.0583211136	0.220802747733333	0.0368732117333333	0.209715319466667	0.101110877866667	6.4085016576	0.408885009066667	0.0412974165333333	0.152935287466667	0.0144689184	0.000353863133333333	0.3401095168	14.6068591957333	0.0623988693333333	0.00277607546666667	0.0268442837333333	0.0934854997333333	0.0134875210666667	0.0318978624	0.00260985226666667	0.045092352	0.0072939232	0.541816763733333	0.0289588544	0.381799560533333	0.0849670656	15.6638216192	0.0355851669333333	0.0198530176	0.0609492138666667	23.9393680042667	2.32696354133333	0.000528148033333333	0.0220003754666667	0.0266067648	0.198931694933333	0.0111198112	39.2406018730667	0.5270107136	4.06125636266667	0.0516763562666667	0.100310545066667	226.531501338367	182.291458693267	3.13129762373333
BA	1.62097506986667	0.00269859973333333	8.51019584853333	0.0152228650666667	46.1635627690667	0.7563247616	2.73024477866667	0.961444795733333	1.47195139413333	0.0002740902	5.34773213866667	10.8790240597333	0.9064163328	0.0890614869333333	7.86261661013333	0.124910779733333	13.3664877226667	2.31408489813333	0.0033752624	2.4023154688	32.6302564352	14.5117817514667	0.242316919466667	0.00427089893333333	48.7365760341333	0.0791987712	0.3789950976	0.0743561386666667	0.119925435733333	0.4260818944	4.22842750293333	0.700729344	0.0458175146666667	1.25878203733333	0.131753088	11.6060345685333	0.856947575466667	7.37847268693333	14.0400732842667	0.7503550464	0.363066333866667	2.90738176	4.99960763733333	0.255649774933333	3.46835326293333	0.271114615466667	0.1620015104	0.0201453610666667	0.773765256533333	0.329497122133333	0.0178118261333333	2.852364288	4.10641913173333	0.281187413333333	0.00862242826666667	264.547059480067	255.724130527	138.6610330022
BE	0.0198020693333333	1.06878979166667e-05	0.5731710976	-0.00112444933333333	0.0259245482666667	190.9729001472	0.0782607616	0.128354602666667	0.973265169066667	1.08497916666667e-05	0.0804274005333333	22.3112790016	1.13028758186667	0.000898676933333333	2.67759752533333	-0.0164704576	73.0723560106667	18.5267235498667	-0.000334872466666667	0.0770145536	0.1560787968	0.288500189866667	2.090932224	0.0070632992	1.289140224	0.0277266154666667	0.0457000490666667	4.77902493013333	0.0152014464	0.0359763114666667	0.00866554026666667	0.00824496426666667	0.00186454706666667	50.3572419925333	-0.0919845546666667	1.21865885013333	0.315425621333333	0.265862775466667	0.0887659861333333	0.0152314784	0.0261665130666667	0.1191434496	0.130919108266667	-0.00656057333333333	0.404683707733333	-0.2064841216	-0.0889147989333333	0.0007022278	0.0582759765333333	-1.1877040128	0.00115209986666667	0.134676983466667	-0.0196265152	0.125291076266667	0.0169851968	371.06238205929	372.22802794709	370.084115082858
BG	5.45943278933333	0.0404117077333333	3.51018243413333	0.1423081728	1.8051325952	1.0516453376	294.6504851456	4.67184899413333	1.09021702826667	0.026265856	4.1346588672	11.4126159872	1.04774894933333	0.3014449152	4.84360738133333	0.233303364266667	6.8067835904	2.73172534613333	0.1043432448	52.5760812373333	3.69557858986667	8.47375674026667	0.324874752	0.004917232	20.6223813290667	1.66088362666667	0.750478062933333	0.0840916650666667	0.2707118592	7.89372928	1.605085184	11.9437437610667	0.0860763648	1.620185088	0.1463356928	11.4860785664	0.645669546666667	72.1400496128	19.0884478976	11.0195823957333	0.570134254933333	1.24640447146667	3.51260808533333	6.69727074986667	36.1550708736	0.192022340266667	0.331264136533333	-0.270779050666667	0.9955239936	0.388270967466667	0.1392036608	4.01187034453333	6.1215064064	0.297047381333333	-0.002457764	630.5878610424	618.384388626134	138.369514052267
BY	0.3160077312	0.2463386624	5.4539534336	1.31153210026667	1.33404986026667	2.92144141653333	4.27342452053333	512.278204689067	2.58494928213333	0.0113142378666667	13.5200036181333	41.2819827370667	8.5324087296	0.5297681408	2.40521816746667	1.36710949546667	13.0601276757333	6.8682776576	0.330465928533333	1.935171584	3.42632994133333	12.8285201749333	1.2189048832	0.0205262592	11.6701746517333	11.3564505429333	21.3632592554667	0.2695921152	5.16702917973333	9.9457630208	0.322456234666667	0.4313826304	0.0362310229333333	6.0458500096	0.7550541824	154.2537084928	0.267321480533333	25.2601892864	4.1083813888	54.4256906581333	5.03534441813333	1.78894383786667	8.16186381653333	3.81989082453333	151.469022685867	0.316537924266667	-0.604535876266667	0.1868726272	0.5782540288	0.438763963733333	1.226385408	1.11795479893333	8.2892652544	0.307294788266667	0.293755255466667	1126.1601788352	1114.0096306624	325.993520232533
CH	0.118530030933333	-0.000174815916666667	2.61517858133333	0.0017558828	0.138285346133333	4.5700071424	0.232476381866667	0.1869904384	215.160455168	-7.60297833333333e-05	1.61379232426667	35.4508122794667	0.9271304192	0.0349086186666667	7.02292350293333	0.0527824341333333	67.4574980437333	7.42766127786667	7.6873725e-05	1.0118653952	0.758909474133333	0.996814097066667	0.796468292266667	0.00650490933333333	55.2663689898667	0.00885216906666667	0.0832627968	0.555263146666667	0.0358297770666667	0.0437417557333333	0.0436879786666667	0.0703796053333333	0.0262145706666667	4.97199458986667	0.1082454016	2.86159885653333	0.6615042048	0.624080213333333	0.271806020266667	0.190071057066667	0.269557111466667	0.834367761066667	0.403734869333333	0.0230227754666667	0.607611630933333	0.2819777024	0.125484305066667	0.0020083076	0.517231957333333	0.485170961066667	0.00140405	1.1542110208	3.1574605824	0.317197380266667	0.00862499626666667	420.593542612959	414.542771349758	195.947463052883
CY	0.0264569941333333	0.00225887306666667	0.0460636416	0.0028119344	0.0131202325333333	0.0131827349333333	0.0543911637333333	0.0238927872	0.0253784832	3.1892733952	0.0269664042666667	0.184951671466667	0.0059024832	0.000359063233333333	0.121801079466667	0.00160440946666667	0.162948727466667	0.0230007637333333	0.00331026213333333	0.0583249450666667	0.0356547754666667	0.0433046613333333	0.00263226586666667	2.42560645833333e-05	0.199352337066667	0.0102056256	0.00306477813333333	0.0024589952	0.00204035213333333	0.0132932554666667	0.00672943733333333	0.0153247616	-0.00163081493333333	0.0110268629333333	0.0009188274	0.0359404074666667	0.00954425813333333	0.1061397248	0.0808080725333333	0.0712809728	0.0023486952	0.0137468053333333	0.0088584224	4.42010774186667	0.0737785344	0.00323432426666667	0.000202401283333333	-0.00953153173333333	-0.2247724032	0.00101403786666667	0.403841979733333	0.671161344	0.258674107733333	-0.0470809088	-0.0744157013333333	10.1352817109146	9.15295406109792	4.16706734536667
