	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TR	UA	ATL	BAS	BLS	MED	NOS	ASI	NOA	BIC	DMS	VOL	SUM	EMC	EU
AL	4.02692642133333	0.00847156266666667	1.46536147626667	0.00838973653333333	2.01303354026667	0.609166813866667	3.31665844906667	0.245829085866667	0.457339357866667	0.00539394933333333	2.02682955093333	4.63464584533333	0.152962048	0.0063366032	5.39269147306667	0.0525114837333333	5.2390772736	2.26705353386667	0.0031654952	18.1854011392	1.59059285333333	2.19674432853333	0.0891932672	0.00584084266666667	32.6877642752	0.0525881173333333	0.0534782250666667	0.0716763477333333	0.0291595114666667	0.0942787413333333	1.6253743104	4.84368165546667	0.1980538368	0.6305921024	0.145321216	2.66440075946667	0.5348442112	2.37292858026667	6.3918604288	0.912360721066667	0.0917978112	0.4513661952	0.929658129066667	0.777372808533333	1.58373533013333	0.8018280448	0.162840064	0.217363319466667	25.2443557888	0.7394134016	0.0241369024	0.317721258666667	3.54727226026667	-0.0111237973333333	0.197752251733333	142.383468939467	111.141909445067	80.6661601909333
AM	0.01263136	7.7054214144	0.0503457792	5.20404773546667	0.0123048597333333	0.0495941930666667	0.119648768	0.0518667904	0.0271697472	0.194683374933333	0.0638127744	0.290313728	0.0292576874666667	0.00243616266666667	0.173020142933333	0.0250888128	0.2365797376	0.171926647466667	0.6348290048	0.2097186816	0.0238003648	0.0393276586666667	0.00801201546666667	0.00125899706666667	0.407772228266667	0.410327825066667	0.0088487536	0.00593328586666667	0.00412214026666667	0.02615632	0.0080425664	0.0269547306666667	0.00192315066666667	0.0601936896	0.0333012309333333	0.1466311168	0.0151368736	0.159997320533333	0.0391980032	2.504957952	0.0291809984	0.0117870208	0.0293037482666667	16.9974966954667	0.685586158933333	0.0669842730666667	0.0331245269333333	0.189541614933333	0.8316844032	0.0758890496	2.50410079573333	0.0265504896	4.1822732288	-0.00556840693333333	0.0372152874666667	44.8917435098667	36.9499482474667	2.2649504024
AT	0.0653249066666667	0.00618613866666667	61.7054994432	0.0105579594666667	0.918211106133333	7.14157315413333	0.657103872	0.906737322666667	10.0526576981333	0.000690182	34.18423296	113.0909663232	1.44216378026667	0.0792722090666667	10.5702872405333	0.366834722133333	32.0327122944	15.7718828373333	0.0073979104	0.593854395733333	3.96330134186667	8.8684314624	0.482505796266667	0.0281889130666667	89.515491328	0.0493454549333333	0.567006344533333	1.1350595584	0.2531790336	0.113525060266667	0.120079163733333	0.162261896533333	0.0300285504	7.12019094186667	0.745786094933333	32.5882981034667	0.681731413333333	2.02446288213333	1.7459572736	1.878122496	1.18487381333333	15.5348598784	5.1371474944	0.210864981333333	3.38414359893333	2.19021871786667	1.65123618133333	0.1028470784	8.95891592533333	6.44868560213333	0.018600128	0.20353152	9.65229172053333	-0.0640080938666667	0.0770133930666667	496.368321504667	467.128989331867	440.0787732604
AZ	0.0237716928	3.94668823893333	0.1781818368	26.1033230336	0.0149838826666667	0.191738606933333	0.392924091733333	0.293352891733333	0.0610501376	0.197591688533333	0.311950882133333	1.13135301973333	0.1208067584	0.00902686613333333	0.25264128	0.111616085333333	0.5717000192	0.731525597866667	2.67675675306667	0.363557034666667	0.0805651029333333	0.217950276266667	0.0296416405333333	0.00504936426666667	0.900244206933333	2.545033216	0.0445505962666667	0.0207694293333333	0.0230478656	0.117879168	0.0174372277333333	0.058307456	0.00401801866666667	0.233651933866667	0.162495146666667	0.715051281066667	0.0268693098666667	0.732413405866667	0.116671249066667	19.8964696405333	0.1445428224	0.0382780245333333	0.1668163584	18.7401437184	3.9782096896	0.260015752533333	0.166918929066667	0.499273762133333	1.223759872	0.340875400533333	7.75473998506667	0.0354560490666667	7.15909802666667	-0.0175961504	0.0803879594666667	104.2035761328	86.7006465466667	6.73712143946667
BA	0.852177851733333	0.0202101056	6.91631936853333	0.0251434325333333	19.6402588330667	1.59754212693333	2.51586368853333	0.9030864896	1.7547210752	0.00320761066666667	10.5998734677333	19.976945664	0.54768896	0.02819472	12.5226079573333	0.2805512192	14.5675703637333	4.83683915093333	0.00672523733333333	4.47304936106667	9.55770907306667	15.4950828032	0.206425941333333	0.0124824085333333	76.8286217557333	0.109366485333333	0.170302788266667	0.2183597568	0.0831567104	0.189744349866667	2.7132911616	1.02786676053333	0.168761770666667	2.04029610666667	0.3779849216	12.2930550101333	0.8986003456	4.49723706026667	12.663226368	1.60286337706667	0.368437486933333	2.320347136	4.85896574293333	0.542282888533333	4.40483621546667	1.47494966613333	0.698497979733333	0.186661137066667	27.0535185749333	1.9865985024	0.0394746538666667	0.441487428266667	7.54702035626667	-0.0491109205333333	0.124689792	295.2216682784	255.717881108267	192.3008033248
BE	0.00518069333333333	0.00335184373333333	0.641427797333333	0.0117783189333333	0.0246969322666667	23.5894713002667	0.0288797866666667	0.2112603648	0.757486523733333	0.000222368016666667	1.8741075968	21.9388269909333	0.630887287466667	0.0353521258666667	7.9233155072	0.176007424	42.6426324309333	38.2224695296	0.00727625546666667	0.0277828565333333	0.0596891093333333	0.234951031466667	1.8389725184	0.0389610965333333	2.4192499712	0.0160352202666667	0.0757039445333333	1.7328750592	0.0446248106666667	0.0166378709333333	0.00525660053333333	0.00766915946666667	0.00218548266666667	8.46073856	0.7604467712	2.1461204992	1.02720300373333	0.111767850666667	0.0284872277333333	0.449019460266667	0.519759803733333	0.0924252416	0.145969442133333	0.0249732842666667	0.429215470933333	4.86998780586667	0.636027835733333	0.00792396426666667	0.7568830464	13.1772831061333	0.00717196533333333	0.0250734634666667	7.51411473066667	0.356679236266667	0.0264060693333333	186.818903648017	159.44135242455	156.443282583483
BG	2.4582815744	0.121123959466667	4.86386619733333	0.235858705066667	4.19242994346667	2.04780038826667	106.715510647467	3.2100384768	1.27561714346667	0.0387878357333333	9.4938464256	20.9564401664	0.91352576	0.162474052266667	5.61450134186667	0.6173288448	8.85135168853333	7.2832401408	0.235196791466667	35.2540338858667	3.2398286848	12.1199263744	0.228462830933333	0.0199001664	32.3861981866667	0.7479701504	0.537116125866667	0.254062574933333	0.265173845333333	3.01860017493333	1.89621889706667	7.90190762666667	0.1719146496	2.71423378773333	0.6923833344	16.0730131114667	0.494196258133333	63.4695800149333	19.1206217045333	22.7824020138667	0.686481681066667	1.2982161408	4.83610350933333	14.8908310528	36.53500928	1.50246085973333	1.23478152533333	8.1634820096	23.1415371093333	3.04541259093333	0.1921762816	0.504292420266667	8.05029533013333	-0.0875842645333333	0.215877358933333	506.884337367467	460.921606146133	168.162295803733
BY	0.281882538666667	0.0845515946666667	8.1567563776	0.253748189866667	1.37585322666667	9.38292456106667	4.4581896192	56.0912400384	2.91517453653333	0.0079170848	26.5869743445333	89.4397841408	9.03664489813333	2.35093087573333	5.94394862933333	7.09907961173333	28.7667541333333	31.949848576	0.1138638592	2.88059910826667	2.4073715712	13.39727872	1.1391277056	0.0686427392	21.7137763669333	0.717860317866667	10.7814038186667	1.10539871573333	4.18051549866667	3.269582848	0.358001595733333	0.647845888	0.0256912128	13.2276005546667	3.68549614933333	134.734160418133	0.476368520533333	18.6411472213333	3.23825609386667	78.7053019136	7.71171723946667	1.887932416	10.5772133034667	2.72975981226667	87.642472448	3.31702326613333	14.4782109354667	1.44495356586667	5.26382257493333	14.2879872341333	0.119967104	0.0994597888	9.8547073024	-0.1399912448	-0.0129401824	758.959789378133	710.2465890336	442.560346832
CH	0.00931632853333333	0.00151192653333333	3.18814481066667	0.00493525706666667	0.150244232533333	5.04415300266667	0.0699834666666667	0.0619487573333333	23.7490143232	0.000207194333333333	1.71981851306667	31.0034672298667	0.5123424256	0.0030349832	18.1274312704	0.0822579370666667	47.0020521984	14.2598122154667	0.00272927973333333	0.0642747605333333	0.572633941333333	0.425144763733333	0.463486122666667	0.0165976949333333	60.0726874794667	0.0111411637333333	0.04371584	0.628533179733333	0.0222954048	0.0066035072	0.0117020714666667	0.0133989312	0.0143372917333333	4.13984713386667	0.3274970112	1.2730499072	0.893533866666667	0.127321557333333	0.103941700266667	0.185785582933333	0.299789448533333	0.6846693376	0.1597028352	0.02128544	0.162716177066667	1.9577679872	0.3801821184	0.00822341813333333	6.66923281066667	3.6861362176	0.00479249386666667	0.133640157866667	7.07181335893333	-0.0208099157333333	0.065940288	235.695016437667	215.738097502733	190.127789152467
CY	0.023683872	0.0145860405333333	0.0735671381333333	0.0171654389333333	0.02467312	0.0556113578666667	0.2133977088	0.0235761258666667	0.0278850282666667	1.80003130026667	0.0841374549333333	0.323344554666667	0.0169742176	-0.000961693933333333	0.203336942933333	0.00573650986666667	0.265321693866667	0.184712072533333	0.00899688	1.16556813653333	0.0390808874666667	0.0450249642666667	0.0074963408	0.000810780333333333	0.690637755733333	0.0100705685333333	0.00351536826666667	0.00660318453333333	0.0012711464	0.0288551658666667	0.0122612746666667	0.0455558186666667	0.00703183093333333	0.0734231296	0.0167894069333333	0.0942559146666667	0.0111337333333333	0.209650500266667	0.0696170752	0.299232733866667	0.00790816853333333	0.0125532938666667	0.0251498410666667	8.814395392	0.262437034666667	0.0541446912	0.0163932074666667	0.1173364736	5.1604815872	0.0820171861333333	0.2584720896	0.1321707776	0.457381922133333	0.000758420933333333	0.0053668544	21.6106284204	15.3261052101333	5.16338435726667
