	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZT	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RUE	SE	SI	SK	TJ	TMT	TR	UA	UZT	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	69.7168190932889	0.00361649623973958	0.745094863706802	0.0209258116508437	0.240301347469375	0.0700060275047604	0.35988592095975	0.083479908521375	0.389781997314458	0.00202709022507292	0.470573555619344	1.49364963501345	0.0661926557192917	0.000807047779791667	2.04786269679965	0.0022541466860625	1.29618291853123	0.189810476030531	0.0190306690745104	8.39429656058326	0.810374197346688	0.998370886637063	0.0196824153434375	0.000341949508885417	13.6145389230513	0.0001816331916875	0.13527453049749	0.00978478290702083	0.00731946050453125	0.00275630884770833	0.0985280069864792	0.993313146576	2.91213767337495	0.0557040582862083	0.0905056158175	0.0115346008924167	0.455576963914927	0.143408980830208	1.20418111985009	14.1425422315793	0.42045723517349	0.013568032293625	0.236695133382344	0.26716690127024	0.000215962316447917	0.002374744015625	0.398430551661177	0.00749830527047916	0.00140961261561458	0.0230048921534583	-0.00114063458826042	-0.00755379255540625	-0.314178189163948	0.0227551659139896	0.0109983360898854	2.42495721225653	6.13827086949764	0.00640810929442708	-0.345758888775875	130.624235962784	122.666472882661	32.2579031780952
AM	0.00976972174589463	51.6358836239715	0.00691536310879211	44.3967799774563	0.0135215123166938	0.000503063618079586	0.0326716665931634	0.0331146118397471	0.00566952318231003	0.097372538878589	0.00511602574901169	0.0217853307333393	0.00381350099836293	0.00117295236457959	0.0916424895779155	0.00123142710477083	0.0192480435344613	0.00465868552186293	7.0908604276012	0.072429163521089	0.00540111381335169	0.0130123644402613	0.000753269458652503	-4.51562641145833e-05	0.0812010394246079	0.000315307550402503	1.44488983543671	0.00412937641826626	-0.0002610908528125	0.00174429530120459	0.00994542681644462	0.00174145493284293	0.00542563975767251	0.000373119642211256	0.00178303782774251	0.000570090620367506	0.0465569795841235	0.00403192390470294	0.0770072796026794	0.0391590925313906	1.71142651060808	0.00259547289745751	0.00138859906658626	0.00724104615320129	0.000384525818590003	0.277027002969538	54.6269902915021	0.105761511276172	0.0395316892194423	-0.00095196088656917	-0.00175135249097917	0.00522637468028672	0.0560896876851197	-0.00324878905103417	33.5996317702293	0.315296548805275	6.2148430150225	0.00666066435704002	-0.345286713461166	201.900749943765	162.054240698876	0.600116964172902
AT	0.2480532622725	0.00131060955370833	185.401695618459	0.00975851511741667	0.929402501132667	1.70915641163092	0.315068166084667	1.27436193619525	23.793042819508	0.00316160563445833	21.1045483058856	132.458130090427	0.614238165981292	0.0132163235185833	9.35591082658596	0.0165628277860833	16.3858049320769	2.70005721787113	0.00834017468366667	0.256269752828	6.87096217994383	7.76328904346004	0.378424597819917	0.008110438900625	91.1839432463995	0.00107489699941667	0.684892510030958	0.311651562980292	0.242477110079167	0.0583060341754583	0.219938816999792	0.0779113068952917	0.174358052865	0.0084423722445	3.58566200192133	0.0732732283197917	9.008442112034	0.410924700845708	3.10102026241121	3.07061765130217	1.16777885569146	0.158985928311125	16.4086405778375	3.26222357510696	0.000795206585833333	0.00747576234845833	0.278795895479083	0.306946023177417	0.00994310188345833	0.245505545008833	-0.004848964794375	0.00254347177008333	0.735217361472792	0.0734787226425417	0.0201338276411667	0.617756755528042	12.5683824920505	0.0717537140731666	-0.0131100280345833	559.75021001364	545.433397116281	506.216253370395
AZ	0.0155017630625761	14.2104161450194	0.0379479162938957	259.360495182769	0.0222308061805737	0.00325537079033916	0.0555906462476589	0.243807999009873	0.0101084609546405	0.0733990977074096	0.0255936500126493	0.115094529668611	0.0167486835294568	0.00840117985158589	0.128414020395648	0.0108198478035003	0.0309739572054047	0.0133943085804296	15.274101140754	0.106698293488022	0.0153965289499736	0.0406981822208313	0.002153135343886	0.000245693408373903	0.155896605344978	0.0201235520632012	10.7730208576826	0.0254277303113294	-0.000242591803829226	0.0117083418787283	0.0385622857911826	0.00263705922459567	0.00881149026557384	0.000511480006894736	0.0130609715889189	0.00228254651353872	0.306972610206736	0.00628906419576756	0.257577583202448	0.0760502584770969	23.6985661592051	0.0114505902644331	0.00648870291347952	0.0258939381451308	0.0255584241751276	2.35900359275496	23.5123497027709	0.282826037672582	0.532781539809625	-0.00741169709618959	0.000954523571907383	0.00794582608048705	0.0766848710656369	-0.000916209075671843	27.0341580769973	0.278370053898841	6.85293751377648	0.00965842293798056	-0.146956389816222	386.080520064249	351.975095071909	1.49021784539434
BA	1.68069687669335	0.00282772769387436	5.79761730345697	0.0176345587830805	49.4561382903888	0.326719046002031	0.822933423409389	0.759561108039158	0.988424318252198	0.00454083879932812	4.26816718346877	9.64721953188491	0.31967556579121	0.00750263946347645	5.39825925475469	0.0109677632202124	3.03998542656953	0.573547563238257	0.020826852566164	1.00311341451259	28.1346553245102	9.99876100481122	0.0628957860240762	0.00252462421906813	33.052333909035	0.000816946790032925	0.258391849490344	0.0373810778659403	0.0501045225759968	0.010949406935111	0.201533403567864	1.27762061757854	0.478921602395506	0.0417756710243605	0.634549330761556	0.0440897226245476	3.7482837399997	0.323089686457429	3.83230586247265	18.0591778664354	1.29578785996819	0.0921923164233298	1.57228910921115	2.36401218958229	0.000464513981104167	0.00530477819670751	0.523739469785608	0.529107903129775	0.00667377274681332	0.0654344144245846	0.0154128548088015	0.0228198142747219	0.29612017230438	0.107404573984721	0.0168736302198737	1.66234727485487	7.12663630559755	0.0363681389479419	-0.00571215860345075	200.129797576401	190.786092555587	87.0411725677511
BE	0.00362270194023529	-8.63908229132703e-05	0.726152572342474	-0.000137487612776959	0.150952339402009	137.756725464081	0.00207673271009992	0.0697490854122827	1.16162583905595	-8.77148827205849e-05	0.657542208861064	24.392306397197	0.547856183034936	0.0112196565821427	5.07271383491333	0.00879041389929373	103.177919389744	13.3538883445874	-0.000251066259496604	0.00080245498887406	0.218974789389486	0.213796345460328	1.9554142779457	0.00129939428573396	1.1260401832121	0.000301218419822022	0.0649592464704528	0.056327010176649	3.59286456103191	0.0272380299699281	0.00506021696144023	0.0025270031343999	0.000747153628156296	0.00298976578574906	31.102589988915	0.0291931657244435	1.03903333078238	0.374325843325681	0.142635003667727	0.236976635907632	0.0600390536078083	0.0933909976709404	0.112905741029538	0.0858552527615208	8.0396667170063e-05	0.000446740250473041	0.0227945597678552	0.0172425557000671	0.000892350788152899	-0.0894509499122265	0.075403738466592	0.000473230702332393	0.124335298385381	-1.00688417984823	0.00255741668780146	0.299704718243466	4.00122029729896	0.0350268535629118	0.0097780034694519	331.132486198669	327.680321771613	325.633312269794
BG	3.83225349863624	0.0579159814168785	1.94808950055535	0.276431165137481	1.26518644759428	0.171639239218358	124.429064385448	1.4150599264142	0.328852634285273	0.0447561082234918	2.35765816992281	5.69056804156732	0.34293526886711	0.0282830797588235	3.04274625045532	0.031192999806893	1.32618945034023	0.531919856033479	0.347764249144639	33.5513027436851	2.30824214630903	5.39785749379492	0.071276244080148	0.00389981239474947	6.72826948101724	0.0088469266407726	4.95087563831887	0.235666236198593	0.025095082118471	0.0547462292529789	4.35852958631103	0.304553496702992	6.08806358707742	0.0150068146958488	0.39352122004227	0.0593382435356579	5.05052299509356	0.196216077732556	51.4426689894636	28.4627291166468	11.1019257208237	0.184003837385566	0.38203226304608	1.80305162774684	0.00620902120287442	0.148743873625144	24.1675315773841	2.10772086062418	0.151174112502401	0.0575481201292638	0.0229988763529911	-0.0812447412741498	0.412116701014262	0.116865411183133	0.329956741070464	2.87938919078675	10.3300976085052	0.0356030995715436	0.218744941756323	351.550203257375	337.22812730828	245.476279685551
BY	0.488397118040987	0.0398112498491651	4.63035817394868	0.180954578121142	2.4488558670881	1.75212182106989	2.37894489948676	551.636528606558	1.88216446540875	0.00263096485224593	8.64328337343773	35.0897934581091	6.02249049307518	1.05030499401909	4.78991329865686	0.956946094377125	10.8872832934721	3.90884295406297	0.152952320379123	1.32171882402566	4.0588268406357	10.0882731236017	0.873931987895301	0.0238071451148097	10.9413650609137	0.0140426680657003	12.9822970697872	25.7795256427176	0.160563825423829	6.5761236186912	5.36010706448388	0.276417757825804	0.483970315118575	0.00757339628327985	3.32351357093735	0.781625139199964	117.609042097311	0.293141530241463	26.6893133338308	8.74613334927495	61.4506962222633	4.27696671503508	1.40986441127625	5.0419180137701	0.00675827636164994	0.0675548217281226	4.98616491428404	9.59057229326829	0.111525664868313	0.354586021681093	-0.656109886677673	0.068656207884863	0.851146638925024	0.291039677134524	0.231831614510961	0.777239388765843	15.9899074017917	0.136070934192665	0.449586202458416	978.769866918915	960.275912718247	294.505748970522
CH	0.0202772774420077	0.0002896333213125	2.71778623807242	0.00143765117264351	0.0606075884099959	1.17700256450302	0.0402011121439254	0.131259367901454	248.943955246536	0.000149056510020833	1.1319051826839	30.369199254511	0.319399907717011	0.00188537406489192	12.487314986737	0.00320186664920738	45.6048595002079	1.43042048092573	0.000581282078524519	0.0218121705246559	0.158369298878474	0.230277890802903	0.242848388017037	0.00244954580401779	46.24669076656	0.000346364241916667	0.0386946466669552	0.0292769046829049	0.142130897378973	0.00750092836914404	0.0123581592061965	0.00631432431176965	0.0211192014224436	0.00218860999541395	0.999705122361493	0.0233444581677769	1.20383399861437	0.617434874822507	0.235387648508002	0.187866060394441	0.102336287236731	0.0348909950565277	0.212656154627501	0.0703438795432133	0.000126991929166667	0.000526658761889103	0.0204780742900361	0.00179190240570641	0.000531458904070596	0.199947023463733	0.0306435093936418	0.000208347834854167	0.390648809875768	0.00106097676223662	0.00276834200724905	0.372758175512	9.0769555673908	0.0451692120131256	-0.0833190329114516	405.352207165416	395.315366234075	145.580304754591
CY	0.0220352967809844	0.00442889762063021	0.0136235646999479	0.0101198308651641	0.0116933420450104	0.0015639332723776	0.031385011062276	0.0118334785132135	0.00448811167308854	4.91732632327606	0.0136001625699323	0.0370722193799167	0.00279463672608854	0.000436322882927083	0.0680005795213724	0.00031601750221875	0.0289134202402578	0.00511861286501042	0.0130944396578828	0.117436101207729	0.0153022737797578	0.0186451140739714	0.000585010818427083	2.8543198875e-05	0.160331192822365	9.98988821354167e-06	0.0363491955106693	0.00221133132398437	0.000169886218002604	0.000637589397268229	0.00934038030053385	0.00226490162670573	0.0146946045308776	0.003136152026625	0.00258160315301042	0.000563628534065104	0.0338724104413411	0.00248222677797656	0.0556881856937526	0.0674441093869089	0.114562666811076	0.00148860412217969	0.00306025746803385	0.00943869526329167	8.14214469270833e-06	0.00160401921991406	3.41064057542833	0.0293464910623411	0.00136272170934635	0.0013444630485	0.000425260261234375	0.00414492763972917	-0.0537429811548255	0.00125065988961979	0.952949555796307	0.503385126487172	1.1513650339151	-0.000927891932364583	0.00839149242853385	11.8817164514736	9.31313080509463	5.53191516480635
