	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	78.7090456104	0.00592148983386979	0.530142771419104	0.00956330001978646	0.351880177221339	0.0897516300602708	0.564503661212984	0.135536243677766	0.219053410281703	0.00440994971339063	0.412144095926015	1.47947518896072	0.0488645199683229	0.00264049234864063	2.26725695651358	0.00243753985279687	1.49690708129198	0.169100138477021	0.0177701685365312	3.76351668259056	0.948192492747422	1.39545513046224	0.0403658450404739	0.000383918236744792	11.4618607885659	4.07879607604167e-05	0.00386952116167708	0.0133189287632187	0.00907496665483854	0.00510306401204167	0.0559677046712292	0.166401479614589	-0.141214546242609	0.0314930482456042	0.183220254574781	0.00249459014003646	0.644151256896989	0.0998928333047656	1.15585901893051	4.34504324242054	0.220906837423963	0.011016794378349	0.139094080588042	0.274607451433724	1.78826526770833e-05	0.00065577701034375	1.28453528380683	0.413445852638922	0.00137315191285938	0.0307996840577812	0.00137677910821875	0.00304334328065625	-0.103944623545052	0.0204868327493021	0.03456723350125	2.60061457983567	1.61050417684241	0.00126827629633854	-0.425538433876114	116.819726394564	113.046148050771	27.2438942336143
AM	0.0155138395357656	56.65028259067	0.00761665940259375	24.5038636336206	0.00844165545714062	0.00475667782038542	0.0410408954235833	0.0291573669999896	0.00925760115302604	0.199447134315323	0.0130023436141354	0.071641925116625	0.00604681604953646	0.00135060740092188	0.136438841155938	0.00111701948992187	0.0345824184394479	0.00945486311034375	3.93698325931241	0.118253520526255	0.0048893059678125	0.0247233580678125	0.00138099524134375	8.37594469375e-05	0.177365727877005	0.000338254700119792	0.208834735846729	0.00359225769660937	0.000270299991317708	0.00144189475508854	0.0146131005423281	0.00188341724125	0.00956797946871354	0.000674602417463542	0.00889244148584375	0.00102503490573958	0.0802306191599479	0.00574965631416666	0.0920498118420677	0.0581320123058646	1.16527055564347	0.00315091159172917	0.00151457916686458	0.00819858404032292	0.000413152832869792	0.283995774682151	47.4240083905751	0.287376957675849	0.424888282147187	0.00224985796807292	0.00054684533171875	0.0142662653189479	0.0848375152639583	9.30197361302084e-05	40.9637215322225	1.34091085784163	1.94061692808689	0.0265984182280781	0.0834721235713958	180.550119485813	136.092542673489	1.05900503755714
AT	0.122596798549075	9.77122565286458e-05	230.363466702975	0.000767204752882813	0.719869059392424	2.89320963855661	0.298754652185781	0.672900656874432	25.9590753689643	1.34007413567708e-05	18.3193490866766	156.530898542303	0.446754012995865	0.0366852965265052	10.417041318635	0.0460813103545625	37.5151288761013	4.72313964236964	0.000765950369182292	0.0621576408956927	3.90595669914551	7.29434043345503	0.847908606454328	0.00918568356033594	47.6045412441617	-3.88191600234375e-05	0.00843744572466146	0.191407608007503	0.574590244693732	0.0552510121932031	0.0729606150693854	0.0416541109738776	0.0601395570067891	0.00430244464069792	5.17515853627493	0.0604150912925365	6.04554096668884	0.748703033562974	1.81950703125434	1.4068933298401	0.264807871552182	0.158441255898044	10.5141381499864	1.90881935610461	-3.46297154296875e-05	0.000187716524361979	0.0575815704877135	0.472388551419961	0.00215768574463542	0.257124350318865	0.0265237780912891	0.00146646707247135	0.789395876739545	0.216878682021565	0.00202902842738021	2.90020251212691	4.39633637229436	0.3085168357	0.260375521280409	587.592944699391	578.433418878185	548.500752001159
AZ	0.01822310659	18.231600871408	0.0176850484407552	310.834321537968	0.0116524367709531	0.00957278279589583	0.0665798137300625	0.143987440146963	0.0123660923990729	0.235416157517552	0.0348196935943854	0.255802634524135	0.0446394463751823	0.006237832493375	0.202709593996964	0.00542923847089063	0.0605849759588229	0.0216394029172813	10.99555900074	0.150295616555604	0.0101533478335885	0.0553703451966458	0.00295406920204688	0.000225281926708333	0.254162328315604	0.0105892935266042	1.09451265835564	0.0182031049247552	0.000983507167942708	0.00703579836639583	0.0648764018943281	0.00173692780765625	0.0100447939075833	0.00102711790755729	0.0206970549364167	0.00748964112147396	0.369291968669005	0.00928589717698958	0.30632707054463	0.0825196458728281	21.1897158983367	0.0231314793806927	0.00387398977927604	0.0217749533055312	0.0138348467691302	1.81475921588447	32.8305124449994	1.17897263957681	2.45928827039852	0.00247894029407292	0.00271371010783854	0.0108602498331823	0.100070731601786	0.00201006539351042	97.7929577092437	1.70408980813304	2.96523053720967	0.0430527481737448	0.0443711987005729	505.89030841517	403.222557065748	2.21523995093516
BA	1.0404605970061	0.00514834940628125	8.56426746938777	0.00531678996072916	68.4952875386605	0.510618353993982	0.942522565587583	0.768405354441331	1.16268800775557	0.000630466043575521	6.39891566679618	14.2753628011312	0.390959992326239	0.0143533624446927	6.36696465319305	0.0200299186127604	4.15123727026292	0.910061794571026	0.0177760094538177	0.547227589987646	24.7585197042045	17.8987309812759	0.132836035253367	0.00393217238403646	39.1394561812766	2.3607541859375e-05	0.00512492456022917	0.067133741562125	0.0622201117447552	0.0242491237236745	0.132097516761927	0.583241903522789	0.178153913797883	0.0251542157461615	1.17429148198115	0.036707231011276	5.52483404704238	0.333987591285542	3.95341946123572	13.079025175645	0.449441309654406	0.116968871409099	1.72581725667452	3.67904092513899	2.18960833854167e-06	0.000370426186145833	0.68942391631537	1.80455284612645	0.00129496505176042	0.0953751968531094	0.0106464072516354	0.00735319310747917	0.464991346257375	0.117000725720898	0.0092050264990599	3.94352325228331	2.42535148955155	0.147923653758396	0.0130037855438854	237.402660455572	230.16868469145	141.709715157607
BE	0.002277028890125	0.000140527078703125	0.19904981839825	0.000131501736145833	0.00431643333861979	152.487098012176	0.00599758729071354	0.036919084209724	0.46460023223637	1.05605138177083e-05	0.216971423885604	15.6963616559874	0.107661476350333	0.001845731918625	5.19001265952193	0.00864174806701042	93.7041420203678	19.1351332244034	-2.0256188671875e-05	-0.000185016263776042	0.0104767633689375	0.0432089125998125	2.74769170337025	0.00350791893197396	0.53757583633312	2.74470931822917e-05	0.000856234555130208	0.00613563891456771	3.664958606072	0.00284806937877604	0.00156259940483333	0.00010252693459375	0.00154084973471875	0.000191164097619792	21.3543982591071	0.0296647585469948	0.455200305592635	0.334980392650599	0.026812508764625	0.0389003806337552	0.000646470225942709	0.0398816451522865	0.0128628726080937	0.0231351446245521	1.84239232135417e-05	1.43908475625e-05	0.00289262649317188	0.0272852974377188	0.000223082293161458	-0.0262252328293906	0.00513999577269792	-0.000104646868666667	0.0416368429348437	-1.21286538889745	-4.48418954427082e-05	0.268232650796495	1.33215791085023	-0.0118507387389583	0.00195921438885938	317.026742049122	316.627760399042	316.01264667135
BG	3.91643734303733	0.231022019515281	3.277389428867	0.555795739072063	1.57676303266178	0.569371030660026	167.134764784464	3.06404524544676	0.688331572195651	0.0435973276327187	2.84043699545236	10.0268939339839	0.273787539995943	0.0385964875095573	4.04856141720148	0.0514654961416927	3.12370913478758	0.818059104702453	0.723471349271427	17.7095087465623	2.63405051193672	11.3470462896422	0.125837318042599	0.00339109437840625	10.4181395170943	0.00196104050041667	0.561310217273526	0.271145012876771	0.0653806326186979	0.0868190918366093	4.56157346188045	0.0702250796425365	5.99671977345864	0.0169684929886771	0.907031017769969	0.0385599313716198	6.14458173141489	0.27217855511588	69.4983958722822	17.1581375985914	12.1782566809039	0.14019769503212	0.768974015596609	2.27585458008518	0.00031591940390625	0.135241661932302	41.0461895238906	21.2925209279592	0.306309023390255	0.0953748937003125	0.0273688094446719	0.0682683516175417	0.752381912380349	0.118636689034953	1.21825647770058	4.28625724785148	4.23785763714431	0.168390196928604	0.100472543849099	440.108584757724	429.035535130389	314.928645740494
BY	0.87504871831643	0.149137153254909	4.39107436783245	0.642211032502156	1.82533472694819	2.73243645677612	3.83377559550964	508.698926959099	1.25939975118613	0.00415612318535937	9.81850698624765	52.5363769623712	8.79643714871678	0.965813349636226	4.26839374064216	1.24180136723378	12.0976528183811	7.21573123115519	0.466877807507271	1.70321358361295	2.60303786904206	12.3794996264053	1.31383693957806	0.0184483591554922	8.37113180824504	0.00378592254490104	1.09460172908531	21.8690959580855	0.271800499594977	6.2990193983214	7.05016264958741	0.298835236336594	0.765230082401794	0.00420757624573958	6.31457700030168	1.21898207948883	130.263988530098	0.284132000197604	27.6701831196911	7.78069586782793	43.1592907552192	5.92422675131186	1.10208286630154	4.80825446651599	0.00109716034221354	0.144566602697057	12.287269606987	106.11636811932	0.396335564207263	0.366668765069115	-0.355981286961547	0.252636438241604	0.73176208339994	0.751414383794586	0.735999144482519	1.61688187933736	7.2112112522313	0.470904224592156	0.635460496435649	1045.75400740587	1033.33542641954	339.084159995817
CH	0.00538966465226563	-0.00017529773615625	1.60547511781985	-0.00014450018075	0.0416059962244453	1.04024371156204	0.00256249807033333	0.0168151013185195	247.831384662077	-0.000252550937640625	0.278397691405629	20.5224992860853	0.050309986646819	0.00108513585603646	12.4699492117585	0.00748475830927083	44.0824930495473	2.18739005296772	-0.0002156253316875	0.00239658103254167	0.205196071374016	0.107051685264302	0.543287678840708	0.00227727721415365	33.1781130880808	-0.000214159584453125	1.91603308854166e-05	0.00681294181305729	0.152292497826723	0.00185960201720703	0.0014138442013763	0.0017851363714362	0.00132030357764453	0.00128822918834896	1.51239820898469	0.0200707229388828	0.257806105699797	0.687274130399065	0.0221272027648047	0.0374253665609961	0.0165771050317266	0.0148125777210677	0.301628377628312	0.0297142631224792	-0.0001934728615	-0.000210380080796875	0.00359192722157682	0.0208543995094935	-0.000143903540065104	0.194698203809654	0.00264805810914714	-0.000192785254726562	0.441232412786733	0.142107941104395	0.0005851153115625	1.74146013540174	2.55811337696635	0.201322046998537	-0.0452538800580338	372.507651143939	367.270684175367	119.272291312571
CY	0.0255374470063255	0.00334135026248958	0.0147099763119609	0.00843854882444011	0.00668232304859115	0.00396284211872656	0.0624841351936068	0.0130803708555495	0.00723333719057031	10.410714456423	0.0125129049226589	0.0561837971993932	0.00148467060357552	0.00107147449239323	0.0906702131020755	0.000588708131046875	0.0366623109758932	0.00503332933017708	0.011245148614901	0.207405205057565	0.0114093155217604	0.022952110528401	0.000956456153713542	7.14406106510417e-06	0.193167827570677	-5.29699387760417e-06	0.00531785299864844	0.00140056015849479	0.000419341639817708	0.000605767451114584	0.00919997719684114	-0.000468355088601563	0.0111068322600677	0.000823120361861979	0.00723067896842448	0.000248183925354167	0.0242129017695365	0.0037867450361901	0.0712582457091511	0.0367559436192161	0.117059800987438	0.000781599156953125	0.00389393941055208	0.00575006185956771	-2.15232870833333e-06	0.000931802174763021	5.23177399734228	0.111179508518784	0.00171742621454167	0.000751274988294271	0.000234792756486979	0.011076257511901	-0.110604132619154	0.000788750144815104	1.42503179889882	2.14495933643445	0.379329647782935	-0.0277527636333385	-0.0520738190031615	20.624255029111	16.8524108446591	11.2520767404803
