	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	15.8008720358645	0.00856626124943995	0.491245025844149	0.0411914217768731	0.839043479636095	0.0788684601215452	0.701993884827962	0.0864927550262053	0.105851735281126	0.00305291602959142	0.413958030050948	0.980716689536878	0.03823395717627	0.00513991099796553	2.71029481050671	0.0140312534174118	1.43313056660657	0.230135601073119	0.0130507007782723	3.50401742618563	0.550246659067102	0.59476454715275	0.0306067487971247	0.00159897857299851	10.2081468797781	2.11409650590892e-05	0.0411692736719701	0.0214910573883929	0.0125000891370142	0.0106285161630227	0.0628402860922189	0.792756982656174	2.04495708771757	0.0638385400724354	0.106291414422526	0.0255958988543656	0.880691699650825	0.213789520534158	0.702766884466019	9.38384834922322	0.428656449508762	0.0288740032583753	0.0940416754983508	0.211734261276736	1.85937295369804e-05	0.00381373054167535	0.746591381306673	0.563286700570112	0.00439533761069132	0.409859602553932	0.0877306169774391	0.0768258521079475	11.4408765564091	0.214891776541117	0.149782095444207	4.66954625030951	2.22840108091355	-0.00685568766320435	0.0191366508455141	74.6200444041103	55.3298496096712	24.1050954279645
AM	0.0118880105848612	26.758826481808	0.0236978834722958	34.3519392483871	0.013320425123785	0.00709390778450544	0.0292502501201265	0.0251987921485708	0.0127352047515462	0.0814948655343545	0.0148468193337705	0.0859077366351299	0.00491034465629809	0.00155580960305439	0.0806892595963716	0.00694472852742331	0.0543867670633627	0.0207790553461234	2.72395922177876	0.192920087695158	0.00869145474914849	0.0167670062001124	0.00351068051381751	0.000478513843498348	0.103999731225794	0.00134784350977993	0.256173661911178	0.00491706378332851	0.00146288445393617	0.00254720962085358	0.0101631052123921	0.00299954682405464	0.0117890055962236	0.000942022411508641	0.0110515647565538	0.00734860346487568	0.0539527026828423	0.00842976084351959	0.0613916153440086	0.0660191070006156	0.93116615479176	0.00735036462100595	0.00494732293483072	0.0077764325623905	0.000666365376169328	0.705332922378853	9.31351021778048	0.20988030065254	0.133828277690206	0.0233196913731673	0.0131554858857111	0.118952016472235	0.683037517392784	0.0172696353946362	46.6633620421016	0.478217123597739	2.21118320941752	-0.00163815370712879	0.0114328972954873	126.669077807911	76.450786342687	0.881436276725502
AT	0.0746220243236912	0.00736867557408416	96.5275512979864	0.0465173896562058	0.914389008152569	2.45272689050101	0.215267895585261	0.205643944904099	9.31142873317236	0.00072753578580165	16.439218628036	69.5040915841658	0.616871079654888	0.0244228632422532	2.65422724644754	0.105612435846773	17.2531364944524	3.74556584340989	0.0236698687646169	0.132016608569686	2.6940717883695	4.1430828269389	0.306485114529875	0.00856464203831829	24.6650064523712	0.000144178515838634	0.0279439212486877	0.143217348438683	0.679833006304167	0.0608365141311051	0.0987885288383463	0.0422521882386623	0.0717155269314667	0.0051498868685603	2.93795237549107	0.228033091602119	10.0612941667412	0.239267124205795	1.32538747298604	2.43057673992288	1.26235870220392	0.337788986037584	5.45721969368211	2.46203394735069	0.000125087488467145	0.00855459368427251	0.278045734134133	1.26449194644897	0.00620461152923639	1.13121932924729	1.37487002784307	0.0347310274141586	3.95973726749264	4.89020095004946	0.196387636529595	1.12471286088659	2.42040130531482	-0.0272323897001746	0.00121490404253635	296.607745164623	281.501502245503	261.44449726472
AZ	0.0236317209634115	10.5841509476598	0.0575741024157279	247.777014026775	0.0335193256144966	0.0251809865192943	0.0907228703681935	0.214884273834315	0.0254644644538754	0.0773957383650357	0.0631021811989012	0.285535782558649	0.0299528943510295	0.0173722664154031	0.136597498383821	0.0710329098540246	0.139058611521949	0.116524376594741	9.94209231498473	0.266675807851593	0.022470560877036	0.0634558884707327	0.017822039999101	0.00338988209827306	0.220585800031469	0.0153871736621618	2.66074823306028	0.0393559761746372	0.00371676751192706	0.0221301406222144	0.0456227773966414	0.00670569125313746	0.022344215555811	0.00138797716630995	0.0451751135707319	0.0600305180712346	0.281105479686851	0.0152557646085188	0.24107438674201	0.150055736105354	14.2540282974042	0.05965167459952	0.012453643491108	0.0366500803312363	0.0131203871018795	6.74797362461753	9.57729802997946	1.61777034591763	1.48486603038101	0.0864543666184424	0.109260324912198	0.422520371894297	0.846303119452766	0.0887156785781674	127.094073250685	0.658512934442508	3.19799191285893	-0.00947187335719867	0.00561744676285641	440.21909287002	307.719115337172	2.34249294368702
BA	0.880296465745063	0.00965201052400532	5.06264395985127	0.0502197048811124	30.7871473797766	0.464790779119898	0.683506092307385	0.273567344300325	0.53061085907969	0.00464821345569876	3.69137428692912	7.46243483964729	0.241451370780071	0.0253237290788163	3.56344961957957	0.0636047959054795	3.88818539537892	0.985740410848505	0.0154888256635421	0.718471830291218	7.28452025560393	6.79310104599662	0.0972709180119504	0.00434629785885227	20.0444160724604	5.27169306306168e-05	0.0858415889577453	0.104467370231028	0.0824995548311605	0.0538023227149099	0.154422600168882	0.962885767404288	0.177060094234794	0.0516761955199139	0.627854714533676	0.094555697113392	6.28070110746132	0.288594238234268	2.38947258250208	14.7079782619466	1.17043576274664	0.137973669821	0.882121977528892	2.0739739313896	3.29832344272484e-05	0.00503440859190219	0.612566389434813	1.46266831254771	0.00597920035551892	0.620719820930872	0.602340379313455	0.0793916179440878	11.3352969750623	1.08268818000005	0.333439165577241	4.29755331055875	2.9482008697367	-0.0185609471912561	-0.0135856595490891	147.306397663894	126.038913951511	73.0623308691655
BE	0.00237497958106982	0.000876642596045819	0.221075959909942	0.0111880172968494	0.00987516729845107	34.0099236211767	0.0120071144099391	0.041498534710867	0.303141780953168	2.79605964651952e-05	0.493911875686303	16.6602284517667	0.363188499009973	0.00877022943816023	2.49262733365765	0.0502044124835556	29.9014102316014	12.1069112961403	0.00445841698249088	0.00957510549483572	0.0151128092220776	0.0433978953446296	0.910750799722112	0.0211507112821999	0.564642703722933	1.55530100176111e-05	0.0055913267658477	0.024212820960495	1.30335225969875	0.0112421696153029	0.0078831797880223	0.000764860644208888	0.00205276305735639	0.000274366335610238	9.1640948110256	0.333479062287578	0.587750754585644	0.334345777368691	0.0421626604142186	0.0255362154534316	0.216739323280293	0.1947999566065	0.0165616229784011	0.0493216858109515	1.88341936528062e-05	0.00200395064496373	0.0219582410918043	0.147117988229852	0.000597070944406403	3.27274666081428	0.43930319907763	0.0081542690964574	0.584906811771398	19.8309305762103	0.00655738044763636	0.349112720559406	2.96726902460208	0.108626225491119	0.00047043290144112	138.318285105848	110.750207804876	97.4849738886436
BG	1.9735140220871	0.0666078098679517	2.67707951846557	0.410484851076006	2.48825447742813	0.412282003952685	75.8570667600687	1.6371469567296	0.407979019683536	0.0332903652828646	2.61007261192818	6.57963397244734	0.239166202774325	0.0488317111977678	1.87836324095534	0.144652418063144	2.43914255549085	0.963408545473675	0.170742776761644	17.3004263119347	1.47847680014083	5.15718737943753	0.10296943566214	0.00880922470087217	6.82427808916058	0.000739298604036061	0.364554506259222	0.269027336423191	0.0715182912820503	0.120063756892593	2.27680082010487	0.491555209263218	3.422809862548	0.0277195446931422	0.705705764197059	0.196321747146904	7.72563423452394	0.162683994957365	30.3917448657151	32.7671032372252	7.18927293152812	0.226750257360648	0.587482279421869	1.73841487336691	0.000542465156910631	0.026876798083026	24.0616693385033	14.6617580611775	0.0281158949634678	0.475728194362234	0.740057482246131	5.05807595303046	12.6070089314924	1.14260314836085	0.798377349265033	4.05399109498428	3.72975789751009	-0.0305270115182036	0.0130061402138304	288.012811610116	259.424732430169	165.809664575796
BY	0.347871311921949	0.174253815150246	5.06210609692007	1.70664076635925	1.49134828736674	4.30090452078443	2.11233135526729	107.285325005167	1.13624173458495	0.0299967288810677	14.0464687183418	56.9203651238974	4.64387408052739	1.07458785103317	2.65480116884226	2.35453089737949	10.893719439169	11.3349889122577	0.613668945321525	2.03627146370057	1.60413566699259	7.55132973887929	0.835499235320707	0.0691997462946344	7.07696520337276	0.00904535258234494	2.1211374067959	10.8740637764633	0.591758026670953	3.11127102767861	3.86603102345499	0.153422800319091	0.321478685813883	0.0124091397626804	7.28821529333005	2.21158683437541	104.322202710349	0.261756800576013	12.9770970690921	6.60434633495062	60.8800249679363	3.97000447266138	0.91336118889131	5.36004186917909	0.00398588940923351	0.684068428086218	9.5004262506589	79.1554408093741	0.424236426974867	2.3319574926488	15.8545473409814	1.87102494643436	4.46259852766191	14.9783264461913	2.71247535746074	2.94381230383691	6.75134586590034	-0.0298334449088514	0.0267652670676677	614.877858502394	562.974838399119	272.880068663963
CH	0.00235771942044775	0.00205308361491949	1.9191719732371	0.00897710437317992	0.0163228063106313	1.04171942744833	0.011281728880177	0.0148896921823364	39.496332024544	2.85194638108369e-05	0.501235908106943	15.7876631393003	0.0755955666577838	0.00370841724011772	3.27156321558438	0.0177778747153184	24.4145467225341	2.54513501139049	0.0051395853158681	0.00476808602878564	0.0512155902376459	0.0810467674019022	0.174470824528468	0.00207274326105416	12.3042718922465	7.71249970188364e-06	0.00710535999388166	0.0109521641451242	0.231591043048218	0.00646922120432385	0.00875773775115625	0.00158387625549055	0.00259758956806474	0.00114261061399667	0.856084016114062	0.0602924282096419	0.326885759877715	0.332599597283669	0.0761190805230613	0.0551693088604768	0.163712846813345	0.0497628780199128	0.106864230365356	0.0446539121340497	2.37875421717763e-06	0.000956075727198777	0.0426967259820777	0.140951091564497	0.00120517328585944	1.10397705869532	0.147017993553515	0.00642675339782335	2.00207117131929	2.21762840890949	0.00907340980659654	0.857721350209074	2.42011550712682	-0.0077300074953537	0.000408390574457124	113.038218278717	104.28150824262	61.7031901669412
CY	0.0127306565009039	0.00479534470701497	0.0143469803891005	0.0153918285486804	0.0122417895134358	0.00470601718238431	0.041183687665876	0.0141142801282629	0.00595326164836716	3.11645492997184	0.0106611252192616	0.0519074181487616	0.00370668295747228	0.000657513167017139	0.0986835519209796	0.0026733130355943	0.0485508314164079	0.0162929986500718	0.00891519811790188	0.761761648215936	0.0077482057535223	0.0160749605815085	0.00252425367251473	0.000160905959305353	0.164664022968801	2.66165709498649e-05	0.00372051917612615	0.00324024813447334	0.000658393746703242	0.00135218487577979	0.00784337583690292	0.00241855183988096	0.0139381277275203	0.00468328334289603	0.00796913058445975	0.00333039533927323	0.0422021084028821	0.00861171434195805	0.0499205160450168	0.0565594601485729	0.147903371890463	0.00383825807832275	0.00294617769610882	0.00704847166471338	2.46534063800549e-05	0.00210328864836258	6.11242174198072	0.104884540834226	0.000792128862362976	0.0202968719869861	0.00740751304168565	0.0760639636013769	3.36432614617753	0.0131285322833629	4.67485111733319	1.03242936832296	0.483206226400468	-0.00343357228123521	-0.000540677594042073	20.6930741544883	11.025338665216	4.4787756291803
