            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.044067;     0.034394;     0.396044;     0.021981;     0.032345;     0.029523;     0.070225;     1.007268;     0.141704;     0.030245;     0.536835;     0.032324;     1.584655;     1.825386;     0.019975;     0.024536;     0.013719;     0.226741;     0.014194;     0.068080;     0.016605;     0.034434;     0.019827;     0.021195;     0.586478;     0.119464;     0.130708;     0.187568;     0.009583;     0.023452;     0.090163;     0.078845;     0.017196;     0.010071;     0.023819;     0.019259;     6.838203;     0.168733;     0.037389;     0.014431;     0.020918;     1.293403;    35.003014
EEZ65       ;     0.069239;     0.020492;     0.345585;     0.021353;     0.103995;     0.022520;     0.242087;     2.056383;     0.858295;     0.057169;     0.049524;     0.255475;     0.713421;     6.731962;     0.016856;     0.016982;     0.058865;     0.566391;     0.287317;     0.046179;     0.058544;     0.037132;     0.032127;     0.019704;     0.725403;     1.612110;     1.505781;     0.017081;     0.023540;     0.022108;     0.609016;     0.604727;     0.016096;     0.059277;     0.048878;     0.132152;     3.847511;     1.277794;     0.011297;     0.046952;     0.021439;     4.403968;     2.457275
EEZ71       ;     0.141827;     0.070045;     0.565753;     0.063086;     0.115962;     0.052435;     0.368666;     3.247492;     0.940991;     0.089546;     0.113229;     0.320922;     1.256829;     7.805256;     0.045563;     0.045047;     0.131282;     0.820137;     5.018756;     0.050709;     0.064790;     0.065091;     0.044538;     0.045972;     1.034417;     1.833082;     1.593814;     0.035158;     0.089707;     0.044612;     0.958386;     0.649921;     0.054184;     0.109685;     0.043697;     0.128192;     7.640323;     1.522016;     0.036657;     0.089618;     0.064006;     4.798633;    12.155975
EEZ91       ;     0.187293;     0.020612;     1.806250;     0.012537;     0.030503;     0.110735;     0.287413;     4.256987;     0.328578;     0.020944;    35.046124;     0.070344;    10.047097;    10.698092;     0.014266;     0.023981;     0.048697;     0.780863;     0.042959;     0.484889;     0.026617;     0.252318;     0.024940;     0.014230;     2.298379;     0.308120;     0.248723;    21.307491;     0.031305;     0.019410;     0.199728;     0.151040;     0.023729;     0.023097;     0.028204;     0.029553;    66.441483;     0.438897;     0.012931;     1.842380;     0.036246;     5.446471;    15.261521
EEZ99       ;     0.005732;     0.001090;     0.083342;     0.000659;     0.002553;     0.001907;     0.009035;     0.185184;     0.015929;     0.000430;     0.159998;     0.004160;     0.407411;     0.388083;     0.000719;     0.001698;     0.003221;     0.022777;     0.001471;     0.005270;     0.001935;     0.014014;     0.001000;     0.001279;     0.096831;     0.009389;     0.032007;     0.015116;     0.002378;     0.001329;     0.017668;     0.010095;     0.001406;     0.001566;     0.000651;     0.002808;     0.392918;     0.020114;     0.000749;     0.008678;     0.000933;     0.281105;     0.028360
EEZ100      ;     0.003144;     0.000637;     0.014748;     0.000853;     0.002558;     0.000660;     0.013607;     0.138076;     0.036143;     0.000965;     0.003717;     0.004843;     0.030834;     0.375897;     0.000709;     0.000698;     0.002831;     0.032087;     0.006210;     0.002401;     0.000731;     0.000654;     0.000762;     0.000628;     0.034292;     0.044817;     0.059907;     0.000735;     0.000997;     0.000924;     0.018241;     0.019743;     0.000653;     0.002323;     0.001604;     0.003366;     0.184168;     0.056871;     0.000557;     0.002060;     0.000761;     0.175130;     0.076459
EEZ108      ;     0.304190;     0.116536;     2.528729;     0.147987;     0.182304;     0.192091;     0.511059;     6.013670;     0.939198;     0.100504;     1.086692;     0.285267;     8.972062;    53.088779;     0.109542;     0.132302;     0.342319;     6.573965;     0.307527;     0.289942;     0.173462;     0.266116;     0.106700;     0.139282;     3.334985;     1.543542;     1.357826;     0.299810;     0.162938;     0.131929;     1.204062;     0.598902;     0.110506;     0.194900;     0.120023;     0.188100;    22.216248;     1.387928;     0.066075;     0.244019;     0.158335;    17.291945;     6.208713
EEZ109      ;     0.009938;     0.002946;     0.239107;     0.002945;     0.013815;     0.002176;     0.011235;     0.489413;     0.077254;     0.002233;     0.089676;     0.022772;     0.455507;     3.042347;     0.002204;     0.002757;     0.019462;     0.178042;     0.002908;     0.033417;     0.004315;     0.023635;     0.005190;     0.006724;     0.278887;     0.091614;     0.117714;     0.021344;     0.025358;     0.002932;     0.119804;     0.060025;     0.001711;     0.010430;     0.011285;     0.005439;     1.039957;     0.119809;     0.010621;     0.012765;     0.002107;     2.382840;     0.474343
EEZ110      ;     0.005607;     0.000507;     0.102815;     0.003069;     0.007537;     0.006714;     0.004972;     0.187357;     0.019195;     0.003192;     0.031268;     0.007627;     0.128533;     0.853946;     0.000624;     0.001901;     0.007078;     0.053237;     0.001004;     0.010095;     0.003158;     0.010301;     0.001685;     0.004944;     0.117371;     0.025798;     0.040862;     0.006307;     0.002350;     0.001674;     0.039474;     0.011192;     0.003125;     0.007159;     0.003482;     0.001808;     0.310900;     0.035822;     0.003313;     0.005837;     0.000506;     0.872464;     0.120189
EEZ119      ;     0.000198;     0.000102;     0.001339;     0.000137;     0.000336;     0.000066;     0.000806;     0.008213;     0.003186;     0.000242;     0.000111;     0.000964;     0.001612;     0.026294;     0.000015;     0.000046;     0.000174;     0.002136;     0.002493;     0.000145;     0.000195;     0.000063;     0.000073;     0.000010;     0.002442;     0.003381;     0.004090;     0.000021;     0.000130;     0.000041;     0.002393;     0.001958;     0.000052;     0.000143;     0.000057;     0.000243;     0.017683;     0.005119;     0.000101;     0.000210;     0.000107;     0.014842;     0.013031
