          ;    AT;    BA;    BE;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   NOA
EEZ48       ;     0.018539;     0.146281;     0.609831;     0.001570;     0.121762;     0.113024;     3.711168;     0.177939;     0.008089;     1.451399;     0.012483;     6.700181;     0.853734;     0.012205;     0.012661;     0.100622;     0.007267;     0.040634;     0.004621;     0.068312;     0.024367;     0.011460;     0.719271;     0.014011;     0.058556;     0.200401;     0.157715;     0.147273;     0.012634;     0.010044;     0.001121;     0.046623;     0.074711;     0.015483;     0.014011
EEZ65       ;     0.015315;     0.016696;     0.097076;     0.013067;     0.020573;     0.028646;     1.390601;     0.502231;     0.005626;     0.044818;     0.039756;     0.631690;     2.519892;     0.002605;     0.010377;     0.866023;     0.042977;     0.031428;     0.025181;     0.006206;     0.008173;     0.000057;     0.341489;     0.337059;     0.190185;     0.003557;     0.004511;     0.013783;     0.010846;     0.200902;     0.001559;     0.004778;     0.016407;     0.007848;     0.337059
EEZ71       ;     0.028976;     0.047111;     0.223685;     0.078415;     0.058884;     0.023098;     1.234189;     0.568759;     0.014051;     0.103229;     0.060162;     1.647181;     3.515602;     0.010396;     0.019468;     2.259791;     1.295711;     0.073779;     0.052696;     0.014444;     0.020351;     0.001024;     0.512262;     0.209187;     0.055112;     0.003506;     0.001917;     0.042659;     0.039765;     0.221752;     0.006144;     0.007103;     0.067552;     0.013850;     0.209187
EEZ91       ;     0.032714;     0.022846;     1.075612;     0.013307;     0.077298;     0.038720;     2.610650;     0.132667;     0.015653;    31.159061;     0.005517;    15.105334;     2.731488;     0.004582;     0.003404;     1.152981;     0.022801;     0.164488;     0.014839;     0.067066;     0.004299;     0.003942;     1.709326;     0.023311;     0.066800;    24.587984;     0.022350;     0.022850;     0.022526;     0.032088;     0.005291;     0.022643;     0.022357;     0.022876;     0.023311
EEZ99       ;     0.001878;     0.000228;     0.018432;     0.000485;     0.001731;     0.000228;     0.068177;     0.003849;     0.000047;     0.134769;     0.000298;     0.953684;     0.067620;     0.000039;     0.000116;     0.056749;     0.000228;     0.003604;     0.000648;     0.000715;     0.000401;     0.000074;     0.034713;     0.000461;     0.000228;     0.009738;     0.000300;     0.000228;     0.000541;     0.001685;     0.000078;     0.000110;     0.000228;     0.000228;     0.000461
EEZ100      ;     0.001302;     0.000713;     0.005071;     0.000204;     0.001484;     0.001171;     0.075659;     0.031236;     0.000292;     0.006705;     0.001713;     0.041590;     0.164249;     0.000379;     0.000989;     0.053593;     0.000690;     0.002606;     0.001016;     0.000444;     0.000335;     0.000005;     0.016854;     0.013735;     0.004677;     0.000694;     0.000497;     0.000536;     0.000477;     0.015477;     0.000232;     0.000310;     0.000713;     0.000620;     0.013735
EEZ108      ;     0.039851;     0.033659;     0.793625;     0.265791;     0.115387;     0.033451;     4.763204;     0.953780;     0.022631;     1.397809;     0.075935;    11.836511;    17.999880;     0.006845;     0.010785;    55.473167;     0.021553;     0.124227;     0.208894;     0.040937;     0.074717;     0.002809;     2.201638;     0.177578;     0.123080;     0.163031;     0.009966;     0.033027;     0.061358;     0.406951;     0.006469;     0.015644;     0.024192;     0.032047;     0.177578
EEZ109      ;     0.002183;     0.000414;     0.073726;     0.007306;     0.007289;     0.003749;     0.222425;     0.018806;     0.000414;     0.018184;     0.000326;     2.854357;     0.910930;     0.000021;     0.000362;     0.202573;     0.000414;     0.002547;     0.004930;     0.000975;     0.001765;     0.000102;     0.127211;     0.000316;     0.020253;     0.001110;     0.000252;     0.000414;     0.000414;     0.009133;     0.000150;     0.000804;     0.000414;     0.000414;     0.000316
EEZ110      ;     0.001012;     0.000130;     0.025226;     0.001530;     0.002242;     0.000119;     0.055900;     0.002828;     0.000130;     0.006312;     0.000131;     2.089370;     0.147448;     0.000007;     0.000131;     0.045009;     0.000130;     0.001040;     0.000931;     0.000130;     0.000218;     0.000024;     0.045183;     0.000130;     0.000216;     0.000174;     0.000128;     0.000130;     0.000130;     0.001417;     0.000021;     0.000081;     0.000130;     0.000130;     0.000130
EEZ119      ;     0.000024;     0.000094;     0.000602;     0.000021;     0.000085;     0.000107;     0.003581;     0.001417;     0.000015;     0.000146;     0.000139;     0.002599;     0.011084;     0.000001;     0.000053;     0.002448;     0.000532;     0.000132;     0.000039;     0.000038;     0.000012;     0.000000;     0.001868;     0.001012;     0.000219;     0.000005;     0.000002;     0.000002;     0.000053;     0.000498;     0.000003;     0.000026;     0.000127;     0.000007;     0.001012
EEZ123      ;     0.000031;     0.000006;     0.007721;     0.000230;     0.000524;     0.000109;     0.016730;     0.012533;     0.000505;     0.001987;     0.004399;     0.045990;     0.098018;     0.000006;     0.000031;     0.043852;     0.017374;     0.000117;     0.000287;     0.000327;     0.000151;     0.000002;     0.007822;     0.015972;     0.000937;     0.000084;     0.000035;     0.000019;     0.004170;     0.007155;     0.000004;     0.000025;     0.002751;     0.000125;     0.015972
EEZ185      ;     0.001050;     0.001028;     0.018837;     0.054457;     0.001393;     0.004264;     0.914334;     2.746377;     0.005475;     0.003812;     0.008721;     0.114902;     0.160090;     0.000247;     0.002597;     0.064145;     0.001083;     0.001088;     0.064966;     0.001259;     0.024171;     0.000587;     0.185678;     0.321991;     0.222979;     0.000981;     0.001012;     0.001013;     0.004203;     2.574190;     0.000162;     0.001482;     0.000745;     0.003692;     0.321991
EEZ187      ;     0.000006;     0.000011;     0.000097;     0.000259;     0.000009;     0.000039;     0.003576;     0.009039;     0.000030;     0.000018;     0.000082;     0.000644;     0.001609;     0.000011;     0.000006;     0.000610;     0.000011;     0.000011;     0.000423;     0.000011;     0.000142;     0.000001;     0.000690;     0.007731;     0.000867;     0.000011;     0.000005;     0.000011;     0.000011;     0.006269;     0.000000;     0.000007;     0.000011;     0.000011;     0.007731
EEZ188      ;     0.000246;     0.000251;     2.415454;     0.005099;     0.006004;     0.002532;     0.755204;     0.021121;     0.000251;     0.004635;     0.000251;     1.244168;     0.446362;     0.000232;     0.000524;     0.054293;     0.000251;     0.000530;     0.007749;     0.004552;     0.000222;     0.000025;     1.414292;     0.000251;     0.000251;     0.000251;     0.000251;     0.000251;     0.000251;     0.003990;     0.000250;     0.000251;     0.000251;     0.000251;     0.000251
EEZ189      ;     0.009195;     0.004329;     4.221545;     0.169023;     0.042944;     0.029782;    16.715916;     1.552769;     0.004558;     0.053296;     0.008842;     5.721495;     6.155563;     0.005628;     0.015265;     0.949225;     0.004338;     0.005036;     0.195029;     0.019243;     0.048801;     0.001303;    25.128895;     0.020157;     0.071451;     0.003157;     0.004226;     0.004363;     0.004338;     0.227614;     0.003815;     0.004035;     0.004338;     0.004336;     0.020157
EEZ190      ;     0.053982;     0.003049;     0.722911;     0.143625;     0.020418;     0.058406;    31.219669;     3.928356;     0.002872;     0.016070;     0.003754;     1.664439;     1.593004;     0.008129;     0.026387;     0.409706;     0.003055;     0.003127;     0.164494;     0.009461;     0.054383;     0.001076;     8.917201;     0.036427;     0.101814;     0.002946;     0.002903;     0.002974;     0.003055;     0.345711;     0.003233;     0.003804;     0.003055;     0.003075;     0.036427
EEZ191      ;     0.043327;     0.005738;     0.151076;     0.232354;     0.012786;     0.084173;     8.919498;    28.120977;     0.006990;     0.016793;     0.019833;     1.017214;     2.261470;     0.004721;     0.025413;     0.586411;     0.005738;     0.006823;     0.304808;     0.005928;     0.100335;     0.002429;     1.851902;     0.685149;     0.560417;     0.005282;     0.005058;     0.005738;     0.005738;     2.615464;     0.002284;     0.011587;     0.005653;     0.005746;     0.685149
EEZ209      ;     0.121865;     0.017007;     2.969178;     0.099601;     0.168806;     0.029108;     6.215501;     0.396959;     0.012762;     5.351507;     0.018662;   139.529404;     9.096552;     0.004480;     0.014452;     5.966886;     0.017003;     0.280477;     0.076677;     0.042814;     0.027806;     0.006148;     4.196241;     0.034791;     0.079403;     0.333699;     0.019863;     0.017006;     0.027266;     0.187933;     0.007118;     0.013798;     0.016981;     0.016446;     0.034791
EEZ212      ;     0.034764;     0.072662;     0.082325;     0.034139;     0.011294;     0.015354;     0.540435;     0.160644;     0.021120;     0.024415;     0.099463;     0.439525;     1.441013;     0.025285;     0.008108;     0.597957;     0.539436;     0.012131;     0.020801;     0.005068;     0.019152;     0.017246;     0.202187;     0.187315;     0.036535;     0.016186;     0.005454;     0.020249;     1.206340;     0.104497;     0.017843;     0.027135;     0.029224;     0.013384;     0.187315
EEZ213      ;     0.140581;     0.054582;     3.467420;     0.427651;     0.205772;     0.186793;    20.376902;     5.791880;     0.048776;     1.104156;     0.176631;    26.064419;   129.708206;     0.039237;     0.085819;    30.197618;     0.053727;     0.182903;     0.550548;     0.058871;     0.177701;     0.009031;    10.971195;     1.275917;     0.677766;     0.146918;     0.035966;     0.050676;     0.062893;     1.860944;     0.027547;     0.041183;     0.052553;     0.052320;     1.275917
EEZ215      ;     0.004260;     0.027033;     0.060128;     0.029798;     0.000430;     0.019779;     0.403749;     0.379636;     0.041589;     0.005028;     0.436735;     0.512648;     1.035180;     0.011238;     0.000860;     0.134184;     0.092292;     0.000759;     0.068248;     0.000972;     0.031502;     0.008336;     0.259296;     0.356294;     0.064628;     0.002974;     0.001452;     0.002627;     2.105905;     0.359383;     0.004833;     0.001991;     0.004635;     0.008302;     0.356294
EEZ216      ;     0.030072;     0.029275;     0.138715;     0.126282;     0.015358;     0.073549;     3.737589;     5.027929;     0.034139;     0.101339;     0.444713;     0.952182;     4.410936;     0.002480;     0.006935;     1.325995;     0.033653;     0.010257;     0.181881;     0.008755;     0.074685;     0.002555;     0.863454;    12.619144;     0.391137;     0.015565;     0.014048;     0.027904;     0.118212;     2.101288;     0.001814;     0.024961;     0.014635;     0.028418;    12.619144
EEZ224      ;     0.000319;     0.000038;     0.051744;     0.002913;     0.001813;     0.009468;     0.230940;     0.107330;     0.005492;     0.010632;     0.045230;     0.248579;     0.592160;     0.000047;     0.000879;     0.201312;     0.080630;     0.001233;     0.006095;     0.002415;     0.002395;     0.000121;     0.092847;     0.139052;     0.018084;     0.000526;     0.000280;     0.000152;     0.065779;     0.069716;     0.000043;     0.000413;     0.012510;     0.001759;     0.139052
EEZ273      ;     0.096364;     0.024543;     1.757222;     0.028817;     0.156642;     0.027566;     5.111886;     0.303758;     0.005975;    32.790600;     0.016722;    49.685890;     4.807960;     0.002806;     0.011846;     3.350968;     0.024527;     0.196605;     0.029454;     0.117083;     0.015232;     0.005411;     2.846272;     0.048816;     0.047067;     2.386305;     0.019484;     0.024244;     0.026675;     0.110448;     0.004853;     0.012222;     0.024233;     0.022688;     0.048816
