            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.295910;     0.141773;     4.547467;     0.141773;     0.133029;     0.554321;     0.802157;     8.802358;     0.606334;     0.134756;     8.640550;     0.195446;    14.087118;    18.288773;     0.094173;     0.123579;     0.143868;     0.884036;     0.065955;     1.200798;     0.091964;     0.460611;     0.057951;     0.134088;     3.081965;     0.591003;     1.105466;     2.057673;     0.141773;     0.140494;     0.183529;     0.290074;     0.062914;     0.096969;     0.141773;     0.358628;    41.336266;     0.730908;     0.035117;     1.398058;     0.063884;     5.036163;   249.611588
EEZ65       ;     0.507460;     0.035161;     8.182283;     0.019704;     0.147022;     0.526200;     1.383340;    21.629436;     7.601586;     0.185658;     6.202812;     1.533089;    18.657045;    95.689705;     0.014240;     0.045021;     0.110071;     5.092745;     0.378928;     2.597329;     0.138891;     0.473903;     0.083789;     0.007469;    11.090325;     7.821283;     2.949136;     0.533783;     0.026135;     0.032762;     1.379956;     2.899124;     0.060110;     0.138918;     0.028594;     0.371446;    11.052684;     4.672178;     0.003693;     0.645172;     0.079900;    23.428082;    33.651825
EEZ71       ;     0.718106;     0.143781;    11.207017;     0.098615;     0.625267;     0.656576;     2.411556;    34.449791;     6.165307;     0.414325;     8.283654;     4.381498;    30.610197;   161.858032;     0.058919;     0.079181;     0.265529;    10.955453;     3.093071;     2.329937;     0.425603;     0.710430;     0.332013;     0.018943;    15.776814;    10.756561;     5.420108;     0.776213;     0.098475;     0.103951;     3.983698;     5.028169;     0.109194;     0.347311;     0.087523;     0.685231;    30.014912;     5.368734;     0.010392;     0.810100;     0.076224;    28.304913;   134.956680
EEZ91       ;     0.438204;     0.067816;     2.507978;     0.054539;     0.118175;     0.602027;     0.837767;     8.586429;     0.682506;     0.042312;    23.202219;     0.141092;     9.684050;    16.123873;     0.051431;     0.044970;     0.055640;     1.276464;     0.046960;     1.304317;     0.035935;     0.194441;     0.013840;     0.039124;     3.065173;     0.416661;     1.033672;    24.108438;     0.059673;     0.055074;     0.134837;     0.357507;     0.050813;     0.158919;     0.067032;     0.235180;    46.950722;     0.469877;     0.004462;     8.024317;     0.345065;     3.624413;    34.827034
EEZ99       ;     0.031510;     0.000481;     0.138786;     0.002298;     0.001029;     0.015631;     0.068376;     0.415942;     0.024717;     0.001129;     1.516436;     0.005568;     0.722541;     1.129378;     0.002718;     0.005903;     0.012554;     0.081888;     0.000872;     0.123549;     0.000496;     0.010965;     0.000371;     0.001402;     0.179486;     0.007372;     0.071865;     0.309680;     0.014080;     0.001927;     0.009482;     0.011189;     0.004127;     0.017190;     0.002833;     0.022535;     0.736294;     0.018547;     0.000493;     0.111348;     0.007177;     0.212597;     0.480237
EEZ100      ;     0.016512;     0.001013;     0.237884;     0.000494;     0.003049;     0.021090;     0.038727;     0.717501;     0.188677;     0.006727;     0.334149;     0.038281;     0.651214;     3.874681;     0.000295;     0.001924;     0.001791;     0.304753;     0.008254;     0.101589;     0.002838;     0.015485;     0.002492;     0.000088;     0.293067;     0.214819;     0.057623;     0.023375;     0.001322;     0.001356;     0.026245;     0.100894;     0.001539;     0.002028;     0.000455;     0.005979;     0.496797;     0.113553;     0.000032;     0.032424;     0.006857;     0.619862;     1.203268
EEZ108      ;     0.832578;     0.082839;    10.958584;     0.065265;     0.110545;     0.841955;     1.659576;    21.638725;     4.326897;     0.065423;    31.041727;     0.784333;    44.539181;   177.058075;     0.057568;     0.121338;     0.086599;    35.494076;     0.337903;     4.150441;     0.133169;     0.520446;     0.072433;     0.021754;    12.144666;     3.359962;     2.076251;     7.654243;     0.100031;     0.078213;     1.332506;     1.747457;     0.107766;     0.170807;     0.081271;     0.314562;    55.988194;     3.439976;     0.009588;     5.844573;     0.248541;    27.491358;   104.687721
EEZ109      ;     0.052508;     0.001185;     0.776189;     0.002214;     0.063963;     0.033692;     0.172168;     2.143692;     0.061595;     0.000937;     1.466211;     0.022593;     3.363238;     5.838258;     0.009216;     0.004506;     0.012000;     0.291421;     0.005463;     0.085251;     0.017250;     0.058771;     0.007013;     0.006037;     0.947447;     0.078552;     0.616557;     0.155225;     0.024419;     0.003640;     0.126112;     0.056015;     0.006290;     0.022872;     0.017106;     0.112667;     1.450642;     0.061900;     0.001442;     0.104160;     0.009263;     1.424137;     1.198183
EEZ110      ;     0.013161;     0.000126;     0.214767;     0.001703;     0.012261;     0.008725;     0.044297;     0.486469;     0.025417;     0.001068;     0.554016;     0.008421;     1.273239;     2.024703;     0.001890;     0.001208;     0.003205;     0.106648;     0.002052;     0.017375;     0.005209;     0.010250;     0.002596;     0.000923;     0.243506;     0.025095;     0.140852;     0.094019;     0.005822;     0.000999;     0.036046;     0.021168;     0.001694;     0.004202;     0.003531;     0.020035;     0.582136;     0.022350;     0.000226;     0.043155;     0.003036;     0.559800;     0.409600
EEZ119      ;     0.002182;     0.000177;     0.011430;     0.000131;     0.000427;     0.001392;     0.005431;     0.063359;     0.028151;     0.000410;     0.011647;     0.003057;     0.045318;     0.427842;     0.000057;     0.000297;     0.000413;     0.016540;     0.002320;     0.008971;     0.000528;     0.000511;     0.000399;     0.000016;     0.015063;     0.020564;     0.011545;     0.001133;     0.000102;     0.000100;     0.005050;     0.008499;     0.000407;     0.000624;     0.000054;     0.000529;     0.043949;     0.017049;     0.000008;     0.001303;     0.000042;     0.075633;     0.159339
