          ;    AT;    BA;    BE;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   NOA
EEZ48       ;     0.197769;     0.066147;     1.161075;     0.033391;     0.141318;     0.382086;     3.158996;     0.069750;     0.010636;     9.703499;     0.008871;    11.687113;     9.102330;     0.019692;     0.036858;     4.427022;     0.053783;     0.266780;     0.010678;     0.099849;     0.002992;     0.001564;     1.095572;     0.014576;     0.436646;    58.857605;     0.016421;     0.095314;     0.081619;     0.011805;     0.018147;     0.057497;     0.027836;     0.103226;     1.904539
EEZ65       ;     0.717387;     0.007411;     2.260303;     0.556918;     0.458423;     0.880242;    12.412539;     3.026705;     0.119635;     1.484176;     0.166173;     9.036429;    24.711613;     0.020635;     0.146415;     7.685786;     0.825217;     0.927662;     0.241154;     0.152048;     0.101258;     0.035551;     4.219134;     1.555381;     3.210741;     0.105817;     0.199480;     0.070639;     0.891853;     0.831996;     0.028125;     0.179431;     0.107990;     0.645971;     0.099764
EEZ71       ;     0.102162;     0.022234;     3.739191;     0.718635;     0.177648;     0.472299;    15.605140;     3.519830;     0.138652;     2.559304;     0.367034;    16.788651;    44.824402;     0.024618;     0.098688;    22.635967;    23.306595;     0.120713;     0.267770;     0.166381;     0.120565;     0.017954;     5.649203;     2.414993;     3.588563;     0.290103;     0.095444;     0.043150;     2.092095;     1.545796;     0.020692;     0.091578;     0.065365;     0.619956;     0.109616
EEZ91       ;     0.060916;     0.014044;     0.675843;     0.005780;     0.195357;     0.115294;     1.472268;     0.045998;     0.001717;    19.391857;     0.002159;     6.304424;     0.880588;     0.011499;     0.028243;     0.510539;     0.003638;     0.318014;     0.003490;     0.094227;     0.001071;     0.000811;     0.669320;     0.018330;     0.136427;    15.907993;     0.009690;     0.027344;     0.025740;     0.007827;     0.017133;     0.017168;     0.003184;     0.013931;     5.775135
EEZ99       ;     0.002517;     0.000214;     0.028485;     0.000978;     0.019821;     0.004068;     0.110612;     0.004298;     0.000182;     1.198973;     0.000300;     0.814407;     0.091909;     0.000511;     0.000954;     0.084937;     0.000365;     0.008753;     0.000487;     0.005263;     0.000174;     0.000091;     0.030005;     0.000773;     0.006910;     0.109481;     0.000803;     0.000511;     0.002650;     0.001499;     0.000287;     0.000351;     0.000265;     0.000961;     0.019207
EEZ100      ;     0.012434;     0.000398;     0.068262;     0.020332;     0.013389;     0.022888;     0.383131;     0.073119;     0.003363;     0.138124;     0.004717;     0.463814;     1.252261;     0.001068;     0.007727;     0.418748;     0.016350;     0.026178;     0.008995;     0.004233;     0.003814;     0.001784;     0.141922;     0.030290;     0.104006;     0.009716;     0.010270;     0.004278;     0.042183;     0.023476;     0.001268;     0.006459;     0.004440;     0.028288;     0.007275
EEZ108      ;     0.352860;     0.040065;     5.827084;     0.227151;     0.664144;     0.851985;    21.188936;     1.258935;     0.051231;    14.283420;     0.097953;    64.102669;    58.521202;     0.054648;     0.154284;    81.677856;     0.297956;     1.023822;     0.111496;     0.419454;     0.043896;     0.011400;     8.553517;     0.189762;     1.982252;     1.887947;     0.053662;     0.051322;     0.738960;     0.400279;     0.050917;     0.125420;     0.042505;     0.289986;     1.353059
EEZ109      ;     0.041648;     0.003574;     0.412873;     0.005865;     0.034548;     0.038113;     1.006102;     0.041451;     0.001242;     1.389708;     0.002077;     6.310323;     2.494456;     0.005010;     0.017286;     0.570945;     0.000764;     0.097547;     0.003073;     0.020847;     0.001185;     0.000918;     0.505446;     0.004049;     0.042227;     0.078796;     0.011815;     0.018793;     0.020086;     0.012594;     0.005621;     0.013193;     0.006405;     0.015615;     0.036804
EEZ110      ;     0.012920;     0.001310;     0.076714;     0.000830;     0.007978;     0.015474;     0.301541;     0.012463;     0.000398;     0.374690;     0.000692;     3.104909;     0.600778;     0.001458;     0.005815;     0.219535;     0.000392;     0.022164;     0.000478;     0.002504;     0.000227;     0.000333;     0.123207;     0.001150;     0.022288;     0.019819;     0.004209;     0.007427;     0.004093;     0.004244;     0.001486;     0.004706;     0.002248;     0.004464;     0.012054
EEZ119      ;     0.000258;     0.000016;     0.004164;     0.001919;     0.000430;     0.000493;     0.015795;     0.009271;     0.000186;     0.005510;     0.000585;     0.027630;     0.068307;     0.000055;     0.000167;     0.040308;     0.008752;     0.000431;     0.000583;     0.000105;     0.000231;     0.000059;     0.007514;     0.005441;     0.006485;     0.000425;     0.000229;     0.000056;     0.002943;     0.003915;     0.000049;     0.000114;     0.000083;     0.001388;     0.000102
