	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU	
AL	53.379427129125446	0.0005322809557136967	0.5099011022867433	0.0027096691537703576	0.6201397573301008	0.08306726834910122	0.8033104355712277	0.09647769848859312	0.23566373514220565	0.008220717356054461	0.5194803582549021	1.2271911740429189	0.06729107645460898	0.002766181878528772	4.129678278004245	0.00794630371444133	1.8086174401414488	0.14176847657231173	0.006829352437878358	6.160154800845263	0.946684887571303	1.3159399732990023	0.03538951799894904	0.0004957202465492483	14.677286730151978	3.7026946956089085e-05	0.008873235322380825	0.022208904862533744	0.007652537761997576	0.007291883257915268	0.11511582615666471	1.6890743203593697	1.5858314769848756	0.08747382460231906	0.14139628961867434	0.007320036710363316	0.7356317489316379	0.22250121276179033	1.6104910865152195	9.904054643456616	0.5466892896284854	0.030137820735473015	0.2278633891277745	0.3571562668062069	2.0893956411130734e-05	0.0011793269472767482	0.5961536362134998	0.7090763180716753	0.002271953226569078	nan	nan	nan	nan	nan	0.02311819755642242	2.428047879134359	nan	nan	nan	105.01928513090178	105.20284304127698	35.279108298090385	
AM	0.02125465726475601	30.70999422547405	0.013419145490593122	15.13705080933495	0.008365335498165824	0.004627369292124757	0.05022760384191446	0.030047703120476818	0.0109415448256076	0.3506288632277461	0.014110592616045697	0.05836789949662461	0.0066350833941038745	0.0010071260463100117	0.1358331384545985	0.0030165781558324067	0.05646461144376638	0.008805429115053874	6.090039518734197	0.24435120590593162	0.015046573389382728	0.027435520421188093	0.0024144495613512697	0.00012405224913526606	0.21384818521450807	0.0004956627360796056	0.07299690368101484	0.005142890404938308	0.00044294101553310136	0.002005957115704381	0.020591554865441942	0.004907208407798921	0.01834938753106755	0.0021163074182740933	0.008070768776864091	0.0011960200350295846	0.0695943951999953	0.010547167659767293	0.11832769798819087	0.07828801128755751	1.3526181114116174	0.004133584177788489	0.005034005885343613	0.008919713777304923	0.00042752938494661463	0.3842029190775144	43.05459734650919	0.2447071504085265	0.17635232184749192	nan	nan	nan	nan	nan	20.974937538145557	0.7724930319661287	nan	nan	nan	130.59856446972958	110.59927903611725	1.4280162658667728	
AT	0.1474180057080504	0.0005590174254912696	241.48739624853457	0.0028959591605370524	0.7805785170251246	3.6630340695898447	0.40477454665442975	0.6836436918984274	23.309771940358377	0.0024610702365985664	27.96293050267569	143.17527894948714	1.4628640256997019	0.028567634214495628	6.3408679666918255	0.0628876811991861	26.99857325253304	3.541068326763877	0.006015706703955855	0.28246878180165985	6.908018870968934	11.333915604651558	0.6826918422544188	0.007690822600262975	53.761075597277475	6.677107415972139e-05	0.02100304431349086	0.18758502670213695	0.5352440529296062	0.06780504395834955	0.15907190330727225	0.08918396879582408	0.1266629550203471	0.009454758454990116	6.526543318355773	0.15147041660880003	10.679190979976255	0.4690902120614915	2.913095279591976	4.650530615229564	1.3755519134227416	0.43610852550931534	14.253475009306136	4.637984157970497	4.145702193065113e-05	0.0028982307513708556	0.1814145550715458	1.9992562498591633	0.008104771376755231	nan	nan	nan	nan	nan	0.014147145220624312	0.9740717347463123	nan	nan	nan	583.8200267229578	597.7136156797144	580.7612850306547	
AZ	0.030490395381888354	8.662727099255697	0.02960689967229097	179.90516919072033	0.013828656303969233	0.016958779599723913	0.09207814161220712	0.21008555542110297	0.019719926930250622	0.4006305190881568	0.04456387285362313	0.2184761707869497	0.03110440134417723	0.006601064927520586	0.1828986209576973	0.018758510682344003	0.10422177624486532	0.03419955688445026	19.456726842057623	0.3301166027760567	0.027987138588732505	0.06508434669254891	0.00831935219456837	0.00038013024957240176	0.31536810881006555	0.006308874209933181	0.5918268954057327	0.03651360347928099	0.0011515724041879832	0.013601106508287553	0.07052954930147191	0.0078033278980376925	0.02832694326752143	0.0027769835354977228	0.033025615213875543	0.005535060470999297	0.3690904312688452	0.014400864841439912	0.3069004728321923	0.13669600315960057	20.330784148802	0.020309987028914393	0.010550383445492131	0.026093918396800742	0.01014984423590523	3.3499838165874927	36.603139602173606	1.4982029510274104	1.5617903644254503	nan	nan	nan	nan	nan	50.81118509279327	1.0437560373420813	nan	nan	nan	362.40855340495847	317.014908856315	2.7611772946914566	
BA	1.0227679868836705	0.0006857572161025393	4.800895951803134	0.0031502252018265225	45.11410278243607	0.4138310981626254	0.9980432771118948	0.4747995591300667	0.8976676002388279	0.00464031342185883	6.282429558053562	9.902797721135427	0.49367369647854403	0.011449012035820695	7.334760613485255	0.03397309238484949	4.483643495986687	0.6858313082409259	0.008320384362156577	0.9923682353179774	24.407544000824753	15.382342983727474	0.15576845351335186	0.0015591198203025868	35.28230422727818	4.6711284625998565e-05	0.01608624279090341	0.11975047035594794	0.045843580811453045	0.038520771089891055	0.1951671429759474	2.144049907612789	0.35069607684534826	0.05720380295896956	0.90253489793935	0.04601914591957673	5.908990314366377	0.4381691606570905	4.939689595381935	25.575503322892782	1.0371614462382983	0.18797384289644034	1.850743481344458	3.946817035011936	2.905143977995688e-05	0.0021593641984999543	0.3805299011789476	1.7695835487802245	0.005457459014162083	nan	nan	nan	nan	nan	0.016829829140266376	2.695289409851974	nan	nan	nan	204.32226397048456	206.76857955557284	126.94264410415248	
BE	0.004098513157376037	6.4689951945569e-05	0.5186309540573755	0.0005393814114548046	0.009023731912267392	212.00559246541843	0.00781441092557372	0.12062878091044048	0.8161640865859215	0.00011986034737340976	0.7917984065608438	21.644014268572676	0.7704982833028297	0.009242485448694777	4.3478937951982966	0.024319125209817983	102.40675219504567	18.409108103248272	0.0005884883882012866	0.009424075364462943	0.050861837892755245	0.14492076988291483	2.7785613684429524	0.008424866815497064	0.8966214543408922	6.830222821157843e-06	0.0030096750521807145	0.07338374230855464	3.252459024830037	0.02516394409342693	0.016045189897642375	0.001580267951465617	0.003147502430076919	0.0015039596121448192	34.58820394805016	0.07920300144868325	1.733001948194793	0.3718180570705895	0.09739198128751436	0.05299590215816824	0.24280593545228965	0.14717644650544662	0.04941696165302915	0.09546934938376817	4.683832855356888e-06	0.0003664190177190821	0.015713276838736134	0.1582192318094226	0.0010156506552709895	nan	nan	nan	nan	nan	0.0011249365004771144	0.19368018255961753	nan	nan	nan	372.7109130506674	381.61153609450616	375.01284898704694	
BG	4.349908182681582	0.03307732957594826	2.0374414438042536	0.18592687692665963	1.3698143607766113	0.36817412629003154	125.83636497504568	2.0239141484520395	0.5240622650480173	0.07171402932945034	3.1817713958411633	6.904442654355267	0.561362477322942	0.05193608831234677	4.9390920529349	0.12747762385519676	2.7621916387979835	0.5441427570971186	0.376191821177259	26.102621344544417	2.5827044974698397	10.017678980624256	0.11230760941505884	0.0022904988445405527	13.696888614424443	0.0010601797425095142	0.22816902253008475	0.37591899440440013	0.039930143687264615	0.12819368701465428	4.909702790943429	0.9454639160087673	8.623104378375556	0.05274531877566747	0.7147186655477271	0.07298589078260673	7.652001206989307	0.31019725560343664	78.28328068733207	36.24321037508263	19.386694315761556	0.3174374290640707	0.634357811842612	2.879258030285609	0.0006436244913579715	0.07525410918466356	21.44958755812425	21.83539712174063	0.10881281634465849	nan	nan	nan	nan	nan	0.38310939560985896	3.3296716658215963	nan	nan	nan	422.4955132730642	428.82764349976514	313.5301383104065	
BY	0.35344612840612677	0.06337269631129087	3.6441260754084532	0.43575496675802544	0.8938412793683504	3.009261785331199	2.1265558208278605	353.692289708969	1.503940287848139	0.033811853976509564	10.47638226284781	45.8375609578676	9.055732131824497	1.3020397424718053	3.844738409619716	2.250091837889539	11.279619029723511	6.49807774830482	0.5649178274524681	1.3909447012367853	3.014472817921311	12.410412991771116	1.3472434211891493	0.014859372468504058	7.347455301740385	0.00505488090664911	0.8683215355745961	22.82755257401198	0.22091654775037747	5.673339747810732	6.851379001552913	0.21497037385429893	0.4187591752567886	0.008561643179746059	6.855131900907538	0.8339421303150862	137.53480542542826	0.3313849419566592	25.292039741916323	8.244493566933016	90.8298252410198	5.1897366443956585	1.3481688809677148	6.304457848998492	0.0043127994272665745	0.2970217528636412	7.698606916372975	102.03367988434086	0.491207118080498	nan	nan	nan	nan	nan	0.7858004966582331	0.7466405070951893	nan	nan	nan	916.6457501143514	938.4582841822644	341.64154648159143	
CH	0.010017138134001893	7.360142936688908e-05	3.2571660496706305	0.0002955496792811641	0.026898245112790636	2.121717688234923	0.01509421448927664	0.05558844456844662	271.7473834678476	0.00013088407114860296	0.6987641224289138	30.49919121798811	0.17003174227826182	0.0032088694414635654	9.070870331840752	0.007907995198212933	45.77167792239491	2.2606628509624707	0.0005339634855532397	0.020348321360348007	0.17525501709232139	0.1824547486176774	0.5231260191914058	0.002854465008680023	34.23997333742273	4.4626858333547436e-05	0.001134923634975658	0.02366114633687677	0.30483117621920985	0.008716186010532154	0.010199595270065627	0.005371220373714449	0.005962090682925358	0.004096693004681708	1.9470496435136135	0.022451602314120214	0.7249067505880787	0.5626962582754574	0.10583408900131258	0.12526787037696782	0.1030313096759684	0.04146915300553771	0.21741560847736388	0.08406845961021032	3.407054018834365e-05	0.0002732802562932434	0.0157083323169999	0.138898935376192	0.0006369990335858433	nan	nan	nan	nan	nan	0.0018766788920932273	0.7352966641370315	nan	nan	nan	383.7755158580117	393.41051236289076	129.79509810587243	
CY	0.02592508545443044	0.0012925154509544864	0.016404158520631897	0.004735986428658042	0.009493019009511118	0.00424957067308668	0.06254637190101535	0.013807490688807315	0.007211970493745591	16.067752693854807	0.016839227495346044	0.05387257842018065	0.0034987043727279627	0.00036965546716777054	0.0878617277039034	0.0010008947726181567	0.050949106804672774	0.0058575040009807055	0.012986433533562812	0.4006046119592877	0.01867337751307797	0.03369290183677207	0.001339466940889225	2.8029573753072256e-05	0.19828161438455472	1.5202813604899836e-05	0.0020355655575352936	0.0024971601980767247	0.00042971525754966107	0.0007989332276850543	0.015700418379979274	0.005679652332706131	0.02768670869846103	0.002987476007954544	0.007239959656853231	0.0004983285198992047	0.04063979431208478	0.00481146761024841	0.11324735289637722	0.0973570622461652	0.2588953839507078	0.002096252188690023	0.005770874754152687	0.010256639152260064	9.937597521299326e-06	0.0014200615840648894	5.48167483609152	0.12551627046756364	0.0015518417691065018	nan	nan	nan	nan	nan	1.0056513381223418	0.7320371779658829	nan	nan	nan	23.399054140138364	22.1675442599051	16.30680648943442	
