	AT	BA	BE	BG	BY	CH	CZ	DE	DK	EE	ES	FI	FR	GB	GR	HR	HU	IE	IS	IT	LT	LU	LV	MD	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TR	UA	ATL	BAS	BLS	MED	NOS	NOA	BIC	
HE8	0.37058065504991583	0.03939717238696877	1.0660937367651744	0.06507632699522091	1.1390752512618425	0.193181615952821	1.5040377630882296	8.254883062793938	2.4084225298971402	0.8207582513692057	0.5393007763966218	4.4501991036066855	2.4139285140963627	5.771413401422993	0.0521570789079176	0.08818023851748834	0.46313407018574626	0.20185241908643467	0.006951010598900847	0.8351591084525105	0.670982455929888	0.08285337773903714	0.5524024804216799	0.08246047767713811	1.6438814494021736	1.0213369728010742	6.466402136588325	0.05203319563262943	0.41332344626601936	0.10252506423338276	3.763990235843567	4.562875656694073	0.0954825199356149	0.35603138327714073	0.03189717977117571	1.5742001658336686	0.4276316487457608	5.589569419306954	0.015213430660687885	0.1499198158590103	0.005694918047481394	3.2998234493760474	nan	
HE5	8.788802612672347	1.165347747026192	25.350540670654595	1.377096870468157	15.088695887395184	4.3871594752606935	35.958581354030564	204.03787431299324	47.6277221903232	5.747188519259132	12.44973607017053	22.966240020409128	57.18248606385348	117.37655271936069	1.1821150082801581	1.9789740972230474	9.14419072214133	3.899589185206388	0.15257281840378728	18.67241599384589	9.644321200279643	2.080916371641156	6.415293818357164	1.2416476671389052	37.96327576145732	12.399232865203494	140.45157219973257	1.3412312013437593	7.324955424190133	2.4081070668193245	42.245501255041916	40.29669093337943	2.5102689045229334	7.222806236651986	0.894312403748715	25.348179250079877	8.653330366871566	82.59996532603962	0.24926984616928663	3.0138095390261985	0.14861367115273147	64.30820453439536	nan	
HE1	0.3879352882527645	0.025157421786396673	1.2233099273356072	0.05541794897512373	1.16957586420291	0.22510496714633244	1.620342107772727	8.34284426036084	2.306631720391658	0.8700545069700283	0.7023671262384826	12.549983461605564	2.670509348263954	6.844299188444379	0.0377812401360584	0.05705477978179934	0.3689471806106581	0.260596437442495	0.011217695525114896	0.6768440555861724	0.6894660205617588	0.1001187147672341	0.5361528087773711	0.07807753683122474	1.73372746393253	2.0840876114991627	6.309811821841404	0.051996313894972716	0.30294529767783984	0.07068351999377313	6.622893302344848	7.50478912791979	0.08439524176312142	0.3224788105444775	0.040457433476094574	1.680142520797487	0.6332966640950556	4.927045083067543	0.01956615211293408	0.1495059527766092	0.009479541285490422	3.9150739989834964	nan	
HE2	1.050670289947792	0.09078115311825262	2.8257859186975227	0.16068636940030132	3.1675981676261338	0.5739816320187369	3.9163099422168526	20.28194728080214	6.387311572075768	1.9501743483418228	1.6185335791555466	16.354761671005157	6.595996557629836	16.77018833868837	0.13326597998263776	0.20361926298996372	1.1096253216727943	0.6164912468029747	0.02064463824517704	2.1806303538092737	1.807674584833995	0.22530320387047986	1.4184175535482666	0.2181267852000678	4.302389670884926	4.239947224575598	16.60192054963603	0.15984613198469716	0.9753801765866587	0.23131844327013126	11.610593029154325	17.246366138927982	0.23981975859674368	0.9751058976724024	0.08264857069349969	4.225391921613261	1.3181088568731436	13.02633720252701	0.044936415806439846	0.4336696081784708	0.017779999500614683	9.90059985749369	nan	
HE3	0.7872815912720698	0.06748324096348152	2.3522380965220027	0.17662792254009732	3.693805908596163	0.35737141966276154	2.8135467762206168	16.004406022168553	4.038315102635422	3.9155016554025006	1.0306531239421761	11.061778711859285	4.598120116399123	10.865797683990577	0.14328532989648504	0.17678883714989554	0.786596197133159	0.40156288473726004	0.015756365835595598	1.838568656793682	1.874923331650696	0.17139777973289327	1.5925509598407135	0.21252828477934305	3.367000433226115	1.7575333579023493	13.684843525933417	0.09481381163681073	0.9561416234584823	0.22324393268985776	16.611689012572956	6.0859381984455325	0.21867415536507184	0.7129066517216339	0.11609674682082989	4.893075823710851	0.8459597826466582	10.043740915862353	0.05660599427055113	0.3466264070391769	0.008775166637754019	5.742731878787997	nan	
HE4	0.631164656738758	0.07522307410028896	1.7758637437670242	0.1549167126535068	1.9288708969308812	0.289551485692381	2.4387306351991236	13.606672315109558	3.317771990730313	0.9591337319260603	0.8600731644224003	2.7221818265983853	3.71890640620307	8.280027433765502	0.09869171219032785	0.14928924366950933	0.6628371962139896	0.2750662649415318	0.008753587008160264	1.380023744258513	1.5870734736325989	0.14433942453680879	1.3986189860049283	0.15611853298894832	2.647605357346327	0.9469856721023978	10.857253500899025	0.07386318304819617	0.7816915995349332	0.19156234057519592	4.049131222941226	3.4544488244040075	0.18048916062756679	0.5419725483337575	0.08395167720979622	2.646388795556729	0.5763473464483556	6.123692651836493	0.03119232538059992	0.23665554292898072	0.007826573805050778	4.277131058638893	nan	
HE7	0.817805712703997	0.08194480630916205	5.347255124221188	0.07898468033469126	0.7295206392555008	0.4405738360568254	3.6367131202155356	27.82942390919814	9.602203710446014	0.19672295620965785	2.184146580079701	1.0068858024527358	10.674540986556941	32.25577341943271	0.07619933374035545	0.1308087964478298	0.6671765364576241	1.058467772952927	0.02461963077806337	1.8783224732488515	0.32733260035325495	0.32605058805733383	0.19792395471394464	0.048624291039091265	7.970728075849731	2.5778490327272245	10.715715491923136	0.22754067827675437	0.4269116573977027	0.1613401438825466	2.5144233032550836	4.286043110824177	0.18085246527031074	0.5949932886151061	0.06443766702754014	1.0935648352934282	2.037054419702343	9.173040232533824	0.01642824085624221	0.30063406336314297	0.02644307504075785	17.273486752566416	nan	
HE6	0.11711817719284956	0.011530435707421719	0.6061798898125587	0.012867111932777767	0.0974700862326434	0.058414416862303364	0.4899223831866084	3.6638072811547944	1.5224805073499403	0.0228225517672322	0.25016113836343656	0.1106242808486514	1.2650815381611165	3.044116466119771	0.0101220412323705	0.016411909553919718	0.09118560133836395	0.10224888078991583	0.0028350125767891473	0.2715568775049334	0.050115019966495894	0.042418389050240535	0.03003860679815375	0.00724688808416743	0.8738009294446204	0.21358411547983439	1.4837834995997348	0.02712499581870659	0.062393906814239536	0.019918906086933964	0.33671001491920977	0.5069467910507812	0.02326693016186406	0.07323148251158594	0.012706598563603977	0.16348725386015509	0.2148530893642628	1.30674163138179	0.001839167026565952	0.038959860561928315	0.0024120941409703747	1.5801384705140122	nan	
HE9	0.8059071006235294	0.10033945339740374	5.828890409872787	0.0957981352540052	0.6247825432409889	0.4281257151665383	3.559662020663904	30.465551308517618	5.007049446570064	0.1748569104891962	1.9113144965386946	0.7459543108339726	10.424284540570959	27.29838564300628	0.08278608968273081	0.1297056358951699	0.6782618115343362	0.8659994490288542	0.020046204728671885	1.8817237762868746	0.32131378225320445	0.3578564560610529	0.19984455155930572	0.042640767673124864	8.113832081899156	1.4573705385796305	9.27167259228923	0.22975785938009485	0.3856196540947405	0.17984661253390602	2.291193475449577	2.0151485050554574	0.16570435837132216	0.5444350345504813	0.0735749901443495	1.1623195220170832	1.8001049548512906	8.466588955723473	0.01367632140185529	0.28859847618979523	0.020554479973143424	14.235436840088077	nan	
EEZ48	0.363796505361965	0.10565737204765983	2.6690865679308087	0.11934435550166898	0.09927214327398982	0.3257170546926561	0.8334664603308611	7.110152847207263	0.6317001000952966	0.08446302016036318	11.268289804123484	0.17585392345420595	10.834988808755476	14.089026271830932	0.07170858362033204	0.053796293114485055	0.0857631137593341	1.1093903247855508	0.06515665488279253	1.4089641248043272	0.05165754067292929	0.2490420599716794	0.032349823388151004	0.09752407185385381	2.484022134752297	0.6022123637637359	0.6055444709598038	3.444661334698489	0.10506187948754818	0.07177482716784905	0.2868675377471667	0.409792335979583	0.08413971303012807	0.07655192462993927	0.09968559287864148	0.15565898197063854	47.345439609699646	0.48346797957996746	0.018667653800327862	1.3407221796918025	0.0716679377290453	3.800034133698135	nan	
EEZ65	0.913551618785112	0.06573503256407363	8.151487950084185	0.09979909495696947	0.5994145321596295	0.7174244967914908	3.434823406157637	29.89825087308549	7.973104311573363	0.22885740280456346	6.72652403419002	1.713943325221751	19.351763067037897	119.18775739797627	0.09433762462430145	0.08833476822686537	0.4829122351331489	7.843424293400748	0.5466153451131046	2.7769034761768565	0.3248698809062352	0.4729699450134593	0.19098466881306594	0.06278431803751164	12.017739323130671	9.392295708351172	8.473242184152015	0.8470868450525509	0.257758833778956	0.11970159251914181	2.805982827041694	3.4649068758382024	0.18475910470310716	0.4659575565383271	0.10517887436551472	0.9398591951442836	15.407223156415789	4.7893432018276485	0.020807349124966654	0.7523437871042044	0.04655996299216386	28.262160652568383	nan	
EEZ71	1.6262974971896977	0.19854899782268867	13.432670472808452	0.2067699223851082	0.7786088223591925	1.3636122704544278	4.871064180784659	50.88727599948681	11.35024531053171	0.34157353297811516	14.21257373404083	3.438033549814961	33.417037516252925	182.2526301768178	0.1407121030105817	0.18109742896707923	0.9457126184138213	13.23397407671881	5.815214534497273	5.636326735907253	0.49489327884401746	0.8810089446581023	0.3499766245089367	0.121559428945116	19.57366810479628	13.453122380017659	12.10975086197213	2.0923952659606453	0.38159918141633103	0.2180396331462796	5.319658257794099	5.947086201361766	0.3700862945976982	0.781084991987855	0.19098933910395785	1.645570525322908	37.53513983164626	7.700990111811612	0.044091138842566734	1.803468289811317	0.12653431961588804	39.56902216875875	nan	
