	AT	BA	BE	BG	BY	CH	CZ	DE	DK	EE	ES	FI	FR	GB	GR	HR	HU	IE	IS	IT	LT	LU	LV	MD	NL	NO	PL	PT	RO	RS	SE	SI	SK	TR	UA	ATL	BAS	BLS	MED	NOS	NOA	BIC	
HE8	0.3338790152975904	0.03919236960183244	0.586984127231949	0.035682685401858406	0.873344858432057	0.11928035211065328	0.7490736678352206	5.320621830358102	1.1449473217615982	0.6614881531501474	0.363747641988657	2.518637366141358	1.5301782034808553	2.8892105337071214	0.04068714689786071	0.0710412674860425	0.2679147710008322	0.12182187926379229	0.016966078878418524	0.42642883995168307	0.6114609102043699	0.11608623275473016	0.4761920713415549	0.044177374427172476	0.9527983553485583	0.7202755127061921	4.744251472391428	0.03149853881084432	0.25069404848934285	0.16861178441505245	2.3944615865448164	0.061284259195034184	0.23067908642717772	0.04082558268278603	0.8701237127834743	0.5738330781988142	6.836284095420478	0.020899045700386226	0.19984304819909915	0.00569481897944012	3.299766046083682	nan	
HE5	7.918375452082571	1.159289787792492	13.957839238014278	0.7550904709235917	11.568713269034347	2.708859869473738	17.908876416578877	131.51105352207625	22.64188791065035	4.631932865820581	8.397099238691224	12.997987040241378	36.24771540863594	58.75953582590214	0.922154537775684	1.5943348595149212	5.289750681326203	2.3534782741205635	0.3724008811252002	9.5340595711215	8.788792266190775	2.915581100656175	5.530228700812828	0.6652002928310513	22.003622415907582	8.744287191184823	103.04610881497575	0.8119205929252832	4.442822556725512	3.9603508920962667	21.14650623084361	1.6111846471768259	4.679785048090671	1.144641164059205	14.010957640637798	11.61178602111687	101.02331447754011	0.3424278207203933	4.017406781882193	0.14861108588896038	64.30708583737321	nan	
HE1	0.34951487692624855	0.025026643110249658	0.6735463170528281	0.030386798551811377	0.8967301031396381	0.13899148534728611	0.8069980924714107	5.377316548434519	1.0965566788089995	0.701218352657989	0.47373265005593984	7.1027962019133675	1.6928236163758419	3.426304777651344	0.029472717789910702	0.045965444639075204	0.21342934102227343	0.15727504224311536	0.027380235493134907	0.34559381862769456	0.6283048338475925	0.14027677256780777	0.46218423272175596	0.041829257798498796	1.0048733604593454	1.4697571055126728	4.629364736984608	0.03147621227812099	0.1837461286838946	0.1162454715244795	3.9382903751847613	0.054168028603835766	0.2089397758248106	0.05178195399595147	0.9286823111389282	0.849812157815199	6.025988302864768	0.026878481015170874	0.19929136889339685	0.009479376380643768	3.9150058928739284	nan	
HE2	0.9466137992630821	0.09030923516399213	1.555858949386504	0.08810763348857768	2.4286416285583647	0.35440603824829214	1.9504860348535196	13.072574213774994	3.0364835019282714	1.5717383600510768	1.0916686915064102	9.256150769871406	4.181171937686064	8.395275373696908	0.10395928256668226	0.16404322295535648	0.641898389884081	0.3720645141392014	0.050389588089460736	1.1134209789812675	1.6473192960970628	0.3156733120437643	1.2227301954469305	0.11685923892059193	2.493677268502889	2.9901298419196642	12.180449707337871	0.09676360505765257	0.5915996479120195	0.38042419948262096	9.050380578871659	0.15392530754156739	0.6317885113788649	0.10578289618916951	2.3355439712156048	1.7687523010962227	15.931771333159494	0.061730205927653735	0.5780813957989256	0.017779690202094547	9.9004276279678	nan	
HE3	0.7093106422957584	0.06713243518575725	1.2951266652388538	0.09684871418211659	2.8320924317728413	0.22065965522344913	1.4012638877910304	10.315517665812186	1.919786916039732	3.1556892110042853	0.695155022855921	6.260530945030312	2.914727233227388	5.439495482679451	0.1117752640269455	0.14242763775266173	0.45503182251423496	0.24235104777384467	0.038458256076635146	0.9387656693833875	1.7086025376710268	0.2401461846780207	1.372839853478992	0.11385989843307483	1.9515230106175823	1.2394618761225549	10.040256958347785	0.057395985184760905	0.579930842732079	0.3671449331159207	3.1937195599193244	0.14035326702400497	0.4619049411129918	0.14859361769717874	2.704599704068512	1.135181896691513	12.283927639304105	0.07776097893770913	0.4620528471977012	0.008775013986115592	5.7426319789836375	nan	
HE4	0.5686552474094829	0.07483203347100383	0.9777787766401218	0.08494401230590558	1.4788921790265273	0.1787841094360907	1.2145897839824131	8.770076717936943	1.5772457315305688	0.7730115413367659	0.5801022345762199	1.5406476668302316	2.3573976985343705	4.145040532899768	0.07698828760288755	0.12027294630430396	0.38343945536825275	0.1660078658898844	0.0213658209171816	0.704634504268714	1.4462872794545947	0.20223460394384304	1.2056630727923379	0.08363893929741077	1.5345595821456663	0.66784088764387	7.965718775254462	0.044713423991147895	0.47412125667653765	0.31504167602940975	1.8127921151183104	0.11584470654160191	0.3511536852944271	0.10745075783735249	1.4627654692431988	0.7733926450350381	7.489539808986517	0.04284962729116611	0.3154617340019756	0.00782643765500783	4.277056654232592	nan	
HE7	0.7368117097898055	0.08151882333772614	2.9441631386949094	0.043308920925363814	0.5593336337595503	0.27203314371505	1.811235131643776	17.9372426297525	4.564820867106728	0.15854839688578037	1.4731634053448717	0.5698576954544324	6.766542527837433	16.14746923402115	0.059442237761944856	0.10538441326777052	0.3859496860390427	0.638805984217963	0.060091779719658844	0.9590638061851773	0.29829556344239	0.4568309161064767	0.1706180209245245	0.0260499765705977	4.619856623092908	1.8179715247500436	7.861875572604916	0.1377428158814009	0.2589357383598401	0.2653385273272501	2.249188090867064	0.11607788907498805	0.3855067690512978	0.08247454232602551	0.604457244578582	2.7334955482007746	11.21902320985906	0.022567858893178402	0.4007450734296027	0.0264426150405212	17.273186265275072	nan	
HE6	0.10551900414048933	0.011470495737021802	0.3337586192437774	0.007055301494835829	0.07473167252813959	0.036068091558855604	0.24400182331501538	2.361479000253619	0.7237766453708607	0.018393781108499603	0.16872870980251795	0.06260898464567985	0.8019293794393193	1.5239063203436494	0.007896089795495496	0.013222042446001276	0.052749238446964136	0.061709197575250285	0.006919719991035414	0.13865583585611427	0.045669414234022425	0.05943259187183195	0.025894428244616473	0.0038824476566771005	0.5064574995840786	0.1506255157504217	1.0886180450880774	0.016420243330273882	0.03784392403004713	0.032758451058060585	0.26603061510397047	0.014933587631264192	0.047447984298425505	0.016263327792514222	0.09036597721753974	0.2883084308470329	1.598201285519908	0.0025265067818113903	0.051933476888937145	0.0024120521804996673	1.580110982634132	nan	
HE9	0.7260915147912311	0.09981784744779397	3.2093483264910057	0.05252808325528859	0.4790294769139811	0.26434702805862015	1.7728604636877219	19.636338411210748	2.380316486253401	0.14092550954204	1.2891435941553047	0.42218075123380333	6.607906115577443	13.665765708886264	0.06458049151808264	0.10449566625121509	0.3923623192803574	0.5226475897567959	0.0489289270675769	0.9608004976660567	0.2928106629635674	0.5013942579617156	0.17227364888134758	0.022844363899191613	4.702800111297164	1.0277786272629086	6.802414297528837	0.13908499685232026	0.2338908018294491	0.29577409667665133	1.057490067576045	0.10635526644062844	0.3527491740560769	0.09416951169575428	0.6424607237940534	2.415536292397707	10.355002877422274	0.018787482742411262	0.3847016410533934	0.02055412241012788	14.235189202311263	nan	
EEZ48	0.32776675555985696	0.10510812135898086	1.4695813281271335	0.06543895896531378	0.07611333475802103	0.20111460803637402	0.4151011322852351	4.582794712930764	0.3003058345379009	0.06807276944478682	7.600237242158767	0.09952639247879154	6.868249665762382	7.053066603098267	0.05593905442344616	0.043340287043402925	0.04961242642748134	0.6695387393131679	0.15903485262562467	0.719411344728227	0.047075100935409765	0.3489339279642725	0.027886785365224653	0.052247544027320736	1.4397462818879798	0.4246970692525942	0.4442741399725654	2.085241881111274	0.06372343052051595	0.11804022533752784	0.21504684343612124	0.05400402068788316	0.04959935799853507	0.12758878507582605	0.0860389766562246	63.532199802317216	0.5913021579142322	0.025644192857838973	1.7871820722467031	0.07166669100307774	3.7999680288068505	nan	
