	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TR	UA	ATL	BAS	BLS	MED	NOS	ASI	NOA	BIC	DMS	VOL	SUM	EMC	EU
AL	1.41415656106667	0.0006222572	2.17063123626667	-0.000113727725	2.38802179413333	0.9036075008	3.8902685696	0.271423044266667	0.829211579733333	0.004218092	3.157602304	8.97629443413333	0.452666948266667	0.0061504576	5.28681642666667	0.110023330133333	6.73051661653333	2.76616342186667	0.000288495533333333	14.7295753557333	1.6152559616	2.82482414933333	0.0524469248	0.00142859906666667	41.0354494122667	0.00178906653333333	0.0851140949333333	0.1116761856	0.0366189866666667	0.306127872	1.72468865706667	3.628204032	0.165584349866667	1.21460189866667	0.131621367466667	5.13134865066667	0.407225344	3.0674313216	6.68798211413333	0.657580987733333	0.195701930666667	0.911201211733333	1.20913483093333	1.18764803413333	2.04057613653333	0.636561681066667	0.511653102933333	0.247166600533333	21.6475019946667	1.1187597312	0.00680884533333333	0.233985348266667	2.06209378986667	-0.0177298272	0.0910905941333333	155.057298678608	128.519406817808	98.6751940941333
AM	0.0105567349333333	6.6124234752	0.100501290666667	5.3195063296	0.0134901152	0.0885374037333333	0.184836744533333	0.0778093397333333	0.0430637653333333	0.146909832533333	0.165126058666667	0.702287121066667	0.0599107669333333	0.0005040717	0.136795255466667	0.0364997632	0.269288055466667	0.364954112	0.548276906666667	0.242756608	0.0290199637333333	0.0805157461333333	0.00946610026666667	0.0010638348	0.4358961152	0.256952029866667	0.0173656064	0.00937676266666667	0.00684316746666667	0.0467495893333333	0.0111553333333333	0.0290585152	0.00260809866666667	0.1147230208	0.0435317162666667	0.4643785728	0.013444192	0.249892386133333	0.0625340330666667	1.62878655146667	0.0420480213333333	0.0241360618666667	0.0654941226666667	16.4906838698667	0.939313834666667	0.0691992490666667	0.0652315904	0.2155216896	0.7029817344	0.126752981333333	2.50343478613333	0.0557541845333333	5.41093833386667	-0.00509780106666667	0.0404597845333333	45.3842475294334	36.1990709966333	3.6003659277
AT	0.1023152896	0.0034704576	48.082190336	0.0136539253333333	0.968694647466667	11.0338135381333	1.28545983146667	0.610571195733333	9.5320932352	0.00689021066666667	34.2085184170667	133.591465984	3.31242427733333	0.0420704469333333	8.257765376	0.388401902933333	33.4314121898667	21.4167431850667	0.0076242512	1.07682304	2.92764685653333	6.3766757376	0.645696375466667	0.0396362666666667	78.6067969365333	0.0172075445333333	0.187552512	1.51248186026667	0.07642624	0.1593424384	0.1715684864	0.2143822336	0.0493568341333333	11.4945359872	1.067725824	16.5341189461333	0.7786153984	2.64940366506667	2.043478016	1.54542271146667	1.4916374528	15.6965819733333	2.8939616256	0.420485700266667	2.31088974506667	2.08065590613333	2.565033984	0.105136	6.63348893013333	7.7806862336	0.017703648	0.1545322496	11.4121681578667	0.0193738581333333	0.0735132757333333	488.126321348267	457.284029105067	431.192956783467
AZ	0.018928032	4.03439315626667	0.2012246528	34.6094086826667	0.0271669866666667	0.2656342528	0.432126020266667	0.441368576	0.0955611904	0.204382788266667	0.472166570666667	1.98961902933333	0.271554133333333	-0.00537914026666667	0.294149802666667	0.2688873472	0.7622356992	1.27465499306667	1.92676099413333	0.417896618666667	0.0545428309333333	0.1584966656	0.0305602986666667	0.00523438453333333	0.8935938048	2.3474069504	0.0904580096	0.0266202837333333	0.0388130944	0.148060484266667	0.0197816128	0.0566381952	0.00687368213333333	0.379669674666667	0.216440337066667	1.56137403733333	0.028113344	0.620728661333333	0.124506094933333	19.2125818197333	0.1954610688	0.0438406698666667	0.157113736533333	21.2017916586667	6.58340522666667	0.276708795733333	0.3277116416	0.502307293866667	1.283108864	0.4987229184	9.5729713152	0.0786198784	10.9080881834667	-0.0173429365333333	0.0780887978666667	125.7138317648	102.2048470128	10.0280151178667
BA	0.618067490133333	0.00281976906666667	10.8502297258667	0.0113639018666667	14.4029384704	4.25986566826667	2.87906884266667	0.710392081066667	3.05285092693333	0.00607566666666667	16.4073755989333	40.6693041493333	1.70027199146667	0.0516590549333333	8.4710244352	0.335715771733333	15.9332488533333	7.92363608746667	0.0065931792	3.602509824	8.74961906346667	13.6817027754667	0.150920055466667	0.00995033813333333	94.2667726848	0.0127766069333333	0.186124731733333	0.528061405866667	0.110940288	0.309606570666667	2.3228882944	0.837279607466667	0.179781410133333	5.38003647146667	0.592365021866667	18.3507288064	0.726529570133333	3.33305664853333	10.2509434197333	1.25743786666667	0.816938666666667	4.5271760896	5.11488054613333	0.701848712533333	3.250782208	1.4162219008	1.6455626752	0.162090001066667	25.0755306837333	3.61061280426667	0.0128672746666667	0.4055122944	5.64957293226667	-0.0896108458666667	0.0667952597333333	345.499314329066	307.5441593488	254.231510329067
BE	0.0111231530666667	0.000957497	0.373823931733333	0.00346011573333333	0.0683335424	28.2169289386667	0.0720104704	0.1225159424	0.576051473066667	0.000818603933333333	1.77492814506667	21.5224724138667	1.05984976213333	0.0646715861333333	7.28330349226667	0.257949508266667	44.3393594709333	34.4740702890667	0.00251343786666667	0.110390877866667	0.088947328	0.1989599232	1.5493271552	0.0345877354666667	3.6058628096	0.00638588906666667	0.0804692992	1.54929793706667	0.0538451968	0.0149587701333333	0.0133395808	0.0132155328	0.00761856213333333	9.58294043306667	0.853190997333333	1.78924066133333	1.003241472	0.0937854634666667	0.0690466517333333	0.660002884266667	0.655579682133333	0.124278135466667	0.077840256	0.0778219605333333	0.2216054272	4.09398285653333	0.740502869333333	0.00371321573333333	1.08153787733333	12.0612203178667	0.0038145416	0.0654844202666667	8.42160756053333	0.304489813333333	0.0197779093333333	189.557053777734	162.760922395867	159.757068543133
BG	2.15526304426667	0.0050192608	7.43707552426667	0.00356972	4.265971712	3.4214395904	98.246852608	2.9452812288	2.0013367296	0.0444932864	14.5294524416	35.6638632618667	2.71958480213333	0.110371336533333	5.09589968213333	0.7220586496	9.63687983786667	9.5221219328	0.00587587413333333	34.011906048	3.7290819584	18.4694341632	0.172917879466667	0.009314448	39.0608235178667	0.0660504490666667	0.816571050666667	0.414246741333333	0.326622344533333	4.70771193173333	2.198982656	6.8257775616	0.165615394133333	4.62951437653333	0.892814813866667	39.5347580245333	0.3207525376	74.0874693290667	23.3811170645333	9.71354166613333	1.37316747946667	2.18467273386667	8.53047760213333	8.35895296	38.6575674026667	1.22696389973333	2.92059764053333	5.52303602346667	22.0257932629333	4.6458535936	0.0463893205333333	0.277304507733333	1.89007162026667	-0.1348967936	0.0913816576	559.6847673904	521.1722726576	238.914720238933
BY	0.1840408576	0.0348025664	6.27912430933333	0.1122594048	1.13470327466667	8.5330264064	3.44894969173333	60.4169568256	2.73181218133333	0.0180829333333333	23.3032100522667	84.9334501376	16.2642373290667	3.3191206912	7.28340998826667	11.8427669845333	23.8923874304	37.5021546154667	0.0875463253333333	2.6663133184	1.9466637312	11.1779119104	1.32323874133333	0.06098592	16.3383104853333	1.47939355306667	12.7037363541333	0.869594248533333	5.5257645056	3.59994709333333	0.309805499733333	0.485140650666667	0.0220652053333333	13.6362207914667	4.9170464768	134.334609271467	0.9258754048	15.4874598741333	2.99442940586667	76.5686185984	11.36852992	1.67357945173333	9.33928523093333	3.7412446208	74.1998941525333	3.86095295146667	18.4057943381333	0.996928580266667	4.72387584	15.3943288490667	0.1237099008	0.117012232533333	12.5820152490667	-0.128926165333333	0.00891143093333333	755.102309628267	699.017706421333	445.076005717333
CH	0.0310449728	0.00144703213333333	2.14021666133333	0.00398575813333333	0.230325947733333	5.44542829226667	0.276593476266667	0.0754117034666667	23.9068228266667	0.00439117866666667	1.47082635946667	25.8330110634667	0.443328785066667	-0.00716893333333333	10.4763697834667	0.0327905109333333	49.0900553728	12.357844992	0.0028464016	0.322659362133333	0.48841216	0.421754436266667	0.288188279466667	0.012982752	55.1421564245333	0.0057177376	0.0110901269333333	0.784267741866667	-0.000648071466666667	0.0438700714666667	0.0606228010666667	0.0675621376	0.0378546432	3.46476653226667	0.2499085312	0.895319313066667	0.800456567466667	0.323445589333333	0.279875464533333	0.1815385088	0.198200388266667	0.8173555712	0.1518646784	0.276826333866667	0.3516515328	1.480511488	0.249758600533333	0.0164924416	4.1813663744	3.44490338986667	0.0124970304	0.119318724266667	7.5282743296	-0.00178345986666667	0.0952601344	214.619870852	197.4932717988	170.622380059733
CY	0.023852	0.00925372586666667	0.0899375786666667	0.0088208	0.023561248	0.0828498602666667	0.2784389632	0.0384731648	0.0274490261333333	1.85209132373333	0.1453742592	0.574255854933333	0.0411264853333333	-0.00010650925	0.302753416533333	0.0207816	0.286451370666667	0.431295453866667	0.00428871946666667	0.8115638272	0.0327841024	0.0722732117333333	0.0104094506666667	0.0008208202	0.521660040533333	0.00411368133333333	0.0104410176	0.0099442368	0.00435226026666667	0.0464404565333333	0.0137173557333333	0.0646028330666667	0.00939257066666667	0.101510698666667	0.0329701909333333	0.297918088533333	0.0158302154666667	0.252604142933333	0.0959494912	0.191681774933333	0.0315292373333333	0.0211857450666667	0.0572045013333333	7.92117357226667	0.450721143466667	0.0704044074666667	0.0374072234666667	0.117995562666667	4.6201192448	0.117858722133333	0.3324315648	0.257670997333333	0.582452155733333	-0.001193188	0.00194672173333333	21.4608364204167	15.3237430082833	5.80202579581667
