	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TR	UA	ATL	BAS	BLS	MED	NOS	ASI	NOA	BIC	DMS	VOL	SUM	EMC	EU
AL	54.2232761685333	0.000960903533333333	0.526737578666667	0.00283720453333333	-0.0420092714666667	0.219736234666667	1.4926434304	0.279513463466667	0.394964650666667	0.0042222424	0.538239931733333	1.5949918208	0.076627456	0.0250501013333333	2.7751145472	0.0250111872	3.4491908096	0.523626222933333	0.000850343933333333	11.1543801173333	1.1306008576	0.570380014933333	0.0785469696	0.00152560826666667	14.2689381034667	0.0806043904	0.0599129898666667	0.0184650368	0.016634368	0.2040768	4.0980578304	4.18220086613333	0.0322711082666667	0.156305544533333	0.0120196810666667	0.873430152533333	0.216192136533333	2.5299828736	7.20801573546667	0.6694049792	0.0438166912	0.163561949866667	0.213871633066667	0.605088494933333	2.3326687232	0.0941256021333333	0.0374955989333333	0.0203337578666667	-0.710253704533333	0.1444372992	0.0411530197333333	2.24534173013333	1.6635826176	0.0567948970666667	-0.288173806933333	120.3373756936	117.0325386824	37.6252549485333
AM	0.0306766016	32.8491554133333	0.0205637546666667	14.6700577450667	0.0217013674666667	0.0122863306666667	0.146435089066667	0.0965547605333333	0.0134776266666667	0.2507090944	0.0331986602666667	0.108227063466667	0.00573508746666667	0.0150179274666667	0.212332356266667	0.0104236512	0.1577916416	0.0585757226666667	3.598569472	0.288964266666667	0.0213196053333333	0.0578144469333333	0.00789427946666667	0.000178668116666667	0.2890692608	2.6250960896	0.0131231466666667	0.0004131032	0.00325654186666667	0.0316979968	0.00894186346666667	0.0271910869333333	0.00554797013333333	0.0153151712	0.00335933413333333	0.184703624533333	0.0269477653333333	0.351155370666667	0.0563340117333333	2.19518020266667	0.00720974026666667	0.0110846325333333	0.0261805568	53.2102294186667	1.0115694592	0.00779040533333333	0.0115633781333333	0.0241682730666667	0.239781154133333	0.011622304	30.5980484266667	0.479920981333333	1.81475546453333	0.0470289578666667	-0.341080644266667	145.684865680383	112.791266979583	1.82238579653333
AT	0.204673518933333	0.000685581266666667	197.305547707733	0.00580545333333333	0.6994376704	3.9820607488	0.428318754133333	0.8369917952	24.1476370432	0.000349996966666667	29.9603001344	163.977922696533	1.88913814186667	0.0319799488	13.2002622122667	0.0968985344	28.0448816469333	5.27389545813333	0.00146866426666667	0.622036514133333	8.8845156352	7.81051439786667	0.505846647466667	0.00862658453333333	112.958251554133	0.0819339008	0.261539054933333	0.580737297066667	0.0596319061333333	0.178138180266667	0.153977429333333	0.109763268266667	0.0108924384	4.48522513066667	0.2111296	11.0128791552	1.18122509653333	2.45863492266667	2.04321805653333	0.654014805333333	0.964697770666667	18.8945705642667	3.73023894186667	0.3286226944	2.78095680853333	0.618771797333333	0.286534621866667	0.0134508384	1.37575150933333	0.8995323904	0.0292125269333333	1.74153960106667	4.75582190933333	0.644260590933333	-0.0784449962666667	661.346504852099	651.060074062767	606.841523696167
AZ	0.0576434474666667	12.5158588416	0.0289702378666667	95.9391290709333	0.0364443178666667	0.0203634176	0.267797828266667	0.4697622528	0.0171824672	0.365113275733333	0.0651144789333333	0.211999163733333	0.0345450154666667	0.0466468949333333	0.274726024533333	0.0595508736	0.188180462933333	0.106214468266667	7.81476222293333	0.489899144533333	0.0317038848	0.0951730261333333	0.0142171733333333	0.000384301433333333	0.386048785066667	9.3353607168	0.0684176768	0.00206278386666667	0.0275919552	0.101327274666667	0.0140641109333333	0.0555833984	0.00768555093333333	0.0331537109333333	0.0091555648	0.598245239466667	0.0324494421333333	0.7101181952	0.111314807466667	14.786052096	0.0385146325333333	0.0122150666666667	0.0540371541333333	34.3079583744	4.53089307306667	0.0072364512	0.0376625109333333	0.0316571882666667	0.3920856064	0.0237616234666667	39.5439549098667	0.6810017792	3.3475657728	0.0663452288	-0.06146272	228.4434402533	184.373631902367	3.26113565533333
BA	1.2363395072	0.0022600632	6.62038828373333	0.0157788501333333	46.1059260416	0.8802484224	1.2811235328	0.571388893866667	2.22148266666667	0.000672258066666667	5.16321170773333	11.4680201216	0.538666427733333	0.0570734634666667	7.71552651946667	0.0929421653333333	11.3672126464	1.82014880426667	0.00779632693333333	1.49633133226667	33.4312789333333	10.5902713514667	0.171165559466667	0.0042616736	51.7743880874667	0.184349457066667	0.215806242133333	0.0966420394666667	0.0449871744	0.207823581866667	3.64738177706667	0.398153489066667	0.07617216	0.818337723733333	0.0795728213333333	7.51569360213333	0.632330376533333	6.87324965546667	11.2336590165333	0.848901597866667	0.2982537216	2.2269530112	3.07076983466667	0.822699690666667	3.4464104448	0.365933431466667	0.268296379733333	0.0336337813333333	1.13039872	0.505154321066667	0.0328338005333333	2.8069281792	3.88597814613333	0.363650423466667	0.103148885333333	246.868007126067	237.3720510578	124.752213036733
BE	0.00976469546666667	-0.000459130866666667	0.216933341866667	-0.0014285872	0.0362979456	183.8897168384	0.0248737749333333	0.037388608	1.1345635328	-0.000191297016666667	0.205214788266667	29.5507853312	0.7779964928	0.00397744506666667	3.8493069312	-0.0068387808	90.3618669226667	15.9434702848	-0.00114079746666667	0.0572185984	0.0506948394666667	0.0546958848	2.27547067733333	-0.002813832	1.59484750506667	0.000357941833333333	0.0411130282666667	5.43601677653333	0.00875132	0.001069368	0.00361032666666667	0.00493980373333333	0.0046073168	40.3726139392	-0.0617602005333333	0.258969344	0.416061269333333	0.0420324650666667	0.0261021162666667	-0.046775616	0.0523842858666667	0.0429956352	0.0278018026666667	0.0248957568	0.0445226069333333	0.396633668266667	-0.0510051584	0.000164672516666667	0.192308394666667	-1.110460416	-0.0014244548	0.180772608	0.6771369984	0.514123400533333	0.0376150826666667	377.598386095267	376.762521299417	375.435785681917
BG	6.8744544256	0.0347751701333333	2.4870887424	0.1859158016	1.51421938346667	0.650864093866667	157.1724722176	2.86402205013333	0.775845341866667	0.0797739264	2.7298340864	7.0499647488	0.409070148266667	0.222638984533333	6.50963790506667	0.273884962133333	6.60487154346667	1.13914989226667	0.132844578133333	44.585582592	3.14313140906667	6.16714786133333	0.1378356224	0.00336437653333333	19.9228391424	3.51361051306667	0.5104909312	0.0619186816	0.151616392533333	4.12933761706667	1.5295164416	12.3234757290667	0.085526656	0.612024183466667	0.1012246528	7.59095896746667	0.595491908266667	82.5138173269333	19.2244176213333	12.0138082986667	0.3656244224	0.913217194666667	2.2225809408	9.7816870912	35.3400455168	0.2631893504	0.300433885866667	-0.263882376533333	1.45817217706667	0.3646129152	0.751953373866667	4.47652222293333	5.0329665536	0.321396155733333	0.137669649066667	478.094654	465.2516200928	112.079634530133
BY	0.3269981184	0.103327470933333	3.5178921984	0.5178693632	1.2776157184	2.50354182826667	2.53137442133333	443.6266057728	1.58996015786667	0.0256412970666667	8.12035877546667	31.6150120448	6.43455494826667	0.335951394133333	4.57561101653333	1.2450906112	10.2991265792	5.84236509866667	0.2564377088	1.0333569024	4.10644998826667	10.0739852970667	1.03843771733333	0.0257099392	15.2015732736	7.12707659093333	31.4909611349333	0.175929122133333	5.115109376	6.17296145066667	0.2916365312	0.2878440448	0.0283230314666667	4.15738156373333	0.7016466432	109.055040989867	0.452293870933333	30.7740191402667	4.05632177493333	38.2583089834667	4.105334784	1.439571968	4.66379516586667	4.34419029333333	177.368954743467	0.514364245333333	-0.610271163733333	0.190322056533333	0.786676872533333	0.5989152768	0.439601152	0.838017911466667	7.34381069653333	0.413556292266667	0.0978723925333333	996.904414577067	986.2915488448	262.546239989333
CH	0.0437170133333333	3.07068854166667e-05	2.530369536	-0.000476460933333333	0.0694838912	2.77992543573333	0.082852224	0.0502021248	197.999495304533	0.0001115667	0.7662954496	34.8335439872	0.367441032533333	0.00674475626666667	15.0869671936	0.013391712	72.7709428394667	4.41696146773333	7.86690333333333e-05	0.210081416533333	0.513454114133333	0.5104769024	0.7046412288	0.00484684693333333	57.9265669802667	0.00270399413333333	0.0277514197333333	0.366565307733333	0.0063633968	0.0063515728	0.0184924053333333	0.0172420384	0.0064720448	1.73193065813333	0.0668352	1.07191712426667	1.1176132608	0.2353891328	0.116487842133333	0.0727826944	0.135261525333333	0.441153160533333	0.210034688	0.135161088	0.144756309333333	0.646231927466667	0.157710421333333	0.00324166826666667	0.779237922133333	0.558149870933333	0.00198563386666667	0.911791445333333	3.36342493866667	0.5110511616	-0.0259656448	404.526270147019	397.619410802219	198.039524090967
CY	0.026375424	0.00166474946666667	0.0138952789333333	0.00150289426666667	0.015149024	0.005529384	0.0713309781333333	0.0167368469333333	0.00925876053333333	4.11784342186667	0.0132639008	0.04983168	0.00366855413333333	0.0012560644	0.0786083328	0.00267284906666667	0.0732982869333333	0.0178401418666667	0.004807272	0.100191035733333	0.0186374016	0.0169825738666667	0.00149032493333333	-3.5258875e-05	0.1553931776	0.0290267349333333	0.00257518586666667	0.000652581133333333	0.0006813446	0.0118509344	0.00647225173333333	0.00614141706666667	-0.0003681514	0.00426606373333333	0.000353899366666667	0.0257301098666667	0.0051731216	0.0970352725333333	0.0203023253333333	0.162416759466667	0.00274153626666667	0.00660588106666667	0.00729059893333333	3.70937391786667	0.3188625408	0.00206870426666667	0.00176586066666667	-0.006097	-0.294235374933333	0.00247642986666667	0.440466295466667	0.5820260352	0.236226628266667	-0.0491120085333333	-0.0604900992	10.089472895225	9.23437742415833	4.7071132786
