	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZT	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RUE	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	8.7361568768	0.00267782826666667	1.11443688106667	0.00595324853333333	1.1927846912	0.259303765333333	1.55631069866667	0.0803439957333333	0.266730461866667	0.0133173109333333	0.764781841066667	2.08845400746667	0.0637126314666667	0.00101502146666667	5.691260928	0.0160913141333333	3.61754023253333	0.9830053888	0.00514743466666667	26.8338593792	0.793177770666667	1.08122617173333	0.0706366165333333	0.0064200464	20.92089344	0.000268896333333333	0.00827790026666667	0.0232453696	0.0312381546666667	0.0074268656	0.0685672917333333	0.532290730666667	5.80084312746667	0.1581629952	0.244999202133333	0.0618980352	1.06376185173333	0.195899869866667	1.09154003626667	7.54876142933333	0.566055048533333	0.0451385770666667	0.2712831488	0.407631496533333	0.000116375358333333	0.0005925436	0.387233314133333	0.676230280533333	0.000291975466666667	0.464499882666667	0.135229789866667	0.0934930005333333	23.6080354645333	0.5198553088	0.00302198533333333	0.302974600533333	1.7280454656	-0.0048908832	0.164281463466667	122.371538576758	95.356992498625	68.6161731958667
AM	0.00984491306666667	10.8867398314667	0.0442403584	13.2267518634667	0.00263540666666667	0.0251955541333333	0.0497259648	0.0483657429333333	0.0161335136	0.1282369792	0.0409160704	0.176742178133333	0.0127483029333333	-0.00167643266666667	0.185325738666667	0.00942298133333333	0.141115050666667	0.124609783466667	2.17452202666667	0.2328572416	0.0119305621333333	0.0374319701333333	0.00891115573333333	0.00138695693333333	0.317847552	0.001188952	0.342768196266667	0.0126528864	0.00221104413333333	0.00558332586666667	0.0173567882666667	0.00198146213333333	0.0195184597333333	0.00319255893333333	0.0361906901333333	0.0184428864	0.115652573866667	0.0130248949333333	0.0626062933333333	0.0235667370666667	3.1904423936	0.0158976725333333	0.00872486186666667	0.0225183786666667	0.0005995106	0.1225061632	19.8024516949333	0.352743082666667	0.081353984	0.0542475648	0.0269760021333333	0.177946043733333	0.830577322666667	0.0606370176	2.06857516373333	0.0732340650666667	4.14228698453333	-0.00162537453333333	0.124957892266667	59.7429494394	52.1851367574	1.8319056296
AT	0.0848598016	0.00657611306666667	85.9944080725333	0.0241664597333333	1.72888241493333	4.35965187413333	0.9641766912	0.867196791466667	9.86017191253333	0.00100922046666667	16.2252532394667	78.1772827306667	0.744556817066667	0.0452197973333333	6.424240128	0.140314496	27.4679922688	8.38597618346667	0.0113492501333333	0.704452061866667	4.1595338752	5.898928128	0.365145838933333	0.0335463637333333	70.4407448234667	0.0018740928	0.0908706645333333	0.242738926933333	0.515568401066667	0.0741377877333333	0.032965696	0.0675946026666667	0.166590993066667	0.014220336	4.2160627712	0.373331217066667	18.4736896341333	0.315651584	1.19579948373333	2.42678033066667	3.11804204373333	0.323536554666667	12.9374836053333	2.98826847573333	0.00181075933333333	0.00557943146666667	0.342287223466667	1.24479392426667	0.00421477306666667	1.5151230976	1.3557235712	0.0585209429333333	6.91539968	6.25774482773333	0.0180575445333333	0.0452896810666667	2.3524589568	-0.0323358378666667	0.0915887274666667	390.867099857933	372.289528666467	347.636509931933
AZ	0.0164718816	4.4639862784	0.1316449536	69.3436547072	0.00218558893333333	0.101154218666667	0.1284160256	0.237222621866667	0.0383512832	0.0884101290666667	0.142798242133333	0.735061469866667	0.0820175274666667	-0.0222484138666667	0.2872150016	0.0674203861333333	0.387233621333333	0.629888273066667	7.675092992	0.305636488533333	0.0343993088	0.113573649066667	0.0416717312	0.0089419056	0.592311637333333	0.00828921066666667	2.18507973973333	0.0569943296	0.0077953264	0.0334309333333333	0.0625077845333333	0.0043378344	0.0267319488	0.0033113392	0.1573906432	0.107194683733333	0.505735168	0.0227804330666667	0.224060672	0.0585691904	37.3331547477333	0.0946347349333333	0.0219004736	0.0694493738666667	0.00687728426666667	0.717095389866667	14.1816354133333	2.19766278826667	0.4726762496	0.2740004352	0.1675180032	0.4628286464	0.786404352	0.3197950976	8.33327377066667	0.0676607658666667	4.21801683626667	-0.0074093504	0.131037397333333	158.944933155067	144.191807200933	5.009688368
BA	0.7424882688	0.00366768053333333	8.299282432	0.00839366026666667	24.19851264	1.1218733056	1.01801813333333	0.3896884224	0.736935662933333	0.0019319504	6.69052327253333	13.6920902314667	0.332151944533333	0.00834217653333333	9.5015469056	0.0539975082666667	9.07957753173333	2.94332443306667	0.00452621706666667	2.83457836373333	9.73993847466667	11.6832239616	0.1390555136	0.011976208	44.0328563370667	0.000403322233333333	0.0121194901333333	0.0798336597333333	0.101339136	0.0213088021333333	0.0707940266666667	1.01250921813333	0.537704686933333	0.1076890112	1.6024838144	0.1769205248	11.7718046037333	0.3144631296	2.84497892693333	11.8431197866667	1.63228153173333	0.203523447466667	1.60556141226667	3.4173108224	0.000331099766666667	0.00159010906666667	0.2594153472	2.39481924266667	8.46700166666667e-05	0.725368763733333	0.75866624	0.0570520874666667	19.6317085696	2.47014413653333	0.0047325872	0.259361348266667	1.1697528832	-0.0305340970666667	0.112078199466667	212.439221776017	187.280891057617	133.502670766933
BE	0.00229594133333333	0.001770518	0.819137467733333	0.00956587093333333	0.0290551893333333	21.4340796416	0.00888478506666667	0.138512136533333	0.6806171648	0.000513749466666667	2.09493838506667	21.3456147797333	0.460726613333333	0.0342129301333333	4.8041721856	0.0838841002666667	36.9206012586667	22.4189218816	0.00509737973333333	0.008795784	0.0550369152	0.0885047210666667	1.14215922346667	0.0617972992	1.574936576	0.000646513	0.0172032064	0.1225385728	0.733587387733333	0.0463184170666667	0.00222115453333333	0.00200065253333333	0.00189199906666667	0.00208259666666667	7.17300421973333	0.305522414933333	2.47179564373333	0.367670033066667	0.0454581717333333	0.0314688256	0.7435677696	0.198534673066667	0.0741625344	0.0615819306666667	0.000673673866666667	0.0019121708	0.0396718464	0.0647294506666667	0.00100279246666667	4.72186661546667	0.628402107733333	0.00142646986666667	0.652815428266667	16.5446156288	0.0065748192	0.0151495818666667	4.3872370688	0.142823620266667	0.0154067466666667	153.849397235333	126.7330791484	124.536818263467
BG	2.08621540693333	0.0294574122666667	4.38082300586667	0.112406519466667	2.87078591146667	1.27282804053333	119.8966964224	1.10778238293333	0.696660445866667	0.0488925653333333	5.02852867413333	12.573605888	0.441007684266667	0.0576161322666667	4.68068324693333	0.245897335466667	6.39641408853333	3.34073009493333	0.0601315029333333	43.1674534570667	1.76044919466667	8.67546617173333	0.1895395328	0.024716416	18.2584377344	0.00161152866666667	0.365710506666667	0.304612693333333	0.146721757866667	0.129003579733333	1.94314786133333	0.510264285866667	7.53652968106667	0.0987404885333333	1.3332078592	0.427505902933333	10.7367738026667	0.2033576448	40.1015177216	21.5554042538667	14.4592491861333	0.434674210133333	0.7132841984	3.25189986986667	0.00159650653333333	0.00800335306666667	10.9079833258667	20.7942713344	0.0078975024	0.891476104533333	1.03639668053333	6.28246992213333	16.9088243029333	2.187669504	0.0770045781333333	0.302203767466667	0.8950714368	-0.0258143317333333	0.1523160064	402.083812293333	373.376194322133	286.1084139008
BY	0.352197632	0.0458940586666667	9.88388611413333	0.242455569066667	2.89428548266667	7.52767412906667	6.28338633386667	34.9743087616	2.35782089386667	0.017941216	19.772768256	69.1895489877333	7.2603860992	2.347892736	5.83905553066667	5.22889844053333	21.6906181290667	25.7279437482667	0.1745603072	4.42350769493333	3.387777024	14.9109003605333	1.19924012373333	0.1655826432	20.5183451136	0.00386605653333333	1.80424157866667	12.3647284565333	0.604414634666667	3.1815942144	3.7309464576	0.216021111466667	0.8116314112	0.0237749738666667	9.98718286506667	3.09153518933333	126.0315475968	0.323235293866667	21.2997789013333	5.71181520213333	104.008795204267	5.1000557568	2.495782912	10.2081396736	0.00367520773333333	0.058606592	5.45884132693333	76.8650160810667	0.0676950314666667	3.81426455893333	19.5546447872	2.88942680746667	7.736967168	19.6464650922667	0.120776328533333	0.0953907882666667	4.6872805376	-0.0095205952	0.00410555146666667	718.409598139467	659.869797114933	413.442228292267
CH	0.0112525589333333	0.00112659066666667	2.32845912746667	0.00370516266666667	0.0614365952	2.17450496	0.0119987402666667	0.0265499349333333	25.1260611242667	0.000236150733333333	0.786737698133333	14.2264784213333	0.105178171733333	0.00533776746666667	7.68017257813333	0.0281629418666667	37.6408812202667	5.0936430592	0.00259346773333333	0.0772509269333333	0.1678029312	0.0931105536	0.242583159466667	0.0219383744	47.4123162965333	2.443060625e-05	0.005436696	0.0207250645333333	0.268089173333333	0.00939161066666667	0.0026040112	0.005257064	0.00962728426666667	0.00661829333333333	1.166268416	0.1228908032	0.707713911466667	0.394293111466667	0.0469633024	0.0383602048	0.206514090666667	0.0529981141333333	0.3049499648	0.0446454485333333	4.25184666666667e-05	0.000522183433333333	0.0328011861333333	0.0496355285333333	0.000267900583333333	1.18878590293333	0.133287133866667	0.00164302546666667	4.2518503424	2.7919900672	0.00215591986666667	0.0228162858666667	2.92761490773333	-0.00727605973333333	0.0276109312	158.16663728249	146.82615882569	120.9297081838
CY	0.0191229461333333	0.00678121866666667	0.0734605653333333	0.0089247376	0.00896238613333333	0.0278473344	0.1370273536	0.0223788693333333	0.0205388309333333	1.87593618773333	0.0568944341333333	0.219574357333333	0.00754269386666667	-0.0007829594	0.1974032384	0.00631658933333333	0.191120861866667	0.1013734656	0.0048023776	0.712257877333333	0.0284687786666667	0.0631942784	0.007362016	0.00127208706666667	0.546788181333333	0.000270097533333333	0.00322359066666667	0.0070779488	0.003038788	0.00362804106666667	0.0163876682666667	0.004387656	0.0377412096	0.004624232	0.0323196266666667	0.0139694112	0.118694673066667	0.00864671413333333	0.0995776853333333	0.0634367616	0.257665501866667	0.0104733013333333	0.017072448	0.0283541696	0.000130272875	0.0001517247	8.24042072746667	0.216287402666667	5.39249791666667e-05	0.0415983872	0.0159969866666667	0.106361617066667	4.1349947392	0.0522453632	0.205473467733333	0.0845349376	0.4151589888	-0.000504271266666667	0.00976021333333333	18.5978227143542	13.5322022848208	4.55682410326667
