	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZT	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RUE	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	69.5341634901333	0.00243358693333333	0.472484795733333	0.0103513738666667	0.204482833066667	0.0527266517333333	0.432538965333333	0.120804309333333	0.133530333866667	0.0086029024	0.2710608384	0.6870769664	0.0154949546666667	0.00458498986666667	3.99863835306667	0.0052840848	1.9569119232	0.114340292266667	0.0045955472	8.29700396373333	0.6090274816	0.846201856	0.0118156469333333	0.0007574358	13.5813278378667	5.5793375e-05	0.0299435370666667	0.0150376053333333	0.0056554624	0.00448345813333333	0.114522043733333	1.84824982186667	1.36515433813333	0.059976768	0.0429431765333333	0.00296341306666667	0.3060937728	0.133653794133333	1.35150004906667	7.62759959893333	0.1595624448	0.0106071626666667	0.1309929472	0.264570606933333	0.000145506	0.000166721833333333	0.202121386666667	0.352320989866667	-9.77125166666667e-05	0.0504845269333333	0.00481207093333333	0.0018692612	-0.282072576	0.0333163690666667	0.00708605866666667	2.60043707733333	1.80101556906667	0.00915593066666667	-0.289565696	119.341002692092	115.404464100225	33.0816098256
AM	0.0307552618666667	61.1174580224	0.0111515648	41.7543749632	0.0220655168	0.00183019933333333	0.0753193898666667	0.034233344	0.00782706666666667	0.160656315733333	0.0074804304	0.0289758101333333	0.000763643066666667	0.003895792	0.139550429866667	0.00362809946666667	0.0449129642666667	0.00109517653333333	5.93232800426667	0.241876701866667	0.0100199445333333	0.0145616672	0.00114228026666667	-0.000140038333333333	0.256964215466667	0.0006011152	1.89184791893333	0.00360404506666667	-0.000137823166666667	0.00167663466666667	0.0156498048	0.00221649293333333	0.0215599957333333	0.00372922266666667	0.00159906746666667	0.000181088616666667	0.0586248405333333	0.00795527733333333	0.1004814336	0.0436724309333333	1.25737806506667	0.00101790066666667	0.00369764533333333	0.00566086666666667	3.75120442708333e-06	0.3504710656	58.7417343317333	0.320510839466667	0.0892979285333333	0.00411315306666667	0.00193200266666667	0.0196727125333333	0.1661100032	-0.000575812133333333	34.0892844032	0.685273088	2.36501674666667	0.0178715552	-0.142940049066667	210.031518508588	172.825760705254	1.1817137911
AT	0.0766560853333333	0.00186074173333333	197.078513527467	0.009961744	0.366634632533333	1.7270411264	0.648123460266667	1.57480236373333	24.1237906773333	0.000112553975	13.9906023424	121.259181124267	0.543942109866667	0.0372468181333333	4.25547803306667	0.0374941354666667	17.1619145045333	2.6098597888	0.0047765424	0.241252437333333	5.05820392106667	8.13737355946667	0.388465834666667	0.001477254	99.1715480917333	2.3390390625e-07	0.352764347733333	0.1806103552	0.203597431466667	0.0625548672	0.0219000768	0.0494770688	0.0878266368	0.00524267306666667	2.5757007872	0.0589412778666667	8.3828752384	0.153818811733333	1.1753975808	1.84526165333333	0.8974569472	0.189376836266667	18.2657854122667	3.03970003626667	0.000114644125	0.000856519933333333	0.07851008	0.603288917333333	0.00016603075	0.164879104	0.0296442645333333	0.00812986453333333	0.8737779712	0.262790775466667	0.00692797813333333	0.485608379733333	3.83228368213333	0.0661232554666667	-0.0595726592	542.408130490421	536.737537874421	501.522809477708
AZ	0.0302222314666667	17.8072758954667	0.0234513813333333	228.161714039467	0.018293888	0.00783096106666667	0.0772946944	0.121132945066667	0.0114398848	0.114433066666667	0.0225802154666667	0.0819700650666667	0.00755509706666667	0.0112442144	0.109172821333333	0.0096904512	0.0622586197333333	0.0047511232	9.8730541056	0.2420939264	0.0134206826666667	0.0321201173333333	0.000691747666666667	-0.0007608688	0.329238766933333	0.00378004586666667	9.8672607232	0.0100078506666667	-0.000224632933333333	0.00413152746666667	0.0424907392	0.00353855626666667	0.0159946090666667	0.00254884	0.0068145824	0.000478739533333333	0.151612245333333	0.005976568	0.2133875712	0.0517332778666667	16.7882675541333	0.00711890933333333	0.00628933706666667	0.0150171690666667	0.0052640976	1.5483846656	23.05622016	0.979670971733333	0.3548720128	-0.00915117226666667	0.00743511893333333	0.0184918144	0.169153194666667	-0.0009715448	29.0309013504	0.557495534933333	2.33049402026667	0.0197190762666667	0.132523255466667	342.568896841734	310.312806193467	1.55905723686667
BA	1.1218659328	0.0029956088	5.7065340928	0.0134454325333333	50.1413445632	0.1875147264	0.611442824533333	0.662506154666667	0.4301314048	0.00195504346666667	2.92320242346667	5.85564378453333	0.136267733333333	0.0092744288	6.97191082666667	0.0175356842666667	4.83922193066667	0.480028672	0.00562540906666667	0.870894933333333	28.8336030378667	13.0408054784	0.0669413333333333	0.0019317092	32.8213834410667	0.00014128945	0.171842338133333	0.0788745557333333	0.0193992064	0.0179647274666667	0.103157614933333	1.64966126933333	0.152746154666667	0.0518804053333333	0.478692420266667	0.0204024981333333	5.00663801173333	0.182448145066667	3.89818641066667	8.95078836906667	0.651557819733333	0.0903121749333333	1.3529034752	2.6394886144	0.000110575425	0.00104837193333333	0.150739268266667	1.03540278613333	0.000386521833333333	0.112054528	0.0399874944	0.00325805146666667	0.611014519466667	0.127523456	0.00755497653333333	2.27180557653333	2.69157034666667	0.0510675754666667	-0.079539712	188.295076446775	182.458779634242	88.3573455042666
BE	0.000385540233333333	-0.0003675432	0.705395438933333	-0.0025407648	-0.000346920133333333	153.872463735467	-0.00277854453333333	0.240611822933333	0.985425373866667	-0.000167771683333333	0.59663872	25.6876587690667	0.327456494933333	0.0251743893333333	2.68156709546667	0.0108787893333333	88.6353515861333	14.0787111253333	-0.0008911144	0.0012127184	0.00931842986666667	0.0505585834666667	1.92582560426667	-7.18658666666667e-05	0.806910976	-0.000131596291666667	0.0394491093333333	0.0896516608	3.71167450453333	0.0263261909333333	-0.000928571333333333	-2.145160625e-05	0.000572844333333333	0.0022047476	32.7704466773333	-0.00415749466666667	2.185996288	0.160632337066667	-0.00247530453333333	0.0056922992	0.0194437525333333	0.0661805610666667	0.0330895530666667	0.0366793045333333	-0.000151039116666667	-0.0006493044	-0.00600106773333333	0.0360251008	-0.0004575115	-0.1292134656	-0.0615571712	7.26205052083333e-06	0.0791548416	-1.14235316906667	-0.0027208288	0.0883251797333333	1.04765385386667	-0.00275563413333333	0.0143643349333333	329.694377461753	329.803472258369	328.483264230317
BG	5.27807829333333	0.0374700330666667	1.865158656	0.204965051733333	1.17630621013333	0.244017578666667	187.204143240533	1.6366096384	0.378095616	0.0313031957333333	1.40436998826667	4.1842393088	0.144202666666667	0.0540808021333333	3.21578461866667	0.0644735914666667	2.14944535893333	0.364011246933333	0.1101798912	35.8262068565333	2.2986539008	5.44878974293333	0.0548805674666667	0.00109459386666667	12.6276250282667	0.00154196986666667	1.9540099072	0.209609966933333	0.0252109674666667	0.0967066026666667	3.23913700693333	0.522858769066667	4.89481393493333	0.0536347648	0.268305339733333	0.0472797269333333	3.6151918592	0.104483908266667	53.3416290986667	21.0333619541333	5.36546290346667	0.1203746304	0.355263146666667	1.43633831253333	0.00222719693333333	0.0252229205333333	4.2277289984	10.1535394474667	0.0136818432	0.0618999253333333	0.0567792256	-0.203717205333333	0.570119168	0.109629090133333	0.257916586666667	3.02339549866667	3.51677754026667	0.0389772458666667	0.0610790997333333	384.604657027866	377.111800852933	314.509481045333
BY	0.5811798016	0.0655087274666667	5.088149504	0.279878229333333	2.329153536	2.58604209493333	4.57877777066667	524.4403580928	2.07051093333333	0.0102593696	8.32494032213333	41.0327493290667	5.35420163413333	0.7765917696	3.643793408	1.52310606506667	11.1363566250667	4.69714971306667	0.1300320256	2.3482228736	4.39234450773333	11.9346287957333	0.807817898666667	0.00757195573333333	14.0616182442667	0.00150702586666667	10.3152134826667	20.6081622016	0.164860859733333	6.51925858986667	7.5641520128	0.194427665066667	0.468044561066667	0.013613344	5.25799150933333	0.551582276266667	124.556821572267	0.0994731178666667	34.4456691712	5.5258873856	35.5881167530667	3.38547152213333	1.6788852736	4.3810562048	0.00160196053333333	0.1590339584	2.88600582826667	62.667096064	0.113921698133333	0.2769051648	-1.12721339733333	0.1345421056	1.13441703253333	0.306029192533333	0.235241472	0.748772898133333	6.61329892693333	0.116997495466667	0.255626666666667	988.043414822667	979.348797265334	319.015668784
CH	0.00706459306666667	-7.51701583333333e-05	1.81896342186667	-0.000254316133333333	0.113471232	1.110491136	0.00505827306666667	0.0333883328	258.158607291733	0.00022592265	0.204170257066667	21.1888177152	0.0595081216	0.0017601096	5.5631249408	0.00828959093333333	48.6664656213333	2.4685961216	-8.60893416666667e-05	0.0452135722666667	0.123455172266667	0.0702587136	0.3682857984	0.00753265493333333	48.7483200853333	0.00021774985	0.0159946496	0.0137635466666667	0.1389264384	0.00357138613333333	0.000254183633333333	0.0024542688	0.0067485456	0.000318510866666667	0.791168477866667	0.0113330741333333	0.369532552533333	0.215647624533333	0.0204848938666667	0.0422423893333333	0.0251741952	0.0159698848	0.182972586666667	0.0231928128	0.000200297316666667	-5.98866927083333e-06	-0.00202081493333333	0.0222697386666667	9.13398583333333e-05	0.1615031808	0.00727303573333333	-0.000356566833333333	0.519181277866667	0.0752509610666667	0.000389008366666667	0.3214737408	2.612547584	0.0543530282666667	-0.0322603861333333	394.390510309939	390.671155446006	132.10309811645
CY	0.0310078549333333	0.00547340586666667	0.0144179210666667	0.0116693813333333	0.0172748469333333	0.000628999266666667	0.000317368866666667	0.00681929066666667	0.00952449493333333	3.06433010346667	0.00519940266666667	0.0216572309333333	0.0008605628	8.39375083333333e-05	0.0840975189333333	0.000576208533333333	0.0583197994666667	0.0033545464	0.0088036384	0.0599783466666667	0.0133295317333333	0.0118769632	0.0004479216	-3.031794375e-05	0.288553847466667	4.40531166666667e-05	0.028660032	0.000942999866666667	0.00010303705	0.000121219158333333	0.00819204373333333	0.00446245733333333	0.00128532226666667	0.0006645986	0.00181245306666667	0.000328359966666667	0.0146676085333333	0.0019361048	0.0383745450666667	0.0375172864	0.0737731669333333	0.000620678666666667	0.0060644832	0.00299828906666667	7.26081927083333e-06	0.0017133672	3.7373157376	0.0417883008	0.00185340733333333	-0.00010907	0.0004161985	-0.00192524733333333	-0.2743579136	0.000630109333333333	0.963688789333333	0.562669636266667	0.234863684266667	-0.0219549248	-0.0411410517333333	9.14659982850886	7.72381961827552	3.68300669591667
