	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZT	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RUE	SE	SI	SK	TJ	TMT	TR	UA	UZT	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	9.97888287609571	0.000441564768416667	0.597498766520906	-0.000546664071666667	0.600644917832708	0.105013989078073	0.71728344628176	0.03623786876525	0.137404041190635	-8.790896825e-05	0.340215498028083	1.10470566715466	0.0240226151923958	0.002407937051125	2.64742361234158	0.0124540923684271	1.54003689300301	0.233564938137812	0.00107445642261458	17.9487323721819	0.606328102263021	0.640898758875708	0.0126259684254687	0.00162587935191667	13.0492216212426	3.71399828645833e-05	0.0137351918592083	0.0114058655801562	0.0238672807957708	0.00695626947171875	0.0193306154383646	1.17918680696874	3.824034702029	0.099901833685	0.10862022165601	0.0254979441320521	0.894230418466396	0.125980701883406	0.638587419233896	3.58383272158576	0.20762785249326	0.02952444287275	0.140515034257344	0.28656794862449	4.77012967708333e-05	0.00163246780641667	0.788578647434073	0.38612603537426	0.00226032216622917	0.182419945087281	0.0482435390049479	0.084273427758625	21.9509206864112	0.160883118660573	0.000968015463052083	0.324230389600042	3.09979205373919	-0.0158075810598646	0.0832718424717396	88.6553923317646	62.736401050761	41.9483093462894
AM	0.0103350772553053	14.1726989802967	0.0288693980451768	11.5546961414792	0.00604223974147596	0.00815337240909368	0.0518102316170732	0.0143108320850237	0.014767959091465	0.116150355470332	0.0198489799754978	0.0824894666891827	0.00336971441228262	0.00082318154534094	0.173738901085752	0.0038451091217698	0.0781764579873509	0.0267131727737874	1.92018718908432	0.171982006097819	0.00980975430077338	0.0254578530187858	0.00197600082698188	0.000542210324402709	0.192257512944423	0.0153343300541564	0.504280734509388	0.00299883205978095	0.00143080708166625	0.00193315807639428	0.00411093017699741	0.00521502854829262	0.0236768977556752	0.00215736089504658	0.0102493662676658	0.00650244781958388	0.0636613550635844	0.0125253305781757	0.0697951847402263	0.0260080444912139	1.14699617129039	0.00590517694625315	0.0072074662983366	0.0189995936437772	0.00309434512706407	0.442110404771404	14.5809524239926	0.172101058749739	0.341935804408315	0.0337134721288931	0.00435087025069595	0.0892989380044234	0.836668281207417	0.0134946094910569	3.65070052096991	0.121773104427225	4.13466581012006	-0.00261711189152355	0.0197587082675111	55.0600415540007	46.1575097364686	1.1923555514981
AT	0.0739809535461146	0.00352552620415625	87.1914389451799	0.0100260420993437	1.04153448893255	3.46914217604453	0.83718265695899	0.509840585385427	9.70650364725674	0.00134371729032292	18.5081686191059	103.149953254191	0.606467589270344	0.0137901759589896	2.55707030280795	0.112100532122083	15.4055070375362	5.21980353756244	0.0106455477792813	0.489800734617167	4.97805018722039	7.2963005255157	0.247085903638396	0.00947214921503125	36.8738795854266	0.000435386942322917	0.0581198952954583	0.164885461811781	1.07839589582246	0.0692718835377396	0.0772025857488125	0.118998827711615	0.198512910764188	0.0104942108419167	3.13795994761624	0.281445623705813	17.1393362141873	0.16512288806025	2.58660920512445	3.4792239729561	1.13151298092302	0.260884942272937	10.3063818722079	3.76520802482831	0.00044439324603125	0.00853766285973958	0.441197638327687	2.70749931733216	0.00969753884536458	0.805570207459302	1.16551080891405	0.119093803089594	5.75806458906619	4.86271275620014	0.00659992365473958	0.0562759466981354	1.41363226550921	-0.0894354860358021	-0.00221683546676043	359.615801680924	345.517987259373	325.641646706673
AZ	0.0150683154869489	4.24028822673497	0.0566311490883787	61.6558988344898	0.0123886631131762	0.0238849156062643	0.100245727787317	0.0728756024547455	0.0288819710561887	0.0630895399186701	0.0415736157395978	0.212559829036377	0.0179668866234679	0.00809768685055516	0.199533784506598	0.0327313877814528	0.14317576438884	0.0927572357978028	5.3222096270474	0.221475055523758	0.0181839233534219	0.0509314704755817	0.00668209202392448	0.00385968291567636	0.317648849258382	0.0239449612320915	3.07168518746525	0.0149390594385106	0.00432961954061798	0.0106962926298459	0.0149200554212737	0.00873734549704372	0.0338549989386382	0.00223675024561955	0.0356732479171996	0.0387772003740748	0.192623203100184	0.0192560857164487	0.161136308988898	0.0459250342291597	13.2526018675213	0.0343227795694692	0.0142298786774372	0.0372967974449815	0.0168386641424171	2.62583457008101	9.1963702594012	1.04291034542017	1.71505990518686	0.144127348888471	0.0371067955053423	0.228403646959395	0.649458072459209	0.064653246222254	8.99060998364905	0.0892630433228791	5.05257690202327	-0.00846940213587928	0.0360309697396629	119.856600861873	104.57262004653	2.13390757591074
BA	1.01700819066376	0.000773720621156644	6.65137093341303	-0.0424594447020898	21.1989227474249	0.672685843318607	1.22846962218811	0.18930768972682	0.516655466403203	0.000628682506277077	4.92799963758346	11.0798490794	0.153022688366509	0.0121510370334183	3.02585683617035	0.0550019113506005	3.61970619889761	0.979291818997555	0.00305667775602953	2.10217347936248	11.1226993515443	10.696867795971	0.0441428608346094	0.00406592027907332	23.0079336737853	-4.76362553741623e-05	0.0131631368037415	0.0530660138599896	0.144478766831754	0.0190350233407375	0.0904318641698973	3.44531177201748	0.583062568126154	0.0613330237159112	0.741229320392155	0.095262546158414	10.2034358233858	0.227086629806889	4.0482892063576	13.7136263353267	0.715228620486593	0.103387875464164	1.32320482861977	4.6885756313055	0.000131080791162493	0.00774530724663422	0.580998262544895	2.90952921167074	0.00681580055257088	0.311934880484167	0.405954457575708	0.185993431413904	15.7269542652226	1.11697042113152	0.0034403278075428	0.264734895066977	2.37336040195298	-0.0475936631661832	-0.00865648105457686	166.374656368051	146.041202000173	100.993553542226
BE	0.00498684115048011	0.00195991621971088	0.780215800261057	0.0154683702504795	0.00927710524834172	27.1523524399284	0.0238949363104055	0.186809656893717	0.731254979052122	0.000152349419783843	1.06134262298957	21.2443877189189	0.689463413906566	0.0147074022381957	3.02805671778651	0.0534586196328729	36.9149201221014	21.4147124402735	0.00396511898646097	0.0229868433292332	0.0366603960750691	0.159651243228366	0.789785117720716	0.0304797754750694	0.871543156587998	0.000154792551853697	0.0194734393615759	0.0980974213116379	2.03542933905997	0.0505918035969017	0.0107169491972788	0.00344017127063197	0.00457506840814329	0.000956925937859352	11.6929317253718	0.291696948814898	1.65145007737132	0.290630181987884	0.137607022207024	0.0423996850601273	0.498804608691392	0.191101781928468	0.0420372730733295	0.187531619248659	-3.28145311029242e-06	0.00285341415707589	0.0488701695326502	0.321387092642392	0.00360004860297002	3.81969633064624	0.869005391614384	0.00399827325176263	1.02369422817407	20.1826837343418	0.00300446161224915	0.0341622580615129	3.89153112464303	0.122769781804152	0.107808043310578	162.927181009377	132.868842438575	130.636595780732
BG	1.58625173088092	0.107540128789854	2.11172451723818	0.360324172097354	0.9857833833171	0.495588618681592	115.990704964822	1.00454229867854	0.447718619635964	0.0370375555771109	2.43797123892491	5.97837233704386	0.168487635409748	0.028746423921084	3.43426100736359	0.11922461081393	2.59476841276943	1.12433358799309	0.427298705042765	33.5207343823015	0.888689987824294	5.404329626102	0.0655936677234067	0.00834894536513687	8.33730875385247	0.00132932742695431	1.17187319056892	0.192165852097609	0.0933386326339262	0.0828667653648385	1.82052831505995	0.695028192110485	7.64408080559139	0.0675684715942739	0.515242721167475	0.154209024110578	6.83013862489698	0.228931406264632	33.4938157149522	14.8891300465632	21.3978935586494	0.216706566625707	0.38839858314139	2.37911923682555	0.00312166755297279	0.23462363468728	72.7410461875569	27.6884574218372	0.326428843967782	0.435830119335614	0.349549136579952	12.2498800362054	23.2988927630785	0.803800693926382	0.121061293674064	0.539733025761548	7.20185954095168	-0.0690310224307325	0.0126708095007576	425.865974500001	380.921555854803	227.226937743169
BY	0.224192873633347	0.100371258183649	5.33981397660553	0.251491823292458	1.06813187225312	2.98886992597348	2.56490864253575	61.6506669179526	1.20498372631543	0.0117738610500173	10.8395780781862	41.3388548150694	4.08239275626739	1.37377513072885	2.42323342266541	2.75397590218848	7.91623155761557	9.07571876662817	0.18348970009972	1.78998304548402	1.86154720100807	8.09060669822301	0.43484473444607	0.0372626899003636	8.6499142034039	0.00342146767211186	2.14010101119786	10.4078358939783	0.486385879625836	3.2554855765872	2.29465441393061	0.303927115053164	0.624658534885543	0.0104223288173079	4.7680087397838	1.55815328145975	91.1686900435437	0.239247702760147	14.2203577576862	4.85305497616219	92.3976991472637	3.65935112037003	1.4498395490654	8.21998538453807	0.00433557863615978	0.290706000437663	6.38583557056635	78.840834366678	0.422416208421629	1.6181748030001	10.9431006174682	1.43166774334896	3.81325362823032	9.80872744887007	0.17563641327999	0.0870300607531828	5.52094478347806	-0.17757650758895	0.341845073827804	537.824825293498	504.261917495867	249.421795041562
CH	0.00177438321768885	0.000485736372776042	3.04950651223119	0.00353557271513173	0.00248334109623558	1.884230998838	0.0126062569404239	0.00773292435526314	41.4889910402722	8.87326516041667e-05	0.643813855933094	24.936787308755	0.0664431123848463	-0.000296513562359054	4.00538174191701	0.00607142313899953	32.1081910662635	2.5972559029938	0.000671586442337382	0.00919583313662759	0.102322436787896	0.105287761925334	0.137267807854078	0.00268739985761895	34.0512296111879	3.95204018072917e-05	0.00596693209540254	0.00085288899610722	0.590458357522209	-0.000669608072109893	0.00493889838429776	0.00190229751413262	0.00339729669225102	0.00159842073406793	1.57031545613673	0.0273893985293263	0.378988507505458	0.241563216106375	0.0774916543567739	0.0188466846292102	0.0179858218141764	0.0217829481794429	0.232113285884947	0.0606848467057787	3.36084768645833e-05	0.000401083337998498	0.00770155033248979	0.038368145789255	0.000690305406026042	0.812225261170426	0.114492405228599	0.00211942125198948	3.00081983222035	2.36019113055801	0.000512147506164823	0.0490813695623324	2.2556044030174	-0.0266343421657643	0.020659029728908	157.115658009244	148.527569154291	106.891173703732
CY	0.00895888676192708	0.00350557753209896	0.0219150383015677	0.00214082570072917	0.00608778390485937	0.00600902576926562	0.0774056266944219	0.0147090593518438	0.00932054650160417	2.68587759643188	0.0145362540591094	0.062496438357974	0.00271858735310417	0.000353406371046875	0.107899913894526	0.00184372116860417	0.0778754683910573	0.0252706234060833	0.00347242156047396	0.458096081171901	0.0114097072306979	0.0149137094863906	0.00172600329975521	0.000278344323286458	0.224563399038844	8.91399928125e-06	0.00426562451470312	0.00288596000032813	0.000985037664286458	0.00161611905984375	0.00458058676502604	0.00378774698354167	0.0151272172988333	0.003698655000875	0.00695160039352083	0.00401617782345312	0.0373870620792552	0.00689211173966667	0.0472528987464271	0.0224550422161719	0.109735919334187	0.00419871891681771	0.00590390869590104	0.00892154450915104	-1.43624791666667e-06	0.00111195389961979	5.40356523939397	0.113518438768813	0.00118702260382292	0.0171546966158646	0.00291332178126042	0.0795042661780625	4.32611344470453	0.00931107384961458	0.296076424419563	0.194437103065406	0.732800901265437	-0.00158482004001042	-0.00245852976692188	15.3077039922954	9.65336730779467	3.9215201310389
