	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	17.0974175924448	0.00236488773299479	0.659493265718588	0.00626081304935417	0.777377429525422	0.16516524400512	0.66381959472324	0.0589397730523594	0.180226469758458	0.00151054115170833	0.450734751328724	1.80358276117875	0.0412517748846823	0.004367457082625	1.33347227356844	0.00781802791008854	1.8107953529378	0.427843013981089	0.00921755006680209	7.04898709764471	0.778578388476714	0.83206053893062	0.0395081700614948	0.0014913512128125	11.3079266431284	1.80147333333333e-07	0.00461039229702604	0.0130704556685208	0.0212367482068594	0.0067114618143125	0.0305685621944479	1.50044305202994	2.88306192040278	0.061623961837276	0.252251119654313	0.0261810088482969	1.0600209419285	0.101464071349078	0.741132465854021	6.62108942204873	0.241614739852953	0.0196028648817708	0.138560037782401	0.287290303253833	-1.15489935208333e-05	0.000662833874859375	0.754340705890073	0.346766332743385	0.000546084331604167	0.230785563038641	0.063443297084651	0.0815870664755573	11.8659735937462	0.337793810609646	0.055283620291724	5.09031869806901	2.09126394722936	-0.00730077489457292	-0.00217331026003125	80.4300243928447	60.6231166517058	30.0799858522907
AM	0.0077868280713125	13.708734001837	0.013450182763276	5.81316434760462	0.00393817678657292	0.010028616512349	0.0267557695628229	0.0127599125571719	0.0108351906917344	0.108864312860865	0.0117072335151875	0.089909883714401	0.00453412294723958	0.00103983117621875	0.072378891601625	0.00384508087043229	0.049944906178526	0.0222762329307552	1.83415230686424	0.171753096753411	0.00469405326897917	0.013842020931	0.00208477170678125	0.000455625372161458	0.139749501426953	0.00041956872328125	0.228988975329807	0.00291503832566667	0.0009459642493125	0.00159528059051562	0.00800232662121354	0.00315999374869271	0.006648601353625	0.000771623066229167	0.0151613999372396	0.00447017483630208	0.0732492743863177	0.0071095235581875	0.0555254609865364	0.01745876215775	0.686322679850724	0.00475449622711979	0.00234114312206771	0.00690197246821875	2.43606667552083e-05	0.162829738504932	8.59213906078786	0.184222378429672	0.0491227405460937	0.015003196817026	0.0120456516369792	0.12371119241237	0.649574662115781	0.024826317351849	51.2221291735765	0.70700335383512	2.0550159850359	-0.00135014462970833	0.00696718148507292	87.0686920066166	32.2538523132063	0.917842615621656
AT	0.0518094249121875	0.000343046819596354	96.339460549406	0.000834802399799479	0.475452047205896	6.08654363524202	0.317857343809438	0.287393129057385	13.1065344898985	0.000474895808856771	13.1174312253118	100.910354818845	0.414639027795424	0.0396151971393073	5.25716501896386	0.0981250136778594	29.3704728650887	9.59496061094497	0.00103160107794531	0.164790829714995	2.68573779612307	3.98819621474754	0.654310648720786	0.011987296953401	33.17861105766	0.000293457531205729	0.00789380891724219	0.151405246152872	1.14913216923259	0.0593945879498594	0.0600017154080443	0.0669550536898958	0.0895486798709557	0.00494951626521094	6.80461420952481	0.300101766725414	9.897725471436	0.65156167153138	1.63822811937961	1.91639371318816	0.425834332161557	0.206688765721487	7.39013727410902	2.03875755587715	0.000193252564372396	0.000677224930664062	0.0650596405670286	0.687645746588649	0.000823198370184896	1.51107503287105	0.796533280831401	0.0359832721327838	5.59002709974706	8.58785362212398	0.0205597194655729	2.64956451184809	2.90896081719397	-0.0310096551171536	0.0092279418414922	371.846924407956	349.76873892631	332.211646344662
AZ	0.0112568036576875	4.64931552668345	0.0351421143568333	60.3836426382397	0.00793961552621875	0.0285548582370781	0.0623177311473958	0.0882562752037448	0.0187473654506667	0.128857800608026	0.0438806857604114	0.317668444218599	0.0351312910833646	0.00749116060059896	0.134934208861766	0.029033060514099	0.111504551441661	0.090171058562849	9.06108922367216	0.244511577130651	0.0121922617934479	0.0462102265457552	0.00877157105418229	0.00270115566409375	0.225030463431818	0.00763067591073437	2.26310381466794	0.020115001600724	0.00269616355625521	0.0130615384822448	0.0393090904090781	0.00590707517448437	0.0111041158037604	0.00101669455382292	0.0467016229849531	0.039410504237875	0.412007562979	0.0149005351295677	0.220504814570104	0.0453811089128594	9.87246597808162	0.0416406445285104	0.00670918194510417	0.0259718682863177	0.00238150275649479	1.05543186279744	8.84284057728645	1.3275551556865	0.369276005164266	0.0477757954142396	0.0823491517769948	0.438072565206416	0.844621112939323	0.0907420671589063	134.322076608208	0.855026260416374	3.41478867310373	-0.00506564061331771	-0.000660904259494791	240.561200454304	100.471735860399	2.36663451222247
BA	0.753556329375031	0.00194617539795833	8.23958446097528	0.003152157051875	17.3454598699173	1.43086386999653	0.853971896307792	0.345060203446068	0.906199103758333	0.000407756198520833	7.43071464615288	19.0434036582704	0.32176760807637	0.0325964873311875	3.51800031577279	0.048461631293599	5.50558401791809	2.29988112395211	0.00815200183470313	1.0773789154311	9.06533387129274	9.77983984561741	0.130348637827755	0.00674928663344271	28.5407717519009	1.43529022760417e-05	0.00470529152317708	0.066113290453974	0.184742561445365	0.0400929064329844	0.127586549074344	2.025759475098	0.315148470350901	0.0494591545017969	1.99706447294932	0.176506124925625	12.3734774125318	0.299521820136385	3.42781119473739	11.6926299454422	0.62367129618213	0.147169264919604	1.39920938359631	3.79869381479786	2.57573589947917e-05	0.000359437292427083	0.303801991896963	1.41579920678762	0.000425366082322917	0.532007647956016	0.559210404641818	0.0922416263524948	11.5257251668567	2.29971753398294	0.0187418276224896	5.57183876693751	2.47747819190263	-0.0163454811027552	-0.00894598995730729	180.210643858342	157.158808331882	121.102317583081
BE	0.00387485141927083	0.000171215986161458	0.314810657986031	0.000653263978822917	0.00578818544755208	42.7350382840655	0.0127873923118125	0.037344066001276	0.300419236125557	5.40238666354167e-05	0.485491512466724	17.3569275527611	0.172375222708214	0.00670925555391146	3.07396454074031	0.049069833260151	37.8988849407988	29.8123732706472	0.000604961790770833	0.0169331836849115	0.0142155981448125	0.0632215336493646	1.99046318277151	0.0333187630770781	0.425279952013719	-2.33224777395833e-05	0.00215670943958854	0.0153068128020521	1.54197749405447	0.0111932232162552	0.00608452528926042	0.002145331635875	0.00375285067997917	0.0002566205901875	10.2412735864095	0.308031911577729	0.661948037125917	0.376105350043078	0.048167940243151	0.0427811683354115	0.17983431454251	0.106099361818141	0.0165080500107031	0.0497570685001041	-0.000101747691286458	0.000422399374713542	0.0119789693737812	0.0654337555711354	0.000394163323510417	4.34437460933235	0.195959379270901	0.00247390505396354	0.586888216666193	25.1997488788665	0.010697946646151	0.322861820296104	4.06336114266782	0.0791045067913177	-0.00113913531002604	183.306590325327	148.502184011024	147.497171829136
BG	1.72375020968341	0.0761997251140885	3.97282206299632	0.316073802460964	1.66159504730741	1.21491300046937	79.6132426166006	1.42340745415477	0.647871972162427	0.0218656991798281	3.71351226701235	13.6716946640032	0.325279670606646	0.0650128945288958	2.34899223304946	0.129494077739135	3.59796522904268	2.05804246359323	0.368893736342255	26.3638106657427	1.68130193034205	7.12960780206972	0.135292234685797	0.00790483543577604	8.79314587348282	0.000725944212796875	0.633870386230896	0.229460674618625	0.156020268467922	0.0928671410684375	2.29645568802855	0.828279418452521	3.11813171288277	0.0329080025422239	1.50191243671106	0.227835235342271	10.5308089490777	0.27287183419725	36.3373874999407	27.5083337022976	12.5153749792002	0.212430854028839	0.771671558601588	2.47300965824909	1.76653076458333e-05	0.0866025551810781	27.2519692975578	21.6773819088541	0.0504141013887448	0.56401310026151	0.728797231630568	7.59792418366299	15.3659202159288	1.96762045154832	1.3077176699648	5.95290585891587	5.43483524750624	-0.0241705004792604	0.00497093910830208	348.768968038294	309.869215802104	207.447668261369
BY	0.392485670194992	0.0516075715036016	4.65497006472413	0.338913315553633	1.06627477891141	5.90183201432165	3.05720376020229	83.5432302856669	1.08817327833115	0.00309735075478906	13.1972817377321	67.315673092263	8.67680011548926	2.03734686018434	2.82723129463434	3.72891336928215	10.9466490773144	17.1126641264287	0.24995439033787	2.88978051875769	1.67355422489842	7.38234010582938	1.17628938505214	0.0684878509087188	7.87712076940045	0.00277004923698177	1.11909125146353	16.0063511682403	0.570767203178797	6.06943489181718	3.53152839407177	0.383912954075388	0.60958507606787	0.00719736642789583	10.8966306103037	3.63819508321667	156.12743734294	0.307963048863245	16.2712751564804	6.13554463202799	63.801922358054	7.12299438662346	1.06862288746788	5.76750632820986	0.000282624560651042	0.0898655162545052	6.14580989791535	62.0436865381416	0.0611870372080573	2.64504527563155	23.9599316590976	2.01737608626883	4.63826691446416	18.7393825133675	0.723805044355667	1.63511149081565	3.55615275318229	-0.0939885227480599	0.0226623615550547	672.881182387515	615.037389602931	380.675223590748
CH	0.00269251599952865	4.17467504401042e-05	1.8114660905261	0.000124502548330729	0.0159467954528698	1.81502440607137	0.00387708232936328	0.00777244269666927	46.3764279093691	8.54671378776042e-05	0.428320941942536	16.4606723491639	0.0600140486582123	0.00267027457308464	5.55855787294924	0.0133911295965443	35.4054068341569	4.63120706026686	9.07511712018229e-05	0.0119948284411315	0.138081011314518	0.057349932757957	0.414080688668086	0.00418887895669531	22.5913578825337	4.9311946421875e-05	0.000367529752277344	0.00488504348733984	0.302259432460102	0.00181937858709245	0.00161063940252734	0.00353494064736068	0.00276210288233203	0.00148740760697917	1.89871090180156	0.10229354281937	0.363621328712017	0.570117543441211	0.02296035410853	0.0320304025682786	0.0238793500417956	0.032989587814957	0.255801328025195	0.0276840004503008	3.25222634895833e-05	7.99980400169271e-05	0.00571113220816927	0.0199906528263177	0.000109414658705729	1.29384645897966	0.0724108474953867	0.00123078903583594	3.53051799249924	3.52105234362154	0.00272122320465365	1.48125591819557	2.44628525492527	-0.0112720666745247	0.00921318933504557	151.832893241202	139.485885155587	92.886277825348
CY	0.0131755806892995	0.00140386367908073	0.0224640747177943	0.00570532018806771	0.007063793551875	0.00903987406992708	0.0683410383960026	0.0104520769845156	0.00863368963924739	3.85928443575632	0.0157930359991016	0.0899609163737604	0.00288181901161979	0.00067611652715625	0.0577335121373828	0.00191353368303125	0.0540139662827917	0.0223059616426771	0.00718215100909375	0.663816007102172	0.010965496189875	0.0217555333419948	0.00206264749348698	0.000247106784200521	0.194253789055104	4.0657901953125e-05	0.00533852418615885	0.00169065392092187	0.00110373863242708	0.00103084652032031	0.00819089005080208	0.00445046459184896	0.0128392494906484	0.00169647343023437	0.013033585741125	0.00322047809852604	0.0488116321365182	0.00560627587677344	0.0787186235190235	0.0421349270822708	0.143630753424089	0.00266804346204948	0.00475241393977344	0.0086722726786875	1.5828800484375e-05	0.0011420880962526	4.97163244862483	0.0908239349445469	0.000622078287567708	0.0104002643050833	0.00590725604090885	0.0981796651063646	3.85099359109734	0.0164342937868932	3.51839747531687	1.30076148966367	0.685697285654422	-0.00193270175111719	-0.00348018161797917	20.0843506613459	10.6029350508245	5.26510870582123
