	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	112.901938221121	0.0121503754433927	0.261098715306572	0.047976622063552	0.189703505034677	0.0435392835357337	1.97247254974941	0.161301568245755	0.0899424077901225	0.0327642524487865	0.287966493596387	0.783003903250844	0.0508840850848685	0.00751782176078421	1.86511046856699	0.00645069218432686	0.682424166606423	0.0783742481178852	0.0567834512638253	7.43722135722901	0.503038785860667	0.860726815889363	0.0129715102232598	0.000189141335788493	7.54038702092543	8.87900609274705e-06	0.0532608060544377	0.0223180570940928	0.00557537018716817	0.00712555568294429	0.548400395903698	2.04834950063146	0.635209672213221	0.0378488652614534	0.0813205890177934	0.00387888396159063	0.736670072705675	0.0840407295107471	2.1979220354576	7.90837946742015	2.39474598419488	0.0204209433065103	0.0624962371469449	0.206297026481601	9.8832146320492e-06	0.0104517834539536	4.6345604627366	1.74770613328095	0.00707842938129138	0.0534776522892732	0.00370574228213293	0.0449208314613517	0.102171822236096	0.00759368442868891	0.489067460577498	3.8111443098377	2.41878062167577	0.0453277585201006	-0.278950840819629	166.037252268429	159.34001322594	25.8879876521893
AM	0.00614390429335274	53.8548589177889	0.0109243537434187	27.5043690180382	0.00384770780508919	0.00519708664869548	0.0277496265468684	0.0242785598871807	0.00701668725470904	0.148242873693196	0.0145824386343262	0.0648048992237284	0.00861365464032348	0.0018216608983255	0.062523275549341	0.00236960605408391	0.0272460673214158	0.0101340138266144	5.42989970278035	0.0875351030617465	0.00370330759651648	0.0161387974181074	0.0023451944158085	5.57888384539013e-05	0.0621741289670289	0.00158273092852362	0.553494706747926	0.00755923337996999	0.000416617746432467	0.00139082769156123	0.0379274007886498	0.00111505007138553	0.00448164993423549	0.000425185374408184	0.0116286447498305	0.00117783257369433	0.0840069331657944	0.00322661331762761	0.0760498712985103	0.0330180110593905	1.56216290631856	0.00612141403692418	0.00204626111912044	0.0061298873585742	0.000405361890042666	0.692571287735193	62.8570086721311	0.270333259293849	0.459787894494977	0.00298521954548048	0.00124819908697189	0.028919435690688	0.0971093636733272	0.00142325162016926	52.2629598736978	1.09421512692704	1.70542446757134	0.0257636517411579	0.0429625017414759	209.323655719428	154.060644628132	0.755107577478298
AT	0.225964849597516	0.0141583255484952	230.333178393362	0.099203370187246	1.16947022446723	1.80342142577574	0.987184366401155	1.55988997269774	15.7654109730807	0.00966381252623204	30.2835785609982	141.92434708691	1.59846257407424	0.0435949516341133	1.08546094719512	0.117709826260419	13.0692916712909	2.60826469783254	0.18851591503473	0.400509722794264	5.86400427512039	15.5244039976352	0.475341771282853	0.00850260217988747	21.0669864656051	4.9668195369925e-05	0.17132592954149	0.333922389472535	0.378677400268144	0.0854680043963297	0.61263051444736	0.129070024157191	0.168819582436997	0.0014711589538436	3.50059156979163	0.134173905619815	18.8611066565009	0.0448618772269109	5.67266153005585	5.56568762564166	2.69000580371458	0.367710684759776	11.8652069728821	6.9849215512794	4.24312926189353e-05	0.0235642127676503	2.26681516259615	3.51730543692306	0.0173939690149422	0.109729950184833	0.0356092123018624	0.0226033901918126	0.265276759095514	0.238594802229249	0.242900062397932	0.851710882885941	3.09164666009139	0.193671516276066	0.00632738179043149	554.678075458873	549.620004841428	515.292004342286
AZ	0.00848897404732245	14.823105240571	0.019630937456784	299.853527419285	0.00974149413220848	0.0154864025076159	0.0509301820660488	0.230541301084164	0.0127769930599586	0.175887492991262	0.0366007129495077	0.194442997262099	0.0283171984253398	0.0148221517631309	0.0805994854964887	0.0180765645126251	0.0572385987634744	0.0307843342554225	13.5384259308251	0.103286372341421	0.00695298345176806	0.0319812649259709	0.005398581236398	0.000155515704336964	0.0894844787435888	0.0108653634832327	0.64905276228723	0.0572965042657224	0.00102212987547756	0.0127958581349279	0.0954063068013146	0.00332885223987217	0.0058826460475033	0.000456218376198939	0.0363992935764021	0.00451515757274084	0.309086426765702	0.00428113636640521	0.178086615495246	0.0645346962215138	21.1772860114402	0.0272288547484921	0.00438054600269239	0.0146002178845687	0.0120709875567429	4.21693922168142	41.4448364982076	1.32425468058856	3.13584285882499	0.00352979662910414	0.00357266202394129	0.0487729294776583	0.107166500925998	0.0047269480877389	119.368162309406	1.38932965194306	2.68535192026266	0.041383055972603	0.0480337419917995	525.927162969023	402.227133452303	1.60555454064078
BA	2.31474039561456	0.0225299014640006	4.72601270837446	0.114779447268655	81.5488628656444	0.209948256646237	1.96485231197086	1.17632061449368	0.375298513595616	0.0184786356248322	4.58771750830515	8.07463578015334	0.720623721421078	0.0257449351286146	2.59667469194014	0.0448205983316625	1.86835679725882	0.484948535424673	0.136416916330015	1.72574910255966	23.6986302738463	16.4407887430218	0.0952621601251072	0.00284541433585404	16.4827262552228	7.86321646720171e-06	0.115750536802258	0.295008987377549	0.0267416258061612	0.0738946280008263	1.04990844465268	3.21587213460661	0.447611941730088	0.0224286030190121	0.445590294234937	0.0549756242368001	11.1449675308424	0.0945261954826021	9.44576746029473	26.4877180164659	3.1594039754711	0.221080837791046	1.02785016357188	4.09379331386267	6.49856167534987e-08	0.0136305933078574	5.14075463124837	3.76658323055205	0.0126216146617892	0.080514707385572	0.0316978019074428	0.0527929403775524	0.573601914492438	0.0540247061653159	0.394448417909973	3.76684309371084	2.54103117903334	0.155311829708719	0.00944545668735883	247.473965443702	239.814253396324	110.657620655639
BE	0.00293896369976302	7.78560806699097e-05	0.987345591014722	-0.0007280422128054	0.00553294527827762	145.857424158794	0.00424092789661077	0.362082576022696	0.800321101449389	2.11456569203486e-05	1.46679142062549	37.5432345417504	0.662107268145867	0.0139471423125286	2.17594384057507	0.0327101460446436	69.2539782740545	11.1876585080543	0.000280911871718864	0.00256675517247307	0.0491656989641419	0.292386587004506	1.70453157801572	-0.00120065917931497	0.908551691841779	-2.94952357932925e-05	0.0020948749574367	0.107279311434466	4.68774167430411	0.0284726940002665	0.0057979655150678	0.000822731529815743	-0.000688481350295867	6.08371703686813e-05	31.629298799155	0.0587465229811675	2.06149010507229	0.0947902973168728	0.0389199766494166	0.0723748162912143	0.216041190306917	0.159320779560342	0.0751861399291611	0.24234898297984	-1.14056564085186e-05	8.86470845993608e-05	0.0110007454882823	0.149807190061658	5.60370656618228e-05	-0.0153559599359017	0.0540222235385148	-7.82430186967055e-05	0.0399113516982446	-0.67668785475773	-0.00122325616407332	0.181838239691746	0.918736560276498	-0.0478048841474994	0.00567444337151013	313.411954486098	312.952921865545	311.267514873496
BG	2.32442674268369	0.0945324119248732	1.87622298889906	0.685868507790671	1.13897658061165	0.187486040078887	171.868769228711	2.64816394667651	0.218095821297215	0.0366309343991131	1.95615720533224	4.65298292661353	0.542583660205479	0.0611596319982707	1.51954572896571	0.098576443761449	0.916793068803442	0.355967297947194	0.736404743434731	17.1458370301367	1.2452795814339	5.9814496066686	0.0500181446625497	0.000909014966290444	3.51142476176068	0.000106719245163724	0.613039402870671	0.352460072921254	0.0160223792056994	0.0875073025768657	11.0022891630799	0.498975718504763	5.51014963680116	0.0116063475736684	0.356138211776792	0.044738346294644	5.54569038852424	0.0745646209839216	75.778649145598	17.0039769568642	25.9348613322429	0.247480176867278	0.269774265050911	1.65366972496673	0.000188213387350862	0.274119278982733	41.8765267143753	22.8305743925729	0.25019428770692	0.0651462980549525	0.0426536036495296	0.00210721175864555	0.527531169487153	0.0637973314402554	1.01786023940394	4.24352686660486	3.60733714912246	0.114204531350916	-0.0204581066484073	439.751271142962	430.087564848737	296.400446916423
BY	0.574867211170305	0.0510637531128173	2.86702803965814	0.369843843906755	1.06637831849255	2.04692094516819	2.77415806342614	445.914015472965	0.782025843162184	0.0143905558587885	7.15570638193915	31.4784378548577	4.55997123324136	1.02341624945031	0.924938033555992	1.44109248786467	7.1122741299504	4.26331583250949	0.221804358796318	1.44916001388742	1.86332218075227	9.65303441634966	0.680951598242159	0.00966721756181206	4.63637027696856	0.00573670460789922	1.001815763187	21.0241166294303	0.182116145885734	4.64059121394028	15.2712033504948	0.259509183404835	0.578697660104315	0.00367263473900563	3.89328048008315	0.657552137477369	89.659368650412	0.0310563562501433	26.0444923579914	5.51016451556669	98.9242870727048	3.59533440371871	0.837575893560268	4.38945661551747	0.0109759443531142	0.371110275250258	10.6195828429179	95.4056327984019	0.703753881226067	0.170694290603078	-0.000887836709942352	0.26465007104357	0.428050557145914	0.382718706199137	1.66537497097686	1.18909677404551	4.86680430876345	0.198580981566515	0.287723520778936	926.008044168486	916.555237824074	238.245549675209
CH	0.0106451086341082	0.000921249313937384	3.11608451136315	0.00241110928910334	0.0498565954709686	1.08842307437427	0.0238236785235839	0.13996681629161	253.265450917999	0.000209288475871435	1.41885771238684	46.606857201158	0.102052148896357	0.00680422851040928	2.30302387460877	0.00919013522791113	31.1392161452797	1.07310708591891	0.00400144870253524	0.0215954295718697	0.133805450580661	0.192355486492707	0.181690672335498	0.00206446403431993	17.9343214801007	4.11791956366505e-06	0.0110996620096083	0.0402110667719165	0.287244158632464	0.0105449412081869	0.0214591347745197	0.0075517258351614	0.00557395786519093	0.000727334424243153	1.3953203678215	0.0132728940101774	1.2772260180578	0.13837060503548	0.124442224178265	0.125676334693831	0.192519122851988	0.0381855683063214	0.204233990120797	0.123938236436916	4.06138925983881e-06	0.000353522846242995	0.10436193731159	0.182811406988955	0.000772528286392296	0.127699347193126	0.00411810746953341	0.000849259086841407	0.171018524457104	0.116237217859248	0.00654548207067535	0.757333774756964	2.00027025209664	0.101978006440008	0.0349384568433871	366.453628659591	363.132640231317	108.991862114799
CY	0.00880728116881319	0.0057431109428606	0.00600767375560012	0.0147408328272559	0.00340221900816107	0.00174858748512203	0.0369263440073926	0.0235557640088075	0.00325843557515104	12.6404390649881	0.00634417834151241	0.024525150490404	0.00220797611571134	0.000844190346816865	0.0767801482513044	0.000737149583855954	0.0296244421893122	0.00347342424332304	0.0193017943640341	0.292806900321431	0.00424519659883296	0.0100727556418154	0.000451175630205777	9.0948281652915e-06	0.10472846888297	-4.49358509869004e-06	0.0158710091709841	0.00559841409365724	0.000218586385151837	0.00264292566101936	0.0187299160017425	0.000982514258937134	0.00640144339119627	0.00194633898694099	0.00320230707196798	0.000525190701830667	0.0243345472493251	0.00266013518709751	0.0469128768859082	0.0306790823071661	0.259016373286505	0.00179039024979885	0.00155731662710368	0.00329759899105954	6.2908422476612e-06	0.00415169977611133	7.31925964569468	0.128669456534304	0.00330813419832181	0.000824886784085228	0.000205708827723904	0.0147594325348935	-0.171451598898578	0.000480477597419638	3.86341107465761	2.11128628433153	0.470762090438928	-0.0387253917872352	-0.0656718379758719	27.3884201860754	21.2025390595649	13.3361242642627
