            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.184228;     0.045726;     0.897748;     0.019145;     0.037214;     0.111523;     0.164255;     3.110714;     0.176744;     0.026608;     2.870789;     0.032701;     4.810678;     5.745928;     0.023301;     0.031303;     0.022536;     0.533401;     0.036339;     1.010544;     0.013061;     0.081829;     0.012179;     0.001345;     1.318739;     0.146196;     0.130770;     0.650594;     0.010239;     0.013839;     0.087383;     0.080190;     0.034030;     0.019007;     0.024160;     0.060347;    28.890516;     0.220478;     0.001231;     0.512978;     0.016805;     1.602109;    13.217555
EEZ65       ;     0.255260;     0.110829;     2.026114;     0.012623;     0.248009;     0.115555;     1.074618;     7.068800;     1.195206;     0.032739;     0.821482;     0.150780;     3.334267;    23.356834;     0.016125;     0.026382;     0.195897;     1.490849;     0.093627;     0.685051;     0.147069;     0.124651;     0.034554;     0.002075;     3.163039;     2.234840;     2.891585;     0.122657;     0.046235;     0.043137;     0.502470;     0.646505;     0.051685;     0.137145;     0.028994;     0.215751;     5.694777;     1.297665;     0.001735;     0.264640;     0.006670;     8.312401;     1.503670
EEZ71       ;     0.486563;     0.053559;     2.616924;     0.034845;     0.204037;     0.281222;     1.188511;     8.942317;     1.166318;     0.019556;     0.781527;     0.201164;     6.475985;    23.185986;     0.025120;     0.028797;     0.105600;     2.645744;     1.133376;     0.977251;     0.098790;     0.164955;     0.028868;     0.004854;     3.173107;     1.769316;     2.263746;     0.135403;     0.039522;     0.040198;     0.437392;     0.633661;     0.044236;     0.149575;     0.017707;     0.183554;     9.360335;     1.060402;     0.003214;     0.259764;     0.040580;     5.974526;     5.071898
EEZ91       ;     0.554438;     0.035937;     1.816502;     0.040286;     0.040842;     0.228798;     0.728893;     4.770311;     0.259807;     0.011688;    59.036369;     0.059832;    10.417894;     6.655398;     0.044348;     0.047262;     0.138483;     0.834396;     0.047752;     2.066586;     0.024150;     0.155929;     0.011295;     0.013100;     1.704584;     0.372802;     1.192952;    35.392673;     0.089706;     0.039417;     0.232310;     0.168957;     0.098600;     0.106681;     0.021559;     0.194795;    83.519684;     0.227837;     0.017570;     8.371422;     0.355515;     2.861298;     4.961371
EEZ99       ;     0.016946;     0.001938;     0.048256;     0.000837;     0.000174;     0.006219;     0.020076;     0.139236;     0.007273;     0.000643;     0.529970;     0.003575;     0.372063;     0.279698;     0.000611;     0.001790;     0.006673;     0.028251;     0.000670;     0.060810;     0.000347;     0.004575;     0.000210;     0.000029;     0.036592;     0.007157;     0.051750;     0.090120;     0.001648;     0.000980;     0.003555;     0.005431;     0.003582;     0.003439;     0.000506;     0.001991;     0.667680;     0.013215;     0.000077;     0.033334;     0.002505;     0.150291;     0.014279
EEZ100      ;     0.007845;     0.007918;     0.099602;     0.000623;     0.012020;     0.005804;     0.038407;     0.274051;     0.036063;     0.001698;     0.056200;     0.006327;     0.173724;     1.255276;     0.000986;     0.002753;     0.010879;     0.067504;     0.003551;     0.050421;     0.004326;     0.006776;     0.001636;     0.000080;     0.157146;     0.068897;     0.113066;     0.006926;     0.003506;     0.003911;     0.025158;     0.022392;     0.003495;     0.005396;     0.001838;     0.011974;     0.345278;     0.042731;     0.000078;     0.014925;     0.000333;     0.418714;     0.099766
EEZ108      ;     1.568569;     0.201158;     6.211238;     0.103614;     0.305699;     0.509630;     3.005056;    17.057486;     1.590744;     0.060339;    11.139432;     0.418763;    19.629389;    58.893318;     0.057143;     0.108402;     0.580733;     3.487382;     0.158425;     2.800291;     0.099256;     0.555530;     0.062896;     0.011611;     5.230128;     1.688021;     4.138269;     2.284482;     0.245893;     0.112986;     0.858651;     1.128457;     0.231211;     0.519215;     0.096432;     0.729667;    37.168568;     2.096529;     0.013120;     1.250640;     0.036909;    24.517754;     7.263995
EEZ109      ;     0.025789;     0.007947;     0.197391;     0.008966;     0.037324;     0.009257;     0.130234;     0.575744;     0.043786;     0.012052;     0.610420;     0.039048;     0.089109;     2.875921;     0.006273;     0.006561;     0.054028;     0.359407;     0.007003;     0.114705;     0.017174;     0.017443;     0.009424;     0.001449;     0.232369;     0.132993;     0.428925;     0.085427;     0.046937;     0.007015;     0.117210;     0.074304;     0.008219;     0.042021;     0.009204;     0.098338;     1.537872;     0.107493;     0.001141;     0.051248;     0.004553;     3.711763;     0.898516
EEZ110      ;     0.014526;     0.001612;     0.074207;     0.002860;     0.008636;     0.003304;     0.037922;     0.235806;     0.013482;     0.002408;     0.224803;     0.009264;     0.029373;     0.972026;     0.002316;     0.001799;     0.017945;     0.123103;     0.001902;     0.050207;     0.003647;     0.006716;     0.002086;     0.000364;     0.090737;     0.033065;     0.140658;     0.031849;     0.014464;     0.001846;     0.027434;     0.019972;     0.003206;     0.014150;     0.002898;     0.026833;     0.526312;     0.027772;     0.000323;     0.023741;     0.001279;     1.033740;     0.197405
EEZ119      ;     0.001428;     0.000371;     0.008629;     0.000084;     0.000696;     0.000674;     0.003585;     0.028461;     0.002850;     0.000078;     0.002576;     0.000467;     0.017615;     0.082567;     0.000068;     0.000066;     0.000522;     0.005823;     0.000668;     0.003292;     0.000260;     0.000453;     0.000100;     0.000006;     0.012362;     0.006750;     0.007188;     0.000802;     0.000190;     0.000146;     0.001522;     0.001633;     0.000132;     0.000543;     0.000073;     0.000822;     0.025282;     0.003247;     0.000007;     0.001491;     0.000043;     0.024421;     0.006007
