          ;    AT;    BA;    BE;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   NOA
EEZ48       ;     0.104678;     0.042602;     0.428888;     0.053722;     0.088177;     0.178673;     0.662408;     0.081766;     0.041446;     0.219325;     0.072357;     5.243797;     2.755593;     0.060832;     0.099481;     1.842408;     0.033027;     0.328101;     0.003237;     0.028686;     0.014462;     0.009971;     0.692509;     0.066448;     0.123929;     0.057666;     0.065196;     0.050594;     0.048036;     0.082282;     0.036376;     0.036282;     0.012558;     0.074033;     0.066448
EEZ65       ;     0.029234;     0.012187;     0.244446;     0.119163;     0.042780;     0.026878;     1.223669;     0.870214;     0.011894;     0.053384;     0.041459;     1.426725;     2.588918;     0.010366;     0.022155;     1.512473;     0.057500;     0.072137;     0.048961;     0.014549;     0.017815;     0.009940;     0.473896;     0.180450;     0.279818;     0.020988;     0.030461;     0.011654;     0.112090;     0.314823;     0.007703;     0.020066;     0.010338;     0.160417;     0.180450
EEZ71       ;     0.027508;     0.022182;     0.356635;     0.132082;     0.058999;     0.061580;     1.457219;     0.709411;     0.031475;     0.073418;     0.057277;     1.778759;     2.944825;     0.007036;     0.034170;     1.701534;     1.946678;     0.085729;     0.063948;     0.019394;     0.033554;     0.015426;     0.307215;     0.233068;     0.268181;     0.033748;     0.040647;     0.013846;     0.139421;     0.285755;     0.012223;     0.025749;     0.019394;     0.103850;     0.233068
EEZ91       ;     0.040119;     0.022267;     0.830933;     0.010523;     0.045434;     0.031972;     0.869356;     0.232145;     0.017205;    10.405729;     0.018848;    11.284534;     1.167387;     0.020488;     0.025281;     0.911107;     0.010088;     0.218674;     0.008179;     0.079421;     0.012351;     0.016748;     0.806669;     0.028061;     0.031342;    26.052610;     0.022772;     0.024318;     0.019733;     0.041398;     0.016932;     0.020111;     0.017844;     0.024361;     0.028061
EEZ99       ;     0.002990;     0.000542;     0.013155;     0.000753;     0.002098;     0.001251;     0.027277;     0.006123;     0.000408;     0.067601;     0.000132;     1.106404;     0.007026;     0.001356;     0.001043;     0.025797;     0.000321;     0.003003;     0.000225;     0.002273;     0.000281;     0.000441;     0.031460;     0.000788;     0.002260;     0.007527;     0.002293;     0.000759;     0.000421;     0.001720;     0.000315;     0.000768;     0.000319;     0.003080;     0.000788
EEZ100      ;     0.001175;     0.000355;     0.003180;     0.004117;     0.001131;     0.000415;     0.046180;     0.046678;     0.000399;     0.000462;     0.002079;     0.062311;     0.144295;     0.000389;     0.000345;     0.102355;     0.001232;     0.002262;     0.001522;     0.000274;     0.000483;     0.000569;     0.019582;     0.004397;     0.013074;     0.000470;     0.001194;     0.000357;     0.003435;     0.014035;     0.000153;     0.000847;     0.000340;     0.006509;     0.004397
EEZ108      ;     0.188136;     0.039226;     1.648314;     0.132750;     0.169154;     0.360835;     5.491683;     0.563379;     0.032282;     0.116116;     0.031762;    15.244111;    18.856911;     0.057719;     0.151425;    51.356396;     0.028753;     0.322732;     0.068689;     0.079149;     0.035933;     0.030965;     1.882922;     0.080669;     1.082772;     0.087371;     0.141236;     0.042819;     0.174323;     0.200786;     0.042394;     0.136426;     0.025922;     0.259290;     0.080669
EEZ109      ;     0.008696;     0.000374;     0.210866;     0.001865;     0.011325;     0.001814;     0.150756;     0.013141;     0.000374;     0.000374;     0.000378;     3.708813;     0.809563;     0.001293;     0.001974;     0.120948;     0.000313;     0.003943;     0.000585;     0.006342;     0.000252;     0.000382;     0.122299;     0.000428;     0.009711;     0.000758;     0.001897;     0.000392;     0.000374;     0.001038;     0.000312;     0.003163;     0.000374;     0.004452;     0.000428
EEZ110      ;     0.001887;     0.000125;     0.063469;     0.000432;     0.004679;     0.000125;     0.038424;     0.002487;     0.000125;     0.000125;     0.000125;     2.426925;     0.131714;     0.000433;     0.000125;     0.029223;     0.000125;     0.000125;     0.000214;     0.002706;     0.000123;     0.000143;     0.046725;     0.000125;     0.000146;     0.000125;     0.000126;     0.000125;     0.000125;     0.000128;     0.000037;     0.000093;     0.000125;     0.000136;     0.000125
EEZ119      ;     0.000047;     0.000054;     0.000911;     0.000180;     0.000092;     0.000060;     0.003311;     0.001747;     0.000022;     0.000110;     0.000140;     0.005035;     0.007574;     0.000013;     0.000059;     0.004680;     0.000737;     0.000171;     0.000065;     0.000017;     0.000012;     0.000021;     0.000707;     0.000348;     0.000242;     0.000075;     0.000061;     0.000054;     0.000323;     0.000541;     0.000032;     0.000034;     0.000003;     0.000173;     0.000348
EEZ123      ;     0.001020;     0.001516;     0.007197;     0.013057;     0.001453;     0.003041;     0.114438;     0.086516;     0.002305;     0.002373;     0.004777;     0.021107;     0.109101;     0.000423;     0.001626;     0.040314;     0.019861;     0.004538;     0.005834;     0.000623;     0.003297;     0.000767;     0.019269;     0.021109;     0.022364;     0.000670;     0.001878;     0.001078;     0.015310;     0.028198;     0.000708;     0.001399;     0.000790;     0.004935;     0.021109
EEZ185      ;     0.016644;     0.002697;     0.030916;     0.172963;     0.007145;     0.018292;     0.724470;     2.653288;     0.002870;     0.000994;     0.028265;     0.094466;     0.021932;     0.004909;     0.025851;     0.025686;     0.000660;     0.013127;     0.079364;     0.003348;     0.016480;     0.004369;     0.251514;     0.222661;     0.310604;     0.000924;     0.030909;     0.013904;     0.052601;     2.742283;     0.001949;     0.021917;     0.001658;     0.086677;     0.222661
