            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.057365;     0.005258;     1.247488;     0.004766;     0.003116;     0.066044;     0.051830;     2.692718;     0.057010;     0.000466;     6.483343;     0.002123;     4.882562;     3.182657;     0.010769;     0.015594;     0.003453;     0.641939;     0.003263;     0.248581;     0.001432;     0.109316;     0.000587;     0.001786;     1.316590;     0.036781;     0.013930;     4.635740;     0.006818;     0.005645;     0.032780;     0.011031;     0.013599;     0.000917;     0.009467;     0.010152;    34.187515;     0.048874;     0.000671;     1.158493;     0.918548;     3.076611;   129.287384
EEZ65       ;     0.948721;     0.062566;     4.276896;     0.046193;     0.121167;     0.287251;     1.270823;    19.065273;     2.559893;     0.075989;     1.398978;     0.505127;     8.927469;    50.975498;     0.071693;     0.083778;     0.353981;     7.593711;     1.162057;     0.654782;     0.150392;     0.303320;     0.090158;     0.016990;     6.677625;     6.522065;     4.420594;     0.208546;     0.151399;     0.178387;     0.521265;     1.684801;     0.090545;     0.259622;     0.085080;     0.258716;    12.365313;     3.713663;     0.014671;     0.386914;     0.401611;    26.142195;    22.321272
EEZ71       ;     1.292449;     0.044161;     7.312272;     0.032818;     0.234100;     0.475053;     1.962249;    32.926868;     4.060722;     0.169230;     4.792624;     0.683336;    18.373947;    58.734245;     0.031231;     0.091760;     0.415956;     9.105429;    16.273262;     1.304896;     0.390654;     0.619107;     0.232922;     0.028615;    11.216373;     8.037293;     7.097494;     0.730526;     0.159107;     0.166578;     1.224046;     2.449915;     0.101666;     0.367693;     0.070250;     0.480581;    24.395163;     5.445844;     0.017030;     1.038137;     0.980592;    34.078098;   113.762733
EEZ91       ;     0.133094;     0.025511;     0.818604;     0.004263;     0.037976;     0.067697;     0.131849;     2.511568;     0.254959;     0.010687;    20.824831;     0.054648;     5.632792;     6.458132;     0.023612;     0.055523;     0.028292;     0.784241;     0.013914;     0.787970;     0.034731;     0.045969;     0.018355;     0.001779;     1.428729;     0.143551;     0.506401;    13.134705;     0.011041;     0.014379;     0.187385;     0.118434;     0.042319;     0.018309;     0.027800;     0.037075;    61.927017;     0.416748;     0.003361;     9.147776;     8.651763;     4.764356;    17.833838
EEZ99       ;     0.002047;     0.000116;     0.047293;     0.000023;    -0.000647;     0.002193;     0.009721;     0.184684;     0.007569;     0.000754;     0.767923;     0.001315;     0.347952;     0.282825;     0.000096;     0.000300;     0.000642;     0.030584;     0.000372;     0.010280;     0.001463;     0.006413;     0.001183;    -0.000019;     0.059325;     0.004643;     0.035902;     0.181966;     0.000067;     0.000113;     0.003203;     0.004411;     0.000445;     0.000369;     0.000196;     0.000558;     0.988306;     0.014461;     0.000035;     0.025139;     0.015814;     0.286891;     0.144075
EEZ100      ;     0.012181;     0.000032;     0.128964;     0.000055;     0.002082;     0.005551;     0.019063;     0.416154;     0.070722;     0.003014;     0.046392;     0.013335;     0.272645;     2.174053;     0.000105;     0.000694;     0.003468;     0.435746;     0.021676;     0.011981;     0.005785;     0.007751;     0.003921;     0.000147;     0.147535;     0.258724;     0.084782;     0.008044;     0.000655;     0.000947;     0.014517;     0.052982;     0.001002;     0.002985;     0.000231;     0.003846;     0.530560;     0.122392;     0.000173;     0.008464;     0.009986;     0.828491;     0.803171
EEZ108      ;     0.728915;     0.003942;     5.893867;     0.004447;     0.549626;     0.385616;     1.604795;    29.079741;     2.567317;     0.130045;     4.702197;     0.315652;    15.984901;    66.453316;     0.011602;     0.010865;     0.157445;    23.844177;     0.306280;     0.403253;     0.510991;     0.462578;     0.249111;     0.008347;    10.466823;     1.209782;     8.539944;     1.421770;     0.041941;     0.017157;     1.509817;     0.958905;     0.021479;     0.146379;     0.014949;     0.343483;    46.140579;     4.269207;     0.007108;     0.837072;     0.755185;    28.768389;    52.490009
EEZ109      ;     0.065050;     0.000484;     0.486549;     0.000536;     0.036798;     0.045571;     0.147494;     1.631204;     0.054906;     0.005231;     0.460467;     0.021703;     2.044914;     2.367727;     0.000868;     0.000999;     0.002280;     0.114805;     0.001746;     0.075599;     0.016943;     0.034624;     0.007391;     0.000268;     0.592491;     0.036629;     0.516368;     0.115164;     0.001825;     0.000508;     0.068597;     0.034017;     0.002552;     0.005725;     0.001072;     0.008872;     1.628519;     0.115474;     0.000278;     0.042360;     0.019608;     3.058927;     0.349853
EEZ110      ;     0.011679;     0.000023;     0.130189;     0.000027;     0.003225;     0.014503;     0.025622;     0.327184;     0.017919;     0.000388;     0.179659;     0.003219;     0.779536;     0.610021;     0.000078;     0.000171;     0.000367;     0.043277;     0.000587;     0.016584;     0.001573;     0.010552;     0.000647;     0.000008;     0.156631;     0.009159;     0.071031;     0.041296;     0.000172;    -0.000022;     0.006435;     0.007119;     0.000635;     0.000890;     0.000131;     0.001013;     0.500619;     0.020892;     0.000040;     0.013975;     0.006271;     0.973308;     0.090368
EEZ119      ;     0.002671;     0.000023;     0.018954;     0.000005;     0.000395;     0.001299;     0.004180;     0.084745;     0.009994;     0.000341;     0.006796;     0.001825;     0.053141;     0.214660;    -0.000006;     0.000189;     0.000791;     0.034423;     0.008985;     0.004116;     0.000828;     0.001572;     0.000476;     0.000000;     0.028848;     0.020567;     0.015801;     0.000587;     0.000072;     0.000205;     0.002368;     0.007249;     0.000229;     0.000679;     0.000016;     0.000581;     0.057955;     0.016942;     0.000009;     0.002179;     0.001323;     0.109387;     0.116602
