          ;    AT;    BA;    BE;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   NOA
EEZ48       ;     0.500282;     0.652258;     3.011209;     0.062340;     1.147856;     0.865275;    13.178139;     1.137606;     0.010074;    29.352070;     0.042265;    45.669472;    31.352644;     0.229072;     0.954801;     7.994301;     0.196820;     3.610148;     0.021815;     0.243080;     0.014884;     0.019299;     2.621526;     0.385391;     2.579475;     3.385658;     0.491583;     0.489659;     0.081429;     0.246751;     0.464793;     0.146548;     0.076655;     0.169431;     0.385391
EEZ65       ;     0.965413;     0.110261;     0.772483;     0.354817;     0.334098;     1.266985;     8.615240;     2.217072;     0.022589;     4.693840;     0.092135;     7.962759;    26.239883;     0.257179;     0.999250;     9.295841;     0.642112;     4.154554;     0.036867;     0.058083;     0.012298;     0.044159;     1.234046;     1.206605;     4.642817;     0.837901;     0.306313;     0.265248;     0.494483;     0.581936;     0.306231;     0.495543;     0.013265;     0.631082;     1.206605
EEZ71       ;     0.617687;     0.144662;     2.478166;     1.188225;     0.375598;     1.595158;    15.044861;     3.451925;     0.067638;    16.669758;     0.587759;    24.347137;    46.790939;     0.242731;     0.838294;    24.077740;    13.325959;     2.891818;     0.311520;     0.151691;     0.084282;     0.045522;     3.161230;     3.140450;     7.711564;     1.919521;     0.451866;     0.317830;     2.460192;     1.653024;     0.241021;     0.447811;     0.073871;     0.920109;     3.140450
EEZ91       ;     0.021761;     0.027223;     0.753954;     0.010842;     0.111935;     0.026961;     2.115093;     0.098866;     0.003831;    24.455576;     0.007982;     9.216049;     5.546138;     0.019863;     0.020914;     1.886249;     0.025278;     0.597111;     0.009064;     0.044445;     0.013775;     0.002414;     0.643826;     0.039090;     0.125628;    23.403179;     0.014737;     0.017728;     0.019650;     0.036276;     0.018065;     0.008714;     0.013837;     0.010853;     0.039090
EEZ99       ;     0.002227;     0.001571;     0.024079;     0.001226;     0.007525;     0.003423;     0.092737;     0.026035;     0.001854;     1.183672;     0.001029;     0.948406;     0.295454;     0.001853;     0.003430;     0.071378;     0.001310;     0.035680;     0.001447;     0.002753;     0.000662;     0.000028;     0.040586;     0.002272;     0.020327;     0.185645;     0.001223;     0.001900;     0.002313;     0.006379;     0.002412;     0.001117;     0.000132;     0.000644;     0.002272
EEZ100      ;     0.021674;     0.000653;     0.051431;     0.007933;     0.010858;     0.042039;     0.343406;     0.050119;     0.000481;     0.145090;     0.001952;     0.291982;     1.307544;     0.002323;     0.018922;     0.695146;     0.014774;     0.108697;     0.000326;     0.002910;     0.000120;     0.000348;     0.102820;     0.026161;     0.072450;     0.022309;     0.001525;     0.000755;     0.008003;     0.007737;     0.005896;     0.007861;     0.000356;     0.007237;     0.026161
EEZ108      ;     0.241648;     0.148724;     3.047192;     0.355231;     0.217023;     0.823367;    12.320491;     2.850894;     0.057967;    13.062764;     0.177362;    24.899940;    59.455177;     0.145227;     0.458425;   100.878990;     0.376128;     1.302841;     0.159111;     0.096683;     0.038551;     0.017431;     4.696154;     0.716191;     7.501930;     2.173908;     0.183330;     0.087006;     0.362560;     0.873455;     0.099662;     0.415102;     0.017015;     0.219365;     0.716191
EEZ109      ;     0.003869;     0.005761;     0.145389;     0.013219;     0.008172;     0.008476;     0.294722;     0.058406;     0.005250;     1.102495;     0.006930;     7.979831;     1.834967;     0.006662;     0.011912;     0.413319;     0.001212;     0.064022;     0.012977;     0.003053;     0.005482;     0.000863;     0.184451;     0.009177;     0.066495;     0.094773;     0.012347;     0.009585;     0.031497;     0.030576;     0.003592;     0.004847;     0.000251;     0.017243;     0.009177
EEZ110      ;     0.002061;     0.001276;     0.048297;     0.005113;     0.002906;     0.001605;     0.079607;     0.011580;     0.001530;     0.357735;     0.002659;     4.517439;     0.341908;     0.001617;     0.002890;     0.079139;     0.000463;     0.029784;     0.004473;     0.001050;     0.001508;     0.000586;     0.046645;     0.002859;     0.013053;     0.029653;     0.005254;     0.004982;     0.011023;     0.006483;     0.000616;     0.001047;     0.000101;     0.007201;     0.002859
EEZ119      ;     0.000942;     0.000114;     0.003797;     0.003239;     0.000933;     0.003360;     0.029763;     0.006507;     0.000034;     0.032950;     0.000535;     0.041459;     0.062157;     0.000106;     0.000632;     0.044337;     0.007329;     0.006401;     0.000138;     0.000167;     0.000033;     0.000020;     0.008242;     0.004559;     0.016649;     0.006782;     0.000088;     0.000073;     0.004245;     0.002156;     0.000418;     0.000203;     0.000055;     0.002020;     0.004559
EEZ123      ;     0.143232;     0.016211;     0.077479;     0.078633;     0.038502;     0.146762;     1.154316;     0.313008;     0.010606;     0.151526;     0.034924;     0.489729;     1.648301;     0.043285;     0.145798;     0.330998;     0.272216;     0.713178;     0.023189;     0.007997;     0.011840;     0.009519;     0.143027;     0.239941;     0.562221;     0.058260;     0.073040;     0.034512;     0.222319;     0.148243;     0.052942;     0.063339;     0.003068;     0.118897;     0.239941
EEZ185      ;     0.565593;     0.067383;     1.632936;     0.196148;     0.402170;     1.112772;    16.096844;    11.437561;     0.021786;     1.312412;     0.031530;     6.818402;     3.065966;     0.136643;     0.381408;     0.305180;     0.003358;     1.181063;     0.076247;     0.146179;     0.018545;     0.011987;     3.377369;     0.358958;     3.568150;     0.104283;     0.359019;     0.121128;     0.174643;     3.315382;     0.122340;     0.259912;     0.026498;     0.336256;     0.358958
EEZ187      ;     0.004600;     0.000588;     0.016913;     0.002349;     0.002583;     0.013288;     0.152299;     0.089462;     0.000198;     0.013284;     0.000496;     0.065386;     0.029024;     0.001450;     0.004875;     0.002648;     0.000053;     0.008491;     0.000782;     0.001445;     0.000158;     0.000121;     0.030306;     0.005218;     0.045260;     0.000848;     0.003443;     0.001578;     0.002540;     0.029213;     0.001212;     0.003317;     0.000267;     0.004086;     0.005218
EEZ188      ;     0.006947;     0.005383;     4.896185;     0.015953;     0.042894;     0.010506;     0.670983;     0.062199;     0.002964;     0.702508;     0.003889;     6.960968;     2.641249;     0.010313;     0.017222;     0.203951;     0.001796;     0.166477;     0.009641;     0.019239;     0.002753;     0.000547;     0.829447;     0.008269;     0.038633;     0.075798;     0.003310;     0.004863;     0.023066;     0.018860;     0.006014;     0.003385;     0.000352;     0.012168;     0.008269
EEZ189      ;     0.572811;     0.057447;    27.563141;     0.272245;     1.921131;     1.258057;    34.265789;     2.421425;     0.039518;     9.551499;     0.059124;    65.551369;    53.461514;     0.124605;     0.175534;     4.724802;     0.029914;     4.112029;     0.092119;     0.743006;     0.036569;     0.005704;    39.740646;     0.299124;     2.324739;     0.925323;     0.068286;     0.060497;     0.327162;     0.269518;     0.116486;     0.079593;     0.006587;     0.268580;     0.299124
EEZ190      ;     0.714765;     0.085991;    11.896879;     0.208541;     1.096154;     1.563816;    63.649925;     4.291212;     0.012030;     5.550511;     0.023965;    32.576172;    22.104055;     0.167353;     0.214913;     2.600255;     0.019464;     3.359921;     0.047963;     0.483279;     0.018795;     0.003906;    35.926609;     0.256043;     2.692965;     0.442678;     0.099386;     0.116818;     0.182344;     0.280313;     0.158629;     0.102755;     0.009046;     0.193528;     0.256043
EEZ191      ;     1.732577;     0.235735;    13.702461;     0.580016;     1.755487;     2.952457;    72.225708;    54.988628;     0.062838;     9.242277;     0.070779;    46.440525;    31.303558;     0.431173;     0.841346;     3.449485;     0.029718;     4.845201;     0.265410;     0.759388;     0.067239;     0.017821;    27.746910;     0.889980;     8.081495;     0.703249;     0.609836;     0.285707;     0.543864;     3.129177;     0.346543;     0.553321;     0.034845;     0.681265;     0.889980
