            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.053603;     0.045651;     1.143734;     0.012018;     0.070075;     0.044407;     0.198378;     2.339219;     0.407596;     0.039685;     3.191867;     0.099713;     3.826409;     6.625605;     0.017493;     0.008814;     0.012056;     0.709840;     0.033015;     0.295013;     0.041212;     0.057100;     0.017030;     0.004730;     0.893058;     0.318345;     0.386088;     0.894848;     0.026293;     0.006381;     0.083039;     0.219119;     0.004508;     0.020495;     0.014514;     0.105086;    32.634075;     0.315802;     0.002797;     0.515409;     0.021149;     1.323200;    19.245537
EEZ65       ;     0.018884;     0.005799;     0.903413;     0.005982;     0.063064;     0.012768;     0.130200;     2.460744;     1.556670;     0.033766;     0.096554;     0.352569;     1.217197;    12.317892;     0.003087;     0.004156;     0.026062;     0.970044;     0.118825;     0.042919;     0.050457;     0.029876;     0.027221;     0.002398;     1.328036;     3.089698;     0.825721;     0.022351;     0.025221;     0.008763;     0.293518;     0.875677;     0.003993;     0.018600;     0.004532;     0.062984;     3.993728;     1.223829;     0.001389;     0.012502;     0.007500;     5.705976;     1.182435
EEZ71       ;     0.079297;     0.029636;     1.599182;     0.026042;     0.198520;     0.045596;     0.431986;     6.658654;     1.979431;     0.088608;     0.246430;     1.045073;     1.705111;    20.925667;     0.006895;     0.013614;     0.074399;     1.470460;     1.243934;     0.125974;     0.117586;     0.066171;     0.070579;     0.010108;     2.667485;     3.974477;     2.005370;     0.042746;     0.054198;     0.011760;     1.248292;     1.625965;     0.013513;     0.072604;     0.025459;     0.242719;     8.622736;     1.797881;     0.005690;     0.043165;     0.059794;     5.715425;     7.256767
EEZ91       ;     0.167413;     0.021114;     2.632014;     0.056667;     0.066835;     0.153529;     0.406932;     6.531595;     0.434426;     0.013414;    72.586807;     0.098738;    16.445620;    13.931648;     0.127703;     0.016891;     0.052969;     0.981086;     0.030783;     1.245707;     0.035420;     0.260140;     0.021597;     0.008436;     2.562306;     0.613530;     0.657512;    33.806950;     0.075634;     0.038028;     0.145106;     0.296541;     0.013880;     0.051868;     0.046744;     0.162200;    66.694473;     0.347177;     0.007211;     4.733793;     0.197503;     4.047746;     6.607306
EEZ99       ;     0.002275;     0.001261;     0.061956;     0.000799;     0.000868;     0.002205;     0.005932;     0.084926;     0.006428;     0.000142;     0.440257;     0.001605;     0.442461;     0.353651;     0.000495;     0.000559;     0.002537;     0.039063;     0.000387;     0.016940;     0.000492;     0.003771;     0.000246;     0.000113;     0.043910;     0.008857;     0.009053;     0.061809;     0.001463;     0.000861;     0.001989;     0.004957;     0.000930;     0.000917;     0.000169;     0.002418;     0.563835;     0.006939;     0.000044;     0.009699;     0.000814;     0.135877;     0.034094
EEZ100      ;     0.000435;     0.000140;     0.037844;     0.000381;     0.004167;     0.000222;     0.008778;     0.112853;     0.075148;     0.001101;     0.007204;     0.008284;     0.054047;     0.607984;     0.000196;     0.000118;     0.000743;     0.062173;     0.002863;     0.001757;     0.002931;     0.001152;     0.001183;     0.000078;     0.050982;     0.058132;     0.064108;     0.001265;     0.000762;     0.000224;     0.007862;     0.027126;     0.000082;     0.000594;     0.000252;     0.003215;     0.183116;     0.060889;     0.000058;     0.000558;     0.000253;     0.256559;     0.033183
EEZ108      ;     0.264533;     0.031383;     4.030153;     0.013976;     0.086488;     0.180928;     0.732996;     7.068980;     0.799492;     0.036985;     2.721916;     0.273438;    10.679905;    56.161060;     0.007868;     0.016804;     0.226015;     6.515651;     0.077179;     0.369926;     0.055284;     0.255521;     0.035170;     0.004783;     3.691622;     0.725882;     1.119923;     0.641137;     0.042606;     0.019574;     0.542076;     0.506716;     0.046896;     0.126747;     0.013030;     0.152800;    22.692833;     0.865226;     0.004058;     0.112955;     0.008774;    11.089285;     5.735404
EEZ109      ;     0.018619;     0.008381;     0.159598;     0.012362;     0.031766;     0.010254;     0.071747;     0.584261;     0.057481;     0.016106;     0.501050;     0.028640;     0.233679;     3.117124;     0.004292;     0.002942;     0.018965;     0.273029;     0.004144;     0.060681;     0.013618;     0.006765;     0.009428;     0.002432;     0.285476;     0.119915;     0.167444;     0.089034;     0.017334;     0.008014;     0.077765;     0.070702;     0.009205;     0.018027;     0.002901;     0.057085;     1.154107;     0.074542;     0.001386;     0.018390;     0.001132;     2.851882;     0.616297
EEZ110      ;     0.005578;     0.003871;     0.097176;     0.005082;     0.008768;     0.002145;     0.032110;     0.208271;     0.010124;     0.003823;     0.189765;     0.005886;     0.015128;     1.087714;     0.001555;     0.000853;     0.009424;     0.094965;     0.001002;     0.020244;     0.003224;     0.004021;     0.002830;     0.000510;     0.109046;     0.027032;     0.053548;     0.029125;     0.006317;     0.003097;     0.024701;     0.016240;     0.003373;     0.007143;     0.001210;     0.023490;     0.389301;     0.025958;     0.000477;     0.006759;     0.000268;     0.906373;     0.145474
EEZ119      ;     0.000066;     0.000007;     0.003214;     0.000014;     0.000199;     0.000030;     0.000326;     0.008135;     0.006178;     0.000166;     0.000151;     0.001523;     0.003218;     0.041506;     0.000004;     0.000012;     0.000096;     0.002827;     0.000816;     0.000124;     0.000198;     0.000080;     0.000126;     0.000009;     0.005066;     0.009783;     0.002395;     0.000036;     0.000086;     0.000012;     0.001149;     0.003311;     0.000016;     0.000073;     0.000016;     0.000254;     0.017779;     0.004560;     0.000006;     0.000035;     0.000062;     0.015742;     0.006597
