            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.106912;     0.048156;     0.411257;     0.018294;     0.017754;     0.077410;     0.136918;     1.646094;     0.054357;     0.022275;     0.398150;     0.018111;     3.879612;     2.514954;     0.015940;     0.044734;     0.047638;     0.290706;     0.005172;     0.479568;     0.017218;     0.049064;     0.018788;     0.009918;     0.735263;     0.016398;     0.115666;     0.084701;     0.014905;     0.024578;     0.023633;     0.037542;     0.034160;     0.026467;     0.025197;     0.027813;     0.104599;     0.033996;     0.011419;     0.101135;     0.055220;     0.400204;     0.422107
EEZ65       ;     0.143283;     0.018828;     0.202031;     0.016960;     0.225330;     0.084859;     0.127977;     2.532022;     0.848637;     0.015982;     0.085911;     0.027511;     2.081808;     4.392370;     0.011775;     0.033486;     0.041051;     2.325033;     0.039245;     0.271791;     0.127781;     0.021532;     0.018850;     0.002489;     0.552805;     0.234605;     0.707681;     0.031098;     0.036372;     0.017531;     0.165225;     0.270850;     0.018723;     0.044603;     0.015309;     0.212248;     0.043282;     0.044276;     0.004270;     0.018160;     0.011303;     0.063806;     0.097310
EEZ71       ;     0.182556;     0.033062;     0.456181;     0.026483;     0.138479;     0.156846;     0.233292;     2.557211;     0.449834;     0.017830;     0.082892;     0.026698;     3.044305;     3.222549;     0.011799;     0.036707;     0.057871;     1.685676;     1.430347;     0.452755;     0.076713;     0.047131;     0.015371;     0.007177;     0.548747;     0.147020;     0.507584;     0.023198;     0.035239;     0.020718;     0.099430;     0.173208;     0.028352;     0.063621;     0.025345;     0.159857;     0.051942;     0.082061;     0.006411;     0.030446;     0.014857;     0.167059;     0.129139
EEZ91       ;     0.138757;     0.020353;     0.424860;     0.017345;     0.026795;     0.116850;     0.045307;     1.133138;     0.065966;     0.015353;    14.387667;     0.020520;     6.180789;     0.700946;     0.016099;     0.024442;     0.024305;     0.248736;     0.010554;     0.521254;     0.026040;     0.040658;     0.011958;     0.009015;     0.463167;     0.021349;     0.024657;    27.267818;     0.024713;     0.020145;     0.029626;     0.022592;     0.025027;     0.026113;     0.014528;     0.029897;     0.023261;     0.023059;     0.006505;     0.027651;     0.203762;     0.145244;     0.023174
EEZ99       ;     0.002519;     0.000183;     0.000185;     0.000187;     0.000225;     0.004154;     0.000406;     0.004809;     0.000899;     0.000183;     0.162332;     0.000183;     0.832367;     0.013293;     0.000134;     0.000922;     0.000190;     0.024013;     0.000289;     0.019188;     0.000056;     0.000138;     0.000183;     0.000039;     0.000189;     0.000184;     0.000183;     0.019365;     0.000185;     0.000183;     0.000183;     0.000178;     0.000744;     0.000229;     0.000045;     0.000445;     0.000183;     0.000183;     0.000005;     0.000183;     0.000272;     0.000183;     0.000802
EEZ100      ;     0.004012;     0.000578;     0.006031;     0.000649;     0.008166;     0.003859;     0.000919;     0.123782;     0.040626;     0.000596;     0.001330;     0.000887;     0.099995;     0.313580;     0.000649;     0.001089;     0.000491;     0.157153;     0.000594;     0.011070;     0.003582;     0.001225;     0.000797;     0.000094;     0.033993;     0.008639;     0.022111;     0.000970;     0.001069;     0.000419;     0.005545;     0.010728;     0.000795;     0.001011;     0.000649;     0.007234;     0.000649;     0.003076;     0.000199;     0.000575;     0.000171;     0.000649;     0.000760
EEZ108      ;     0.237536;     0.030590;     0.426420;     0.023597;     0.115708;     0.418052;     0.207791;     2.651631;     0.551743;     0.022283;     0.682997;     0.064304;    23.168642;    12.441769;     0.022512;     0.042387;     0.029763;    58.508583;     0.012525;     0.623234;     0.052266;     0.086265;     0.017285;     0.008216;     0.758387;     0.055599;     0.056900;     0.218016;     0.026312;     0.021736;     0.042825;     0.105960;     0.028375;     0.037381;     0.024009;     0.115520;     0.026850;     0.039229;     0.019442;     0.026104;     0.033543;     0.031271;     0.102428
EEZ109      ;     0.000240;     0.000240;     0.085051;     0.000240;     0.000240;     0.005247;     0.000240;     0.078694;     0.008203;     0.000240;     0.000240;     0.000240;     4.743699;     0.611852;     0.000240;     0.000236;     0.000240;     0.126920;     0.000240;     0.000240;     0.000240;     0.003048;     0.000240;     0.000240;     0.068657;     0.000240;     0.000240;     0.000709;     0.000240;     0.000240;     0.000240;     0.000240;     0.000240;     0.000240;     0.000240;     0.000240;     0.000246;     0.000240;     0.000240;     0.000240;     0.000224;     0.000240;     0.000240
EEZ110      ;     0.000078;     0.000078;     0.030187;     0.000078;     0.000078;     0.002486;     0.000078;     0.024521;     0.001895;     0.000078;     0.000078;     0.000078;     2.923006;     0.089902;     0.000078;     0.000101;     0.000078;     0.032539;     0.000078;     0.000078;     0.000078;     0.000475;     0.000078;     0.000078;     0.021313;     0.000078;     0.000078;     0.000078;     0.000078;     0.000078;     0.000078;     0.000078;     0.000078;     0.000078;     0.000078;     0.000078;     0.000078;     0.000078;     0.000074;     0.000078;     0.000078;     0.000078;     0.000078
EEZ119      ;     0.000592;     0.000063;     0.001428;     0.000071;     0.000317;     0.000495;     0.000210;     0.009471;     0.001482;     0.000071;     0.000367;     0.000069;     0.012181;     0.018112;     0.000071;     0.000188;     0.000069;     0.007821;     0.000571;     0.001883;     0.000125;     0.000128;     0.000027;     0.000007;     0.003064;     0.000444;     0.000736;     0.000192;     0.000071;     0.000048;     0.000282;     0.000380;     0.000134;     0.000146;     0.000038;     0.000580;     0.000148;     0.000254;     0.000068;     0.000286;     0.000155;     0.000924;     0.000230
