            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     1.548840;     0.077819;     6.098287;     0.095923;     0.089693;     0.870018;     3.421559;    18.062828;     0.734406;     0.105750;     7.536614;     0.061471;    15.981037;    58.307632;     0.105750;     0.147177;     0.521172;     3.696235;     0.048309;     3.043253;     0.069103;     0.384372;     0.102871;     0.104510;     4.972186;     0.451597;     4.033980;     0.997636;     0.105750;     0.122535;     0.105750;     0.194173;     0.297378;     0.660876;     0.094902;     0.173309;    55.727249;     0.598411;     0.018613;     3.269056;     0.100838;     9.881792;   227.466293
EEZ65       ;     1.981001;     0.085695;    11.051603;     0.106476;     1.524267;     1.343831;     7.974705;    49.959465;    15.463830;     0.230525;    18.067337;     1.703539;    39.491951;   148.720993;     0.204172;     0.288563;     1.056062;    10.912844;     0.265701;     6.415303;     0.813230;     0.690398;     0.345684;     0.072103;     9.532783;     8.761287;    23.548643;     2.606919;     0.579743;     0.133258;     2.818716;     6.238766;     0.394095;     1.480026;     0.206140;     3.220854;    12.638120;     6.911765;     0.025759;     1.249766;     0.043449;    24.113918;    26.196732
EEZ71       ;     2.117903;     0.139130;    20.902624;     0.174720;     1.039062;     2.046647;     9.059703;    84.299683;    18.367880;     0.211927;    17.398098;     3.548641;    56.656601;   206.274902;     0.180712;     0.377582;     1.293558;    15.546571;     2.169941;     8.247146;     0.531512;     1.529572;     0.187994;     0.104163;    17.756889;    13.039999;    26.222879;     2.425951;     0.426145;     0.202160;     2.139052;     7.370205;     0.569097;     1.864297;     0.128866;     2.492635;    28.874781;     8.234966;     0.044161;     1.348087;     0.092021;    31.802090;    96.437538
EEZ91       ;     0.591515;     0.050558;     3.924838;     0.092283;     0.035206;     0.628521;     1.455306;    11.911464;     1.043545;     0.036527;    34.721817;     0.157359;    21.267620;    28.667944;     0.103831;     0.067802;     0.075960;     1.214442;     0.021375;     2.367698;     0.020164;     0.293742;     0.030174;     0.044198;     2.728791;     1.205003;     2.034473;    26.777973;     0.068475;     0.068105;     0.066086;     0.552016;     0.066762;     0.268865;     0.050286;     0.093145;    48.644032;     0.608412;     0.016979;     6.276232;     0.098550;     7.373304;    33.544601
EEZ99       ;     0.022337;     0.000728;     0.293211;     0.000649;     0.000558;     0.022740;     0.045696;     0.592882;     0.070716;     0.000209;     1.366354;     0.004320;     1.863189;     1.389949;     0.000663;     0.003075;     0.006327;     0.043717;     0.001807;     0.135265;     0.000220;     0.017502;     0.000141;     0.000513;     0.057913;     0.017387;     0.060259;     0.268554;     0.001783;     0.001382;     0.001595;     0.024665;     0.003377;     0.005981;     0.000558;     0.002221;     0.550625;     0.023070;     0.000254;     0.088297;     0.003333;     0.360578;     0.398402
EEZ100      ;     0.061405;     0.004094;     0.272956;     0.006730;     0.054560;     0.052485;     0.306089;     1.540844;     0.523746;     0.006433;     0.706185;     0.030995;     1.350450;     5.989193;     0.004503;     0.010346;     0.040639;     0.553167;     0.008097;     0.194157;     0.026744;     0.015850;     0.011647;     0.003257;     0.281958;     0.206822;     0.890499;     0.139013;     0.042459;     0.005449;     0.097195;     0.158480;     0.014850;     0.061863;     0.004414;     0.133821;     0.612230;     0.233569;     0.000987;     0.041834;     0.000659;     0.877240;     0.953084
EEZ108      ;     5.203609;     0.122794;    21.854219;     0.125312;     0.992077;     2.926988;    11.637697;    89.232567;     6.342372;     0.219844;    36.330257;     1.271567;    95.950943;   319.568665;     0.360284;     0.792533;     1.222427;    34.908840;     0.272962;    19.275961;     0.353740;     1.620421;     0.177247;     0.247624;    17.174065;     4.318710;    25.624044;     6.756466;     0.811204;     0.312886;     4.419378;     2.846198;     0.810001;     2.405370;     0.382065;     2.067315;    47.600342;     3.781219;     0.047721;     3.876020;     0.133258;    31.418295;    83.059387
EEZ109      ;     0.139340;     0.003332;     1.292786;     0.001544;     0.028979;     0.063543;     0.402377;     2.645056;     0.246969;     0.004134;     1.757980;     0.039197;     4.693705;     7.234817;     0.008590;     0.016901;     0.028625;     0.237016;     0.004846;     0.447144;     0.014799;     0.065789;     0.006649;     0.003941;     0.875564;     0.166294;     0.886797;     0.175245;     0.028261;     0.006242;     0.108016;     0.143307;     0.019825;     0.056170;     0.005023;     0.066553;     1.062687;     0.105614;     0.000589;     0.156744;     0.005119;     1.371065;     0.723830
EEZ110      ;     0.036069;     0.000372;     0.452543;     0.000138;     0.006063;     0.018977;     0.107312;     0.786309;     0.081224;     0.001304;     0.685203;     0.009472;     1.779057;     2.126497;     0.002310;     0.002338;     0.006702;     0.048310;     0.001558;     0.132961;     0.003859;     0.019209;     0.001446;     0.000589;     0.244725;     0.046689;     0.225960;     0.086798;     0.004598;     0.000382;     0.019704;     0.053234;     0.004770;     0.012123;     0.001187;     0.017435;     0.344381;     0.025776;     0.000125;     0.067069;     0.002764;     0.491305;     0.224156
EEZ119      ;     0.004674;     0.000145;     0.027322;     0.000094;     0.003758;     0.002893;     0.020128;     0.119239;     0.048066;     0.000975;     0.035679;     0.007691;     0.096180;     0.472518;     0.000408;     0.001104;     0.003716;     0.033699;     0.001478;     0.022730;     0.001402;     0.001200;     0.000443;     0.000259;     0.032631;     0.027300;     0.066963;     0.006717;     0.002273;     0.000290;     0.008356;     0.018692;     0.001270;     0.004445;     0.000380;     0.007197;     0.047651;     0.020601;     0.000066;     0.001857;     0.000100;     0.058069;     0.113345
