            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.048378;     0.016181;     0.284019;     0.001845;     0.008168;     0.034569;     0.093465;     0.772744;     0.017062;     0.002602;     2.373641;     0.002170;     2.858868;     2.226586;     0.001462;     0.004817;     0.009016;     1.082925;     0.013156;     0.065259;     0.002612;     0.024425;     0.000732;     0.000383;     0.267996;     0.003565;     0.106811;    14.397575;     0.004017;     0.023315;     0.019965;     0.002888;     0.004439;     0.014065;     0.006809;     0.025251;     0.599842;     0.002657;     0.000210;     0.068787;     0.465883;     0.150317;    77.253525
EEZ65       ;     0.636293;     0.006573;     2.004796;     0.023830;     0.493964;     0.406602;     0.780739;    11.009415;     2.684564;     0.106112;     1.316403;     0.147388;     8.014943;    21.918190;     0.002330;     0.018303;     0.129864;     6.816978;     0.731934;     0.822798;     0.213894;     0.134860;     0.089812;     0.031532;     3.742199;     1.379559;     2.847796;     0.093856;     0.176931;     0.062654;     0.791037;     0.737946;     0.024945;     0.159148;     0.095783;     0.572950;     0.669553;     0.142638;     0.001973;     0.055832;     0.088486;     1.055130;     6.879473
EEZ71       ;     0.079336;     0.017266;     2.903737;     0.003459;     0.558069;     0.137956;     0.366772;    12.118454;     2.733388;     0.107673;     1.987473;     0.285027;    13.037530;    34.809200;     0.001725;     0.019118;     0.076638;    17.578371;    18.099157;     0.093742;     0.207942;     0.129206;     0.093627;     0.013943;     4.386991;     1.875407;     2.786763;     0.225285;     0.074119;     0.033509;     1.624654;     1.200416;     0.016069;     0.071117;     0.050760;     0.481438;     1.720375;     0.230234;     0.001158;     0.055191;     0.085124;     1.518732;    30.524857
EEZ91       ;     0.048176;     0.011107;     0.534499;     0.002017;     0.004571;     0.154501;     0.091182;     1.164362;     0.036378;     0.001358;    15.336300;     0.001708;     4.985935;     0.696424;     0.001063;     0.009094;     0.022337;     0.403766;     0.002877;     0.251506;     0.002760;     0.074521;     0.000847;     0.000641;     0.529341;     0.014496;     0.107895;    12.581041;     0.007664;     0.021625;     0.020356;     0.006190;     0.013550;     0.013578;     0.002518;     0.011018;     0.186526;     0.005775;     0.000114;     0.107398;     4.567340;     0.117531;    10.615108
EEZ99       ;     0.002419;     0.000206;     0.027375;     0.000222;     0.000940;     0.019049;     0.003909;     0.106303;     0.004130;     0.000175;     1.152271;     0.000288;     0.782684;     0.088329;     0.000028;     0.000491;     0.000917;     0.081629;     0.000351;     0.008412;     0.000468;     0.005058;     0.000167;     0.000088;     0.028836;     0.000743;     0.006641;     0.105217;     0.000772;     0.000492;     0.002547;     0.001441;     0.000275;     0.000337;     0.000254;     0.000923;     0.004297;     0.000578;     0.000003;     0.003474;     0.018459;     0.000578;     0.090225
EEZ100      ;     0.011175;     0.000358;     0.061352;     0.000917;     0.018274;     0.012034;     0.020571;     0.344350;     0.065718;     0.003022;     0.124143;     0.004240;     0.416866;     1.125506;     0.000082;     0.000960;     0.006945;     0.376362;     0.014695;     0.023528;     0.008084;     0.003805;     0.003428;     0.001604;     0.127557;     0.027224;     0.093479;     0.008733;     0.009230;     0.003845;     0.037913;     0.021100;     0.001140;     0.005805;     0.003990;     0.025424;     0.030975;     0.003258;     0.000085;     0.003264;     0.006538;     0.029236;     0.272184
EEZ108      ;     0.324627;     0.036859;     5.360846;     0.008712;     0.208976;     0.611004;     0.783815;    19.493561;     1.158205;     0.047132;    13.140572;     0.090116;    58.973663;    53.838787;     0.004904;     0.050275;     0.141940;    75.142624;     0.274116;     0.941904;     0.102575;     0.385892;     0.040384;     0.010488;     7.869131;     0.174578;     1.823647;     1.736889;     0.049369;     0.047216;     0.679834;     0.368252;     0.046843;     0.115385;     0.039104;     0.266784;     0.967155;     0.174680;     0.001497;     0.352159;     1.244798;     1.876600;    17.976110
EEZ109      ;     0.041030;     0.003521;     0.406745;     0.002379;     0.005778;     0.034035;     0.037547;     0.991170;     0.040836;     0.001223;     1.369083;     0.002047;     6.216670;     2.457435;     0.000760;     0.004935;     0.017030;     0.562472;     0.000753;     0.096100;     0.003027;     0.020538;     0.001168;     0.000904;     0.497945;     0.003989;     0.041600;     0.077627;     0.011640;     0.018515;     0.019788;     0.012407;     0.005538;     0.012997;     0.006310;     0.015383;    -0.011093;     0.000964;     0.000166;     0.015259;     0.036257;    -0.036692;     0.225214
EEZ110      ;     0.012857;     0.001304;     0.076341;     0.000782;     0.000826;     0.007939;     0.015399;     0.300075;     0.012403;     0.000396;     0.372868;     0.000688;     3.089808;     0.597856;     0.000269;     0.001451;     0.005786;     0.218468;     0.000390;     0.022057;     0.000476;     0.002492;     0.000226;     0.000332;     0.122608;     0.001144;     0.022179;     0.019723;     0.004188;     0.007391;     0.004073;     0.004223;     0.001479;     0.004683;     0.002237;     0.004443;    -0.032488;     0.001699;     0.000059;     0.003940;     0.011996;    -0.015416;     0.065351
EEZ119      ;     0.000219;     0.000014;     0.003535;     0.000004;     0.001630;     0.000365;     0.000418;     0.013411;     0.007872;     0.000158;     0.004678;     0.000497;     0.023460;     0.057997;     0.000001;     0.000047;     0.000142;     0.034224;     0.007431;     0.000366;     0.000495;     0.000089;     0.000197;     0.000050;     0.006380;     0.004620;     0.005506;     0.000361;     0.000194;     0.000047;     0.002499;     0.003324;     0.000042;     0.000097;     0.000070;     0.001179;     0.002266;     0.000489;     0.000001;     0.000060;     0.000087;     0.002243;     0.027236
EEZ123      ;     0.001342;     0.000902;     0.077774;     0.000217;     0.023234;     0.002030;     0.012547;     0.306027;     0.059759;     0.007086;     0.051576;     0.027075;     0.345441;     1.383951;     0.000152;     0.000372;     0.001278;     0.441522;     0.233468;     0.002304;     0.009861;     0.003914;     0.004174;     0.000474;     0.107718;     0.147441;     0.072072;     0.004272;     0.001359;     0.001583;     0.219154;     0.060371;     0.000246;     0.001274;     0.004318;     0.025045;     0.066447;     0.005619;     0.000108;     0.000608;     0.004001;     0.049546;     0.804337
