	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	10.5010908841415	0.000492886444890406	0.132333467203133	0.00453374490370431	0.259307229923237	0.0309739401709084	0.268132893055769	0.0288022572677552	0.0259386831156747	0.000473266687212357	0.196005229872207	0.478427513806842	0.0175056918049445	0.00173511617141341	0.135855169643892	0.00703332585723201	0.210420135966943	0.0801311823737491	0.000887093467318763	1.14909055553903	0.190480591336918	0.32523481431663	0.00809751969345457	0.00029948450034624	1.34618431466462	2.13957002726383e-05	0.00664052186576091	0.00903299537107302	0.00442560976351549	0.00404266360631197	0.0229466239231075	0.606338709158885	0.818794359722161	0.00582830451212451	0.0473699263936221	0.0172799242430096	0.527441619303302	0.0102676224809992	0.39872595176847	2.31877921686095	0.150390577499658	0.0167651648007787	0.0243864825869724	0.131090824590173	1.60533452572611e-05	0.00167845426198126	0.107742222089032	0.168287293100536	0.000913599044885642	0.0331422365041358	0.0433128675193135	0.0173684881761949	2.36247174901602	0.0878785307803041	0.0270620415037841	0.225722267564502	1.70480458290449	-0.00751325377969211	-0.0140020403683147	25.2789205777429	20.7986731079222	5.75749189334225
AM	0.00147953394845733	9.95703960922688	0.00361701709160379	8.88615905625425	0.00244636228002577	0.00206531760777393	0.00563391706415887	0.0068016757906843	0.00195896948771179	0.00448710347831513	0.0049380000295102	0.0253805063185729	0.00166552183190004	0.000413827174233273	0.0117052003026972	0.0017223896851299	0.01540460236003	0.00879931438689275	0.607405977348444	0.0152514485736255	0.00170326036463088	0.00333761900745503	0.000930095626923411	4.32259187881524e-05	0.0209437917763758	0.000135447960695252	0.0602145550823142	0.00109485673176668	0.000274566527237184	0.000696904395939472	0.00278350472488177	0.000795719745917711	0.0022029722341088	0.000105662678014642	0.00345488939408399	0.00251189904206277	0.0189146945626241	0.00160285009975576	0.0103429198893324	0.00653761996814997	0.189489607436356	0.00229339372735828	0.000724966722528295	0.0024143759903082	0.000183380877468425	0.11626308772398	0.985541986902163	0.0383395861349912	0.0215009993929147	0.00448172767030324	0.00252965867034346	0.0211620883533267	0.0513217410204692	0.00396274265890988	4.03912207427017	0.0465052795400162	1.25166971646852	-0.000577537200302817	0.00809175631509814	26.4880230386469	21.05975379088	0.169919013398778
AT	0.0222062095923571	0.000332274564652238	58.7663900401568	0.00409098760676106	0.354184225531306	0.557646472001261	0.0560794463869269	0.0871435034849006	1.65774508638079	0.00013375750512752	5.59334231464768	20.5099667713025	0.174828061635473	0.0100935667151911	0.297751293513197	0.0432581241969163	2.6536246820129	0.921083095958246	0.000714948377899185	0.0480283351932538	1.03449386138271	1.70552750979395	0.0549842918396515	0.00159376732843067	5.11997159039194	3.21124028089301e-05	0.00375461026936329	0.0573120527744455	0.1250266140465	0.0226664175060035	0.0122714823058984	0.0231091022324205	0.0224509698547781	0.00198461090002706	0.927346498508067	0.112316545782983	3.9809441477969	0.0285107428857858	0.199650736431236	0.75544755153201	0.281818846892691	0.0960100805973626	2.35375322574027	1.53949865065435	5.79890697662486e-05	0.000733107127798042	0.0310395257411984	0.214166213434706	0.000547805280500421	0.190046059537266	0.378900606613639	0.00732093274333095	1.09156954584075	1.28826368396391	0.0160180119307351	0.320108376567269	5.44811819303424	-0.00782696060798812	-0.00109927937542498	119.197083027516	110.465663857269	106.879906992475
AZ	0.00549209928365936	2.39831724896731	0.0151881497909981	113.405129690248	0.0101186975490274	0.010815878864725	0.0261944597395115	0.0559173427937981	0.00798220276687403	0.00618250460040926	0.0232002646620449	0.124292113598825	0.011154551014239	0.00322690646982193	0.0430388096631295	0.0165483663426391	0.0676685411005194	0.0588684363858996	3.09139148607794	0.0473362598694654	0.00741133414334105	0.0160761944721552	0.0067470016910963	0.000386773775230783	0.0789629934971253	0.000896830576008186	0.809023368496674	0.00918712535673846	0.00127843358613442	0.0056353510662325	0.0148406244565834	0.00290721815115601	0.00664792529513656	0.000295158839969275	0.0206980365799845	0.020192222818334	0.107316472412089	0.0060648679846786	0.0548482079818414	0.0263780941447262	3.56527385290619	0.0190789671076871	0.00297202130627803	0.0121368318601072	0.00159356457274174	1.03824661496195	1.43106593649942	0.312903864418938	0.206366214449942	0.022269880156041	0.0191714108319466	0.108828325224841	0.104799137634055	0.0211255712702596	17.7326818701043	0.106890538712265	4.53489477078566	-0.00357435168182369	0.00127988561804406	149.861863151853	127.213496113198	0.802424239987686
BA	0.301504477419604	0.000505483147137488	1.2803236753513	0.00516263717363061	18.2518073312891	0.128630265567178	0.159583057799555	0.0728734429001842	0.0990257135325162	0.000221805543400037	1.40928620366362	2.82546581503982	0.0735329288844165	0.00642848866417228	0.272102046707079	0.0246973293481388	0.676013811548	0.274912903082777	0.00103261334223455	0.175012774639399	2.80381187090095	2.09455002863433	0.019845171963996	0.00106581405707418	3.25269360269346	1.84108500654499e-05	0.00638326910677614	0.022246121677145	0.0224066586129727	0.0113415377693791	0.0253391641535672	0.759572398018366	0.0661089569548347	0.00536823471534904	0.227703919632925	0.0574681289540151	2.54813367035617	0.0224132873508685	0.739315367692621	3.92966292309635	0.293042189661954	0.0529803816599604	0.174318103064621	0.694116939730597	2.81045450925206e-05	0.00171027218168074	0.0620746464486389	0.332504343951695	0.000868187420810262	0.0857593175652334	0.185805484097581	0.0125680357976966	2.15495119601691	0.431173790652371	0.0238745002694155	0.339668087765988	3.32805036876206	-0.00891549093527719	-0.00349071551519074	50.8146590849763	44.2652145104995	19.9974560022942
BE	0.00165275371989856	0.000146413267483314	0.224607052872742	0.00153654611351776	0.00347000246757735	33.6889582191981	0.00443317900195563	0.0247444652100954	0.155338566336071	4.82677138901005e-05	0.408559981267243	9.95920508957901	0.103555930022036	0.00454287498574331	0.253000527345813	0.0180716269005636	12.4068367714337	5.09808575541904	0.000210209700192325	0.00609504706484576	0.00821531111821532	0.0265718209210327	0.262482365388628	0.011239409887389	0.120985633360979	1.61373885922755e-05	0.00177331687828619	0.0122793349185282	2.88011654058632	0.00773019576718162	0.00257333637890716	0.000646068088642322	0.000821395577309964	0.000107606039474718	6.34178167966525	0.11387814175184	0.417769544215508	0.0278590217375904	0.0135984808616225	0.0061873584898285	0.11246755417441	0.0556707875600777	0.00817632806982814	0.0336010953060941	3.73469593528037e-05	0.000315836484011573	0.00761689031762257	0.0255596525719867	0.000266474228216646	0.785039252477824	0.169761049035666	0.00116907226673762	0.11709604225166	12.303107896963	0.00570976379787239	0.0574978827680235	3.77675291178695	0.0127755518684279	-0.000728208586390751	90.091625158942	72.8634439443122	72.392946068321
BG	0.379131121519064	0.016025493485054	0.801881751345305	0.0947488865214836	0.600994093251142	0.202002297652103	42.9944474176925	0.371674361869453	0.120974408228137	0.0040682248901551	1.20952693987013	3.29974825193933	0.157166871971502	0.0196483949317612	0.277898313870404	0.0678560452619856	0.800675207562788	0.476092440457821	0.0657636812954542	5.29254417343767	0.324504380131736	1.89675313715806	0.0372963831466778	0.00338302600866867	1.40181100382843	0.000153563093116197	0.111056117597993	0.105914797452328	0.0317332793714075	0.0438056612654052	1.10968460063749	0.166888105751908	0.702487273550932	0.00332031127655786	0.281193188882881	0.119609772965028	4.36842887488789	0.0257390368040139	11.5245300758341	7.08748655329005	3.51366209030575	0.137588704672279	0.100640678411752	0.774837909268548	0.000183520356310531	0.0158178170160583	7.44395980927269	5.63970246205951	0.00720366604912498	0.12891651369455	0.412197413125101	3.6178239257203	4.73819965192389	0.562882923871681	0.353833412994942	0.404827726845908	7.98327156030002	-0.0136757937798575	0.0235412099936527	122.44406272209	104.2322441774	76.6616537532755
BY	0.0424366575276744	0.0318179487411973	1.05212184912855	0.165240494753292	0.282821833073661	0.860114071591276	0.392217815105467	43.3801416824812	0.251881291480267	0.00138926716869697	2.78772222362401	12.2751721556916	1.79636940793007	0.747915585924882	0.305165083419321	1.59922233453997	2.13941268533619	3.25729768632503	0.0748837633360631	0.211311206524837	0.309746020280689	1.61476700608338	0.226763044837568	0.0121461182081493	0.965290018202639	0.000647075951375688	0.194422680576995	5.43639842383688	0.107536587865083	2.13184199938208	1.14979105446113	0.0406995935308844	0.0749993228587497	0.00116108630270961	1.79822210287036	0.863631897073424	29.1999896175422	0.037722851194402	2.40204738977285	0.975036573069761	26.6553117618723	1.88198673599872	0.166767599946238	1.2281642539814	0.000652868907475999	0.0253505785017759	1.10330934943776	24.2577374437787	0.0123535769021469	0.652067086313045	8.1863489055635	0.530727171605648	0.629013196724088	4.2501327676148	0.300677116918751	0.19344882109019	17.9282117650457	-0.0654823947075239	0.0255785960477997	207.159872709147	174.529149676931	74.9338361104071
CH	0.00115580837263085	4.02187519477447e-05	0.880037980178179	0.00072511331687433	0.00533157156009976	0.303275249702829	0.00203170975866483	0.00958140534703705	24.1727018797187	2.23411081285061e-05	0.166405614629693	6.53684906879027	0.0216614969012102	0.00124408940901371	0.206204355367858	0.00498458212881481	5.0711669356421	0.383911579067364	8.06312008538516e-05	0.00456872285536455	0.0186329856991343	0.0201464927886922	0.0283000126023913	0.000447309379594866	2.37955208213678	1.59957199823111e-06	0.000690917462838348	0.00421993633934394	0.0561802416631216	0.00280594488352564	0.00140908079797763	0.000740099599450012	0.000508807917325835	0.000251765113050429	0.27256407706892	0.0217396332109165	0.176261181259139	0.0152961568178078	0.00686562520890213	0.00540489318865677	0.0405368860684266	0.0120312212671806	0.0362201832074332	0.0166600875811594	7.6887472270367e-06	0.000111738913197342	0.00461052341361961	0.0130926029130829	9.57531766306687e-05	0.111278434887891	0.0375736334945955	0.000374398186494053	0.245960516267782	0.47526170474699	0.00250596966393424	0.0943748603573835	2.09177347019198	0.00373905662781132	-0.000620824308694651	43.9695871019213	40.9073658818052	16.6283517191761
CY	0.00620479558847845	0.00509114751036931	0.00770560659742883	0.0217133740185928	0.00615403478793055	0.00320251258871301	0.0214536821298469	0.00588051127086797	0.00334952393290152	2.81840960951844	0.0084435469942841	0.0374909899778953	0.00191162665344464	0.000283411804280244	0.0203565703273015	0.00105375241085204	0.0277316245054357	0.0115938593140049	0.00442723843634781	0.511913612655239	0.00493168986682656	0.00904567029376731	0.00135255350999596	6.17894319516296e-05	0.070749282145344	6.08999139163643e-06	0.004701480569082	0.00131692135834694	0.000429206299344078	0.000669048808918024	0.00471344783591789	0.00198905651110411	0.00602030642747693	0.00123921982312109	0.00559238677232216	0.00221243659989598	0.0281362254304234	0.00206609484685368	0.024860704605427	0.0188813811790176	0.0879379130517567	0.00198067233822712	0.0016272399687379	0.00493780209045236	1.24078575295086e-05	0.00214554662555518	2.37568562333343	0.0481130793013321	0.000744628200715718	0.00550662743796129	0.00319675100804586	0.0509427783341709	2.48691572322635	0.00667720257218244	1.00250049312724	0.106095245647289	0.870204341866237	-0.00309013486242232	-0.00309909121700718	10.762380873237	6.23653093609692	3.63048512363527
