	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	38.5097242608279	0.000388329544808405	0.104892468596679	0.00141990829982407	0.102198084019111	0.0091755436920505	0.154677217165186	0.0279528135256567	0.0239303164844474	0.000494430116237762	0.109812455632904	0.226017864606365	0.0225527059402443	0.000766057318689146	0.170154768580416	0.000552469354373403	0.0910544067660385	0.0135762856570471	0.00130192840482015	0.789058678412576	0.182638586985605	0.353561001418758	0.00422706149722341	-0.000163356788672817	1.1933415610694	-2.7913553857555e-07	-0.00300996058294115	0.00865065395006475	0.00139226017250664	0.00281866106978866	0.030928474283181	0.141699475559157	-0.330504109218177	0.00196915662767024	0.0183621378025732	0.00171847218284166	0.17667432497205	0.00607040410371528	0.43303675025272	1.96775898815902	0.0538038316688165	0.00806757854718994	0.0261166331648226	0.0764133867343589	5.61147494552036e-07	2.04038754832e-05	0.0236735451213065	0.151124224095643	0.000654203299616153	-0.00306986930032043	0.000729147143070431	-0.00120335949761001	-0.138769192216259	0.000887822738945329	-0.00779597566242314	0.00283800419607138	-0.0156016708132244	-0.0648948119976708	-0.331268415191842	44.3325973043798	44.890745624981	4.17254922455021
AM	0.0015877602653418	18.2311032401715	0.00114378718770264	5.26494650668925	4.60781906096575e-05	0.000197576839160329	0.00232147047457642	0.00307201061355028	0.000938983951843344	0.00367952171135461	0.000295356777308819	0.00296653012016183	0.000309728977043182	6.95472976124535e-05	0.00659917599540452	0.000114311266472563	0.000862093102783275	-3.72987106175472e-05	0.73545694895566	0.00423254090755759	0.000763468192932972	0.00184958453543717	5.64400951508433e-05	-3.00642523303007e-05	0.00733994986024483	4.05162483886816e-05	-0.0727583952308151	0.000807825819827616	3.38380245248166e-05	0.000198592161729466	0.00114618024786438	-0.00260251756681983	-0.00267975625055268	2.86348608005792e-05	0.000329668500747532	-8.65137066273019e-06	0.00272256530191532	0.000366334860659049	0.011742180580044	-0.00482090377191454	0.179508337490147	0.000264462348806051	0.000296457043906519	0.000242170099226758	5.31656409106217e-05	0.0610716375771142	6.26963579072786	0.0051984256535219	0.0460964291183891	-0.000511405433174223	-0.000182334375625631	-0.00288240318314359	-0.00377188295479879	-0.000207515749048131	0.806937010807036	0.0115556837297031	-0.017308806815203	-0.00844528346360133	-0.0501221046471576	31.5018591952463	30.7667982373313	0.0498338129430918
AT	0.00399036701280476	0.0020064736883903	141.590049326816	0.00994920513259934	0.145082257897696	0.357413777558778	0.0385476959678027	0.140234974591833	3.38522793095903	2.56514552631415e-06	6.30924414284456	22.333150992303	0.207417419080982	0.00619736064170833	0.214572404741222	0.0134302353048348	2.95158079594641	0.269946775808856	0.00986016237832428	0.00267052321146646	1.2903772312027	3.39287782078166	0.0693460773179491	0.000284202999354418	6.69096933880351	-5.2108241043364e-06	-0.00600045028379621	0.0497738145439388	0.0773984759499289	0.0156310248587433	0.0685445857290926	-0.0135697239036153	-0.0063222403208963	0.000174580899236025	0.485598300407529	0.0225303969502691	2.04977607403462	0.0074511905445285	0.754455686631514	0.139775495457675	0.382814021439968	0.067123503483266	4.73289034078704	1.25928412586979	-3.86318344529718e-06	0.000469838466968814	0.0412886836009435	0.553908316850325	0.00535566185703485	-0.00454927191213468	0.0157835864670365	-0.000447699869540986	-0.0517681720099355	0.0291340350138818	-0.0025407635778486	0.0062886136553466	0.00685145481493883	-0.0312589040349911	-0.0634405106549087	200.026825055875	200.122772687984	194.967404825678
AZ	0.00345776099587682	5.01909750558635	0.00366023680760424	135.879242003264	0.000155356106595369	0.00112831385453744	0.00803388433543306	0.0283323109132786	0.00213971807928189	0.00394169221109843	0.00126337851828236	0.0149429508631365	0.00198171564562037	0.000676085103502885	0.00953687416942045	0.00165495722066192	0.00131531538591286	-0.000350517468108951	2.62677285241521	0.00941549586220714	0.00253047410056368	0.00786711953323125	0.000242220636693373	-3.08532770900832e-05	0.0161215611913359	0.000475406065702438	-0.686946529146258	0.00554734481460966	0.000126566289613101	0.00171044418194036	0.00643718808412265	-0.0066402882167028	-0.00693079525914369	4.26878549132186e-05	0.002114411345496	8.83226628923633e-05	0.0190059506994648	0.000297885327313483	0.0430970383878252	-0.0119027132452209	4.49515803744465	0.0016145960951293	0.0010469379944889	0.00091665339596166	0.000347928150876192	0.994796018289701	1.95261882744185	0.060488164762139	0.601656033103004	-0.00240952401080852	-8.84290412456418e-07	-0.00822439111203933	-0.00872864452009213	-1.56204927118185e-05	6.20990409527605	0.0139655670539899	-0.100514435564833	-0.0143746926493343	-0.0965167074189381	157.11137929085	151.118294528579	0.159832791825998
BA	0.128210338791403	0.0021638549267333	0.905572130032449	0.00909143309524438	44.6650186126425	0.0563787472609457	0.198811180782907	0.0665509556190601	0.117405782207119	0.000116923695527017	0.750800066573595	1.47502530053442	0.126058913771688	0.00318075040039668	0.317297321925065	0.00419906380136125	0.419662992921997	0.0781773575511411	0.00558823607794459	0.0355011416022135	6.0213538987064	2.50041431835179	0.0230077569129298	-0.000193646736215179	3.44792325367316	-9.44528882065788e-06	-0.0194839903116516	0.0277172406446479	0.0101509841911523	0.0105180796412728	0.0772208718104893	0.286014232409644	-0.0309421452646195	0.00181896488967336	0.107554176757544	0.00802394994304484	0.958523662751458	0.0121285152184051	1.36200319001064	4.9330326928223	0.243039564631038	0.0336702128868685	0.294110869104763	0.460554450757907	-7.61757667937006e-06	0.000415840032376349	0.023114602345425	0.389005982701085	0.00516542495265029	-0.00363947992782155	0.00188478340336246	-0.00154644272872697	-0.0880498088455088	0.00110689500115393	-0.0071120378448364	0.0262353151666505	-0.0228610952386636	-0.0580533909152413	-0.222044050727853	70.1765776825249	70.5506569951824	19.5640541078012
BE	0.000447209343195582	0.000192262201759964	0.0852353287879439	0.000909930053262661	0.00145474431778801	92.5475695337053	0.000787626130479077	0.0231131163908703	0.181964668253783	1.38642623275518e-06	0.294081395723927	9.44099446856949	0.156736387968022	0.00348759363942407	0.274265383398726	0.0095515666810063	21.2562863803375	1.96151817283247	0.0017736437219729	-3.40470597023765e-05	0.006255556295398	0.0368109803406311	0.324407920268616	0.000184675123073782	0.271085397634837	-4.62623745203018e-07	0.000182868703928466	0.0131547372703981	2.72507803159685	0.00449354318825776	0.00382186683703649	-0.000186525070527568	-0.000627754528130094	2.79660319903245e-05	12.0461155876243	0.02536389819817	0.434990384231118	0.00893941814859522	0.0297965367239453	0.00324273207535346	0.056662617324713	0.0580435154469286	0.0111011659183552	0.0454660474278138	-2.14264921098948e-06	5.46509910468012e-05	0.00568982944225458	0.0667677084739537	0.000304562736583253	-0.0442005686180356	0.0211402830575953	-6.39699677048872e-05	-0.0108491798033193	0.0913177606059816	-0.000129398936119551	-0.00170377195959662	0.0159970807006359	-0.0791794791474634	-0.0078929837566639	142.401997836781	142.417562064606	140.084729792456
BG	0.366070671708364	0.00664230328388776	0.455355135483545	0.0352698377133491	0.310523840732948	0.0601063691286156	73.3737396337967	0.621971428942866	0.0996770495350038	0.00160283144396668	0.488539741569892	1.27440554364714	0.137255591063596	0.011502697834293	0.158535979991347	0.0203025944296777	0.360701913205541	0.0869868541353343	0.0310707664386781	3.68266041565481	0.45416562277875	1.71598939888127	0.0243522651307882	0.000593112091006866	1.05382895152462	2.21718530956035e-05	-0.0720335171699724	0.130066805018925	0.00978083195649817	0.0360752939093923	0.893002558588754	-0.114126927276146	1.11935439809135	0.00163273275991824	0.122186433969422	0.019323663840005	1.40751172356912	0.00620638475456756	16.9947185160488	5.24285825827932	2.3017159178379	0.0610727913696775	0.133061477894661	0.372536339846889	7.3780683609657e-06	0.00334991313038114	4.06827412073643	3.75880100220845	0.02566969996879	-0.00297267503381521	0.0111284445238348	-0.0627749794644423	-0.0371327995189186	0.0182743320590453	-0.0171889566047097	0.0296622267501132	0.0447597911082383	-0.105969659535059	-0.250890589282391	120.979813654402	121.352918519401	102.547894016662
BY	0.0335093977715087	0.0109113516979536	0.46342568555751	0.0677489084351343	0.124955025239091	0.356474362403153	0.140456716774553	219.933689999349	0.139437369554953	0.000433548391275263	1.41795278104721	7.11277053843367	1.53352995268187	0.263345479402714	0.148519419412546	0.341750943755442	1.16051239750039	1.09728342814037	0.0567154073122695	0.0949577191806719	0.256114669696946	1.31563178890574	0.22476070148085	0.00644879525875634	0.845202013527671	0.00315233676515784	0.185264742541607	8.23374784289788	0.0277271197773217	1.50548569111675	0.633252640936789	-0.0100148559211382	-0.00516999284750805	0.000266293929862324	1.01994516361038	0.191257589193363	28.5036611771782	0.00656248968970698	2.27199298979016	0.539109624020771	15.4474885996176	1.15987154441745	0.129578797706144	0.637811372939345	0.00159220071477575	0.0444510789200877	0.623808149236842	18.3361098059901	0.146332306646616	0.0149166021891685	-0.00634214148961698	0.00045406441864123	0.00678791921005406	0.125579593576244	0.185230591912357	0.0311132309192459	0.260827010604436	0.0840044769570059	-0.0337501978045215	317.448644260272	316.77982310978	59.1724892012055
CH	0.000695274848743342	0.000149303381574495	1.4680047013021	0.000781266381783256	0.00237008953786696	0.124528883844833	0.00398734592744856	0.0134514928783051	115.720500346275	1.00990590414343e-06	0.145870192310695	9.5822182396584	0.022854084689716	0.000494146792284213	0.254402028519204	0.00119530049779856	5.24771682407138	0.120850956249618	0.000960323880423404	0.000578642554233006	0.0201872369949346	0.0647296694562557	0.02774181925263	-3.42736293942047e-05	4.62110431511595	0	-0.000274258211762877	0.0067505295226785	0.0207430824176093	0.00176982319800424	0.00570839343256775	-0.00217963736832646	-0.00154998687688952	0.000125365677604374	0.137578387118414	0.00305718874824621	0.126223394521706	0.00972023833180692	0.06946729319908	-0.00235137548336464	0.035123468716003	0.0089156961239151	0.0485853918190418	0.0229469140944095	0	2.59032291360976e-05	0.00536213763154927	0.043911918234276	0.000293810858886379	-0.00589380128219227	0.000633533945225334	-0.000108246879802474	-0.0185144415219898	0.0017676498640026	-0.000105115367591692	0.00371648294509893	-0.00693479954432409	-0.0249353687623752	-0.0318092560410958	137.903109536987	137.985292899632	22.038440556918
CY	0.00758370429197202	0.000527097746641375	0.00257019286458474	0.00260055053052958	0.00187923766114594	0.000435907416559601	0.0115581593110813	0.00671797976211598	0.00144816835700596	10.0505153195845	0.00251893933466605	0.00798057665791362	0.00131682234125693	0.000104544983779701	0.0225093288768479	0.000236299467557886	0.00512074438819243	0.000690531843979533	0.00424639665309433	0.0742491525048188	0.00246419943221798	0.00653303566862379	0.000226812469293363	2.03535414763416e-05	0.043022994276955	5.48356591335808e-06	0.00117221821235291	0.00143340651660878	6.70969226113521e-05	0.00032586648956857	0.00422318448191322	-0.00198703483717081	-0.00342961407494297	0.000519691270888473	0.000725826383172379	0.000140472990571056	0.0113895939184104	0.00120175198651385	0.0261942116724417	0.00352410509415654	0.0884710893046278	0.000611174779218466	0.000629405671710769	0.00180584263448293	7.47899617549653e-06	0.000146838238998161	1.99385333413328	0.0395315217599299	0.000291154107728507	-0.000288653196302398	8.08985956615458e-05	0.000850404524403159	-0.063162960019964	5.45552429920062e-05	0.107355251711928	0.0784657941279815	0.0152377275055405	-0.0640597293244266	-0.0773141694526224	12.4251502699012	12.427931150186	10.2762668978245
