	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	24.3575078425008	0.0176882748448673	0.408297530418503	0.0665612269641832	0.894616297484947	0.0696409449941389	1.69335527714015	0.0711767631034188	0.105663982077557	0.0157226814902504	0.324369666304693	0.98180713135598	0.0307323072528417	0.00337738913172437	1.41569845512514	0.00864544589958107	1.051756753109	0.181120448652709	0.0547745607865398	12.9096519986884	0.50880890109478	0.723683022697346	0.0123648210353474	0.000963979905220059	8.32307353950582	4.14990734878617e-05	0.0246325868463341	0.015111542154944	0.0130748600479787	0.00570067853991066	0.15535919194074	1.31363694179691	3.04472827586339	0.0647070237237221	0.0904274070770102	0.0188536070192402	0.880047484438839	0.108513908551342	1.08299936659614	5.99079173958818	1.15514270755698	0.0182776064878448	0.0807568052295113	0.224974868675819	-4.11428034333512e-05	0.00767661737119329	1.87674842840248	1.26633935071168	0.0035944455680026	0.328506954923164	0.0631722394320631	0.262513677133346	12.9556237646418	0.180048150851472	0.63572400844144	5.56676639301568	3.34112344627837	-0.00390246460413188	0.0129159649722255	95.0156471771076	71.6731550420221	31.2466978654195
AM	0.00448578434577289	31.8164651142847	0.0189820318612632	38.5995947489411	0.00639827881769355	0.00777305302539344	0.0204757222050489	0.0148246700730633	0.00841186277286258	0.0797208823393711	0.0159154502192323	0.07717174855702	0.00628124886978185	0.00111240017058048	0.0530026520618363	0.00485867400588281	0.0414783714302553	0.0219641069319479	5.17316447569347	0.121414508924778	0.00495488529321939	0.0148056759181726	0.00221056019415148	0.000529426617406774	0.06774993161214	0.00282787492173243	0.414266378243382	0.00512607436249576	0.00109235627970146	0.00218966744993813	0.0141270351181479	0.00186835938126345	0.00299777835439565	0.000579073721381525	0.0146736676965895	0.00623910043601319	0.0610358358872868	0.00707019429878751	0.0547033755640982	0.016073137898278	0.880631299824531	0.00814130163478386	0.00322441734886821	0.00818338502482154	3.62227154790113e-05	0.564968018791914	10.4983324389583	0.136942800536894	0.20531634140882	0.0300909506080585	0.0163639416286262	0.120981148559479	0.630424505881739	0.0179011699183563	64.6504481088091	0.546867207831653	1.87998581643974	-0.000973754942833136	0.0129872666991493	156.999468762457	89.0943924010241	0.725891252888827
AT	0.147431502684433	0.0219348965443122	112.911375878225	0.135303815387023	1.63125249747709	2.97642907314483	0.677736072755476	0.73158224291833	9.41228183716462	0.00386841181519142	18.5151380971729	86.9567658909616	0.767235316677981	0.0472491172056283	0.91581918269547	0.196701298090268	13.1189018923351	4.58807795706074	0.153664690147758	0.589674800741478	3.4771749323622	9.2553825098085	0.288814650630298	0.00776344317487895	18.2384497827028	0.0002792126780338	0.0474238177466373	0.224926008961347	0.681915495874431	0.0728312273149485	0.234719525596263	0.135653981081564	0.107430120796585	0.00399642229370158	3.62003365233842	0.321572219281679	24.9585587892305	0.084027785236515	3.11545181135849	4.56107999916733	2.4481370357089	0.323328651094096	8.1404762000101	5.92356498188184	4.89307863577851e-05	0.0137905804791521	0.642119135555657	2.96162068140417	0.00950798275359043	0.896290212119001	1.35013161288984	0.128320867831368	3.02045368908353	5.50699924960068	0.331177010820167	1.07184127990719	2.85259635324498	-0.0155632484682058	-0.00172947978291298	359.53902158576	344.398504038514	320.673905889979
AZ	0.0101718733598612	9.90233354772124	0.0448290976239983	226.342086061311	0.0215466199575562	0.0271150265793827	0.0538411186122778	0.163268397172091	0.0205538126015927	0.0946682319064544	0.062006615513188	0.282523803718955	0.0308720862018069	0.0146620807064118	0.124848686420264	0.0551820192409734	0.121573902725955	0.113619316804044	21.5919132867724	0.193323842996041	0.0162506149776122	0.0473970274992632	0.0121496539535611	0.00482492755185921	0.176130102551074	0.0193353257520354	3.33964920972677	0.0522335030331146	0.00294549391931264	0.0227623891463468	0.0567200387077405	0.00502502123050966	0.0070023848010938	0.000944463355169476	0.0546372216647282	0.0513147750284699	0.332879045524674	0.0187875019572809	0.176998327138453	0.0327769391817741	11.7337918436358	0.0574765325149703	0.00911865878994188	0.0332989107227217	0.0037279850851999	4.16206946456453	10.7674405610118	1.20391254734672	1.73113040817368	0.115945476833727	0.110752151085691	0.400752998282775	0.831740671239394	0.0821985500816347	168.207260269877	0.720962384595814	3.63193108082165	-0.00586045107542413	0.00932407017044071	467.508677508404	293.403670306492	2.23307527579798
BA	1.51138112152405	0.0287107666084276	5.29047721920441	0.14366165933385	44.7270387779502	0.386902616648084	1.49843051665904	0.522038517597876	0.472536279311805	0.00800562814197441	3.94554069799275	8.35609397508951	0.319606943239138	0.0179371109655332	1.6536682763494	0.0709044367949218	2.66575531545483	0.886354714072869	0.111756842647446	2.50347029510332	8.08006574652449	9.87261351887278	0.0512174699583097	0.00282627116621441	14.3666380311371	6.53698368643721e-05	0.036273747290168	0.147617127337726	0.0813330302869941	0.0521169134558492	0.364012128318638	2.78597291034222	0.496174728021607	0.0454875592630093	0.51468926411849	0.145563924569982	11.2326589429882	0.106505143220227	5.49967784574858	19.6718543082579	1.92639564266263	0.157044364051005	0.954396819225961	3.37756748859214	-6.9245030795224e-05	0.0107194924549262	1.58422872393181	3.00745694331412	0.00640977581485206	0.408353063417407	0.704406729404172	0.283024758833034	9.9440143790886	1.09405856285403	0.499585169450254	4.79542670120518	3.47365872452619	-0.00864528330898968	0.00166686881983249	180.893335370711	159.697785696421	82.1427770104967
BE	0.00595635659306341	0.00150926436663046	1.03947958002407	0.00990542189586318	0.02167732079819	41.1751676960701	0.0127084961309948	0.137930341222426	0.583506702691824	7.97041306101407e-05	1.60533761152636	34.4374058518187	0.476880871664193	0.0166711154735157	1.7808906615904	0.0801365663417	25.7240953759178	16.3015775562674	0.0036552557059455	0.019622206819638	0.0445012491170242	0.22067333915498	0.920909973653505	0.0178091144523378	0.902846985686823	0.000177804881764886	0.00859581392492633	0.068725905085175	2.08022006304556	0.0337582539038801	0.00677266253846698	0.0027918791641503	0.00366634007962452	0.000472293763192681	16.052312506773	0.292685609298522	2.39316958771943	0.181477997067559	0.0470422188380053	0.0269797329504524	0.429481710881777	0.199872811937983	0.0643932263418259	0.217846654359909	7.37952523933103e-05	0.00162416145629498	0.0193853312074831	0.127311005033949	0.00226047806310033	2.77182289836665	0.691289504136498	0.00311296343898835	0.487922875571117	20.3241137866627	0.0304047861757204	0.237891416186729	3.0680092941218	0.059675781090769	-0.00040885534258311	175.475866913091	147.802032462683	146.098276360223
BG	1.30868469349097	0.126807432170758	2.4323154778142	0.949459521845581	1.90117331192339	0.512979103578786	84.544256680695	1.33500249446773	0.317718788843675	0.0238078644316317	2.18991864346884	7.03026295066573	0.308599970416227	0.0596313925656974	1.10726851356108	0.155181721758751	1.69903628403467	1.02805939935975	0.821259484533852	20.4979543034393	0.886397113944771	4.89630047130975	0.0593036924762921	0.00665582912018492	3.66782989658316	5.60609872930994e-05	0.358874083357749	0.295919240292529	0.0745103785045823	0.106934589655902	4.03055986550823	0.590745242124061	1.93828630980839	0.0194718984516406	0.692809562446353	0.175621913897319	7.37142326176215	0.103034432084653	33.6253681240176	18.2342910551415	16.7390201488916	0.256977817910354	0.353498158258765	1.68771234070403	-0.000345596113123931	0.228626287622658	25.7610460447796	29.184625239993	0.11658647733175	0.48943887283685	0.768426088969142	8.98857080587872	13.3852685656222	1.18802669987909	1.57966489834703	4.45761693991533	5.50295534598269	-0.011311562535163	0.0370267530578294	316.197201381872	279.811517973918	175.686763284192
BY	0.283264098471461	0.0639926417933636	4.26676443611775	0.431479457581518	1.19510474229477	4.06057041096406	2.14286535042639	84.524371092377	0.909148019930778	0.00729099865013392	9.27230080249291	42.8793417139424	3.97684860531457	2.20815118168405	0.664142773436748	3.61906449294504	6.85920262237647	10.3302242454496	0.224192827102387	1.8562890732353	1.32287032141308	7.4582554355573	0.651937013606446	0.0386955483827386	3.99704261713846	0.00603756178886195	1.58025987617438	12.9574157115378	0.43828840995618	4.25386657820813	5.57074496238986	0.218286053938816	0.312039673689127	0.00706433336565131	6.43404590065846	1.9116125300122	94.1281195908369	0.0597292089574738	14.7296998845497	3.99619326017516	112.137955926126	4.65456066341366	0.932533717032239	5.66871277288765	0.00184408736600308	0.314521097229472	4.96335111683476	85.934225350795	0.312397840332299	1.65315132587172	16.281993918582	2.1445091588319	2.68141499758552	11.3869052599911	1.13609075962028	1.14454084066961	5.08490059492342	-0.0687365773540592	0.0195561937852994	596.231243103447	554.76691663094	249.837198866154
CH	0.0094640738565342	0.00311876092331402	3.84912090581466	0.00952597220424753	0.0707163942052708	1.45334624405516	0.02425109368054	0.0571308784129641	54.2427720621178	0.000127584850867939	1.33675511934847	30.549547525709	0.070833607701745	0.00595661917427454	1.56208312053857	0.013780450556471	25.508713719887	1.78519047754771	0.00646338529208302	0.0499086489030458	0.127324935462693	0.175654313089208	0.123622151559527	0.00226191204998223	17.5798457175062	6.21668155930238e-05	0.00342249817204553	0.0222789601820797	0.387884598094858	0.00777082864558421	0.0106871948884439	0.00901820067856694	0.00506726054702039	0.00161704951156505	1.15402924510976	0.0521093029112847	1.45580061081231	0.179900991368264	0.0890903288779244	0.109092696770365	0.189296421367964	0.0353792322073644	0.268818904828109	0.135904122918573	1.03619189310897e-05	0.000853385850916034	0.0542469947054412	0.153647529582915	0.00085487969643968	0.903862567742584	0.121823480840758	0.00636127732610093	1.80974072870028	2.18516681413049	0.0350598734723308	0.814447202966623	1.96098855371198	-0.00392695406884079	-0.00392299282568328	150.773959992906	142.94435944091	87.9545371079415
CY	0.0082360593705317	0.0120036854911055	0.0152175682935324	0.0299861652234942	0.00840725879621847	0.00562836549687106	0.058281522578345	0.0118206522490627	0.0073079594208356	4.71468570803899	0.0123019804535809	0.057073770338513	0.00240852489620323	0.000765769310756897	0.0681577264446414	0.00207770511859159	0.054677831187658	0.0173764873997997	0.0259659535500882	0.789541328991626	0.00712391697320715	0.0158618772299541	0.00137049025544524	0.000118993134845359	0.164013214870388	4.96586291324347e-05	0.00720461233250424	0.00280834691143377	0.000894708941578555	0.00184786106539269	0.00925704508888069	0.00249635728539837	0.00747914001531899	0.00354371984506119	0.00815685685161905	0.00248035952740597	0.0387484659080297	0.00654998359834837	0.0583200461305923	0.0281452987109795	0.195675755780097	0.00300464988232249	0.00313254993741401	0.00810611777547716	1.51623405509939e-05	0.00358609675118234	6.55219468038565	0.125436379090936	0.00245253202993423	0.0198346835336623	0.00639054292004214	0.119686858485485	5.23241139814848	0.0112800579163233	7.94221996151797	1.36927246646711	0.832733655719557	-0.0026120770617292	-0.00258818426904051	28.6906262633074	13.1619968999295	6.12167709472538
