	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	6.59188519638682	0.00791910306916137	0.313550048550825	0.0357989770454814	0.504948951731682	0.0527789317802374	0.381476453410993	0.0502570688915172	0.077793666684468	0.00281662484076278	0.222881997102805	0.561899466571688	0.0188937146163182	0.00293008729922151	2.58011584089714	0.00775997216568018	1.20984152477952	0.142877817463854	0.0115106537271123	2.4085628464198	0.333172491281741	0.31054067947944	0.0199123615771051	0.00113031614865363	8.75989048772653	1.76918969359249e-05	0.037867820887786	0.0122944320576076	0.00885098006354552	0.00608667479734619	0.03812428185361	0.388726827813069	1.05489241743259	0.060662006617552	0.0587468813179657	0.0115240545553677	0.491002653291133	0.20311239207473	0.370975891562845	4.68719612312991	0.333131938172541	0.0118915700478998	0.0641956663540999	0.103338075960592	1.33326721436655e-05	0.00310486085753019	0.647174710243846	0.382921182285491	0.00380924343382598	0.378172431446637	0.0490189544832502	0.0567325306212312	9.73896201403539	0.147374050515152	0.136059740476003	4.50484526543656	1.63624823578	0.000709008993288813	0.0255101227957895	50.2644393436118	33.5908069890285	18.5781807526451
AM	0.0101732998952071	17.2485661143245	0.0194570622496828	24.8318415364656	0.00994671883176143	0.00588119461807174	0.023378310632381	0.0185806591797955	0.0108695539398746	0.077975312274795	0.0114260332060438	0.0700620834927112	0.00351291680282975	0.00104218257181036	0.0698027747171639	0.00483750511755298	0.0436068188431741	0.0141163701814711	2.10635957281779	0.179262045959881	0.00666111952099887	0.0129236507104219	0.00253615334513225	0.000381525968581438	0.0858254977860916	0.00109865383825017	0.211899757921152	0.00363407507062952	0.00127742325272784	0.00178305580881735	0.00754977156343994	0.00214329126712556	0.00969425933203412	0.000843140960730612	0.00856754938779585	0.00500774842933069	0.0411197586807553	0.00695607616808638	0.0461506466517802	0.0549478609572432	0.735693006286418	0.00505929094991523	0.0039512449499021	0.00575589754569096	0.000416210680651789	0.596397981325271	8.51728971983903	0.16732659165627	0.109434844298528	0.0194928920649992	0.0106762167013399	0.0983959649075115	0.646429528971311	0.0144723881268272	42.098374031628	0.443676279369522	1.77962183685222	-0.000932833392697697	0.0083356472858265	100.53156582279	55.4130238702748	0.743288821275574
AT	0.0665731907902099	0.00581482766162356	41.1445423885962	0.0347526413945934	0.576129981764863	1.94698090484428	0.157658960332431	0.127250241541661	7.43952869383791	0.00067187104207805	11.3562378709159	51.977615173702	0.447762123742275	0.0142761162856996	2.39252836601807	0.0674823438613008	14.0799710066738	2.89834165276177	0.0195653061637102	0.115892937593886	1.60773268756576	2.20790741269574	0.223240661111117	0.00515903377739247	19.0150669503112	8.04619325373011e-05	0.0200382964579555	0.1010370325341	0.54194722758401	0.0396252149738269	0.0613374272386323	0.0285418182962944	0.057465665728701	0.00440366098212839	2.26075434632538	0.137026710470791	6.97017372234688	0.215866872587775	0.911656568852365	1.3962764773043	0.853468405765255	0.216511047083713	3.29328141498636	1.1646838257247	5.83816047495541e-05	0.00693124012403873	0.241517419895817	0.798117355317749	0.00438962460967945	0.927206030171422	0.997525931160442	0.0244023480543694	3.34931819416334	3.88752834323727	0.179813157429105	1.0274473947181	0.677002239856661	-0.0153996071692387	-0.00161608980399246	188.307101505531	177.253873563713	162.475508709273
AZ	0.0187545051653758	8.61515213967652	0.0382334960531959	134.172211591406	0.0215214835123687	0.0165942922188956	0.0647208742942481	0.149013429035115	0.0169035215732822	0.0729540748664451	0.0388520620628471	0.178017921109428	0.017074019812551	0.0109719125444957	0.0998231260568356	0.0452964730605098	0.0790001072560586	0.0576509242226736	7.27769542182591	0.232600691321459	0.0133567815117116	0.0406902273284892	0.00932958307129331	0.00226422660806837	0.143706401286369	0.0117388655760046	1.99357894642695	0.026257837033681	0.00259512322301542	0.0137438389623507	0.0260938431701368	0.00485785308415567	0.0171628781406581	0.00116333502011312	0.0258989450725385	0.0342518315490987	0.177073502577462	0.00965844028668788	0.161456425484675	0.112992901989237	10.5447903613322	0.0349349836153015	0.00818287378037348	0.0218052643900526	0.00915171830442424	5.2179414633391	8.51988122312111	1.22930210149079	1.15399152601614	0.0615928642585116	0.0841958492872914	0.322393657494442	0.77564447318411	0.067815644094063	107.731077286931	0.584340697875855	1.10918044407737	-0.0039424488019937	0.00674228700795832	291.529936125275	180.790895369866	1.58399261330108
BA	0.684678963744465	0.00789679049983124	3.39864620408763	0.0379438123505233	12.6935838181538	0.296353358857129	0.443258676527483	0.203178189278023	0.390116957674614	0.00458363233639238	2.52185563351642	4.77585521739923	0.151207118598482	0.0180729791569157	3.28259386523038	0.0417672120740799	3.07459411900273	0.634278888479483	0.0125422119514352	0.627578860666912	4.61701829837424	4.98051314632989	0.0638554573951637	0.00258890837124859	16.5225003860871	2.8085005313158e-05	0.0746877926115468	0.0772933078267618	0.0566234492427973	0.0391371779388978	0.100775969162364	0.546065721917768	0.123230611655976	0.0486526388444305	0.388351712626297	0.050872009942418	4.35149557583006	0.266390465376721	1.55025823038009	9.1514953981847	0.919344688038873	0.0772495972861908	0.594973202640116	1.49232753315871	9.41738408928116e-06	0.00342621875975033	0.571888476885889	1.05557783075489	0.00417195878701968	0.532198226359288	0.401333076900404	0.0563187209505811	9.65559310637602	0.730155759324649	0.316074911380672	4.09576026527066	1.90870072284607	-0.00547399619387835	-0.00447573362620547	98.7175748359735	81.0313897763853	53.7630070567912
BE	0.00174636289788876	0.000614269027752802	0.130536111926061	0.0085145180858743	0.00676644671151508	6.12392555013496	0.00974640340368295	0.0269475532907636	0.18565659823751	1.09644457126657e-05	0.137147424705577	6.84751356514919	0.22966801466721	0.00309171128949461	2.12845385220666	0.018008895789563	18.5216731252342	8.20683010086251	0.00341107004292402	0.00751931763349504	0.00862715529781611	0.0121282434421231	0.63846291073702	0.0129042479770066	0.385643150858923	4.55524450664719e-06	0.00350328463906764	0.0151989934255046	0.349309094041822	0.00564386711832043	0.00530214867807801	0.000396722637460878	0.00147037215746691	0.000186223513160522	3.32900330031343	0.196003172787162	0.155883777030172	0.297067052895142	0.0272494685709899	0.0178747784499973	0.098635265166653	0.102668578968229	0.00750013665281671	0.009337683790929	6.17941362628092e-06	0.00134857884209603	0.0154403624378132	0.0995358040755245	0.000173603889825443	2.54777939400395	0.24690881140929	0.00709654206499209	0.462955854688647	10.5414631252183	0.00344966851452831	0.311932610419513	1.64587128942121	0.0887039651388598	-0.000654774800226713	64.2497970548743	48.3942905687953	39.5012045732422
BG	1.54771586583852	0.0574801260632674	1.63708616637305	0.343198511879206	1.64730991316391	0.240609393713618	32.8243306647957	0.829651126559759	0.269099204966006	0.0314228315277795	1.5298095530161	3.83253600979959	0.0950380031682713	0.0251341665641442	1.65437668610046	0.0679011902866717	1.63474642715368	0.479778052070567	0.142303969475911	12.7301472639908	0.979365109290486	3.18304047127968	0.0476031291515585	0.00437928594614379	5.15063146691829	0.00043701591228197	0.299872113374059	0.126931580367362	0.0436419826163544	0.0570487606474701	1.31403096501904	0.344115888293188	2.55176153483215	0.0239582277605254	0.396311059039771	0.0840328927005393	4.26430268585455	0.14069454333038	18.9070701306861	20.2948797351823	4.70682275589336	0.0940491666109562	0.404128184957784	1.04865951274646	0.000220363070580487	0.0189935834190883	18.3357204749342	8.35647234102191	0.0184591375687346	0.346355953919008	0.366062306950313	2.77898275244755	9.7362909426847	0.668056728950233	0.679464718963805	3.69312591165782	1.20990406815479	-0.00656498108346884	0.0125357640419671	172.301523391619	152.817309224932	91.1705743677476
BY	0.318178878622521	0.154132048350204	4.15824487163762	1.49592848152729	1.26461886164744	3.42694095852688	1.86587462662215	47.6393956696886	0.98199720732578	0.0288583428079125	10.7827292299027	44.0641777905935	2.99640650265198	0.568241916347123	2.45983047732504	1.26754512762923	9.12677500218722	8.1367425328556	0.542807319226893	1.85680926334474	1.32174249124459	5.95302032977162	0.59272030002497	0.0390171147473997	6.12056933182974	0.00421404117005256	1.52769694191268	5.89011283828568	0.491472781974426	1.5398096845386	3.06737732252765	0.135686048649909	0.288176722280745	0.0116466015551904	5.47505432319835	1.3012837023676	71.6271119220259	0.234453882347432	10.8120731645796	5.54022371945068	39.7861129702839	2.27556427602291	0.758539000526773	3.98004672088697	0.00134925125704488	0.63260825964358	8.38224625971588	55.9478955528268	0.369143997212249	1.70812064419024	9.62514046187613	1.54738094489117	4.02271486028018	10.8709473729149	2.41991207164656	2.79641157681674	2.0551447029653	0.0147527229333796	0.00999338284251466	412.313723403036	377.24320466168	199.686371758389
CH	0.00151602975959734	0.00186526527565904	1.01854703991168	0.00731439751843425	0.0117708769517522	0.888656935086523	0.00750512585709554	0.00760513739705707	17.250400215947	2.04296761165994e-05	0.296106418163576	9.76433856377463	0.0514069271188965	0.00249891586443456	3.06123055044898	0.0125416091157015	19.6661788266778	2.22210808778532	0.00456983749068327	0.00233716788084495	0.0356155149914349	0.0486981490568856	0.146618353040906	0.00132075843967063	10.003106609388	3.1929668225348e-06	0.00628131689549253	0.0068973597421168	0.194144060097467	0.00428256610973676	0.00584810142838551	0.000977982426375616	0.00169725793528557	0.000911733990080499	0.689359841030803	0.0401407319461641	0.185698226911949	0.315231244404042	0.0506359149935062	0.0362296966813415	0.111587922634777	0.0301011132122486	0.0747746638547629	0.0269525219804831	-5.32664874568582e-07	0.000739800871149637	0.036240742921163	0.104851831113977	0.00103590366079658	0.98638964399039	0.10417473712893	0.0046671062100154	1.80800429237533	1.93213706950882	0.00704068720179051	0.799925095583688	1.63791755080175	-0.00634254878131844	-0.000878565125758915	73.7115360066563	66.4385009377627	46.5843963823807
CY	0.00536191260691856	0.00317012264240595	0.00649795528222558	0.00623494928039176	0.00574611735911792	0.00198358926653924	0.0193430366652856	0.00467464473482408	0.00268459528755769	0.838396778583517	0.0043911179899207	0.0211646723481566	0.00117892353542522	0.000191050424555937	0.0750505199136306	0.000855207412728419	0.0236589535752013	0.00486414470289834	0.004064646302687	0.290310275365752	0.00318798748813383	0.00738261179699625	0.000641175567857921	6.3707563418895e-05	0.0956690816211278	1.8378647621721e-05	0.00194382525210083	0.000964900647807246	0.000287555123124892	0.000375033829007919	0.00269876896324567	0.00109438225524438	0.00687430547631594	0.00392897251947597	0.00291205254960991	0.000979995099080106	0.0164202886001536	0.00624109791194151	0.022702060336719	0.0277128619688985	0.0532416676823019	0.00112359125605101	0.00142154240218115	0.0030668805939313	1.3291922867919e-05	0.00151562859778727	3.05425325072407	0.0454372024935658	0.000472962041714539	0.0147606939598179	0.00339861086742145	0.0311303997974371	1.54232917273784	0.00718381194650879	3.92325305102663	0.882954980958566	0.214952046110678	0.000503577573020011	0.00343912846894314	11.306373747659	4.6824682742121	1.44934691260706
