	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	36.5501494071443	0.0058387599908278	0.381077760988731	0.00898971955950745	0.622256987606142	0.0758512846360424	0.497640711160248	0.0980970715345511	0.181369866324231	0.00426940667394797	0.340461190901491	1.09419391678929	0.0403329282426195	0.00241293624508164	2.08424237961184	0.00228046987674168	1.37453752942781	0.149805997878959	0.0165063259567932	2.8162494907414	0.733525822719466	1.01572607071987	0.0365613625957106	0.000473161688332135	10.19468207984	4.10171599636475e-05	0.00360484916641812	0.00998173850039827	0.00732088375051878	0.00365531695246603	0.0418834701656442	0.259111097308002	0.0557753634813878	0.0299777974100454	0.141344689459783	0.00243148193483644	0.601509498902802	0.0934812541166482	0.907397124517102	3.393485369912	0.192881587724208	0.00901732365907387	0.108850073901548	0.214738219844637	2.91978562343866e-06	0.000620464764676678	1.31353126618725	0.37632235828894	0.00120801112753091	0.0355382124394902	0.00140597674626453	0.00531473554919567	0.326947654722849	0.0196997051888633	0.0405221906713685	2.65894783370497	1.64719197522017	0.061938180467632	0.0879467909968381	70.9811590725831	66.0957058168754	22.9711252600642
AM	0.0150359735654853	35.738232409808	0.00742878983164579	17.7771823210234	0.00944182466674099	0.00469123135347292	0.0418768939563731	0.0258957867519918	0.00891824987566223	0.198580999288395	0.0131523562068691	0.0673828031310625	0.00501183777402466	0.00133148037765299	0.128644141766048	0.00109424394077063	0.0329577421554302	0.0090435258622393	3.15860375360618	0.117627583382084	0.00472720343309393	0.0238424936330542	0.00128451114853099	8.07140090105434e-05	0.173624437519178	0.000343342869659265	0.199760899988004	0.00321792452831318	0.000240557108294219	0.00115208954682946	0.0131161712344438	0.00280752528356264	0.010368432763245	0.000644220327464243	0.00852616427226489	0.00106851205563049	0.0779212165686389	0.0052455027865991	0.0888709372850818	0.0611854634928033	0.99169712146649	0.00281527801620339	0.00142552248295397	0.0080177486323528	0.000363157305763414	0.218795921085245	42.5670720762664	0.293648001834486	0.316912399735965	0.00274262095815688	0.000832036192999532	0.0185153880609783	0.0950284922104999	0.000659817454903076	39.2570412384283	1.33428787457789	1.94090267078458	0.0290825904376991	0.14749402538989	145.267496249499	102.440909495003	1.03037943631492
AT	0.117463327394429	0.000133648762060329	109.152730159625	0.000500794813523069	0.66494066446626	2.57986612506151	0.276061326667482	0.604883420073077	22.8798542664409	3.46873314740757e-05	13.2590828655369	127.052166350531	0.325380558794046	0.0345103762010119	10.0042018699615	0.0403110308326467	34.4892393018863	4.22626574784197	0.000598782545037878	0.0616678776805289	2.67811639284065	4.34370634801895	0.752139956947137	0.00964340012927043	42.31383929605	5.86615004080037e-06	0.00636089477657961	0.172258931201087	0.503156862979885	0.0492862391764727	0.0412314751099184	0.0480386768857741	0.0625914731762667	0.00413622845037437	4.32559321112191	0.0484561244619501	5.07841988184156	0.723786821889529	1.38297069736508	1.05043141980681	0.185425427802527	0.123019690902441	6.21533807303673	1.07095335954697	8.34782799271246e-06	0.00014444185634361	0.0633188119583865	0.411079130671741	0.00127087384708722	0.265491117982614	0.00685448830110549	0.00268440192720791	0.900307758890151	0.192795289981829	0.00312540175021688	2.89106070109178	4.39551260608276	0.335385470040686	0.328163226290948	406.756002000615	397.434621538275	371.23824026932
AZ	0.0172287869703546	12.5236384798399	0.0161391504676879	155.211898279853	0.0158327658931821	0.00911647449131	0.0683691809884971	0.111400224213408	0.0115124257387382	0.235320713458198	0.0341866250316035	0.225046268250324	0.0357482954471891	0.00585917121687314	0.183321582613815	0.00483251766259037	0.0551463651339694	0.0191017197425269	8.19084293138321	0.150320774775272	0.00938898235295247	0.0502842240860611	0.0025910985058425	0.00027899580474974	0.244986109950374	0.00985484992692961	1.05481265359632	0.014393532766891	0.000783662406290571	0.00497604982537714	0.0536090645800671	0.00539444090669695	0.0137938139768727	0.00089276666076947	0.0184628499810761	0.00692997658740946	0.34018107727282	0.00815346882593197	0.277929634202154	0.0927140618996272	15.8345286472801	0.0189147666839097	0.00347119511634236	0.0204179437409099	0.0120106919183653	1.3175482402637	31.5143679995462	1.24821138948574	1.70395644312623	0.00442950478191643	0.00360431258390533	0.0336249138121	0.120774143121396	0.00323773589105811	87.8211448348394	1.70585565290357	2.97982825143147	0.0467795249384682	0.196292574280888	323.924272813032	231.008701364449	2.05833620165756
BA	0.818297842828943	0.00496241545491479	7.37231586585526	0.0048011971202294	29.1763948108421	0.452573139549842	0.83011378609018	0.64691870328877	1.04306072828342	0.00064858994983385	5.65119912811424	12.1296549134706	0.327466009348902	0.0131460279515355	5.89304208890154	0.0178354724860086	3.66678746034601	0.80318318763519	0.0163956772195399	0.45996189738952	18.1692391986411	15.1646407548155	0.114319446305204	0.00417945663610101	35.3518611690293	2.66263878333072e-05	0.00453165903904103	0.0507634807833874	0.0536579363062556	0.0196511175070219	0.112387496517768	0.416874233672936	0.201573681348984	0.0239456782039106	0.995905085985944	0.0322886318815978	5.09903890588985	0.31541227187624	3.30339743855517	10.1613709923487	0.38103063005716	0.103945852447617	1.45480865546616	3.1939446443773	6.45580137396852e-06	0.000304848048301414	0.67871718774937	1.65576318795858	0.0010542347285406	0.100581725596484	0.00751077816737319	0.00870880767513811	0.739651096982067	0.107761944365873	0.010514537648381	3.9546241342137	2.44867702252902	0.194361313201416	0.362433997193145	174.328225258065	166.393399900493	121.032459203279
BE	0.0025400983987016	6.96780695592364e-05	0.114977153483265	0.000126490645994122	0.00562558197879605	64.7259524858849	0.00357347615433298	0.0304259736780145	0.348844524000684	0	0.153702277631514	7.56275698390434	0.041639555339021	0.00259089942624047	4.82228229195054	0.00697235322597064	70.4085900351742	15.6530835774137	8.43651231477658e-05	0.0014636742659801	0.00626955424533226	0.030834520502712	2.30591296228676	0.00645913381842648	0.482684902934481	0	0.000874837404940277	0.00456052555895659	1.19552660028658	0.00202392454443934	0.000664156012936806	0.00113048568311768	0.00176157788199931	0.000155028039274737	11.5142000996144	0.0237562739175484	0.365492918050732	0.313007201211641	0.0161291800665036	0.017305814519822	0.00910730175159809	0.0240189830057776	0.00947516945779696	0.0218237842040571	0	2.56046166506906e-05	0.00275635602730699	0.0235023266203248	0.000227086360365152	0.105359234920201	-0.0054712759624583	2.09435067089895e-05	0.0579814037204236	-1.01188208268171	0.000451918837852155	0.269658819409608	1.40767827044043	0.0765592464939424	0.0188752161849067	181.184219479243	180.264987784373	179.789700117863
BG	3.50993727561834	0.216532832655019	2.42937748985231	0.490674259075235	1.64212442987643	0.454592831132433	84.0097048910684	2.4390325936378	0.56141800943499	0.0440822292368331	2.24891563158915	7.62611156870658	0.18976137974331	0.0321290742111548	3.82654710902231	0.0432588887707858	2.62582504684507	0.66054074673657	0.655987908287404	14.3551153961692	2.06673937381414	9.07896408825418	0.0971766602545021	0.00341553587193228	9.21879178734953	0.00192926881131344	0.537504657395243	0.213387903447268	0.0525217869858506	0.0630184578056323	3.51204337257538	0.19302507745622	4.5917334319032	0.0160447739673145	0.687692963557124	0.0284130747219901	5.2844874154287	0.254002632719785	53.899299748846	13.6836317235222	10.4308298851214	0.110601953681336	0.610134298037477	1.8656578897792	0.000380780899927641	0.123875561021157	36.8333179076359	18.1019604770645	0.277053358692131	0.0981988766747018	0.0162428337403256	0.207156249636875	0.970694975926879	0.0845157485775078	1.20227553606894	4.27391814971485	4.22611409628758	0.189016858854049	0.526864670354161	311.694303434126	299.89930543829	202.064484017012
BY	0.833026560708519	0.142944168046453	3.99768201150416	0.602654693018133	1.83219061616711	2.45357812470435	3.65420490486137	270.053283383268	1.12483233056291	0.00434957564518352	8.89515889472602	46.2350909440107	7.29224195481042	0.705121789078683	3.98170757226788	0.907680295665076	10.8134309064183	6.22031336698058	0.437283928812399	1.64253632362199	2.40760935319033	11.2058610520004	1.11664048471426	0.0167908836386334	7.96259082798442	0.00297399427180861	0.971335119562645	16.2378837330053	0.246764412239021	4.51111600790319	6.24460681369602	0.315436292995245	0.752783071934368	0.00404271698015742	5.60223968035849	1.02744959325686	109.467017970113	0.257161516075247	24.9512446690658	7.5516977129311	29.273927244145	4.90030546167058	1.02198214854428	4.35627355113881	0.000729761848509312	0.111232146839832	11.9032623758706	87.3679692971207	0.291854123052539	0.339833017768525	-0.313924570277001	0.25791526360109	0.775562326363222	0.646408114673828	0.680582029483433	1.6308352531708	6.95831422941195	0.360191891571022	0.705088709964561	723.950900626756	711.910094361025	291.051830249279
CH	0.0054700519422063	1.9264102914681e-05	1.00463829058856	8.3130460674564e-05	0.0473773070595888	0.916092653627873	0.00294597326732613	0.0132466909539318	138.331050951346	7.31019933956365e-06	0.222167304438512	13.4905551946466	0.0453208321265501	0.00107990089721419	12.0977990746408	0.00631542483500143	38.6571032716049	2.03137151526343	4.32225863390292e-05	0.00308665326199494	0.196087331356944	0.0984624151989976	0.499893170110474	0.00258424107118292	30.2789985372303	8.18601192285617e-07	0.000182555326358726	0.00535694924653477	0.128969253117998	0.00133195653770181	0.000922797464143174	0.00339329791460124	0.00248387173177302	0.00131003778908619	1.27984679145676	0.0188345499758115	0.236351437299256	0.667456286174049	0.0196006901746864	0.0451756730286898	0.0155974950384557	0.0120210353452352	0.283726058709847	0.0272910251268418	-6.61311571796735e-08	1.32324668796112e-05	0.00445759293724752	0.0189563843751351	6.24763055602089e-05	0.210778787980551	0.00133691477407857	6.73818162865937e-05	0.503840152449653	0.165826732372822	0.000843522982061841	1.74196265564628	2.57891235676758	0.219219786914732	0.037257520492514	246.185187725027	240.72514191283	102.215186374273
CY	0.0187231250860607	0.00255752809298846	0.00973667377482696	0.00573985207700046	0.00782371945099936	0.00270797641553823	0.0437717528382167	0.00701797728379381	0.00565356474680857	3.26916887301009	0.00882940485010203	0.0359376725017705	0.000833265511542248	0.000842320761033334	0.0706694460012236	0.000505933936942679	0.0267908096041887	0.00332299953423813	0.00837060428522372	0.12337178698691	0.00806155237803422	0.0143597787404244	0.00063739314434429	2.35473885958393e-05	0.136987057335001	2.45354623347521e-06	0.00352640534581648	0.000797435823063987	0.000284019894926809	0.000392344024586802	0.00585719569482654	0.000602854119263279	0.00967165048987729	0.00058846465875674	0.00452107648313666	0.000239805523969543	0.0142719180122884	0.0026513024323505	0.0438295752914414	0.0312374096017269	0.0761332225964643	0.000522796860766908	0.00281014181970836	0.0038451363779533	1.89007270118843e-06	0.000641452434420586	3.63263991385559	0.0694068837876842	0.00104087649823818	0.000839721242684871	0.000211540507536381	0.00934143569933841	-0.00717387794732209	0.000582967380106139	1.07590859130559	2.06900362893679	0.368094522644495	-0.0076670788804392	0.00723532061015038	11.2343376124806	7.71796084098169	3.83104890900341
