,AT,BA,BE,BG,BY,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IS,IT,LT,LU,LV,MD,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,TR,UA,ATL,BAS,BLS,MED,NOS,NOA,BIC
HE8,0.284749233741152,0.043083159819298,0.509977768594324,0.031843150102417,0.659222042006226,0.10552363826719,0.606282422864401,4.83991362245751,0.935750602484742,0.500023190785575,0.275921677475221,2.01582877770027,1.25102352209774,2.12082496100743,0.047735825093494,0.081050064903436,0.281460435101664,0.156293325921886,0.014937924884355,0.38657879788995,0.580600082587866,0.052284844654586,0.46155420716209,0.060701430886875,0.924959594605564,0.620436395763416,3.9539012115743,0.029637714722649,0.262073909159214,0.128047161401238,4.34744147676131,2.26760484698604,0.045096891246867,0.179761478768321,0.04240547646779,0.941975573399748,0.572679037145171,7.44250043370095,0.024085970689549,0.175220077868696,0.077508757993301,37.0503334271638,nan
HE5,6.49731534290589,1.14139916895277,11.4364620643764,0.627155005868619,8.51263652753497,2.24408540646303,14.754355986366,117.16801096705,19.3705100737963,3.29842491827319,5.73325348150312,9.90704721458155,27.4592638408511,44.1086186120499,0.931438955618659,1.55928992499454,5.50434307409838,3.08546775457506,0.320367322420326,7.93616990560292,8.03024066009063,1.20134153826117,5.04978463523887,0.91250500840724,20.7519324509097,7.58279109228223,89.3227834578171,0.720314626848374,4.41756705934192,2.50534262727488,44.3279931089019,20.3977236152813,1.06599858434656,3.68137405865927,0.976752075326774,14.3210670146916,11.2688615498455,107.430727542668,0.408239478767734,3.45067078475749,2.34137185386038,729.979295516689,nan
HE1,0.276564005707983,0.026639243559695,0.577721828630819,0.028519126070472,0.682687488818102,0.11335625126098,0.634856304096155,4.76474730445466,0.928462421771102,0.547278125401767,0.322681549737023,6.05546510149914,1.32948515746913,2.66366571778619,0.034951137850345,0.049599833369329,0.216193650480772,0.205866976427649,0.024292895785303,0.298408954827821,0.601292445840138,0.058278864394979,0.445374301041472,0.056610194691793,1.02274877218006,1.32431420113929,3.97220640864785,0.030769241067568,0.197075325136821,0.074017781768371,8.18164771552205,3.89013117126679,0.039571297374271,0.159271709631227,0.042002646915437,0.945981133650381,0.907059606167352,6.39456670390464,0.029452265085902,0.169297255249912,0.110174544769114,45.9499904715125,nan
HE2,0.842492866201692,0.102233116758987,1.36815800770611,0.086719888312123,1.93829829976395,0.322931455118642,1.6686964589794,12.4211762303135,2.59824896718952,1.22076053155059,0.819169636681533,7.30013976414936,3.39170104719663,6.29825094309726,0.131348419340814,0.194501758825518,0.684863909311348,0.480016504653953,0.044627142049299,1.06114820976195,1.67217804015228,0.139216882846153,1.20126770410922,0.176015399475454,2.50590373533317,2.64341388203842,10.8375626670414,0.09061740398906,0.662371543979803,0.28194495870673,13.8277277083875,8.9168458464231,0.123867499869503,0.499695266556146,0.110612104729317,2.73927594324615,1.80099804078049,16.9684193134905,0.075444196980757,0.522555408264816,0.221637174865468,111.822997012906,nan
HE3,0.583927347055666,0.066309975726999,1.01642921506636,0.073054274909333,2.06307800697435,0.207594731080598,1.09340655430881,8.88315535694083,1.57941178325267,2.46621809395574,0.514161262830692,5.16197089716373,2.28747624007757,4.01279248118871,0.112290430132889,0.152657695957532,0.505794498053459,0.312027071023592,0.033076832602045,0.827835968926088,1.52747279352603,0.097347907552138,1.26942884655975,0.154928932987879,1.77835074373139,1.06820292602774,7.99096797918416,0.055883274702955,0.60928394981769,0.273365544463708,20.5848917215679,3.01600730191548,0.094263757905885,0.362228051934471,0.138749762180575,2.69326256589068,1.13172973531517,13.6170059495196,0.080415139634384,0.39135683574066,0.159525202695625,64.5731143865066,nan
HE4,0.459228521245624,0.084795949459984,0.74883554576695,0.06690041342024,1.09566226983792,0.154226489736268,0.959996949837843,7.48673141563473,1.32078468925117,0.609989000702584,0.405131503449692,1.27319749456534,1.78954298857335,3.03346446102591,0.081214433505573,0.119344379275343,0.404582385528397,0.214949342444332,0.019103881324747,0.612021794306279,1.30549480650786,0.079922275289519,1.22919918571387,0.111762372805707,1.35137300657365,0.597215045633773,6.54779587643827,0.043282180017,0.461988474487709,0.214616417833617,4.76413172145369,1.77081151022155,0.078553174332364,0.273775187474606,0.099961048819767,1.47507728711343,0.766900652706017,7.96180241026555,0.05149103228946,0.283214930719283,0.131494355380711,47.6177929630154,nan
HE7,0.617583376231962,0.067246536528715,2.52978879005166,0.030445031435657,0.401007254635778,0.287204963361178,1.5202724185468,17.2710143841276,4.31140870017196,0.110500013316077,1.1612572335794,0.417136550340851,5.77240409380407,12.5923364054153,0.049633229811546,0.094239555578071,0.352011246413213,0.851051271597831,0.054648594440495,0.776740093752716,0.279935329808105,0.212865418062787,0.154905335547096,0.031136048814297,4.69834515512239,1.64855619717131,6.45649867546771,0.134273510941344,0.215486548704447,0.135866647356739,2.43420047798229,2.33769415838196,0.076811036828184,0.269038035211144,0.05390027783107,0.543556693499664,2.73274079159497,12.1516173730572,0.020995134328982,0.31791991213759,0.35026331457118,203.527927617436,nan
HE6,0.083616187600829,0.009855331174615,0.281788135622836,0.004777283484781,0.050455288983101,0.034633995032599,0.203944618466606,2.24709169492519,0.675495275002908,0.012774933054036,0.115065964051359,0.046232945648527,0.621016675315338,1.18097599193643,0.006498466088251,0.012039255202327,0.048883390989749,0.08078778329263,0.006252227371759,0.105286570744952,0.040035718824911,0.025327304541997,0.022692078028352,0.004533146923525,0.516465661273169,0.131852480611361,0.908974589429911,0.015266355575572,0.031644571078324,0.017012433050311,0.330788584772376,0.297393144363896,0.00966072781666,0.033465705700245,0.010401876260147,0.080202087547263,0.279090551520569,1.73937188802623,0.002413696636922,0.038363693174855,0.033913802188018,18.6185852038297,nan
HE9,0.563664229397288,0.08521762146893,2.76767267092955,0.038325070131578,0.321330268543418,0.27004788287934,1.43016525368749,18.4833709809346,2.46762027726912,0.096469764859478,0.955471080898214,0.309680298755122,5.35925323637716,10.7862030221189,0.052254681597671,0.088230490298065,0.344594657866114,0.701067357947171,0.044300109214618,0.750241023579105,0.255951124757727,0.220128869662579,0.148703746390907,0.026824332662498,4.91730742687794,0.8938623548451,5.61396301997933,0.127549940358795,0.19471527453772,0.158124327343843,2.23825837991734,1.03443283322844,0.067391717143049,0.244337953847136,0.060883264190094,0.55873822318446,2.38050074864776,10.9990126440293,0.017663341374206,0.298103205219115,0.269770848249426,167.167613425171,nan
EEZ48,0.246393659179707,0.102533360308217,1.08619495192372,0.051275791400708,0.050401225785794,0.201080531915852,0.292005566756279,4.01690614746384,0.288977630689865,0.042228171725051,5.80010010235497,0.08591986486648,5.87766057561308,6.00095046360638,0.059224709959676,0.042577368182307,0.050400436575351,0.97973937546518,0.145873556299723,0.582464838823437,0.039026148623587,0.144237859003121,0.025602748973103,0.08441526620653,1.29706115062013,0.426861538734539,0.359999874690319,2.24244261574212,0.062747689676733,0.081213292287239,0.372344991096469,0.200691511818505,0.033912373474132,0.034738195248377,0.09806026096863,0.083762373986846,66.8717185291922,0.603182789064686,0.023176562176982,1.58038283917099,1.04828401232362,47.9183506894132,nan
