	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	57.4036329571542	0.000321414322259874	0.346395992975353	0.00475831276306065	0.409036645208332	0.0673413715099275	0.946193976662292	0.185486058466085	0.173236465929368	0.0167664064816599	0.359980929815408	0.943385415343171	0.0440237850151653	0.0093325973220559	3.55822740820305	0.0123572168794576	1.24692282654925	0.0990201145940376	0.00480328678015232	7.28640339453181	0.633177525841915	1.22362896107779	0.019760984175947	8.75191509176257e-05	11.2807105410971	1.15094995643119e-06	0.0231298037724481	0.0433026930833285	0.00633495498524445	0.0191464073350454	0.130040077568634	1.62497777789718	1.7407080792951	0.0692923076022654	0.121459151831587	0.00633084881138513	0.628943163855683	0.336662337362568	2.11295637248236	10.8824018340826	1.40079735230521	0.0267199970307101	0.133628561107186	0.296125356731353	1.21284537778579e-06	0.00453422338876101	0.917990256962504	0.806854219213715	0.00830963659338324	0	0	0	0	0	0.0605556770699907	2.67260894148227	0	0	0	110.348804503496	107.615636530079	31.7891807100993
AM	0.0176330472055149	33.7786868365252	0.0139668690874157	16.5062115000875	0.00719330605950387	0.00366347266830466	0.0620900245706391	0.018099584196911	0.00851465715011028	0.391338316947277	0.0114887337380714	0.0386604421872272	0.00432145604523647	0.00352677757260425	0.225970355276949	0.00935835322841264	0.0619615143478002	0.0075589831058358	6.00288363435708	0.293746586802281	0.014838899022723	0.0268856037059523	0.00160214283582291	5.86574488291424e-05	0.189174739095649	7.80504347744133e-05	0.0778153406893401	0.00428697771910286	0.00030444958103177	0.00249111326564739	0.0142593945603546	0.00359825409060973	0.0153903864014751	0.0023974512439069	0.00545094854999435	0.00156763107528113	0.0335016779755107	0.0206602644644963	0.11622176740645	0.0790967112014199	1.51018259382349	0.00515695618327911	0.00617629450102888	0.00736163934068831	5.3150580861604e-05	0.429521839935346	43.361963706987	0.138787129607875	0.200313395440315	0	0	0	0	0	20.7817186027909	0.634933923887844	0	0	0	125.152724145007	103.736071137663	1.55660383608189
AT	0.110950157233132	0.00172393774007615	240.267403911865	0.0058953699748593	0.859682283379035	2.48543242507914	0.623301356635996	1.03702241191382	19.7414767956277	0.000616041985919716	27.3117932095168	108.617465804657	0.887038064055693	0.0456239807547378	4.88634055300464	0.0923932373350967	17.7079793368251	2.42035232692633	0.025410925202358	0.270772351850252	6.97759605827259	14.406299990082	0.60018472952336	0.00115805639008551	42.7230125836349	1.34607423640565e-06	0.0165367955455895	0.235228831465677	0.315921175218378	0.0970562121256212	0.188968615943358	0.070089483082023	0.114343060862931	0.00831172007371012	3.67016705675165	0.0469106856579945	9.65389631591951	0.404035523015116	4.52526260523312	6.91364297394783	3.18291320488096	0.384454172248947	14.9922855788948	7.58095681518855	8.56558161454204e-07	0.00412938830586827	0.252096477184272	2.54832785183422	0.00695982980123537	0	0	0	0	0	0.00775691608389436	0.853029011757298	0	0	0	548.180208403121	547.319418178362	509.770826935578
AZ	0.037979243969431	8.83568780098822	0.0330777912406789	201.89181917136	0.0181957959406281	0.0166369713873718	0.128858085058867	0.172913105948642	0.0196413154965062	0.528950703351742	0.0482693116684976	0.166543222539447	0.0300691392026937	0.0229407957796655	0.364507088116133	0.0692832289025846	0.137236100127459	0.0305918431911983	20.7117150277647	0.476328011377879	0.039049590019585	0.107333693670106	0.00601041835086794	0.000383203168443849	0.347291965987902	0.000893875181659913	0.50025606252692	0.0360531055417612	0.00130796591119015	0.0156621819861745	0.0914095338866885	0.00889311604573115	0.0332148097238992	0.00362374231776646	0.029644534147255	0.0118793307578863	0.237568405455376	0.0364989604722702	0.383927556741541	0.199024166890498	21.365076761257	0.0402892107949071	0.0169083407448029	0.0303203247458777	0.00145705072492201	3.45744485398813	37.8038495610292	1.28097612259845	1.39887528765354	0	0	0	0	0	53.4984025937013	0.937581077239962	0	0	0	355.662351156674	301.226367155666	3.3541904545374
BA	1.17090551730324	0.00172235798245661	3.79590140904299	0.0145060920807446	49.7228531334615	0.270978462846	1.69706329976839	1.32237659010006	0.554136257406398	0.00372903064288028	4.6868891305159	6.26103652035826	0.318885161741168	0.0404493984698252	7.62626169004372	0.0494267007086641	3.07781105096919	0.364648474038466	0.0231057777741153	1.50749858838783	24.1123079962313	15.8711021834925	0.114261747245367	0.000349640552824871	26.4093896600394	4.49987059191706e-06	0.049826382326191	0.325349748088661	0.0359548760746178	0.104883014801748	0.48635753538631	2.73053249930604	0.591879399984949	0.0563431154286972	0.536226535875956	0.0308005076576652	5.96365575426461	0.493198228957033	9.17360779610622	33.4212361457989	4.63162020801375	0.157641516609605	1.43003560201312	4.06655793140123	8.99306723867438e-06	0.0150344595354997	0.654219387380362	3.26793250477669	0.0265547833271652	0	0	0	0	0	0.0193313009385965	2.92640558204033	0	0	0	220.212794180235	217.267054157173	118.186445751825
BE	0.00469271213056222	0.000213933261107811	0.77696041979198	0.000623432743623986	0.024847164213302	204.184805164791	0.0429940196777999	0.127918677785077	0.709985954541099	2.75560824052176e-05	1.33567585885225	25.0915950594246	1.19181999077215	0.0144557429294657	5.48152070243259	0.0348887624190607	101.627453740864	14.4626862952734	0.0032641969380567	0.00277722868065847	0.1971093408455	0.777473043710069	2.45719525253919	0.00211890814141035	1.15935824566145	2.57352477319854e-07	0.00520148672398384	0.0911407755928605	3.21523475237365	0.0404282483874647	0.0141088143088546	0.00352193772990025	0.00174900843585536	1.44799494321434e-05	36.4442402667609	0.0722258605744189	1.75566116369804	0.377872296829059	0.346671163641784	0.439798576739732	0.385540489844056	0.246085793818034	0.136522556515369	0.318739462802504	1.50159716488209e-07	0.000158127657016248	0.0154836855340642	0.278543889057506	0.000205322045388948	0	0	0	0	0	0.000779569116942432	0.2356545354282	0	0	0	404.138044075578	403.901609370749	387.348721316759
BG	3.14975378284103	0.0276335724787369	1.65844358965318	0.223036448365972	1.37334620745646	0.351471593339054	131.371408990314	3.63178424378373	0.412152110278229	0.0694289473213271	2.56784230117113	5.50003417815919	0.623851735026265	0.120350622304042	3.55655857442513	0.165617571161159	2.00108804309969	0.679867158816039	0.470267904226897	23.2254593957239	2.4857522614341	7.68831128740322	0.107303481779721	0.000803725853144009	8.29037970871328	2.06432341121907e-05	0.450945168771978	0.634384764757208	0.0299352808173531	0.233251167677212	5.49638818752972	0.859264294935257	7.8316241035863	0.0387202507819806	0.794418771462784	0.0655770583497061	6.2154951208343	0.320835559609962	80.9748206966364	34.4545656400728	33.5688034125754	0.382763570777571	0.573286004600364	2.13519501385194	3.01567930453033e-05	0.187742176214251	28.6715022636508	26.5457455575404	0.331784397925962	0	0	0	0	0	0.315314186219571	2.79584299250964	0	0	0	433.660203876845	430.549044117271	282.116408186592
BY	0.170818422778956	0.0194991170464938	3.74447253420554	0.120098951262037	0.583019262759784	3.22725827872502	0.821765509976409	310.12306700551	1.33062298918757	0.0218300268867549	10.4544151238578	43.5792189689672	8.599345069558	1.45307547455278	2.33017240325321	2.70681464726753	8.65634486232243	5.99214481436234	0.383572158668522	0.600933407027742	2.06483309210353	10.4354199696152	1.02565378036557	0.0100815517032976	5.02860563115686	4.87709041766394e-05	0.738731991480533	18.7185374110759	0.225215166585778	4.46634886446313	6.04732958455895	0.127332372403903	0.201907533646693	0.00621012005862431	6.39298371943048	0.89633832822921	120.875993593074	0.211076807928185	17.735512153484	5.28444152526979	124.526917374201	5.11693236708096	1.19047276410504	6.24884082764753	1.88097045994681e-05	0.0521891442720175	2.36088038389637	91.8922056293521	0.100385179166724	0	0	0	0	0	0.163439098981502	0.77665241704326	0	0	0	837.840024991165	836.899910668737	285.93828185515
CH	0.00733152541975139	0.000180056188816309	3.7415639666576	0.000345132046483338	0.0421196737547895	1.84104015546129	0.00684735979433087	0.0509818685553622	278.058019151642	1.37669649647325e-05	0.605964769698679	33.6837063684492	0.362371137340194	0.00528341892921169	9.13323102838641	0.0151157131417034	41.9985102307756	1.71672620312365	0.00193421419602133	0.00887432685213784	0.245917855602961	0.309525116548908	0.612886926109565	0.000590694256642274	33.3660447024631	5.90616941733446e-08	0.000462332238295893	0.0310027668552623	0.232770114580747	0.0140425527131853	0.0058982575704547	0.00513946013686856	0.00111553651159957	0.000914575008949059	2.66760425175969	0.0105130781719065	0.540376875967958	0.802275669982574	0.12838060882814	0.19129685736968	0.134729663070247	0.0878128833379929	0.293754626285504	0.133201934907996	9.38372186012534e-08	6.69526131416075e-05	0.0118802555361989	0.0961614602130124	0.000119408994538302	0	0	0	0	0	0.000473329635968245	0.504729832815419	0	0	0	411.709848800363	411.204647148452	130.869033498089
CY	0.0194458867481239	0.00171952510503221	0.00698619097204482	0.00576641464657826	0.00601326856383973	0.00243179894491674	0.0688729413195451	0.00804289325830389	0.00353427981789914	17.9545822615131	0.00715538232153324	0.0210078647460535	0.00224725621150322	0.000936025245907714	0.134179320191825	0.00145454124346326	0.0853173262153261	0.00447359105458759	0.0183723662206903	0.473002901583553	0.0110883933682865	0.0151996493887216	0.00106418113605485	1.21254801900622e-05	0.264514069982683	1.02568354574436e-07	0.00408254201004502	0.00173698431171459	0.00016386720245175	0.000755309139466019	0.0115080368166479	0.00364980227828802	0.0243600908854107	0.00329902838953396	0.00356356029450446	0.000494091869528928	0.0115987143853244	0.00903292853714822	0.0805948862856356	0.0586156654417846	0.334679089460146	0.00176168537744744	0.00282246859422633	0.00399923498033811	1.46421741757827e-07	0.00202503015575807	5.48284840335405	0.0963251510577489	0.00328775154619523	0	0	0	0	0	1.23766104304207	1.05934690464951	0	0	0	27.5556329743348	25.2586248525387	19.1693685574544
