	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	EXC	EU
AL	166.403813870752	0.000624649877256581	0.298428125056275	0.0033323666743208	0.507213446440313	0.0271393119357465	0.654926312600116	0.145050263496545	0.0810580785499997	0.000246502498051374	0.365555453015115	0.78271797011158	0.0765151691970848	0.00755828687425969	0.574253073600115	0.00555033237570783	0.343409208967335	0.0529077651562987	0.00263384110884048	2.09862495639503	0.455116331023838	0.714918544745733	0.0164570505350155	0.00050226786909013	4.32292076651191	1.26025975675209e-06	0.00126043454883853	0.0389256802855331	0.00395117331518023	0.0165836954426204	0.101558456579844	1.36211082965983	0.469802073247001	0.00106812844281123	0.0517838308500999	0.0135444624421656	0.596457833045724	0.0231341851997174	1.37443347220636	6.68036312180735	0.172410988419549	0.0346597271507838	0.0885147233755655	0.180753426724185	1.28347623654615e-06	0.000353499694046487	0.143821029886439	0.64933672362036	0.00173820694177624	0	0	0	0	0	0.00522315356901846	0.0962037929247838	0	0	0	189.948040685597	13.1546033889788
AM	0.00284797090144808	111.503195153117	0.00452325813802568	23.0651490874355	0.00321705690897653	0.000881300157477577	0.0114348324361755	0.0177913665070496	0.00165877065856466	0.00559333253590606	0.00314959893249034	0.0151292098440803	0.00192890470521804	0.000442013536154903	0.00834963273054418	0.00130437397984801	0.0047725269312554	0.00196567400890726	3.35588986768277	0.0101318708443595	0.00276960400089259	0.00694476894274305	0.000488498296769897	7.02845937308842e-05	0.0150998346053631	0.000122359747534459	0.0193637593615405	0.0043915766299215	0.000118271384658627	0.0012434642889022	0.00581597472559712	0.000705245241146196	0.00160184965138931	5.91818231494673e-05	0.0019455034775462	0.00101841590270748	0.0228214972969016	0.000646123519736745	0.0447812005478506	0.0145602575363563	0.620246540167752	0.0024564059028947	0.00110405614225469	0.00203158543833383	0.000134972329132128	0.155295202812099	30.7424907859043	0.075129834129152	0.0838232913310504	0	0	0	0	0	5.36928791881602	0.0301620465767506	0	0	0	169.846636984116	0.174542426411586
AT	0.00209783590049581	0.00160456140387737	191.453648882011	0.00786458696085495	0.115679533890058	0.346861394966553	0.0360796517712177	0.174708665921494	4.75673435176088	1.7808835456599e-05	8.72783836799961	26.176521245945	0.22585544999554	0.01068777193748	0.325625931774863	0.0177572525010349	3.96455467986733	0.323513154281839	0.00862787151689161	0.00172517606906589	1.12299111693504	3.60674942591844	0.0906633789068273	0.00190067416352671	8.33236586730423	1.29547958576353e-06	0.00246329800848485	0.0633016345260289	0.0774558317920683	0.0228865036984617	0.0832444695738705	0.00106746896609856	0.0010241057040375	0.00027478444691774	0.443087405441672	0.0311542390825275	2.40475003509344	0.0171545211138844	0.849677869354773	0.350346550635804	0.441408782688226	0.0770314854714743	5.05120334311413	1.69441873345264	8.12535200790339e-07	0.000825746037830482	0.0490281038033178	0.729738593677517	0.00621670287630598	0	0	0	0	0	0.00160853835145858	0.0616204099029479	0	0	0	262.230434917096	255.141185703961
AZ	0.00296131620357483	6.73177539846975	0.0053837140059025	245.751456851046	0.00346501120782956	0.00168375212972143	0.0148753684874276	0.0356480349952787	0.00191469560152978	0.00285489420469976	0.0046850769519135	0.0229653481813712	0.00329662904474069	0.00125662774118712	0.0075487666501128	0.00342176264493684	0.00700479565111914	0.00318746228675443	4.01425401351758	0.0106250532560434	0.00341658915882122	0.00981464417322285	0.000835058254537278	0.000109437030354634	0.0169342954869506	0.000244022768726078	0.0552838195561677	0.00832960504312374	0.000186484962320053	0.00279968090257649	0.00863114353196658	0.000704024787874525	0.00182488061682309	5.69432499049579e-05	0.00334921258544336	0.00192155873783762	0.0349501427151175	0.000637545702604388	0.0544277842695012	0.018016012359971	5.4502729233726	0.00430273532043242	0.00142242829657769	0.00288651940460981	0.000286748444620977	0.88417942958825	3.98503982006589	0.145559955845807	0.368794219993869	0	0	0	0	0	11.8448064897436	0.0280383163508666	0	0	0	267.695482442223	0.229951459012051
BA	0.0920724193276896	0.00221203807720127	1.84299407238955	0.0110594833931833	89.5423159768948	0.118251177685233	0.392821778549743	0.212050635502292	0.241836580285049	5.84000690506977e-05	1.53944721629653	3.31966525928523	0.228099424753254	0.0124753551470649	0.521875430612448	0.0121469191894717	0.891050620894518	0.165947567766958	0.0072317406809383	0.0179947394524917	10.8962155227182	4.2257630874148	0.0498944265928155	0.0014672961739623	6.6880172938136	2.21295822125504e-06	0.00377052313961391	0.0648024914728662	0.0198483519007176	0.0302353103650322	0.134944156740347	0.637550750858115	0.00811248437476753	0.000534003497537053	0.202094247778586	0.0273664782278093	1.9068420038771	0.020736646818419	2.3502841254087	8.98948635663389	0.358291227905096	0.0793733777872217	0.606673747819894	0.779802168034228	1.74164539188456e-06	0.00117063633264765	0.0422122269465011	0.909063322577	0.00839324532786274	0	0	0	0	0	0.00424416042714799	0.0696162787798785	0	0	0	138.214553124725	36.8179973833285
BE	0.00134914433944191	0.000698212284094251	0.313978278614155	0.00269197075744288	0.00808971605107534	409.435824349109	0.00592472022751103	0.0678437165356737	0.618765999061392	1.91333215259825e-05	1.00792569945911	30.0892431986511	0.416159042602071	0.0136644042736704	1.19620798295658	0.0373510167521337	69.6775914876688	5.55264231606386	0.00468511854352436	0.00128674442524378	0.024682077254794	0.122772635535744	1.05241496034319	0.00499425121578413	0.976789232298166	8.59962862116157e-07	0.00042410065010999	0.0474083541390942	6.43630409373492	0.0175707529772035	0.0118271276224577	0.000625545370605494	0.000558625253975663	0.000207718301686582	45.8913406353808	0.068332519459583	1.40112829611601	0.0561325471636076	0.105817047790684	0.0195498921759622	0.170300191416546	0.169876206715627	0.038254165153082	0.133004756447465	6.79648836703463e-07	0.000317268796414449	0.0333093246830213	0.164210169641179	0.00118395499664261	0	0	0	0	0	0.000596843144185557	0.0314758559034811	0	0	0	575.401282521522	568.668882341816
BG	0.254420094061396	0.00326750279155539	0.336463466043353	0.02225020758892	0.20805363500962	0.0534058768481043	89.18266652725	0.714109307780127	0.0689442498629919	0.000214711646110331	0.413210345238591	1.15186545821451	0.142842271962234	0.0186951370575322	0.0799887868411226	0.0281385580129141	0.303515557824449	0.0846110160805142	0.0179163546697009	2.58627937085972	0.254347591195132	1.15880425713621	0.024546787271373	0.00116459080826778	0.669286371521071	6.95020885525254e-06	0.0102743316227561	0.154962540502894	0.00827692483870333	0.049004457700923	0.832312374770063	0.0386083729784782	0.834932077566024	0.000389939193204125	0.106517079378412	0.0306688446875244	1.54602830072077	0.0039019799787053	17.43360390913	3.6610628247088	1.9205084056228	0.0860233078121587	0.0978019367298106	0.265245500653579	8.52866951903061e-06	0.00370195950922435	2.83581513490878	3.86614291832654	0.0184218227160587	0	0	0	0	0	0.00479615142228815	0.0433326052190823	0	0	0	131.583227255436	116.15602701185
BY	0.00654121713790752	0.00114806186841805	0.117706002675138	0.0107924555584353	0.0279465226403703	0.129944671963503	0.0370897957788621	137.698925673953	0.0368905889710557	0.000150991554518278	0.360758034747264	2.39375584829427	0.663602033571494	0.165037417781313	0.0411380129396196	0.184473814660676	0.503604099834894	0.386860481723933	0.0110833358593852	0.0140829171753984	0.0685687443502292	0.370051280465036	0.0822317680710471	0.00294019814595955	0.212624433691947	4.56875210289423e-05	0.0179685911939789	4.68445303564069	0.0110330290811396	0.969677270664059	0.245189406640167	0.00168669520880267	0.00345603564384171	7.53740993180385e-05	0.356922755507352	0.104818923144151	11.638405382716	0.00255519159225339	0.806560641770039	0.130536281913461	8.50421879555207	0.590846214918543	0.0351349588819871	0.169295290243897	2.47497964688504e-05	0.00854524158858624	0.0886176467118133	7.60802444363649	0.018051503205334	0	0	0	0	0	0.00693987176773839	0.0223714130146095	0	0	0	179.524090028686	24.6097789350847
CH	0.00184570665535676	0.00036054804511972	4.13786673224993	0.00150341301130455	0.0153747050869401	0.309122570022204	0.0172108054585291	0.0426112987454494	366.745154874438	9.86678538042347e-06	0.469693929770825	28.2559567481827	0.0701535695055412	0.00310042780518366	1.13377447280285	0.00539092860904348	16.1147286674024	0.341134039475841	0.00185404250720903	0.00187248958777054	0.071546285767174	0.221608912501572	0.0903033674875508	0.000757571383532329	12.5681172413964	3.84454441531491e-07	0.000396177482694186	0.0260757780695239	0.0533558922734106	0.00805338179810152	0.018218586977069	0.0010507981406728	0.000825318052422249	0.000319143437173226	0.341406456639693	0.012014822064431	0.442238812629868	0.0437211503634744	0.236319241724016	0.070876073599646	0.111405622320207	0.0282490255399797	0.144174700726695	0.0798322619130854	2.88643986630675e-07	0.000139879416790073	0.0188437433561512	0.163043367857874	0.000868947994338822	0	0	0	0	0	0.000472857649419761	0.114409032710086	0	0	0	432.422482923338	64.8742026375396
CY	0.00901705781053925	0.00149074685507809	0.00671607967917734	0.00625019012402492	0.00321000026993455	0.00231932325899978	0.032301136632079	0.038000760489433	0.00290006455848071	164.18587376975	0.00772563705391995	0.0309684733665058	0.00637023902116769	0.000616389305331039	0.0191807294290673	0.00202873040759368	0.0134815896417394	0.00484871783312315	0.0196024472815968	0.110939872194836	0.0037285886023741	0.0241645729359692	0.00196964201510033	4.45597171039373e-05	0.04873319362252	1.61246550960583e-05	0.00104501010436776	0.00711710799175211	0.000237816087336577	0.00198349669868101	0.0185117454575319	0.00104045012897407	0.00783573712045928	0.000251370575215469	0.00439109690413194	0.00135396049574376	0.0605441369595234	0.00101128051741071	0.0917530744918036	0.0225925502732054	0.354569777680054	0.00567360400386308	0.0013719755202648	0.00741469132521926	2.5042268800545e-05	0.000384662807887707	10.8993029564171	0.173296133871156	0.000581911163556663	0	0	0	0	0	0.632206454107628	0.464167764931846	0	0	0	176.244786269548	164.678870510826
CZ	0.00242206957124493	0.00162495256110402	8.09630515512464	0.00745425441907718	0.0863990486464727	0.667819088311826	0.0343188869224038	0.352702671855132	1.21887288158746	2.01492063894964e-05	203.639822416606	29.5606509975639	0.643854493012979	0.0219454467758304	0.291484432573986	0.0426396439158945	5.2428598345499	0.771566256354722	0.0117157755290139	0.00206737145664466	0.55400873658993	2.42243454125815	0.189744586931606	0.00505452752797091	1.18689348771413	1.18711040310716e-06	0.00164177631148123	0.190745687819833	0.153702537211525	0.0538778642649283	0.0954158529007454	0.00125766109663886	0.00151594160119232	0.000109810823783841	1.13891297403937	0.065199779649915	13.4334995274588	0.0133705063972928	0.89251040333306	0.401261403579368	0.629941233707854	0.19942792551725	0.570564124853821	3.43662698511056	9.04665959214654e-07	0.00121646387446902	0.0563501876492233	1.05683180576235	0.00482427153008938	0	0	0	0	0	0.00185732936144141	0.0387111757320443	0	0	0	277.453487292568	272.680218051056
DE	0.00146457673027453	0.000936665231394042	5.29101730366286	0.00395220508592321	0.00818367103624265	3.91273727467849	0.0102761096646817	0.160682509291087	4.87154271679194	1.31275603764086e-05	3.01306743503242	384.611871108092	2.41033644552858	0.0244980157749374	0.665253458285618	0.056414036195905	14.4290644112685	2.31667386867522	0.00641283557943562	0.00130461032015234	0.0405083931725959	0.312708802421251	0.477621622814536	0.00737082860621274	1.12339891755595	8.27946320107144e-07	0.000800945305021204	0.152466512190092	0.999329225903728	0.0492693570747224	0.0299095595862143	0.000663798372301557	0.00070858115372321	0.000122594119921099	12.6967621566946	0.131555635615987	5.2208886021522	0.0285710021617162	0.239000252717194	0.0524354486785129	0.356873467353168	0.448939548599195	0.0664313005379884	0.221508724226689	6.38107801317134e-07	0.000520066251475901	0.0394743440387594	0.410042966784627	0.00219404305307048	0	0	0	0	0	0.000741655296171528	0.0498348278534523	0	0	0	444.905777659896	436.50337818567
DK	0.000532900376213084	0.000201600712879007	0.0441375146651285	0.00223953098375422	0.00165325450481209	0.611478663409456	0.00292239944308919	0.268533651196158	0.0426947172646019	1.43526505483443e-05	0.112539744215377	25.3382558846562	315.364280798729	0.0400495677340731	0.116124435771388	0.148397202606016	1.67164913680544	2.81008798910168	0.00214683118759566	0.00136488244435618	0.0036278507964329	0.0173845442479279	0.468659696635812	0.00442396030095161	0.0567487013454847	4.49801403208919e-07	0.000614573991070802	0.244121321817486	0.0298965140889641	0.0892916923463554	0.00763953872045525	0.000168222612685006	0.000460841330641228	7.98210410263704e-06	2.70862304823816	0.919231432298668	3.42048652572186	0.00979250444348463	0.0256460053525641	0.00749589577021629	0.394574492383405	2.86836182290776	0.00319175273697776	0.0184386171765541	2.30863668735102e-07	0.0020269797563185	0.0152313833464482	0.280024068282156	0.00158937964629681	0	0	0	0	0	0.000790156719482874	0.00454623450131639	0	0	0	358.17705653996	353.415487911063
