	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	50.167016231357	3.63114527601194e-05	0.493918248112982	0.000292684027559752	0.532864559111966	0.0671237026764022	1.5063246972506	0.210041572609837	0.135167581867198	0.000396329255482707	0.645821230173303	1.11024479919082	0.0792796755485863	0.00687113318079987	5.28471392435934	0.00909087469024053	1.40672131656807	0.152542102743886	0.000512231624956798	5.82429534936772	0.851222021120788	1.31794614150495	0.0457001084704758	0.000357814183984474	12.5914265641057	6.20372780624789e-07	0.0024265780488763	0.0515257851025022	0.00581665494306922	0.0155757299880834	0.2289435994988	1.61109126927138	2.16558079640623	0.0833307095671031	0.162422817527377	0.00588050082558313	1.1546872371536	0.396023979183306	2.41056621359735	10.7977832091855	0.60334883863359	0.0311783396800695	0.186279494903332	0.439632395764745	1.06700756465872e-06	0.000117041755639199	0.388106913717123	1.62570875173514	0.000460828446095092	0	0	0	0	0	0.000823848170811249	2.25047563048627	0	0	0	107.057716055527	104.806415587459	36.1781354025173
AM	0.0276823521932097	31.5618785674552	0.0150912548948056	12.7777184018245	0.00828454259735339	0.00640455148780828	0.085365677281138	0.0716408649471039	0.00710390627506023	0.219709398915085	0.0205286780778317	0.0624859094876592	0.0103042793465129	0.00218230642806032	0.140378486165289	0.00518381089960376	0.0606633542899215	0.0207299962761691	6.08239512875871	0.250924749084369	0.0136011933611327	0.028659756540024	0.00532367491513662	0.000132088307906865	0.221049536505983	0.000134664152371718	0.0777363440687676	0.0123297480451039	0.000442594161051442	0.00462121985167884	0.0369135701198003	0.00617840227879947	0.0206607317071927	0.00256702507256099	0.0148370062904559	0.00190280576571478	0.0736229848010845	0.00845509439762857	0.19418417954633	0.0876772921418454	1.96713342028728	0.00638613669091756	0.00431332079182767	0.0117577670326723	0.000158733945748681	0.253757199112567	51.1035037371636	0.682067469856576	0.211616092061632	0	0	0	0	0	18.495075648926	0.556528042795627	0	0	0	125.53998369738	106.488380161633	1.48137370557903
AT	0.256417246984573	5.62991802329299e-05	239.8126046044	0.0001899531145394	0.652003482131948	3.33946783599909	0.799599216737776	0.709041925457479	28.3094123814254	0.000229000290525537	26.1102661845452	104.302863097145	1.49181906777678	0.0381409071186611	5.18931632072704	0.0701462116167251	31.0856019822358	3.78340458906276	0.000569861446109386	0.559213384958284	6.00587849595153	10.2955690570836	0.705026609210388	0.00269981698469309	63.1677780566621	2.66582465338524e-06	0.00108078827983433	0.498979375056231	0.415753069359597	0.150721302906379	0.190264024727554	0.115567307317536	0.307130112608169	0.0187029779326439	6.05399954069452	0.0797429778427116	9.72735747225973	0.423822069160358	3.77567871100208	4.6894897482252	1.36108916501871	0.343380154247719	13.5493083948641	5.76701820347774	2.00387347189322e-06	1.25849295633827e-05	0.116523147251808	3.2935289797607	6.61384604830841e-05	0	0	0	0	0	0.000402230012720318	1.27997067332653	0	0	0	578.846909406667	577.566522338829	533.698240373606
AZ	0.0401902609728955	8.66659947753398	0.0294557341865024	151.792870478441	0.0147756415412882	0.0191238564051691	0.162718265669511	0.356477645329531	0.0170844148528924	0.240110092618207	0.0614834831514027	0.235703298954118	0.0562083503799643	0.0120097640254498	0.18583552056478	0.0284895253827381	0.120662470880783	0.0581966791321994	17.6083447786636	0.337690893144988	0.0270391362862431	0.0582268389634096	0.0135591162988592	0.000546305420494479	0.329982972419437	0.00223401236549482	0.769600246028108	0.0527852406955071	0.00111390931281648	0.0206606610277039	0.103240308044698	0.00941553719125404	0.0321188590959205	0.00285612361494559	0.0610721793645568	0.0095450451706197	0.374585003879486	0.0105322559005673	0.463069200131061	0.154639867445807	28.6352919483955	0.0332185248567215	0.0100961306681296	0.0270611978928657	0.00384205861659692	2.07452835879245	39.3873967777261	3.17355437894148	1.82325023690416	0	0	0	0	0	45.1449650144912	0.637349138860614	0	0	0	303.491407216634	257.709093422602	2.97534974732717
BA	1.47464990886409	0.000197452260567943	4.61628118614304	0.00117076174911771	38.3392116345128	0.479617337354279	1.53562506129101	0.571593639055157	0.933016753254658	0.000198673467513147	7.36477623497625	9.61701161967145	0.514351881341266	0.0211549088218327	9.91123636763291	0.0304696223745862	5.5316389534378	0.573832727441192	0.00365577546814328	0.996198254164288	22.6460831478148	16.2012856926408	0.0953535741097829	0.00112589123714998	38.5539929678592	3.34204041029032e-06	0.00412150133910719	0.196261370910272	0.0486639737722852	0.0492912648133404	0.262827861856809	2.29471862544776	0.502888377127757	0.0474811946889933	1.25445576001574	0.0256591997466998	5.44283332152502	0.518518067518386	8.00182124171854	28.8393640237364	1.85449946649338	0.132528657664647	1.44219516438723	5.07161453882155	2.74331739671719e-06	0.000116973070903547	0.196732569314615	4.11967962203614	0.000585837011852873	0	0	0	0	0	0.000612053318146638	2.33881396348064	0	0	0	222.660020742118	220.320589334573	140.320940672238
BE	0.000319956318737425	9.30501610840989e-07	0.495286696942757	4.26496609558355e-06	0.00333609407874142	237.247184920663	0.0031751364520404	0.234682299875711	0.830742639516085	8.48018412895377e-07	0.637416418188722	25.3078182845256	1.13722205176357	0.006985257422811	5.35788177150357	0.00800872453382446	111.789799442696	13.5679659283382	9.30634801279378e-06	0.000585245544101329	0.0333013725214426	0.0643334134454327	2.06662118391588	0.00562028602972282	0.838569326444521	2.76345360070262e-07	9.27390412480478e-05	0.128567420233494	3.71468663595135	0.0397017503193863	0.0176718665921912	0.000372733149040177	0.000239092451825133	0.000226839977561525	50.3143259194105	0.0915252155085121	1.63131795857102	0.671870177524639	0.0792013391133538	0.0242684052874024	0.123138623437104	0.246937854096604	0.0343931022136381	0.0478920532129729	1.77930724261321e-07	1.88335496635946e-06	0.0044911947753168	0.35364021100384	7.54302599860866e-06	0	0	0	0	0	2.19140127704366e-05	0.188514015393991	0	0	0	457.349978742489	457.161429988493	441.903308812466
BG	5.97714581194959	0.013044131664542	2.53782926238908	0.0636072756809152	1.6130808781755	0.505459071046586	188.564876200135	3.34777725679367	0.753526439989393	0.0998291924444837	3.61138511711713	7.45766613078971	1.02531628676619	0.13336684808972	6.59109570535262	0.201191673508014	3.95824259370099	1.22050326500714	0.298345308597661	26.8218435559049	2.62304854364504	9.20673256300032	0.228905817839702	0.0057708065284678	20.5727730294465	7.92717623949701e-05	0.104325292456415	0.643443554445966	0.0410248045619273	0.202441398383147	8.29907231466245	1.44401765962578	11.2427173867296	0.0705712936653562	1.55135728858504	0.0832862990399198	8.5893660046588	0.44158533270701	105.579815589252	38.364851398123	22.3976624983938	0.478876783732324	0.730456803759567	3.1875069396781	9.469998720871e-05	0.00614145575362893	28.4558192795727	43.654358625302	0.0132541486682235	0	0	0	0	0	0.106741098595584	3.61381613257672	0	0	0	566.735046120242	563.014486645997	395.656007760601
BY	0.565730738578503	0.0650508976276229	5.49445845724602	0.430617941161106	1.37482307982057	3.86518779322609	4.64301274082164	429.83571184586	2.1479666059693	0.0386565657326366	15.8280133283126	55.1616556798281	13.606793810707	1.78754480307046	3.53152242626351	2.62482417746726	9.67778507527643	7.41027887663517	0.860982372320196	2.20671164277015	4.68731848377111	15.2455254079362	1.3468318077293	0.0184370454941999	10.9919014905411	0.00103014620669499	0.414609604647264	26.160026862086	0.196693140184915	6.03792996234909	11.4440392246933	0.35482810851372	0.677127632475832	0.0235071222505318	11.2046116636571	1.04030889065206	168.287355194539	0.237357713065094	38.1936934445415	11.3188686740307	94.1687572281322	7.3471764527124	1.98887149379697	9.05570481317584	0.000548122417024857	0.129534921869983	14.3000610791218	208.235850949975	0.339704879999317	0	0	0	0	0	0.285636605764691	1.22323862982918	0	0	0	1206.11441565485	1204.60554046425	419.470671104871
CH	0.0104406148399643	6.1271306773676e-07	2.84272539378904	2.45969537013414e-06	0.0245364859894296	1.22003917137646	0.0190106381964404	0.0993428381025504	289.580462712426	3.75160628425388e-06	0.59353293789313	22.2303631258307	0.315546655078128	0.00204318020929166	11.1294847978322	0.00301803154535507	47.0827481464829	1.35719527403423	5.89318123322359e-06	0.0143149892142597	0.199640515784669	0.208841865274065	0.273677387854486	0.000997807047765404	39.918068143735	1.75785530597872e-07	4.65245185890735e-05	0.0636636580485715	0.186792939647291	0.0208276601774218	0.0130334105385828	0.00452430592605761	0.00745002670704422	0.00488714575947925	1.97223091168358	0.0102008934782471	0.74495529832276	0.707481424369231	0.123800312785651	0.112680844867303	0.0323499395168771	0.0839901935588887	0.257799110685856	0.108017901077044	1.45231233590434e-07	1.13726271670916e-06	0.00330722743873965	0.233020050726202	5.11285356888758e-06	0	0	0	0	0	1.38228356953474e-05	1.09830209462289	0	0	0	422.915425698157	421.817102672929	130.327505616944
CY	0.0301173887209502	0.00246106519978826	0.0153039758302282	0.00492922976661184	0.00944825310657959	0.00235987843454442	0.0702769598269465	0.0209922194557475	0.00808227603319017	14.6523247705122	0.0146784696810394	0.0367302127280751	0.00333780093211335	0.000467839387582323	0.151280802796217	0.00152139078947737	0.0476061384125149	0.0057023202362055	0.0160865141163931	0.38886130590305	0.0158599158383677	0.0218448080214181	0.00160351645493714	2.94081686339035e-05	0.253344525658613	2.48516316237478e-06	0.00191392090654965	0.00394483894980558	0.000187224525523693	0.00129164429811163	0.0226858169772231	0.00609186352759971	0.0328925023734106	0.00337998282573295	0.00569282624676208	0.000541942548538219	0.0254551475291608	0.00686064488879175	0.111949260277557	0.0966008025340143	0.26450005561619	0.0022175942552346	0.00530130225809124	0.00808099276027137	2.25470300828131e-06	0.000963397933259031	6.83869062569349	0.262753943444227	0.00246947618040102	0	0	0	0	0	1.67044996364807	0.765106034295552	0	0	0	25.9152775303712	23.4797209476837	15.8517638333383
