	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	64.8069945957687	0.000197598876884538	0.398435814104225	0.00293361407104069	0.726456303251111	0.0658747061624402	0.847343509571731	0.211391138734322	0.0971254938347299	0.00565185071758312	0.39990616359801	0.965232524049064	0.0254292679059441	0.00486636180781003	3.34576686423779	0.00919736036437494	1.14866274839485	0.0836853615342103	0.00404513106181408	6.27236301751858	0.551264572595697	1.16657425347971	0.0202986199515229	0.000420806879379261	10.4531346146359	9.34404642061431e-06	0.00395321034156417	0.0352113609297789	0.0082602737663736	0.0121816979574939	0.0802661350865613	1.06947954558795	1.33859623551315	0.0626438954583994	0.10386392391607	0.0064979408973544	0.781963997888425	0.165137286452747	1.3564064888248	8.53497296501338	0.674569192656885	0.0193237527574326	0.125917685153163	0.320296323385766	8.93399886020516e-06	0.00339677138497139	1.85566531893061	1.0214185441195	0.00606156034377246	0	0	0	0	0	0.0121915741038206	2.93952089488913	0	0	0	112.151067146512	109.199354055278	28.6712087725871
AM	0.0238335077653245	47.376457057862	0.0153022617995648	20.6586445757451	0.014224932657956	0.00326458547043301	0.0722266216735334	0.0412678030268824	0.0057405465471367	0.304007369800001	0.0117791477208097	0.0447894033829375	0.00425156031415487	0.00143013955289795	0.243040420253164	0.00351189865993549	0.0423817559395761	0.00631481417133003	4.69045761136147	0.27204307726063	0.0124178796495431	0.0238935093399222	0.00120967339410477	0.000108731306884247	0.199898334884905	7.60965749084037e-05	0.139386171450147	0.00887475784368223	0.000244518636908365	0.00235688279293525	0.0196085102798656	0.00406012226790348	0.0173114739467051	0.00271668660183613	0.00548769193299673	0.00173599031875109	0.0535740334381392	0.00928722405346057	0.129433914023821	0.0853620538567818	1.16877153926759	0.00444653329569259	0.00553884411061107	0.0062322335153197	4.88887917429243e-05	0.700611712429418	64.8595321821857	0.215628618635116	0.425242567294111	0	0	0	0	0	21.6536743804685	1.1317662580667	0	0	0	164.72350710562	141.938065724727	1.48364096113061
AT	0.12682142390992	0.000285667726837572	281.637117507707	0.00147611888046091	1.06883078537305	2.20424830924916	0.36527545849729	0.755433168429405	19.0233599899819	0.00566915988917184	33.0532203923708	137.025356607768	0.239698051575526	0.0255377031883128	2.99265977663681	0.0616580612368975	19.1543483073891	2.37821566666577	0.00452112299550453	0.281542898554491	5.09814259260873	10.7916659211161	0.430748002477182	0.00440981188959497	39.1571507529079	0.000508998819738241	0.00793641459339587	0.3298649839247	0.349370356830657	0.0716346980463213	0.086532468216976	0.0443608063558069	0.0592174711226931	0.00853808652835386	3.73388934488604	0.0533083874761689	11.4406381214412	0.123458637097491	2.47198075345676	3.75932850923609	0.983991704756607	0.132126154420644	13.0861869120423	4.40995777667539	0.00045093091386763	0.00263063214865065	0.669161196784359	1.74197204648323	0.00692767604598404	0	0	0	0	0	0.0118083988907886	1.21458945786351	0	0	0	600.687764184082	599.461365062523	568.681684256594
AZ	0.0365684853969649	14.5532787567429	0.0232012479186628	284.022927223845	0.0214868064747313	0.00720628752045911	0.119529762280044	0.227283805292463	0.00870709238311729	0.380849390536735	0.023708871534639	0.11027190838894	0.0167568717017502	0.0100794793780905	0.328676272989059	0.0230156014931173	0.0686253135960755	0.0150565312638858	18.6775224743002	0.396638514610703	0.0185227806734079	0.0411461107670959	0.00413805469444525	0.000366964365454864	0.282421159795351	0.000852674132451701	0.770560760488025	0.048508275330897	0.00048357207116628	0.0139186836846723	0.0658681941984222	0.00639539593138379	0.028675786012517	0.0034237867945917	0.0143763560512744	0.00789611606428463	0.205469216658271	0.0131246197805312	0.282020394242389	0.130732660145386	17.6673726764758	0.0196935629709248	0.00808988345334956	0.0124987891914263	0.00110379815568518	3.5459863531216	60.1079644812487	1.21280240264763	2.04537024401266	0	0	0	0	0	56.3104184779651	1.69601587756444	0	0	0	463.637608806337	405.631174648313	2.4763947620859
BA	1.00569865649203	0.000308593090608935	3.56822843274215	0.00357266357986694	70.2700268780584	0.20213453011565	1.47830076340858	0.635094931763205	0.372090858923171	0.00593155784830831	5.7057688863184	7.32130573386438	0.152919084914633	0.0157431056565939	5.40685672459228	0.0406283198153877	2.39012443224287	0.347926961826267	0.00807933064703558	1.12786868815165	18.1627982344704	14.7889326861239	0.111329323621075	0.00113355895401551	21.8046672397855	0.000208922328575004	0.00936233456753229	0.135063244073207	0.0243984323361284	0.0358490283783764	0.293948766725751	1.55264638917353	0.279306687329139	0.0281224656702539	0.514244830898489	0.0281282381557608	4.30013287551095	0.198273188883702	7.38710133064411	26.1532237768424	1.67703975105549	0.0962176041895948	1.13654175206303	3.18225626928077	0.000177915762333882	0.00382929409617986	1.40521281478824	3.660467598378	0.00838435381811243	0	0	0	0	0	0.0219582407650899	3.05141388016444	0	0	0	210.110980162886	207.037606492786	99.3217385490943
BE	0.00102111289605427	2.91048389150762e-05	0.614630474779408	0.000139240338562441	0.00520251493401818	173.711007733932	0.00307888868749473	0.147504741230361	0.967140365959742	4.80054382774584e-06	0.479345997879036	28.352692332261	0.66534191113431	0.0138950844553101	2.95136318916958	0.0223327878013898	92.6529039798999	16.0556310570887	0.000127422303244202	0.00117586998865154	0.0201044196564411	0.0941315120347568	2.05684654645046	0.0105154694206402	0.95597760474003	2.54458192296252e-06	0.000510212109125841	0.114865313562182	3.72271339107301	0.0343129567184332	0.00454161946296378	0.000203645116189543	0.000271599359637259	0.000653371318684532	29.3961574119	0.0840804760189366	1.37053808495981	0.253535362724162	0.0392906225473326	0.0208351135021016	0.310125088662795	0.162351550370145	0.0373352524905253	0.083341524925583	2.60638635707523e-06	0.000712491577372623	0.0059254890077172	0.194185815837327	0.00101148760919345	0	0	0	0	0	0.000359929819332166	0.174206274760158	0	0	0	355.794213398824	355.619640814667	337.809927146339
BG	5.17777934229838	0.0124960675426352	1.51058674865759	0.126432711287991	1.41128058168818	0.169247632399814	149.11466839289	2.83483705060835	0.190057166648247	0.136424921646659	2.39076653678993	4.6431461044519	0.202375441414461	0.0473696192779961	2.71593697559622	0.100289231526006	1.08765722018323	0.277163185728242	0.27108184362692	26.5707519380647	1.34473963569843	7.17556262952545	0.0725746467278225	0.00145916461289762	6.55771846971147	0.000162616131538832	0.116504025296047	0.373432079268354	0.015560469894327	0.112379014020998	3.36478517690507	0.543677266054639	8.66656827559128	0.0305893104316982	0.365567835335266	0.042383878829947	5.40941314030098	0.134390908739577	67.4380260752167	29.3544468316772	14.5023560108585	0.131508052437527	0.372749313682625	1.91971583398051	0.000141709962183618	0.0744485064599281	30.2676202502356	19.9119875175784	0.153189379221576	0	0	0	0	0	0.305987964879956	4.66651377467561	0	0	0	402.41650847627	397.444006828321	280.143148402804
BY	0.429924824593824	0.0814230252237501	3.36597792507455	0.713695919549578	1.09977808768715	2.20471807128761	2.7142419942353	400.1175864645	0.744984162227756	0.0190878005780841	9.81158910747298	42.3100072271925	6.80907973777172	1.83560921696865	2.35932879592255	2.59652384205014	8.49313617541213	4.6512244593724	0.634328460014857	1.43089556008138	1.76027750101201	8.97128374463382	1.18015669494603	0.0158762356067515	5.97934469517405	0.0035430011803147	0.789169999297795	28.2161309875811	0.16829984760911	6.39658563562836	5.33107011252337	0.164253586174642	0.368595887722351	0.00743858908347962	4.84767373116409	0.961121632492536	120.658363883889	0.145661053963617	25.7529400253044	6.15710494813283	90.3063246166727	5.29512588323067	1.0553073858769	4.39553832811631	0.00278024996837493	0.506871501723087	16.6145530333266	96.2468575258077	0.426629054598287	0	0	0	0	0	0.340226093799176	1.68337983743636	0	0	0	927.171626160892	925.148019929563	298.780323809563
CH	0.00458893702387028	0.000147446562242794	3.16800047065648	0.000462030276801932	0.0316741306370469	1.18255728147433	0.010084820804531	0.127664419655529	261.145007901252	0.000829824249225964	0.894631243803445	31.2039570232549	0.0421125676904184	0.00366256170541409	5.97085113822472	0.00730160775800146	41.6137237771356	1.14212913926651	0.00063129705962385	0.0116690901543532	0.157818518382376	0.299841742181509	0.250278535850522	0.00282711781251762	27.2362114106153	2.29522113721815e-05	0.000422192650965228	0.0434242449475451	0.2962212051047	0.0113863006005035	0.00293040714288795	0.00149093592726814	0.00153773305476357	0.00262364651246858	1.38213616803783	0.00852205692934196	0.966318608558022	0.295174233848153	0.041272640409261	0.0890710464477432	0.0629200941957159	0.0189493607443962	0.23990706685298	0.134217057698767	2.1527175995737e-05	0.00174874675466297	0.0444128058016112	0.069793452451223	0.00116094338241599	0	0	0	0	0	0.000488967731113727	1.02594279616955	0	0	0	379.250781224829	378.224348098725	115.48516160761
CY	0.0134095577200542	0.00451308814958207	0.00916606674054104	0.0124302383650331	0.00700137383390283	0.00338660427499909	0.041650672055632	0.0180871112127951	0.00282913435986546	9.83250098937303	0.00728740219016126	0.0289717094766307	0.0012325662438352	0.000259848734002432	0.101246891627242	0.000782460555148804	0.0466622376603026	0.00176960992986748	0.00734800280563503	0.28134148310071	0.00663874568481663	0.013813012342889	0.000482753221297545	2.13259966279114e-05	0.11363686321222	6.48600161572867e-06	0.00120023318567603	0.00218687186599727	0.000224118845637428	0.000577717966572132	0.00671976137656193	0.00186822354873716	0.0161301526905679	0.0027884855587636	0.00551929738635473	0.000302987301827068	0.0188062238567655	0.00291165627915421	0.0575044546167037	0.0494759565344041	0.138004550540193	0.00103767323492204	0.00271462422769998	0.00371278943309416	4.91646466317499e-06	0.00196121416948321	5.77437202300337	0.0952949628290319	0.00223362101528306	0	0	0	0	0	0.492342193277387	0.775426320202217	0	0	0	18.0097972642795	16.7420286213603	10.5870441665051
