	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	42.2807476590618	2.14109249973631e-05	0.509997325439396	0.000173890566573624	0.758522861064832	0.0994541018620592	2.443751401005	0.216172146005172	0.26285363674616	0.00643762124590716	0.863020731379131	1.71450137637911	0.101248119663455	0.0108412278469818	3.71578185504048	0.0137808213803785	1.8595736567931	0.173608601080385	0.000385133051611902	5.53890479081965	0.96147724265153	2.45673931491211	0.0366401842877262	0.000325635433502975	15.0458684690252	2.05258663746384e-06	0.00019935796741314	0.0802233492614157	0.00738050293749096	0.0224528560007903	0.210660291010561	1.7863340729179	1.91278402369762	0.0743904863518736	0.337463584635056	0.00728599062172325	1.16688747598762	0.241972315086117	3.57405283652565	13.5521112868535	0.217708438653582	0.0232585721451882	0.210162084482984	0.689133459822656	3.06789922966411e-06	2.83790257546858e-05	0.514215838631264	1.5424620326291	4.54314158206145e-05	0	0	0	0	0	0.00800725075814676	1.59669273440579	0	0	0	106.846746985977	105.242044436778	41.8053958098235
AM	0.0172356241163726	32.1907155486492	0.0241701673351035	12.9915602299321	0.00765701887827511	0.0063464000373109	0.145653816333235	0.0812763829916299	0.0137541714584706	0.222438928898022	0.04520933764157	0.101900093647714	0.0158740070412077	0.00466960712885216	0.193271405579085	0.00569510700719337	0.0779630936926282	0.0143063845475866	9.22396367160555	0.300711832503785	0.0173623884809347	0.0801308059582809	0.00285268934706112	6.87272634430926e-05	0.204362750096551	8.32400383557968e-05	0.0491022926678887	0.0211083832030472	0.000519482318321951	0.00929546179704324	0.0665813808019914	0.00314443894416911	0.0169754858811284	0.0027054239923724	0.0162730571830879	0.00246363358705178	0.123085044167238	0.0132702324014898	0.385175269187567	0.0820615320701359	3.43018044668764	0.00712694040415307	0.00654656986335035	0.026967592744348	0.000180767806400299	0.137402273796589	50.456044294926	1.08517067379779	0.143263180233022	0	0	0	0	0	15.9798855208224	0.336820273129108	0	0	0	128.390583082623	112.073876562382	2.06068589694854
AT	0.143951202045859	6.96482130913899e-05	246.810881130385	0.000182912557635515	0.835461067577371	3.46392623043518	0.874883398329539	1.04031187277531	27.7882262646251	6.51993953881403e-06	46.0123327832919	137.846281417226	1.30175109556709	0.0815826618847723	2.92997511467494	0.133539702605294	31.9266870802489	4.22446772661428	0.00108704864486197	0.331969661984782	7.09003255711949	14.656632069361	0.909066558362191	0.00516657585174801	55.9671058205416	1.20305707736842e-07	0.000458545721075727	0.866691930843504	0.473809434648512	0.24378925796108	0.291850061618104	0.0740601040601189	0.158036995821794	0.00726756258249424	11.7189033457683	0.110044932271062	14.598486997776	0.205065335323604	3.74453147349555	3.99581536161496	0.780608508440746	0.397098098440093	15.2327969038039	7.80601840527877	8.53096973953215e-08	0.00010698024688567	0.156462403755118	3.32048115427663	0.000561375912500352	0	0	0	0	0	5.03624355295744e-05	0.387894572739879	0	0	0	648.946468431314	648.558515586476	605.631109322845
AZ	0.0343024653506293	10.2260979571203	0.0876413173304231	153.878246925027	0.0193686999090596	0.0300184656170033	0.329977963461196	0.59045812245909	0.0598975538967463	0.312006460933715	0.216913111687401	0.510061341409348	0.094641831587489	0.0284924003117501	0.351002197420706	0.0405703289889166	0.244564174211573	0.0762017217569722	28.178846000276	0.533056879180847	0.0417979559603355	0.279041728998756	0.0146871615184878	0.000308118386727671	0.424295461683834	0.00191562509731348	0.602230200477439	0.1408612085522	0.00199878281258014	0.0585842211113173	0.292039988844885	0.00868274509764896	0.0353329836493635	0.00520402247763661	0.088709156168465	0.0147425458626951	0.739089714774574	0.0255105997692272	1.34881888459493	0.200010235615182	45.8822206035097	0.0488069235763061	0.0194122802122391	0.118908360331427	0.00334564725772677	1.38388346134682	45.2681966079068	6.45312402985996	1.3181392346218	0	0	0	0	0	39.3617322317479	0.598778944467824	0	0	0	340.622775584228	300.662265524844	6.13467294785642
BA	0.98014659002434	6.56898526671558e-06	4.83969046566989	4.67171102366739e-05	62.8607442628438	0.43168674483876	2.67793051768274	0.580665107391358	1.35415331511585	0.000207193922602015	10.1067464209204	12.4041106951198	0.560721985769176	0.0528540244581619	6.49502074185023	0.0657348594859858	4.99854026725731	0.966555231214209	0.000180866877516731	0.922435090408651	27.156327848658	27.0220166568138	0.146227206883862	0.00180934063658097	38.8494035972695	1.98744004892661e-07	5.680674662355e-05	0.293929596536199	0.0386230408562488	0.10565524100353	0.176873218293999	2.31754433334432	0.526617556581805	0.0574812961808483	1.57653693072149	0.0381317383784474	6.93722341651429	0.368548120472799	7.92538329683043	29.1408427496689	0.363094921733775	0.128165752886707	1.83000671801418	7.35051672744864	2.90329936002802e-07	1.64460170036414e-05	0.160159792673648	2.68828243342589	5.06602630848032e-05	0	0	0	0	0	0.00111136895726866	1.74518041352418	0	0	0	267.243995383356	265.497704575683	163.341724187932
BE	0.00415042341079454	9.88213899911388e-07	0.548239303370923	5.80386972051812e-06	0.0400286138088026	215.253068147773	0.0226748068019747	0.162800289296776	0.68726991915475	1.6332063346986e-07	1.51712127320307	25.3005430087182	0.776582757611498	0.0109550760788187	3.57497755400932	0.0227752467682209	93.0851315657197	17.8856777478329	3.89153906742115e-05	0.00678668977777962	0.121295122102128	0.252880777320323	3.28882522451147	0.00920388070652046	0.810990280742393	2.70908615768588e-07	0.000537935273853531	0.159440574891099	2.52389959726018	0.0339301258358689	0.00861213105146593	0.00373822227510739	0.00281635539941503	0.0003124051668709	65.2818136398461	0.0847143162335459	2.16797164968777	0.46623755621145	0.0795274651567411	0.132108494646913	0.306500410927274	0.182910884864217	0.0626667145008361	0.143854072803155	7.38863150643459e-08	2.13777284543522e-06	0.00174643819363837	0.266044246706512	2.02715118021085e-05	0	0	0	0	0	1.81729831409409e-05	0.0838880287448136	0	0	0	435.375335772254	435.291424230471	415.695412172068
BG	4.85286157804128	0.00127197011582125	3.30063080814652	0.00348988515402017	2.2088604239654	0.542228681135488	324.535853758741	3.76649932519689	0.986832758372059	0.0116159440374576	6.78639428283486	11.4488196997619	0.885619980879954	0.171313377663989	4.74414594387524	0.160959315424475	3.68332606516049	1.16802043688258	0.0741001379050821	31.9904199901141	3.54904955290239	18.3567713341437	0.225742465216103	0.00223034069257872	13.4383838416343	4.52545126634862e-05	0.0311975874185664	1.32735545108532	0.042772876338359	0.423768297688571	8.78321689801476	1.32220273483223	12.5674763610017	0.0416811489271523	1.79228193781488	0.0980562298709816	9.70786490218089	0.356219830364299	147.370975172442	49.8634152922616	11.4569781914732	0.233573618315175	0.905543494901283	5.08885845325631	5.11900705519499e-05	0.00114551282885897	17.0947485889797	36.245253078998	0.00421047479398538	0	0	0	0	0	0.0378276894272627	1.96028420031828	0	0	0	743.652446366114	741.654322823692	591.122169554397
BY	0.331754465024279	0.0134043517024815	4.66685664159214	0.0355062850991135	1.38694590562986	5.91038560415702	3.92653937691683	549.390116186763	1.93185296588163	0.0073767793606925	24.233285826478	80.9474605448693	17.8769786926735	3.2682064455735	2.3662203665611	2.63341371662371	18.4348096598102	12.0632708186422	0.398605067878372	1.16204731953213	4.08586517260479	22.0596386474199	2.29403586329964	0.0200692663420554	7.8265482998025	3.94616112137177e-05	0.212706409080145	73.4283480828439	0.330339611021161	14.9805260042273	9.39066393695856	0.216096554209738	0.431234336862153	0.00518230359153754	22.4171055803895	1.43105206828621	272.761887591434	0.207375870730822	32.6282261262642	9.70391207522182	93.2947323414097	7.61952285782325	1.68716487072421	12.0460019867756	2.58865865630793e-05	0.00450085634578988	3.93527915031946	184.974703801199	0.0230480633930534	0	0	0	0	0	0.0583342750584299	0.229924135286824	0	0	0	1509.28912850789	1509.0008280828	639.81135012529
CH	0.00957788800368352	8.21956723443514e-07	4.0272347661751	2.96554574520172e-06	0.0617008872005243	2.32745825803323	0.0298512988993011	0.129996633588228	289.577918547262	3.23840714350624e-07	2.07831896437074	33.9818272843131	0.184640878581874	0.00869602291894906	5.2534442994541	0.0137268835647844	50.3466333484553	2.28487135184314	2.15102071971489e-05	0.0150729755526322	0.351176336704118	0.442555158828858	0.6193187771621	0.00211955547935876	31.1723710621848	6.34491920118826e-08	0.000150633808777	0.170437056864867	0.296421315299328	0.0337441227271868	0.00557783819324982	0.0092732135061153	0.00394009852783495	0.00261022675607976	4.71631146847883	0.0209019821112618	1.29653811661127	0.383331293360901	0.145759564967516	0.231657776550517	0.132590818360575	0.0572893044659452	0.348143306339774	0.156329179370842	1.84830168272202e-08	9.94474977955921e-07	0.00496453836347603	0.113398651504341	6.98992077189459e-06	0	0	0	0	0	4.94917971514934e-06	0.265675187719481	0	0	0	431.313595509522	431.047908215916	138.459242174255
CY	0.026836274630785	0.00489680106671795	0.0145445114556604	0.00327123926089506	0.0142908543726987	0.00492634643766982	0.109738114001021	0.0296771466749396	0.00946477708187586	10.6189136610881	0.0272077908763117	0.0573008431251234	0.00583890874980205	0.00190006215178469	0.214412950851524	0.00150344931736269	0.0853849148097527	0.0103750821746174	0.017076548286155	0.492313127659675	0.0210350363756606	0.0381681029373626	0.00265562990869973	3.69367021002255e-05	0.343041296655035	2.36769021131034e-06	0.000548291245785411	0.00950433300197814	0.000327601611310643	0.00348177599644479	0.0360452734205202	0.00666580813659877	0.0248700126609265	0.00595166957605443	0.0142188773663283	0.000726405835269876	0.0567562486691542	0.0112204079188113	0.175844498899322	0.0814270293259623	0.222135366374906	0.00231071103401017	0.00646342833040186	0.012952170867588	3.33387810215646e-06	4.78369102342546e-05	5.72210914916062	0.349938923602416	7.03516692798268e-05	0	0	0	0	0	0.678746772136552	0.517253050738543	0	0	0	20.0944321027087	18.8984321857065	12.3379164711231
