	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	EXC	EU
AL	213.632151949555	0.00341349897376549	0.900809854880652	0.0181912081329127	1.98123362802696	0.0749461874294284	2.08931705829665	0.349254612326265	0.207263996751243	0.00502979901044521	1.1401395952153	2.16424640923748	0.177866483094487	0.0150637459953656	1.53698086411569	0.0126709361639221	0.890512280369694	0.141467546569067	0.0169805986693193	6.71411924310737	1.44305655347586	3.0846917383175	0.0408660497555072	0.00105682151582116	9.35821054279763	8.26261358380319e-06	0.00688708359749239	0.0928946833118132	0.010373050228749	0.0347826043167726	0.249362581739928	2.99394055985061	2.82699794252871	0.0180080911389285	0.167091961830481	0.0268553046109687	2.08274065687458	0.0713809598637106	4.29758752757689	25.1151366907022	0.613533029951876	0.0865686686344377	0.247889760654533	0.727079066021855	9.03896004820886e-06	0.00190816985533313	1.15149526903622	1.62380959797388	0.00863989634438733	0	0	0	0	0	0.0497328792209855	0.818288652719988	0	0	0	288.454517918737	37.4849245520221
AM	0.030494091435314	154.098198412037	0.019688394595029	44.610942187577	0.0208219492549351	0.00362481682568787	0.0827101030519401	0.0560129302162809	0.00775969717906934	0.0961278614432948	0.0148440119342528	0.0570270900166287	0.00635927254376879	0.00146307765675861	0.102605580260938	0.00436045604771557	0.0264738145260614	0.00734304415954812	7.85873369994585	0.119650362587324	0.0167401019200926	0.0373476677246605	0.00242826097442321	0.000243387826644619	0.126534278932985	0.00108479349726327	0.108345992281125	0.0143537400396928	0.00050891612723205	0.0040255216600174	0.0226006157410445	0.00560086651507565	0.0159430523115951	0.000908185609069112	0.00677966133225562	0.00292135747299644	0.0733995542763721	0.00650532921258757	0.237806709063841	0.102732316095502	1.83710098339761	0.00747420570709727	0.00545729160506426	0.00972289148429226	0.00116086960411707	0.640661211760321	65.4844654960479	0.269715885425136	0.418047937144536	0	0	0	0	0	25.4607801265789	0.433437479690288	0	0	0	276.685855206196	1.08492715615692
AT	0.0159677872133473	0.00411823518223487	224.144057561616	0.018290008190871	0.530979477121005	0.700681124954124	0.121827057515576	0.323871977477221	6.46980682738856	7.03029816549927e-05	13.2160180249655	38.7524308977915	0.415895975319863	0.0161685595260851	0.660337577832222	0.0318033955807578	5.91465520739579	0.609008376043349	0.0224359052552535	0.0166040111892231	2.96523474084807	7.01060744651597	0.138262700488249	0.00207657161289239	14.2220142406981	3.75322159689814e-06	0.00495570378140952	0.102852219050151	0.136837892767126	0.03569482508457	0.136625507024324	0.00885552664639567	0.0103264434868498	0.000930061040045426	0.892605642126654	0.0527719543339701	4.6169659454811	0.0312525836116209	1.72128087883787	1.44551863574575	0.952172155109919	0.148103851295144	8.2740686355108	2.69852572912427	2.30001401673088e-06	0.00200476735436819	0.196809301846261	1.24920695231705	0.011810105780472	0	0	0	0	0	0.00526877972269645	0.181171426058814	0	0	0	339.053402035646	326.985788383909
AZ	0.0202087636380203	11.6234328719992	0.0216893481958925	342.977770576532	0.0178782319997247	0.00594793305744813	0.0769457295425878	0.106313240677475	0.00807705764132006	0.0412689862885051	0.0200796990073826	0.0811064768842614	0.00942554561692906	0.00361676712707883	0.0578598558337142	0.00984906068636826	0.0277770635036187	0.011488994561703	8.74578876188067	0.0789349636651693	0.0165821895131529	0.0440535356354795	0.00320194437403615	0.00066689752692926	0.0912728681008171	0.00544805194667986	0.515940097061105	0.02137996986439	0.000603305842671204	0.00720978517972615	0.0280480995871636	0.00422484983663414	0.0120684368093776	0.000536850799370322	0.0112333439207853	0.00519033759487625	0.11901450782667	0.0039629240389535	0.221007699446409	0.092866417720481	12.3865258999088	0.0111873427296037	0.00624459723405697	0.0126200634651551	0.00504595682837129	3.30025618867328	14.9989933374256	0.542186253164601	1.91672398072386	0	0	0	0	0	34.1541258296057	0.250296656478226	0	0	0	398.329754133325	1.00461235690395
BA	0.56355063601791	0.00899798927542682	3.69463519770621	0.045121302146855	133.822669471605	0.253283536346023	1.10098095773673	0.383310529286309	0.533639827682809	0.000984966236538276	3.37793066320316	6.82558827038606	0.430534966634176	0.0223342074971154	1.32529388805051	0.0237170484048883	1.85871003687634	0.353016245260701	0.03369918767406	0.23209227514375	18.2831185850329	9.3803150082556	0.0869636423840338	0.00183827437095934	12.1831550351262	2.20277268604719e-05	0.0183819958396563	0.127098417180693	0.0391649456724252	0.0540259371693711	0.300028097667481	1.93958339051922	0.120315875325794	0.00775116275257788	0.484795225680006	0.0457813118626327	4.65150826766967	0.0550352501620823	6.10443205554722	26.5432732533931	1.15744938723951	0.153147804089056	1.08096453151754	1.86415885999245	1.92055249456248e-05	0.00483416170320295	0.461689379739687	1.89288305619939	0.0285212143126985	0	0	0	0	0	0.0306722683555074	0.49300156461933	0	0	0	241.960348052185	73.7017209058277
BE	0.00317591691831397	0.00167361490841063	0.519368501290058	0.00629464295907853	0.0146524751639846	459.069198698159	0.0149689447867754	0.133651061468983	1.30277597636007	3.05137092189802e-05	1.67035800521997	49.3970365186145	0.860263955027244	0.0191046790315359	2.21224586257594	0.0612885458041525	98.042123596208	12.6744330785296	0.0117020123778688	0.00413612590233106	0.0428204308563938	0.21732194549979	1.91234924226036	0.00793571344444061	1.80720664419378	1.13361871617854e-06	0.000869019112391582	0.0745796855907843	7.98801509506241	0.0261239959993088	0.0239503730986056	0.00136466865716686	0.00145627799368388	0.000417066291405069	63.6041488253394	0.133357681041742	2.45624828291332	0.100419332898618	0.21218680264959	0.0401577449140127	0.406883814818737	0.351215428235977	0.064755817419405	0.231465834343493	8.36511175893372e-07	0.000732455650560666	0.102209669058534	0.356144258712529	0.00242164175258247	0	0	0	0	0	0.00120103359158438	0.0875872970267027	0	0	0	706.185226983847	690.959388129201
BG	1.08354157967	0.0177031775671126	0.998624106243096	0.0879793521251771	1.02068032427454	0.110807939217006	128.538529226622	1.33524719008736	0.217472563491232	0.00521806959134989	1.14088326486816	2.77189752951408	0.289609512901236	0.0308147386014919	0.461484740534989	0.0513528564359585	0.757109981514804	0.16627508454185	0.0838669079373959	6.31271581525971	1.0494854493706	3.70253714622408	0.0463337822636359	0.00183338601559896	2.6061961557748	7.87326202020354e-05	0.0469618962508743	0.275096834248196	0.0179892782803594	0.0841216845586641	1.62065729020003	0.199550624742846	2.02241287199915	0.00547127496752895	0.232417828747764	0.0506866865649613	3.66039145214445	0.0226605830018455	34.6002109595711	14.7456255097435	4.27658483551162	0.150929972638848	0.31915236684608	0.860374871199472	7.73952277566595e-05	0.0121395690621488	8.5629190456061	8.05763675492811	0.0539348291065601	0	0	0	0	0	0.0515678675184445	0.485345485654177	0	0	0	232.766283775405	189.102417479854
BY	0.0343203286016283	0.0121131782747786	0.466630043269875	0.0780940440020422	0.125091316399143	0.366650112012342	0.146528195020104	167.521274352545	0.159011718341528	0.0014430933389608	1.44585632147091	7.01277815185113	1.40617396949457	0.25992541961299	0.196852869735472	0.339822201936801	1.28058411598471	0.8844439864263	0.0694766639878675	0.0961562153029523	0.250681552303042	1.21951144514931	0.182476768469604	0.00449367124810188	0.724003905053056	0.00218477804965722	0.19901057779592	6.75859007861088	0.0328019994106291	1.33991189057029	0.569661195274745	0.00978124494598527	0.0206321946833453	0.000579865306993616	0.961212856668897	0.17881688523617	28.3140736427486	0.0101321206135558	2.01327994413936	0.587067506490637	15.1926909325712	1.03941369953196	0.137792270328846	0.634395894226955	0.00145024545878905	0.0523337468260358	1.12510868663778	16.5617937873236	0.169820752271682	0	0	0	0	0	0.21521721559666	0.0902484488728553	0	0	0	260.196930533682	56.6382586589554
CH	0.00371302022404474	0.00104107133635252	5.8879031424543	0.00412435482059587	0.0268334610782315	0.608108053763438	0.039250533138728	0.0823593519024979	400.511050356004	2.23231668644486e-05	0.809510978702587	39.4851529073054	0.120187850077022	0.00406576427555033	1.74218538633575	0.00875335751200145	21.8756750861956	0.686299238862598	0.00593684691511223	0.00525334652225742	0.124339112622394	0.339122768193195	0.136930417826357	0.000952090437016289	19.5436372361237	5.66553507104088e-07	0.000909752448326346	0.0349714611198196	0.0950111448265477	0.0104648989835761	0.0291916381459342	0.00193112986741945	0.00191515342540928	0.000800448350589284	0.627801226743812	0.0206858486433274	0.719671508353886	0.0714272143099317	0.398713067864962	0.127436251836778	0.24061307628939	0.0507752850322199	0.254898503178913	0.122932648587096	3.93135477266307e-07	0.000390285510146963	0.0641968741676973	0.266867968540022	0.00211041698388886	0	0	0	0	0	0.000962076067820015	0.268282995029155	0	0	0	495.19612648485	93.1175665247021
CY	0.259629470386682	0.0198744625332879	0.0790538312945534	0.0888925820780585	0.0951369298639586	0.0155574845436508	0.554167406626256	0.284868913624444	0.0349907063429102	213.007560251497	0.0962827894790784	0.291230892247207	0.0611410442737456	0.00416135942437453	0.826593699159024	0.0120338487357481	0.213948904018379	0.0337257686723168	0.161871174093871	3.25132595630601	0.0936616087639828	0.241956888826303	0.0126884466753189	0.000566464256358964	1.50455955139212	0.000229921187792426	0.0136409126583449	0.0588265357906678	0.00192467243168958	0.0140951931741196	0.164796748299601	0.0236851493834672	0.16047258120738	0.0170090249217886	0.0277878673515861	0.0099515003500084	0.485416755099709	0.0510641348320828	1.10130368675101	0.529326068530291	3.17264710504277	0.0359882034067769	0.0240698278925164	0.0713070752407125	0.000394695869718181	0.00828926366340449	99.7941410069766	1.61973248340281	0.0110649206029951	0	0	0	0	0	7.94116326538529	3.61767776052912	0	0	0	328.642651454072	222.154720709172
