	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	62.7576254549782	0.00498892611484346	0.347940094860581	0.0274693263942753	0.748131168680163	0.0595381990030298	1.28185578295656	0.205390611623576	0.107159368516122	0.00418617312446508	0.408604753293158	0.996126495926243	0.0889041783566717	0.00439219605525465	3.57285361098864	0.0186264130509226	1.27362261781736	0.111607614677172	0.00998074392402582	5.08313477599234	0.541257780243863	1.11096427967646	0.0354957713975654	0.0006975086044399	9.70942678206723	2.56477266034873e-06	0.0157702771050021	0.0382303347864441	0.00761657537405407	0.0115048666910149	0.180022973640871	0.924403260354322	1.29350043799555	0.040338091524894	0.097242323887978	0.0156863724177639	1.07510966862834	0.199353794024456	2.50655039832597	7.45238651565029	1.31254483897554	0.0351691719490042	0.0987732355475446	0.332368776693015	3.01684242260978e-06	0.0182134759699158	0.793514391163977	1.2628250351623	0.0255738055919368	0	0	0	0	0	0.0759848252371	2.59264652189285	0	0	0	108.915316178528	106.246681807574	28.9791871543699
AM	0.016811649106333	42.4532614506076	0.0263686834894484	20.7043630608475	0.0112035075261772	0.0103967283174859	0.0405301470807466	0.0273594746211735	0.0119127237330757	0.187712325365045	0.0239997060626185	0.119663427472339	0.00605860974851764	0.00095696524622551	0.144701049624212	0.00253756006310841	0.104501074648214	0.0110584580705532	4.16820828861955	0.137736741750946	0.013551150320758	0.0355576098434444	0.00195097301636837	8.74632737909381e-05	0.125081483391857	0.00030963697273243	0.0762683720109365	0.00516933989112487	0.00142907806242805	0.0019153317364615	0.00883626608660451	0.00231736585255835	0.0112937446110657	0.00191873506568001	0.00994620278573486	0.00165882925699769	0.0605850255267137	0.00913298603934316	0.0746908393648007	0.0656606263053994	1.65045401154719	0.00363564541330493	0.00658775053023868	0.0125056419806504	0.000805212355967914	0.446817480221331	62.477704524953	0.184807983137066	0.279520545966562	0	0	0	0	0	21.8125378136553	1.13380244735712	0	0	0	156.725881748533	133.77954158882	1.16882081135202
AT	0.212714077146797	0.00112753970121169	251.082314714389	0.00528874990475884	1.50416497415987	2.42723845744226	0.403208333096675	0.92516724514216	19.1310488647799	0.000481424829340516	25.4435310710674	118.750481466834	1.67697415517868	0.0215348884937864	7.67328994970052	0.0680808307908658	22.1518182178221	2.31568638618853	0.00388428019850878	0.275112548607116	4.43072741081133	8.72469610532336	0.461452912821348	0.00562083458187825	34.816222377403	9.987339174835e-07	0.00274997503723529	0.338064295721529	0.500681618360468	0.0711808580605952	0.0985511996078066	0.0740504752318138	0.0946099922342792	0.0156447024003939	4.45025786896809	0.202493967325573	14.5870107985562	0.381946326391984	2.26755382046678	3.52311036488884	1.26025326708278	0.361583460261146	10.7141319011415	4.35854326469415	6.82506031978854e-07	0.00259967359756298	0.392015116362841	1.53903990843556	0.00353531819873223	0	0	0	0	0	0.0216707346312032	2.45499738683409	0	0	0	550.228145792145	547.751473619936	516.453763585024
AZ	0.0269751157619063	14.7278481823236	0.0370674675201222	265.303459755581	0.0192921491188926	0.0229653940921424	0.0770716541041295	0.173915873664596	0.0168513393269333	0.244349024020592	0.0463192387514546	0.284555599939656	0.0341183318484751	0.00684144206050686	0.230758788493808	0.0183753821643272	0.178323717915865	0.0547860050860562	14.1801950060155	0.190225394533194	0.0195213272930658	0.0591873470704678	0.013028786907402	0.000397836248641262	0.182702176218469	0.005275643744905	0.664997681502735	0.0258590230914883	0.00240399277594266	0.0108469099130002	0.0396901653506689	0.00436956351946633	0.0185927464550499	0.00241586366293488	0.0363026890141828	0.011290281524889	0.28240677256363	0.0152308724153123	0.227432109241057	0.103059394871223	22.0337951516215	0.0216534936372856	0.00883814545556335	0.0255666384313377	0.0130041042788168	3.6351026104289	56.7073233822192	0.932138168559569	2.23508148529832	0	0	0	0	0	57.3885847719431	1.6498245190699	0	0	0	442.250218516651	383.211811507225	2.30436759061483
BA	1.77789453194432	0.00655694117089313	4.42172999135766	0.0325945450939261	72.2298640464397	0.248150432146173	1.44332155828799	0.567157980630527	0.561628517528694	0.0033720398449471	5.06778858321462	7.69221921508313	0.268542701120773	0.0121640688476639	6.82492730198134	0.037819871509391	3.3138153024508	0.392259259451013	0.0157521969833485	1.53233415340854	17.2254734118239	13.4167120578221	0.0939216202871418	0.00216689563390927	24.7369541890253	1.27819191546157e-05	0.0168464031452257	0.124942674176083	0.0382605778043846	0.0377859541530498	0.252828287632306	1.57999171781335	0.371926943628558	0.0396315162608252	0.585054496703932	0.0454100645116093	5.69203194647086	0.381958702331142	6.60278002370605	19.1693208016168	1.76777497252486	0.126558554204879	1.30831297055733	3.13847517884498	4.56931063932444e-05	0.0187674570123423	1.49157661088015	2.19355713368204	0.0245800829266269	0	0	0	0	0	0.0856239518635356	3.908699810746	0	0	0	210.92787672131	206.93355147798	104.415038724705
BE	0.00986312022740056	2.1414410957582e-06	0.750990706124539	1.48172676888218e-05	0.0121576105330935	152.380355442718	0.0476905354888635	0.059110170277193	1.15058916632959	9.66476771227577e-07	1.20115867676087	21.1993063829512	0.22286153770198	0.00792798618294021	6.09236672287821	0.0193603604281406	95.782937999531	14.1033154116877	1.682272486985e-05	0.0274241775905342	0.0453105917184516	0.150249315598049	2.15275907582178	0.00596739284479613	0.868486469500757	4.26116174431391e-08	0.00011909249268123	0.0330458328386345	3.48460937932862	0.0128569041358867	0.017805622470214	0.00189497919438421	0.00947226509605826	0.000331675102376756	22.7657705947594	0.0561079808827292	0.949782783503658	0.412379408163317	0.186893486362787	0.0450086459977917	0.122364236396687	0.0887481773528782	0.0639268553334532	0.097935320132628	2.41838207131593e-08	3.17857902576276e-06	0.00667751938908691	0.126214828480128	8.13731357982938e-06	0	0	0	0	0	1.07972933134957e-05	0.341288390602712	0	0	0	325.113479758803	324.772171665267	309.045466618631
BG	4.36073038034001	0.111102355680691	1.35877575542297	0.476471960120072	1.63189378854523	0.257703125118242	132.657274426146	1.7470415246592	0.291982860475225	0.130647673675027	2.22738464675544	5.61723969381039	0.501450600391816	0.0440085046218112	4.53027623695468	0.10499532067213	2.34893000351431	0.569754159209829	0.583196777321285	19.9028405359905	1.35719908504839	7.20536138748072	0.115422435521637	0.00380076992681037	8.73499719819422	0.000202278581605972	0.210457899511738	0.297848872856635	0.0280713727539297	0.091439181302793	2.95393051057811	0.629158198400212	5.88928716723122	0.0302639620557184	0.551739837107392	0.0954096524916808	6.9881835095431	0.249809103683182	71.1360120122768	24.0239021068214	18.4873327022408	0.213458281581253	0.322227211060518	2.11174771941491	0.000502330246835434	0.163525882853227	48.178028211266	15.0524070482862	0.183233477850791	0	0	0	0	0	2.7062535041858	4.46996171188135	0	0	0	401.93487495166	394.758661931142	269.115307979019
BY	0.339394140788121	0.107163173573511	4.09071762321247	0.297253055789461	1.30048052786431	2.11111942510891	2.40375890754131	374.337442542476	1.83131643296748	0.0268562076433605	9.38231163771855	41.13189689567	6.43338026657206	1.69120897426281	4.37713283645069	2.52162998478098	10.8591960099691	5.5232653560639	0.428046883283343	1.19856007179361	2.21242593258721	9.5897980277215	1.35595851614615	0.0172247329454667	7.95936983290777	0.000822748672823283	0.243570532042594	27.1290415851732	0.219552440300905	6.43512734428213	4.87048388542114	0.120587444875624	0.307220933962301	0.00450881441540823	4.96745531905109	1.03606020073276	124.261373017677	0.291076797986866	21.3793458531201	5.49424649334089	60.6211695304744	4.43724277484216	1.19148275937674	5.06065377087574	0.00186349817055692	0.0691160664345335	14.9809973561783	87.2897944276154	0.0718855281294211	0	0	0	0	0	0.873566052811122	1.18770766980556	0	0	0	864.072860841606	862.011586354746	302.722181694342
CH	0.01108514680125	3.33854046044442e-05	2.60472595704472	8.34080669031708e-05	0.0573434467133979	1.89203506301288	0.00815834657155561	0.0349960673767852	228.41488217808	1.85565124346103e-05	0.721043306993388	29.0429089491052	0.239438653373823	0.00332124454533494	10.1921138178008	0.00874845074305567	44.8831979652959	1.82844202196818	0.000199396731672983	0.0173987229174733	0.198273232396769	0.244534666994957	0.566536766094665	0.00226976822757725	23.6611502403336	4.80633879810875e-08	6.76322900716329e-05	0.0203243807800683	0.363859844722418	0.010442507235185	0.00345506489611733	0.00240788610198589	0.00262120935768459	0.00318757793345834	1.54210998222741	0.0279258191706693	1.10778771991583	0.52743891725198	0.0424227176440195	0.0779920288783501	0.0820785338920038	0.0388531516905405	0.240852526301297	0.112265391816652	2.95964886688947e-08	1.383797673125e-05	0.00905302858523983	0.0484413903259046	1.18533637933043e-05	0	0	0	0	0	0.000518255571362942	1.3399283364574	0	0	0	350.236998431153	348.89654796219	118.293148606876
CY	0.0367558562783317	0.00582386730805179	0.00913127296927701	0.0286567552378264	0.0135472486486906	0.00459085819190039	0.0717071481166163	0.0196958895716048	0.00584083188845375	14.572697304788	0.0125146629080021	0.0584658886515773	0.00385524022707348	0.000762041800785797	0.138920069465102	0.00162094925214372	0.0762321755127518	0.00731817782276869	0.0223645702059761	0.317119617169412	0.0109024087049288	0.0291944651095507	0.00179494370021486	4.6020668059724e-05	0.196289845624111	4.45299473098679e-06	0.00416617942334391	0.00329628307691825	0.000617747311446673	0.0012593390332691	0.0127699467353669	0.00397567909238158	0.0211742452334692	0.0049053446012032	0.00848934103742193	0.000994656024987393	0.05964608557298	0.00519257289664325	0.148606196392934	0.0924115820073992	0.407118766338158	0.00217599901389041	0.00282753332940482	0.00955969828782757	1.01661910162155e-05	0.00761767447526969	10.1235524520881	0.157173688659535	0.00585289509135911	0	0	0	0	0	2.06936112989959	1.36026845180348	0	0	0	30.1588762164333	26.7292470145324	15.7523751611446
CZ	0.206056843384153	0.00141131299335492	23.4402394232387	0.00709312580003707	1.34403743474678	3.9434932952376	0.554784980295853	1.2102820251449	5.19167446620506	0.00118017399161296	214.219454804498	110.845186175227	2.17605157795343	0.0477233844180489	4.72257484187472	0.140364288608025	22.3119560985617	4.47634204307985	0.00441694050947837	0.309692151342607	3.4921123353335	10.459092623866	0.876960793985113	0.00770842427121682	9.81863812108746	2.30541624664453e-06	0.00618088756752875	0.443369255938063	0.551568688450164	0.122321978959013	0.0979856574338058	0.0742708952652443	0.130407920248575	0.0107629149004443	6.83108700277951	0.270654573839487	29.9744330474365	0.250458589026795	2.92573935794794	4.67718831323933	1.67108063358921	0.643836261610011	2.97794252387203	9.6776510304289	1.51534620182949e-06	0.00356720878974571	0.379169002461636	1.5318513967369	0.00516218997243589	0	0	0	0	0	0.0389073031259968	1.45375183176431	0	0	0	484.557879971801	483.065216842259	461.768675363983
DE	0.197857199536477	0.000759429007702065	53.9251496321105	0.00348790869758119	1.12679155669879	80.1377163520678	0.434691561490687	2.51917486179132	62.4657038037329	0.000378942863405901	47.5924388773365	2292.87109342415	18.1674703379595	0.274040028162809	36.602054469314	0.627375942307538	335.640635411537	62.8558421441294	0.00348538859508357	0.310268792199592	2.70774054091607	6.46655132393468	11.2073035909142	0.0605744097533989	30.1300387165198	2.26036342754774e-06	0.00556837197365506	1.88573056802037	14.1859687357058	0.713973229461838	0.20567929356847	0.0656682495594462	0.108455027264741	0.0134933102017511	189.241991041018	1.68865495438757	57.7939102404112	2.23650375600153	2.73596104292018	3.22055943839144	3.87972330084167	3.03879161330591	2.66154331756269	3.84243244538896	1.64374448633347e-06	0.000313942531601541	0.212042590072833	2.67913710599852	0.000718874732478383	0	0	0	0	0	0.0192411200497211	5.29460910065531	0	0	0	3342.05929921986	3336.74543198285	3195.44524610347
DK	0.0629451957023643	0.000974656293879704	1.15889717813428	0.0027905374901158	0.15819874985708	4.789082881413	0.124636122930674	0.429077590171488	0.619684674831369	0.000262196275662171	2.65797790619105	71.6069511752096	163.774268468303	0.0607451585387786	2.23921189925831	0.159672424722632	13.3113561679872	12.7330495909603	0.00288049141091643	0.112607856820985	0.264415212648725	1.1260076745774	2.27958478546474	0.0116469658212289	0.842221258586324	3.00493387704406e-06	0.00371532042015129	0.351397731716987	0.265745975770497	0.122531808787866	0.0617581164103349	0.0162712803960374	0.0398201022587168	0.00115434128562685	13.2691692726265	0.912331019433541	10.9086017474673	0.164264624624329	0.830233274160335	0.729521706830745	0.844419297004834	3.6136496446247	0.174281463086857	0.618471620306573	5.04814868618343e-06	0.000240478292269324	0.082584696863114	0.896925872729153	0.000305306030594718	0	0	0	0	0	0.0120355419547418	0.31144400935252	0	0	0	312.760029125118	312.436545177561	294.827399428836
EE	0.0307381816713776	0.00987709767396315	0.593123512815955	0.0224531147374828	0.0950356228228689	0.965136199632815	0.145532516043807	7.68417067056303	0.242905665498197	0.00261887382119513	1.4982128037452	12.7424853403997	2.80408288517017	28.5805719620308	0.498777092240561	3.34847438371322	2.81619540442911	2.14806240515344	0.0419995817597244	0.0594518983454443	0.221801254292874	0.955947352824797	0.541562294086362	0.00455284098079541	0.840693601976526	0.000122507936633883	0.0358617365364501	5.96637567201781	0.0688333185324931	6.86156419885148	0.313077208744017	0.0103037084810189	0.0287976028230567	0.000480020003614858	2.32485980597985	0.524987427206665	13.7597026382392	0.0326510830177939	1.3330413951697	0.465045269773685	9.68633103993557	4.09237888715972	0.169987801258149	0.53515326931286	0.000285080581200421	0.00362340427351064	1.10148962783223	4.94952296570719	0.00611776989096424	0	0	0	0	0	0.0837733320516423	0.138638778026045	0	0	0	119.387468105772	119.165056486755	91.7596953157614
EEZ100	0.000920190668538637	3.05296563216562e-06	0.0227780976704791	1.53719928019667e-05	0.00589909596512409	0.0715054259450249	0.00276460624954646	0.0142302407289782	0.0120539228321394	1.28978876496412e-06	0.0439644295725187	0.487111544082784	0.113600689730365	0.0033544486944965	0.212381054614778	0.00692598354910716	0.388039085415471	1.11203216115137	8.99457888737301e-06	0.00113160999551052	0.0105254501542769	0.0301096124311213	0.448512298500484	0.0148280246641153	0.0391639685880761	2.88768750395019e-07	7.31399246211802e-05	0.00948927157230427	0.00397880043956737	0.00487483074965755	0.00239797013152551	0.000415407664668017	0.000444290168918319	3.16928052591907e-05	0.148143773200452	0.0653506068081881	0.177874604234999	0.0342675676774658	0.0283110703815971	0.020411701697636	0.0324099795514992	0.0454370490907068	0.00593039000679751	0.0125351534100145	3.85379119226072e-07	1.05805661445685e-05	0.000521902600766236	0.0218841613480034	2.77441891958883e-05	0	0	0	0	0	7.89859248217628e-05	0.0410187502172783	0	0	0	3.69778074904035	3.6566830114301	2.35274379509243
EEZ1065	0.00882322758649498	0.000187548086417551	0.266628121322694	0.000945535116406976	0.0583995016666954	1.35248300902711	0.0278577172837943	0.258136106264218	0.16713593055617	6.58357303951319e-05	0.542625240500429	7.20190463731959	1.96952187955339	0.0481001265935017	4.52072128710237	0.201956847693911	8.25007668849407	13.1684634128293	0.000674950971187666	0.010070496031093	0.096896889638649	0.28312492121994	5.67826033808986	0.399967465911037	0.35934434353907	1.75681835655987e-05	0.00532136051331976	0.178689855522696	0.0620919326066298	0.0727180585090435	0.0415621764958163	0.0046677654835986	0.00449559348780333	0.000401905764804284	2.40122596744961	1.80078965907665	2.52689908498466	0.73641905392556	0.285544008888029	0.210299365792473	0.653713240539171	0.920502953797021	0.0598524128103899	0.143542441137176	1.54784321674504e-05	0.000413707053869951	0.0249028403953721	0.385071370914294	0.00116550082819692	0	0	0	0	0	0.00462671410965598	0.626414158793465	0	0	0	56.0237362336228	55.3926954468713	38.1975261377185
EEZ1071	0.0428751182524698	0.000303511475581272	1.091531410534	0.00131398660769182	0.134134001395107	3.77679254062171	0.136025731460271	0.613702656695146	0.674621832344297	6.7209905284312e-05	1.56005146213063	20.1746084069869	4.63081173602402	0.112847605055168	4.01772350699178	0.373197298310516	21.2249351890603	26.0995408559551	0.00126663659403091	0.0704408522476648	0.219308788381529	0.684853025664632	11.2893525964517	10.032810001694	1.52658954104592	3.88215785950102e-05	0.016311687181276	0.356405279203967	0.266565760021905	0.161581161225448	0.128745661254624	0.0146755821977312	0.0241966262678712	0.00063139144138296	6.39037428196921	2.98678860963068	5.35833362592291	0.708346398756346	0.937337833929674	0.501578439867586	2.57377317458913	2.06990641791735	0.162660478614982	0.408092788908872	2.73470120372089e-05	0.000591687173741135	0.0504508560915179	1.46642209948592	0.00172643534127238	0	0	0	0	0	0.00629272603976399	0.51413797187556	0	0	0	133.595698645385	133.075268165131	87.7093723113545
EEZ108	0.025291907371827	1.18647987902424e-05	0.515730387800402	4.20405797052555e-05	0.0704420983835364	6.20966057235988	0.0444306619017927	0.0924693187027106	0.640687212891168	5.65338709313214e-06	0.648368243284988	16.8648863648708	1.40905758507771	0.0180527589723543	17.8718406775059	0.0510764021999637	59.4984034540631	63.7358357604293	7.8355738751369e-05	0.0342354846338022	0.115033442239182	0.242409661506205	134.117683655637	0.368954253419355	2.53896035544585	6.8988343895837e-07	0.000263654563469591	0.0648887022241486	0.303003052030644	0.0270656701658126	0.0180932153853817	0.00822560347200114	0.00975436213309726	0.00224542346346618	8.86067371702846	0.318959129101491	1.28410757002401	3.07484851923282	0.258728816737822	0.158677782552666	0.261712057829873	0.550945636401022	0.0962334214338666	0.133334743840371	5.39942288072128e-07	1.46937711810747e-05	0.00789753915049013	0.190101367833738	2.97951804038512e-05	0	0	0	0	0	0.000131730902249118	3.73191238107784	0	0	0	324.475497988563	320.743448429899	254.835910661243
