	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	48.2566216408982	0.0013612293567637	0.532417610264872	0.00491388928019901	0.874996762802137	0.0940385932458785	1.51595345461707	0.142245033896856	0.338203108511553	0.00310606487111502	0.515007894154248	1.12892829413509	0.0526256179708912	0.00141650527682426	4.37052253351867	0.00232319723632164	1.55552369299001	0.0956807690456001	0.0138193356377942	5.42050695413831	1.03804844543874	0.939613931591563	0.0181196516012316	0.000251672424993591	15.2439656246673	6.58380005754187e-06	0.0130153476634361	0.0185272171629246	0.00920491490277852	0.00461392325390868	0.136967217938371	1.82161427043277	1.72559473605556	0.0875255464403626	0.186754039825451	0.00263330192801822	0.509476382127158	0.391117308730299	1.60619767014948	10.4234083648006	0.702345459253763	0.0184664432455432	0.240140742101942	0.262186667296284	5.98339397522603e-06	0.0020850098689333	0.98232477734414	1.12152492437886	0.00763625545269023	0	0	0	0	0	0.0337569441616559	1.93761682118664	0	0	0	104.404958360468	102.433583389775	35.7663289157339
AM	0.035972712412507	30.3927755682367	0.0183743705577338	12.0787335659203	0.0151653716866826	0.00457773807142214	0.139240720413039	0.0329986843554829	0.00819908149649251	0.265694407588945	0.0268049965176729	0.0694280763433671	0.0109449030732496	0.00115513053521213	0.169399062180262	0.00146479066997056	0.0484804099989083	0.00855102162191215	5.28522151219825	0.350365516371654	0.0219242979928134	0.037482951306649	0.00165935455558835	8.94122745966212e-05	0.287280392724459	0.000110149782792613	0.0872157279057471	0.00681283576231528	0.000303416263786857	0.00234139949957661	0.0290001537652265	0.00912932848611066	0.0331901077320606	0.00338794347001415	0.0168367930075007	0.00135194777035777	0.0930456631626286	0.0136489762656883	0.192009490130684	0.147228623480424	1.49541079439605	0.00458309488550684	0.00689778535879602	0.0152017574707698	0.000274222418902448	0.195294100921717	54.1038064952531	0.396843517882396	0.229685039012831	0	0	0	0	0	16.5004814086647	0.571432732701029	0	0	0	123.467507554555	106.395593981456	1.80934627200882
AT	0.23763369031124	0.00174831708606329	238.259961526477	0.00517691447920023	0.857377742269682	4.78445581242777	1.36255372019391	0.53682384461715	25.9262247547909	0.00178708886982844	29.0344629962087	121.815423405338	1.42417226996534	0.0296627095300358	4.9458331177595	0.0551898242792325	31.091590983058	3.49173103278458	0.0171606216883792	0.791537416979373	6.44018032659976	14.3844115677635	0.500963052313974	0.00710803010537588	85.1857829255818	3.66331755341236e-05	0.0774141216628806	0.181809237865377	0.550568185348195	0.046927227052263	0.460419041395737	0.113562840433272	0.291556807110689	0.0418864626187352	10.2334629364325	0.105835301925129	9.7655447196885	0.323101497458181	8.24327512555185	7.26054936358313	1.99250025525825	0.477695500607982	12.5723984724834	5.60461733218288	6.52946344088985e-05	0.00452049389576983	0.790117875079736	4.24128792274353	0.0200600955903684	0	0	0	0	0	0.0274704635252079	1.13513902388085	0	0	0	635.750775922662	634.58816099984	588.149253972539
AZ	0.0579363628989172	9.27320692261465	0.0411859462983008	147.843185265176	0.0293234404491268	0.0113543311970092	0.27184891297248	0.267451358724153	0.0170372290579217	0.308306068820833	0.068028892160585	0.2011857617595	0.0442302182749016	0.0118452460885715	0.226631058074157	0.0183146466351557	0.0837044210921841	0.0230687021023105	18.0926116542291	0.47504833170738	0.0464219953831046	0.0844171212352037	0.00443009193735925	0.000485539582818674	0.44153953147069	0.00251001533146435	0.675964594219615	0.0453211764090405	0.000762612212237202	0.0209288742679495	0.097870272809203	0.0169279781146726	0.057967826220964	0.00427567317742687	0.047271630924847	0.0090082681899499	0.334804066206973	0.0179480356995221	0.482921971951449	0.280298265342526	28.7029744386733	0.0249260948317493	0.0163612643427961	0.038447496156054	0.0059672318527426	1.83501331258274	45.2211716302922	2.69320529014141	1.91662105676963	0	0	0	0	0	41.7290793059572	0.797207105152793	0	0	0	303.018554537773	260.492269192845	3.37246147148144
BA	1.04017011331413	0.00203771952267397	4.57390604264137	0.0073708582976216	43.8830096038813	0.394953415385318	2.66610744603861	0.60019082911068	1.10267166576629	0.00160263186543768	5.94623864214481	7.41184375093912	0.299628237938261	0.00594354331653796	7.21506755474419	0.0139364318797091	3.89703904821555	0.378556605299561	0.0212148084169605	1.12886282209487	21.723797742131	13.1127743564651	0.0549698338884129	0.00164542583581246	37.4371258155683	4.5159344211572e-05	0.0719970073377577	0.0833718052736764	0.0439154208897118	0.0159096328909931	0.480766379117058	2.20319908827941	0.816148366977032	0.080888209902499	1.03667386116113	0.0238730572907071	4.86833489390265	0.496961800405904	6.37156926876409	27.0538572843143	2.43462461352176	0.0914844319398143	1.97087407619058	4.24753556418759	3.73333127402713e-05	0.00625783408686648	0.679612520267575	6.23891881974733	0.0286520431866338	0	0	0	0	0	0.0277885948430018	2.63081100416691	0	0	0	214.924773016004	212.266173737168	125.191315930006
BE	0.00829512026649021	6.45328296752593e-05	1.25373819046696	0.000197604412672549	0.0121475769800119	229.392072015394	0.0535702359197306	0.123554440221763	0.998077891630028	1.49933902815501e-05	1.95904150504449	29.605090957452	1.3518269574326	0.00419544113746983	4.69128795174324	0.00955307430479133	90.9073829998464	14.3910863910206	0.00119891861931734	0.0301131133970061	0.0913943979753263	0.696342072339465	2.04664665045895	0.00665203464131961	2.08609468057674	2.60201555966619e-06	0.029346365069348	0.0390510036650571	2.93372134716651	0.0113218449870967	0.0911140816652792	0.00342665569901689	0.0106140202357079	0.00494096197393359	67.4935537681107	0.100091352402334	1.69844624537139	0.481494805846988	0.810790792702227	0.252300389251883	0.537276088466381	0.135817659398835	0.0772448448539396	0.410188690782557	3.07244422521857e-06	0.000189975524918912	0.00976182364778476	0.995097232931143	0.0012073740249335	0	0	0	0	0	0.000958206145857275	0.28129511971081	0	0	0	456.128896071595	455.846637196786	438.274937578466
BG	5.73366256548714	0.0259954297133702	3.20207871997883	0.115872098437707	1.89561697733647	0.437387939344527	201.752709811881	1.77931090228317	0.820723395959775	0.0432881139317332	4.66446137826216	9.0523220375438	0.608524846398266	0.0215460909948429	3.35632197411174	0.0409241876318089	3.01657262322525	0.459856318825236	0.585572648697272	25.8605942101987	3.70468674159412	10.9791348954013	0.0757448114775452	0.00168552033614738	16.5694529320067	0.000471700131167395	0.531920602340292	0.305699363413672	0.0453322464746577	0.0738575141570625	5.60007886583366	1.26092640876408	11.2822146886864	0.0908562247859209	1.3487057412228	0.0373073405463516	5.45596357139552	0.330147867060174	95.286842925239	45.7684312974113	22.28519275563	0.168324198313272	0.938318437468171	3.23142154302225	0.000284891581234066	0.0787892615273442	23.7207992950687	29.3111749529831	0.300032953878137	0	0	0	0	0	0.314005309023395	4.0679267194604	0	0	0	546.639073846476	542.257141317829	390.661221182911
BY	0.342496554790024	0.0828912411408752	4.49596932148628	0.385914655798297	0.910305857312353	3.01358269245594	2.40506881709962	459.051806796924	2.22859217548824	0.0751867121690559	15.6203510044507	55.7993105890896	16.6324152073087	1.43328222655739	3.36533095622652	1.51705036434881	11.1311289029623	8.63137018941999	0.591404281068142	1.09156152860562	3.32701144597146	11.9426991256965	1.89028112366548	0.0156858540998514	9.46583598674641	0.00423675378046934	1.19586438168216	31.6408938759582	0.208180289309711	6.47586246286808	6.570006282716	0.191773323710032	0.356783437703587	0.0111230668065005	10.2518433694928	1.08050123557542	173.224533441563	0.27749963594012	24.4687429890902	7.50605735091742	129.291793144164	6.94150656631214	1.71678230224197	7.45406651225996	0.0055330608599546	0.240666556887041	9.32035295225986	177.451654959255	0.910127605488406	0	0	0	0	0	0.791871086200729	0.852552744308627	0	0	0	1213.88734299823	1212.24292029893	405.877099884474
CH	0.0358535312221345	3.30810332785906e-05	3.5209147651852	0.00013133282842734	0.0546714709392603	1.96332575696283	0.127409471297125	0.0226352321720378	287.377001776149	1.06367746640691e-05	0.869940499107689	30.0008812304994	0.369430383308244	0.00173930450409119	8.92887330843236	0.00415733562810744	44.0164445394178	1.90220258386945	0.000424751679060526	0.0918984007952248	0.261040427481437	0.195872956997079	0.394855657785732	0.0026313727463594	42.1045654500046	1.1065015453413e-06	0.00222400511637183	0.00505029868460436	0.216944274157246	0.00181412782408489	0.0224076475724449	0.00940429453657708	0.0266006678283886	0.0170809761202663	3.82956373967548	0.0304595507450366	0.404584938161724	0.722438060454667	0.325689763456793	0.352737226704447	0.125728248116097	0.0525495740657439	0.243811093156832	0.0751396781849212	1.69886946323624e-06	5.94403194545458e-05	0.0160056157605811	0.260334268282025	0.000254222141003018	0	0	0	0	0	0.00041504749337497	0.987595389514095	0	0	0	429.975840210264	428.987828739179	138.746027153103
CY	0.019128836292147	0.00348311857685939	0.0102776980062004	0.00867376944966099	0.00612266464599489	0.00251583592300498	0.0948358583521582	0.0105411243300151	0.00547332072910055	13.5346986761524	0.0173931468837447	0.0392285948279893	0.00310010445082917	0.000392688469318923	0.129612213226766	0.000549216111616493	0.051640302435453	0.00356509219074032	0.032725680753341	0.407435153846242	0.01009284429892	0.0231193585547734	0.000566829543607827	2.59987089529077e-05	0.213530728624638	1.93510353263176e-06	0.00230028579011658	0.00252864525383161	0.000211360750365334	0.000978670947361001	0.0202468105508108	0.00382705362410289	0.0190226195746293	0.00486319612155924	0.00786457129178525	0.000345664111062608	0.0304476956660504	0.00895706950839178	0.125109510164794	0.0758612678417963	0.384367821714389	0.00119941502122401	0.00332093145693334	0.00868481637246959	2.50966627178009e-06	0.00158140347819164	8.41873753022665	0.201025657069035	0.00402504846200058	0	0	0	0	0	1.17347418548363	0.620804445308521	0	0	0	25.748518975944	23.9542401499486	14.7331551170703
