	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	50.0336480859199	0.000107313367428412	0.956313775464543	0.000481882970386317	0.707807714946592	0.108551313669733	0.730380843677896	0.147285490013258	0.598911464070257	0.00211631636716276	0.893171542526262	2.0406285683698	0.0766533567024304	0.00391514599655644	3.99796702507699	0.0146969513185927	2.45493684810205	0.204691806349837	0.00519628210060101	4.96843142165187	1.21426471153663	1.54223464998169	0.033006089554877	0.0003444116923741	19.4163773737238	1.68528509003739e-07	0.000168496946260582	0.0505226095033102	0.0111299407106327	0.0132421519488986	0.0852213493595988	2.04832976092214	1.4097409114922	0.0731548951389605	0.253176832632123	0.00934689959906676	1.17330728503595	0.221416274281084	1.48500873407268	11.5864008333437	0.499867871891062	0.0374119379216576	0.345928589649125	0.536503531723363	4.60173242771732e-07	1.52295214701477e-05	0.377917830321658	0.793604986977638	5.531492906942e-05	0	0	0	0	0	0.00668228441155688	1.68937225436958	0	0	0	112.859647820556	111.163592517346	42.6544486649243
AM	0.0338106177398411	28.4202359658989	0.022596398716911	10.8677965456957	0.00948540282350268	0.00470484679257667	0.0860784303315612	0.0274047863118415	0.0139000193149039	0.263566954282006	0.0258523636618308	0.0891478295305515	0.0101637715344817	0.000942832190885524	0.0828194612514994	0.00212169590241639	0.0600441419624369	0.0173101026592603	6.54401076892026	0.311532287410829	0.0195919220083496	0.0389254998177965	0.00517734186472825	0.000101964113521124	0.251855447429789	8.96090791459906e-05	0.0379634774548192	0.00578564759452675	0.000495922322808081	0.00188984455476197	0.0207659988662017	0.00750619016585986	0.0269164209749755	0.00218343702459563	0.0140008730979475	0.00150632711023398	0.0754022423231306	0.00749404714945334	0.174186015083094	0.125687200198177	0.87529386565085	0.0046583201843626	0.00624192387784032	0.0161187248641582	0.000377126899740666	0.0891319636375809	43.7108732901057	0.230197770148469	0.0960281592190204	0	0	0	0	0	17.8801842487836	0.562212473911815	0	0	0	111.182368518449	92.7399723661172	1.5835782166981
AT	0.059266038795399	0.000220416469083742	250.295137049905	0.000918357978153847	0.410709407039466	5.74730183045879	0.386585770581472	0.333269561206304	22.5553192276213	0.000275755095188878	33.7706645927154	161.627685233635	3.29304498536696	0.0249371118545143	4.08631249556547	0.0824022816501759	26.2107105959233	5.1390470659432	0.000823703097807426	0.0956257855741408	5.69781094007649	9.09147818390655	0.835900560523335	0.007636260003863	38.6729269045487	1.11838596466503e-06	0.000524148477095599	0.144378260095059	0.718845683038026	0.0415230989915437	0.135303411737277	0.047766278096926	0.0630657033870872	0.00570920353796027	12.1544113919251	0.278905415634127	8.09778467284698	0.37281415137701	2.80250135316946	4.10614163094073	0.483492088432402	0.929661717780567	12.0912109582331	4.42118079751334	1.70909565253783e-06	0.000374273064941614	0.0473961503413733	1.38239250660971	0.000891939528317928	0	0	0	0	0	0.00159809865551759	0.493837526575921	0	0	0	617.247723403007	616.752281289031	581.698820301359
AZ	0.0455575376621404	9.02152889017594	0.0399041767113854	152.028622777643	0.0154378021406372	0.0118061078867797	0.14156419555679	0.232956356982946	0.022438455762123	0.33215003884823	0.0503664875879222	0.225406912813078	0.0405492697120134	0.00941750812307981	0.115919248625592	0.0243594121382767	0.0984428771864315	0.050573992034576	22.7450859546098	0.434772373694829	0.0340673286801064	0.0670734358710485	0.0150460333283069	0.000329960893576469	0.378607471514093	0.00438121974140789	0.405657748598556	0.0524211316524377	0.00105892413937944	0.0194074565251737	0.0673166517478313	0.0111133875201037	0.0381850373675288	0.00296578328223509	0.0391664565850247	0.00794678779549651	0.347463326699748	0.0105610568122024	0.361277922478358	0.201179990762546	21.8712482687191	0.0241590705928591	0.0122691622264937	0.0307944885666121	0.0147409731717104	1.14565058279397	38.1551147406656	1.56563174467596	1.04061509156712	0	0	0	0	0	48.2547052136008	0.886523251686971	0	0	0	300.753540076158	251.612309506751	2.92099765644373
BA	0.75475179765232	0.000245889544137202	7.8802954912685	0.000564399844485338	36.7181621477554	0.775333370726546	1.05434532705626	0.353423806140444	2.2602322127873	0.00260884762988991	8.75578026917298	14.9325878361023	0.769561959241669	0.00864998301390853	5.86847187724636	0.0401628684998275	5.57546313736398	1.12990938419362	0.00899827660002844	0.769689867523409	25.7610194332491	15.3974538476453	0.208260194405849	0.00155189075258846	47.7724237779471	3.08381975740903e-07	0.000315163495645156	0.110353273536145	0.0826429240129117	0.0316119489479032	0.213836159176679	1.80019370815533	0.21477196491373	0.0647902325467422	1.65643680256397	0.0730811466137235	6.5523607501509	0.371693363007764	3.78714698755011	24.0125597433624	0.748406518526408	0.29584102908213	2.97087075711138	5.01263559169062	9.79690586317864e-07	0.000164505482121426	0.415970257925653	2.74907267533484	0.000452564982247653	0	0	0	0	0	0.00811633237747611	2.7271638071267	0	0	0	230.700437389109	227.965158068473	156.508492393569
BE	0.0117587393919774	6.4920628359581e-06	0.53316674584239	2.43755303076273e-05	0.00435666420191034	220.374448932614	0.0151265954806448	0.0288907764524421	0.666383241602954	8.77784333790693e-05	0.87828761320865	21.6945481111898	0.879338245276474	0.00912415309323603	3.00321574023911	0.0443033100420335	88.593726835956	15.947684040745	0.000150201148926897	0.0293447587746448	0.0210182631632282	0.0592267726105137	2.71097454714875	0.00485694422898959	0.744893332624191	1.53292316334037e-06	3.05468487349578e-05	0.0473897088713329	3.42192647252514	0.0164741916529696	0.00286530447051577	0.00274716705301572	0.00872950704065351	0.000924001185150754	43.1786008102393	0.0758173165943948	0.770556608301448	0.370592657262361	0.0388849677326224	0.0483386455587853	0.146516643488707	0.205037603936287	0.0234970597511743	0.0689873304995316	7.90188845820066e-07	9.60217126980216e-06	0.0237700525381547	0.0777232172651462	2.01345798368099e-05	0	0	0	0	0	0.00013716031897865	0.107127679765893	0	0	0	404.891649923826	404.78437627011	387.733701040931
BG	5.54880675868787	0.00136952780377561	3.3721751547148	0.0053285003657354	1.52736981179538	0.488171529177485	151.048154779693	2.59178643476851	0.966894482994983	0.0483888188237719	5.43435816862045	9.90002928637053	0.775808830208771	0.0610226524787482	3.4625951207233	0.141865304423424	2.69930741599133	0.618083699785697	0.0434356087396211	25.3878613053175	3.56913781042674	14.1354302093016	0.113070997738937	0.00296118357328558	18.5064048954143	4.28084334007804e-06	0.0221027120918157	0.562754625477904	0.0534859169747854	0.157364266342469	5.50197893753244	1.2213103786549	9.24988830071356	0.0589173458691262	1.22008875894127	0.0979714639260392	11.5642591875009	0.258204811342694	104.295963332537	52.7053158192889	11.7168809309513	0.448188869045954	0.936998792920812	5.37505898510927	3.79952126878925e-05	0.0020799294940435	14.9120453095523	28.0498138103123	0.00587037837693523	0	0	0	0	0	0.0885219844476453	3.0000379445135	0	0	0	501.954963355913	498.866398729938	364.0750671745
BY	0.266647091896579	0.0435387694503991	2.82531543188178	0.168904580642004	0.58142082860306	3.51867293188432	1.87466032595608	410.064886685111	1.42294428294842	0.00676686858164946	9.27879012400046	44.701039273576	13.3128618681205	1.88963317206081	3.94258185653561	3.47208458072896	11.5587432002951	8.35079300346161	0.276166163493657	1.33360226405813	2.20908319084797	8.22773999801015	2.32862259295473	0.0212623555797437	7.37125007276383	0.00428651200449102	0.628121211753081	31.5347009471982	0.234320700905571	7.45502020483725	4.31300593542434	0.146797751131326	0.320339828456051	0.00766798900588306	9.26368983580841	1.22225020418174	140.661109751455	0.406516755022292	19.3893961406846	7.46806206562418	103.756012227335	6.84869110366295	0.941273624140223	5.25162926655384	0.00218009497772266	0.0879408580983861	6.23487285603992	106.030910471157	0.338930210209263	0	0	0	0	0	0.384640791244622	0.63120397216071	0	0	0	992.611582822516	991.595736267956	339.845464124773
CH	0.0212785708109498	2.09277658820374e-05	3.1652398837098	8.28706458522746e-05	0.0269658404663202	3.33316502565702	0.0385536127839338	0.00868198054480333	267.672315799996	0.000197931230666717	0.554883340872318	30.8385558568787	0.15743284030393	0.001096013117687	6.61098712274374	0.00446526418918725	44.8167715368799	2.89607605835531	0.000258708112182795	0.0415766988525709	0.120635166730159	0.0427847439391355	0.473199760017587	0.00168314363575355	27.3753574408323	4.05347903937942e-08	1.47467169942987e-05	0.0184274851521678	0.356755051219709	0.00335010699863897	0.00749583715385261	0.00964536788375216	0.0158295930551216	0.00386084450316409	2.72435089219833	0.0185513467620422	0.261612827557516	0.500172377423677	0.0609547737847634	0.133125319817954	0.0442114881006563	0.0428782635511991	0.125985868422796	0.0298648453750678	4.0113934770388e-08	2.54538753683983e-05	0.034301421932054	0.0827007841566201	4.51092477417408e-05	0	0	0	0	0	0.000198389642523717	0.505251980059972	0	0	0	393.181876394313	392.676424923405	121.703115631691
CY	0.0520675164941885	0.000477232269810273	0.0305491017334392	0.000800017744333677	0.0121754092670291	0.00740519870487361	0.112493830221124	0.023356037640837	0.0122175310334508	15.5059522928258	0.0341197838574745	0.0901087424353781	0.00664285637420213	0.000428416529112889	0.0980391579145113	0.00128397217040355	0.0774610517552494	0.0103016542059854	0.00716122798055301	0.532915175658203	0.0264223841474615	0.0537180616376313	0.00170136422194293	3.95749337019988e-05	0.221507261937188	1.66252573576823e-07	0.000139269346901032	0.00572469790822412	0.000938888396028939	0.00111441350973957	0.0225396585033274	0.0106149732174702	0.0468456711760906	0.00309690636000366	0.0119354301571728	0.000976384344574509	0.0669670859364989	0.00656705536853033	0.209381944612254	0.187361500264442	0.127758559070281	0.0038749150650621	0.00822619131473494	0.0204459579579729	3.63327187555008e-07	1.81801897226392e-05	6.60689339068335	0.192156614533997	3.32934040804142e-05	0	0	0	0	0	1.33603028434987	0.735601153961559	0	0	0	26.5245878029055	24.4529559332837	17.1390222234881
