            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.032774;     0.012079;     0.131951;     0.031414;     0.020914;     0.017744;     0.022858;     0.273340;     0.014449;     0.002181;     0.427048;     0.004888;     0.670151;     0.812392;     0.004903;     0.001765;     0.012614;     0.037676;     0.012840;     0.053376;     0.000738;     0.017344;     0.000907;     0.000734;     0.146864;     0.054368;     0.037480;     0.109591;     0.013813;     0.002334;     0.018574;     0.010931;     0.001500;     0.008334;     0.006624;     0.053967;     9.580646;     0.029016;     0.000625;     0.040622;     0.010924;     0.556185;    36.764523
EEZ65       ;     0.236436;     0.011662;     0.613842;     0.020238;     0.038442;     0.057643;     0.435148;     3.872762;     0.468480;     0.023675;     0.285474;     0.055238;     1.276281;     6.477814;     0.022728;     0.009593;     0.118816;     0.509450;     0.264650;     0.168085;     0.022470;     0.108039;     0.009632;     0.004808;     1.127419;     1.302892;     1.111683;     0.038922;     0.028246;     0.063816;     0.090488;     0.180612;     0.014790;     0.081785;     0.007353;     0.054849;     3.726693;     0.652458;     0.003170;     0.107406;     0.023474;     5.153279;     0.941257
EEZ71       ;     0.241428;     0.101018;     0.740346;     0.080696;     0.049141;     0.099402;     0.318857;     3.666862;     0.477512;     0.046013;     0.357339;     0.157803;     2.242242;     6.125448;     0.036467;     0.030911;     0.092715;     0.577649;     4.925553;     0.212112;     0.034535;     0.158856;     0.023103;     0.004899;     1.058291;     1.404045;     1.016150;     0.050463;     0.072515;     0.048199;     0.354996;     0.360728;     0.017596;     0.062800;     0.007724;     0.058754;     7.461644;     0.727965;     0.016218;     0.125801;     0.105663;     4.162150;     6.271389
EEZ91       ;     0.202304;     0.057259;     1.191492;     0.025532;     0.033029;     0.092382;     0.393669;     3.743429;     0.165614;     0.003599;    52.089523;     0.053896;     7.856407;     4.049175;     0.035389;     0.041603;     0.070044;     0.484114;     0.030525;     0.896328;     0.013124;     0.183439;     0.010056;     0.008865;     1.564933;     0.174562;     0.655948;    26.261906;     0.079576;     0.092504;     0.068597;     0.070362;     0.030294;     0.076898;     0.019395;     0.033098;    76.312592;     0.304078;     0.003913;     4.590494;     0.103840;     3.916033;     8.994194
EEZ99       ;     0.008998;     0.000483;     0.041179;     0.000386;     0.000315;     0.005425;     0.013821;     0.135216;     0.003823;     0.000062;     0.327317;     0.000611;     0.360012;     0.178772;     0.000330;     0.000822;     0.002848;     0.016287;     0.000603;     0.018660;     0.000180;     0.005924;     0.000101;     0.000048;     0.045330;     0.003419;     0.025783;     0.037490;     0.000706;     0.001531;     0.001902;     0.000849;     0.000993;     0.003599;     0.000215;     0.002073;     0.466800;     0.007976;     0.000070;     0.023056;     0.000413;     0.189259;     0.000315
EEZ100      ;     0.011097;     0.000469;     0.028241;     0.000841;     0.000477;     0.002840;     0.014171;     0.151080;     0.010449;     0.000922;     0.017026;     0.000975;     0.065478;     0.394266;     0.000739;     0.000543;     0.004854;     0.031081;     0.005788;     0.009775;     0.000043;     0.004616;     0.000051;     0.000302;     0.050917;     0.040017;     0.018268;     0.001825;     0.000805;     0.002441;     0.001535;     0.005897;     0.000854;     0.002153;     0.000233;     0.000422;     0.188186;     0.015620;     0.000065;     0.005310;     0.000015;     0.214784;     0.020529
EEZ108      ;     0.124644;     0.028204;     2.189579;     0.022017;     0.030013;     0.091367;     0.190526;     3.374488;     0.453998;     0.037402;     1.866359;     0.121049;     5.232338;    31.173302;     0.018755;     0.029833;     0.054828;     4.175530;     0.161156;     0.636950;     0.021556;     0.258162;     0.013596;     0.003537;     2.078368;     0.497023;     0.537955;     0.168514;     0.049739;     0.032031;     0.108011;     0.254353;     0.042842;     0.038679;     0.028108;     0.113903;    23.240601;     0.858662;     0.003185;     0.487296;     0.009260;    10.699834;     2.266449
EEZ109      ;     0.021565;     0.005464;     0.144831;     0.001513;     0.009201;     0.010509;     0.060639;     0.567969;     0.038163;     0.001976;     0.190776;     0.010252;     0.521829;     1.880815;     0.002588;     0.005369;     0.011369;     0.130453;     0.005788;     0.127969;     0.002249;     0.019119;     0.001506;     0.000628;     0.224908;     0.023865;     0.205148;     0.025894;     0.011124;     0.007226;     0.025839;     0.012560;     0.007928;     0.012194;     0.003662;     0.035380;     1.126527;     0.049014;     0.000448;     0.062485;     0.000530;     2.132221;     0.212506
EEZ110      ;     0.008608;     0.001969;     0.059594;     0.000618;     0.002975;     0.003102;     0.027667;     0.195609;     0.009010;     0.000670;     0.071575;     0.002461;     0.170827;     0.532354;     0.000822;     0.001806;     0.004041;     0.036864;     0.001473;     0.041818;     0.000898;     0.008528;     0.000587;     0.000198;     0.079672;     0.007214;     0.078247;     0.009314;     0.003889;     0.002516;     0.008658;     0.002518;     0.002754;     0.004841;     0.000985;     0.011834;     0.338465;     0.014560;     0.000152;     0.022677;     0.000205;     0.673441;     0.054983
EEZ119      ;     0.001078;     0.000135;     0.001600;     0.000143;     0.000054;     0.000236;     0.001156;     0.013613;     0.000614;     0.000037;     0.000910;     0.000109;     0.004085;     0.019874;     0.000054;     0.000039;     0.000454;     0.001738;     0.002598;     0.000608;     0.000023;     0.000333;     0.000022;     0.000004;     0.004071;     0.003223;     0.002802;     0.000111;     0.000143;     0.000233;     0.000382;     0.000596;     0.000066;     0.000220;     0.000022;     0.000063;     0.016983;     0.001299;     0.000007;     0.000381;     0.000143;     0.012657;     0.005076
