            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.147175;     0.083636;     0.542421;     0.049598;     0.081071;     0.138650;     0.120653;     3.165561;     0.295973;     0.040542;     0.134466;     0.085847;     2.906555;     3.246923;     0.032926;     0.042711;     0.081558;     1.403043;     0.003455;     0.248405;     0.118383;     0.052389;     0.038715;     0.014394;     1.265219;     0.046383;     0.409246;     0.106830;     0.062946;     0.077308;     0.151111;     0.239979;     0.049327;     0.050911;     0.033742;     0.038688;     0.088903;     0.096172;     0.031865;     0.072409;     0.027333;     0.142047;     0.618531
EEZ65       ;     0.031199;     0.033576;     0.182559;     0.026030;     0.075589;     0.051971;     0.054692;     1.411574;     1.149135;     0.016734;     0.058886;     0.042930;     1.066986;     2.751231;     0.007261;     0.018811;     0.045943;     0.818669;     0.011388;     0.068297;     0.082971;     0.030923;     0.043516;     0.023658;     0.446157;     0.173804;     0.261224;     0.039869;     0.038206;     0.032714;     0.056428;     0.376343;     0.018106;     0.037206;     0.031307;     0.060700;     0.021815;     0.023094;     0.012645;     0.021005;     0.006976;     0.025179;     0.058690
EEZ71       ;     0.047986;     0.033315;     0.318313;     0.032870;     0.177363;     0.042774;     0.160174;     1.872597;     0.772534;     0.051012;     0.092297;     0.066602;     0.921995;     1.566099;     0.028948;     0.011440;     0.053849;     0.802806;     1.776618;     0.068670;     0.101568;     0.041256;     0.043346;     0.017114;     0.571985;     0.214355;     0.587833;     0.048254;     0.070270;     0.025908;     0.153559;     0.296690;     0.015299;     0.049930;     0.034304;     0.114976;     0.056246;     0.097420;     0.022956;     0.022542;     0.018618;     0.164768;     0.121542
EEZ91       ;     0.057646;     0.014817;     0.228962;     0.013600;     0.053460;     0.101027;     0.052881;     1.489720;     0.062033;     0.011829;     9.804404;     0.015035;     5.597643;     1.136705;     0.012682;     0.018518;     0.029016;     0.301609;     0.009011;     0.194474;     0.046238;     0.033471;     0.026119;     0.007228;     0.351109;     0.019673;     0.087121;    23.253014;     0.029064;     0.015559;     0.055905;     0.027292;     0.025188;     0.026169;     0.013594;     0.029806;     0.016812;     0.053007;     0.008490;     0.021436;     0.173279;     0.069154;     0.033201
EEZ99       ;     0.002099;     0.000193;     0.012618;     0.000195;     0.001276;     0.001766;     0.000198;     0.017561;     0.002724;     0.000212;     0.130553;     0.000130;     0.994012;     0.024559;     0.000198;     0.000553;     0.000209;     0.023761;     0.000198;     0.002478;     0.001021;     0.000152;     0.000368;     0.000148;     0.016935;     0.000136;     0.000198;     0.024144;     0.000202;     0.000198;     0.002141;     0.000166;     0.000363;     0.000298;     0.000200;     0.001616;     0.000198;     0.000198;     0.000198;     0.000198;     0.000570;     0.000198;     0.000659
EEZ100      ;     0.000877;     0.000311;     0.004421;     0.000290;     0.003656;     0.001437;     0.001440;     0.053612;     0.042539;     0.000333;     0.000970;     0.001348;     0.058314;     0.205489;     0.000252;     0.000252;     0.000484;     0.064133;     0.000112;     0.002255;     0.003553;     0.000310;     0.001203;     0.000150;     0.014516;     0.002060;     0.014515;     0.000522;     0.000420;     0.000306;     0.000651;     0.011121;     0.000291;     0.000515;     0.000304;     0.001178;     0.000320;     0.000897;     0.000261;     0.000480;     0.000251;     0.000330;     0.000319
EEZ108      ;     0.064354;     0.026113;     0.700782;     0.029735;     0.113934;     0.066724;     0.060312;     1.907868;     0.453785;     0.021422;     0.119923;     0.023512;    10.193821;    13.311843;     0.019095;     0.019510;     0.040174;    51.775208;     0.009997;     0.136772;     0.044857;     0.060201;     0.013236;     0.015721;     1.002265;     0.039004;     0.169705;     0.159776;     0.056451;     0.029971;     0.077157;     0.088450;     0.021687;     0.042364;     0.051199;     0.109752;     0.021816;     0.025764;     0.014155;     0.028627;     0.026552;     0.025841;     0.039562
EEZ109      ;     0.000234;     0.000234;     0.035631;     0.000676;     0.001418;     0.003404;     0.000208;     0.034299;     0.011538;     0.000234;     0.000234;     0.000234;     3.800361;     0.667942;     0.000487;     0.000234;     0.000234;     0.098172;     0.000234;     0.000234;     0.000193;     0.000481;     0.000234;     0.000948;     0.032492;     0.000234;     0.000303;     0.000239;     0.000865;     0.000238;     0.000240;     0.000234;     0.000232;     0.000234;     0.001027;     0.003949;     0.000234;     0.000234;     0.000234;     0.000234;     0.000211;     0.000234;     0.000234
EEZ110      ;     0.000075;     0.000075;     0.003531;     0.000224;     0.000058;     0.000968;     0.000075;     0.014321;     0.002725;     0.000075;     0.000075;     0.000075;     2.487901;     0.085063;     0.000083;     0.000074;     0.000075;     0.027797;     0.000075;     0.000075;     0.000131;     0.000748;     0.000072;     0.000057;     0.009137;     0.000075;     0.000075;     0.000075;     0.000093;     0.000164;     0.000075;     0.000075;     0.000037;     0.000075;     0.000102;     0.000075;     0.000075;     0.000075;     0.000071;     0.000075;     0.000075;     0.000075;     0.000075
EEZ119      ;     0.000054;     0.000054;     0.000550;     0.000043;     0.000305;     0.000051;     0.000137;     0.003914;     0.002754;     0.000044;     0.000806;     0.000130;     0.003576;     0.009287;     0.000042;     0.000033;     0.000099;     0.003235;     0.000137;     0.000139;     0.000240;     0.000041;     0.000055;     0.000032;     0.001149;     0.000267;     0.001310;     0.000472;     0.000073;     0.000033;     0.000220;     0.000668;     0.000008;     0.000088;     0.000033;     0.000166;     0.000317;     0.000114;     0.000042;     0.000076;     0.000004;     0.000053;     0.000147
