            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.067543;     0.013904;     0.489964;     0.011892;     0.027785;     0.043561;     0.119361;     1.334125;     0.134481;     0.009801;     0.474265;     0.061238;     1.583227;     2.542914;     0.006025;     0.010340;     0.016130;     0.198107;     0.015570;     0.111171;     0.011767;     0.057147;     0.010496;     0.010084;     0.667843;     0.145764;     0.273652;     0.213511;     0.008358;     0.007634;     0.163104;     0.094216;     0.008627;     0.016897;     0.012479;     0.016243;     6.202216;     0.254367;     0.013414;     0.043880;     0.010200;     1.765654;   331.406067
EEZ65       ;     0.479430;     0.068639;     2.972887;     0.067204;     0.395798;     0.156371;     1.492068;    10.899710;     2.508189;     0.188829;     0.682034;     1.371446;     7.532902;    40.183811;     0.177598;     0.089190;     0.371443;     3.911793;     1.654184;     0.471255;     0.265685;     0.341544;     0.130872;     0.059928;     4.345748;     6.522537;     7.819622;     0.101796;     0.114472;     0.206103;     2.882289;     2.146017;     0.126772;     0.390436;     0.378045;     0.597328;    16.888315;     4.039659;     0.066395;     0.546150;     0.056951;    19.713066;    34.096508
EEZ71       ;     0.590802;     0.106102;     5.357441;     0.091650;     0.221175;     0.152430;     1.784426;    19.747702;     3.368615;     0.236089;     1.586985;     1.666643;    10.324379;    55.889812;     0.182955;     0.120213;     0.554683;     5.233212;    13.137878;     0.534996;     0.248905;     0.535706;     0.175348;     0.087727;     8.080087;     8.078085;     7.256580;     0.307616;     0.093852;     0.247678;     4.204872;     2.481296;     0.108917;     0.432568;     0.608786;     0.513601;    35.576080;     7.155381;     0.077225;     1.043796;     0.090332;    28.213520;   108.366852
EEZ91       ;     0.128985;     0.018062;     0.869702;     0.014611;     0.016826;     0.058882;     0.129649;     2.226885;     0.208204;     0.018152;    13.451794;     0.075069;     4.373418;     5.797389;     0.022001;     0.019091;     0.026740;     0.404620;     0.032996;     0.275807;     0.016703;     0.140649;     0.015445;     0.016819;     1.074665;     0.333974;     0.191983;    11.453716;     0.016757;     0.017547;     0.166391;     0.107931;     0.024389;     0.026921;     0.031448;     0.017473;    21.989775;     0.378318;     0.011023;     2.025962;     0.034685;     3.407810;   161.054749
EEZ99       ;     0.016235;     0.004930;     0.143919;     0.007546;     0.017790;     0.008217;     0.025057;     0.215999;     0.034744;     0.002201;     0.915699;     0.017489;     0.595241;     1.001424;     0.004837;     0.007755;     0.015844;     0.056032;     0.007394;     0.015135;     0.009158;     0.019604;     0.004831;     0.006366;     0.176351;     0.025413;     0.060412;     0.196794;     0.013620;     0.005997;     0.033536;     0.025513;     0.007045;     0.011022;     0.003790;     0.013841;     0.788741;     0.046521;     0.001099;     0.035760;     0.004187;     0.565316;     0.418599
EEZ100      ;     0.022554;     0.002502;     0.102270;     0.002538;     0.016205;     0.007395;     0.063417;     0.543691;     0.068842;     0.004024;     0.054717;     0.033474;     0.276402;     1.672958;     0.010614;     0.006427;     0.019251;     0.260627;     0.042357;     0.028116;     0.006432;     0.010480;     0.004709;     0.002738;     0.187747;     0.181594;     0.258775;     0.015279;     0.008674;     0.008360;     0.086867;     0.064640;     0.010397;     0.017597;     0.016094;     0.028581;     0.806713;     0.135014;     0.001637;     0.031232;     0.003827;     0.569529;     1.283703
EEZ108      ;     1.029137;     0.341576;     5.372103;     0.393883;     0.651819;     0.724305;     0.994285;    13.258629;     2.467349;     0.374339;     9.094269;     0.984928;    30.642807;    92.323265;     0.479102;     0.467719;     0.722794;    16.171228;     1.141045;     1.980245;     0.527434;     0.947059;     0.414709;     0.325989;     6.493024;     4.208057;     2.412909;     2.333662;     0.564883;     0.573793;     2.506302;     1.900277;     0.437979;     0.534994;     0.670004;     0.616904;    59.931622;     3.315657;     0.295595;     1.950827;     0.444884;    27.900665;    79.533913
EEZ109      ;     0.020417;     0.001175;     0.506874;     0.003960;     0.017168;     0.050456;     0.022943;     1.231197;     0.109033;     0.004834;     0.741479;     0.052742;     2.844827;     5.594668;     0.001166;     0.005162;     0.024603;     0.305426;     0.001382;     0.043413;     0.015416;     0.042559;     0.010693;     0.001166;     0.570841;     0.114704;     0.250779;     0.150082;     0.013211;     0.002283;     0.149779;     0.075887;     0.004074;     0.004454;     0.007138;     0.017440;     2.109654;     0.185989;     0.015250;     0.046102;     0.001166;     2.271151;     1.408253
EEZ110      ;     0.001291;     0.000390;     0.228991;     0.000443;     0.007616;     0.006105;     0.019569;     0.364450;     0.019361;     0.000390;     0.365402;     0.001431;     1.116333;     1.469413;     0.000390;     0.000414;     0.008919;     0.104769;     0.000390;     0.014261;     0.000558;     0.011378;     0.001196;     0.000390;     0.198015;     0.032256;     0.067027;     0.069701;     0.001489;     0.000390;     0.048263;     0.010825;     0.001572;     0.000390;     0.001391;     0.011324;     0.762216;     0.050780;     0.001741;     0.015499;     0.000405;     0.705752;     0.441111
EEZ119      ;     0.002094;     0.000147;     0.009614;     0.000138;     0.001465;     0.000997;     0.006957;     0.037648;     0.006433;     0.001086;     0.001936;     0.006673;     0.018455;     0.110184;     0.000771;     0.000200;     0.001477;     0.015088;     0.013651;     0.002799;     0.000995;     0.000709;     0.000457;     0.000102;     0.011654;     0.024000;     0.026897;     0.000299;     0.000266;     0.000663;     0.012774;     0.008994;     0.000290;     0.001168;     0.002059;     0.001585;     0.078065;     0.013095;     0.000140;     0.003410;     0.000145;     0.059411;     0.194008
