            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.043959;     0.011396;     0.432026;     0.008943;     0.002744;     0.052358;     0.055997;     1.597117;     0.061036;     0.000707;     3.846717;     0.008224;     4.065208;     1.219572;     0.002548;     0.009716;     0.012569;     0.510475;     0.011702;     0.207695;     0.000317;     0.032657;     0.000232;     0.002077;     0.571037;     0.016012;     0.072606;    11.789701;     0.033048;     0.062146;     0.023809;     0.041073;     0.008304;     0.006441;     0.028425;     0.026792;     0.235781;     0.008621;     0.000305;     0.039277;     0.383126;     0.198225;    73.290283
EEZ65       ;     0.055222;     0.009620;     1.549457;     0.006079;     0.227399;     0.087876;     0.210063;     9.610250;     2.674785;     0.032352;     2.933843;     0.059916;     8.970298;    16.039583;     0.003172;     0.010517;     0.038424;     7.880206;     0.951168;     0.142894;     0.148012;     0.076849;     0.074351;     0.009362;     3.652402;     1.216998;     1.545898;     0.747910;     0.045241;     0.054365;     0.458145;     0.852838;     0.011604;     0.031588;     0.056865;     0.264075;     0.360536;     0.123365;     0.000472;     0.019794;     0.104994;     0.872407;    15.062799
EEZ71       ;     0.072128;     0.020892;     1.453144;     0.013172;     0.352562;     0.090463;     0.475001;    10.144850;     3.182467;     0.057590;     1.307308;     0.123154;     8.188962;    14.341420;     0.005060;     0.018277;     0.053427;     6.568999;     9.172291;     0.248477;     0.257711;     0.090674;     0.149844;     0.013236;     2.959062;     1.611452;     1.780647;     0.133142;     0.086062;     0.133541;     1.457729;     1.194997;     0.017535;     0.054738;     0.128370;     0.371622;     0.434598;     0.185976;     0.000854;     0.020485;     0.140907;     1.179325;    89.936844
EEZ91       ;     0.157724;     0.022357;     0.561405;     0.007984;     0.017468;     0.168053;     0.294721;     2.331214;     0.052468;     0.001453;    20.043079;     0.007709;     4.991551;     1.800982;     0.006911;     0.024385;     0.057834;     0.948037;     0.005535;     0.793561;     0.019178;     0.053048;     0.004727;     0.002308;     0.882809;     0.013172;     0.875515;    16.015680;     0.037863;     0.101104;     0.056089;     0.040269;     0.017057;     0.058891;     0.020154;     0.037396;     0.160930;     0.028481;     0.000355;     0.102866;     2.156765;     0.286791;     8.912136
EEZ99       ;     0.004654;     0.001825;     0.049595;     0.003155;     0.000395;     0.003847;     0.008909;     0.131155;     0.019795;     0.000199;     1.043682;     0.001619;     0.708723;     0.098421;     0.002891;     0.001369;     0.004826;     0.082678;     0.000265;     0.021282;     0.000181;     0.003781;     0.000048;     0.001054;     0.063065;     0.002895;     0.015258;     0.096721;     0.010338;     0.008586;     0.008509;     0.010017;     0.000594;     0.002643;     0.006494;     0.007391;     0.006618;     0.000476;     0.000034;     0.002674;     0.034797;     0.010413;     0.160127
EEZ100      ;     0.004270;     0.000442;     0.072602;     0.000198;     0.006195;     0.004606;     0.008023;     0.332472;     0.071902;     0.001541;     0.114225;     0.001907;     0.413402;     0.880993;     0.000050;     0.001089;     0.003253;     0.525903;     0.022753;     0.013188;     0.004277;     0.004376;     0.002456;     0.000203;     0.139461;     0.033357;     0.042963;     0.023861;     0.002524;     0.002590;     0.013628;     0.026990;     0.001115;     0.001946;     0.000657;     0.007060;     0.015878;     0.003808;     0.000017;     0.001274;     0.005477;     0.042432;     0.519636
EEZ108      ;     0.312475;     0.091907;     3.932679;     0.018330;     0.073710;     0.625511;     0.592169;    14.160549;     0.847674;     0.020439;    17.919523;     0.100089;    35.893471;    41.278614;     0.009706;     0.119841;     0.150318;    78.647018;     0.223326;     3.702939;     0.105196;     0.294591;     0.028193;     0.006353;     5.729298;     0.244972;     2.233834;     2.945830;     0.095951;     0.202475;     0.144194;     0.322534;     0.086681;     0.102891;     0.014244;     0.117507;     0.583883;     0.108603;     0.000672;     0.229095;     1.120320;     1.261417;    37.931992
EEZ109      ;     0.016685;     0.002007;     0.274031;     0.001240;     0.000639;     0.058072;     0.033831;     0.542465;     0.039705;     0.000756;     0.725467;     0.003197;     4.710344;     1.705360;     0.000514;     0.003786;     0.007000;     0.526379;     0.000891;     0.089705;     0.000372;     0.015022;     0.000244;     0.000448;     0.240947;     0.005069;     0.055590;     0.075070;     0.008119;     0.009394;     0.004280;     0.015033;     0.003834;     0.002456;     0.001497;     0.003326;    -0.001634;     0.005322;     0.000021;     0.005707;     0.037180;    -0.040305;     0.340935
EEZ110      ;     0.007128;     0.001302;     0.057745;     0.000839;     0.000365;     0.019323;     0.017608;     0.163676;     0.010578;     0.000328;     0.294358;     0.001189;     3.053000;     0.418056;     0.000176;     0.001916;     0.004009;     0.206712;     0.000611;     0.042977;     0.000148;     0.003674;     0.000100;     0.000331;     0.057068;     0.002116;     0.025478;     0.022363;     0.005742;     0.006022;     0.003225;     0.003806;     0.001799;     0.001512;     0.001659;     0.002785;    -0.005650;     0.000088;     0.000018;     0.002247;     0.012708;    -0.019315;     0.124179
EEZ119      ;     0.000311;     0.000046;     0.003819;     0.000024;     0.000631;     0.000339;     0.001889;     0.030504;     0.008869;     0.000132;     0.011068;     0.000355;     0.029106;     0.034405;     0.000017;     0.000030;     0.000173;     0.022738;     0.009940;     0.000526;     0.000415;     0.000360;     0.000243;     0.000028;     0.006562;     0.004901;     0.006805;     0.001315;     0.000159;     0.000239;     0.002252;     0.004482;     0.000046;     0.000276;     0.000159;     0.000773;     0.001428;     0.000421;     0.000001;     0.000085;     0.000524;     0.002821;     0.079783
