	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	44.3483314514021	2.90543187921867e-06	0.0906049962789208	0.000296448757664611	-0.270539325210659	0.00899670570253503	0.0819172632263711	0.033440919229209	0.0128492711286393	-0.000112905989884554	0.0603309970367599	0.2136756798607	0.00422180877370403	7.56203288724646e-05	0.199960779112493	0.000499231018469979	0.0634848138579586	0.0153055741568979	0.000639118407666062	1.23208976227156	0.125709509721238	0.323508334761333	0.00350992423750864	-7.35305988340018e-05	0.672181452084045	-1.31385608141621e-06	0.000599480681675331	0.00634190000052905	0.00109576455623796	0.00183668095901934	0.0125610708187348	-0.074461855559113	-0.161174671009261	0.00138930363840284	0.0200998499629685	7.09263774305582e-05	0.0294574264016088	0.00758378029084656	0.238954107043242	1.41711103601944	0.044720971761033	0.0016583976540283	0.0186927077560625	0.0723671517474246	4.18610607258355e-06	0.000346438146621454	-0.0671428003334971	0.0428197596115423	0.000823614683765452	-0.00535270322920211	7.03112442167476e-05	-0.00220965176088347	-0.361764366414039	0.00161652017312295	-0.00623603018325179	-0.0442763905156104	-0.0800106228835271	-0.0544221418123639	-0.469116292451598	47.8149593506127	48.8366607184459	3.49543661644986
AM	0.000875961717041054	21.8868761439278	0.00100774647377664	6.21723061533913	-0.00209498091316642	3.3427261917231e-05	-0.000101697332806885	0.00516924471143695	0.000386790393619488	0.000259631793153627	0.000237985305566185	0.0033020402389192	0.00045340274572776	1.67242732971596e-05	0.00510582758510392	3.2274650913508e-05	0.000528641302993676	0.000306714021554062	0.91329999039289	0.00249078590017076	0.000686017030252609	0.00154686788105359	3.27893903042811e-05	-1.23644864258046e-05	0.00539671834573243	-8.68263770764073e-06	-0.0155688022094069	0.000722715377691357	4.80218540566663e-06	0.000156764369147674	0.0013250174054848	-0.00113787164727505	-0.000977247152804242	5.85092976580684e-06	0.000190319625386813	0.000219928936136421	0.0020869722220165	0.000132001493495889	0.00468621462955931	-0.00452635842677501	0.0794154837552186	0.00039474158498381	0.000338484851393538	0.000254632011154667	3.37430250250424e-05	0.0611278970522163	5.94532679513878	-0.00200308092183309	0.0579609815338662	-0.000640310047349427	-0.000235954108269419	-0.00473067766724403	-0.0116378006218652	-0.000241144975962117	1.12067694202248	0.00339718850641216	-0.0833822523380481	-0.00287931745868642	-0.0782374215509871	36.1153178528414	35.1732286010809	0.0303093961476308
AT	0.0123415136327961	-3.35258082841756e-06	126.50493725986	1.23228703030036e-05	-0.0232457507444477	0.277116665107554	0.0331422512061852	0.155203596817919	2.52625026016149	-4.85871684165128e-06	6.42301212607411	25.0034226723456	0.0551946514046821	0.0039195678597417	0.259982227518395	0.00566633157740221	1.76439361367634	0.377141318965522	0.000295888959031086	0.00501859224850789	1.37142395430622	3.97620787777831	0.0590223740245869	0.000110249591596386	5.15359211461495	2.23838911155084e-05	0.000509247653547306	0.0390505317660434	0.0450972944363707	0.0135762352504628	0.0221467241540715	-0.0117864299092448	-0.00159326835543152	0.000230017098587317	0.513820107488752	0.00830046813558211	0.873718943261435	0.00576725300310412	0.497665641211723	0.161894994910926	0.0679622337109746	0.025725811331253	4.25021625102338	1.30161543896017	2.64018731360557e-05	7.30160861291612e-05	-0.0289763069778262	0.231776803846366	0.000337310470930398	-0.00912446341139734	0.0061523074821531	-0.00144086059324983	-0.132925083677191	0.0473267465500215	-0.000998593590981055	-0.00389295296998933	0.0916652627874776	-0.0134383413343836	-0.180949706015394	181.763704888108	181.961330572881	178.839672264683
AZ	0.00181056045475152	5.33512652102008	0.00341040103519196	139.81052201097	-0.00733468588837314	0.000269121181690134	-0.00183572858527427	0.0364335854428696	0.00121881234514853	-0.000443583422791834	0.000164422239470916	0.0160532065248367	0.00255013927487191	0.000324071941433474	0.00853024040830182	0.00102517519842321	0.00253298874980537	0.00180509534771539	3.66974907321019	0.00381849723309992	0.00177739134208734	0.00563390279682431	0.00038820672957118	-4.31751113606927e-05	0.0129140159757903	-6.53531741605451e-05	-0.120496929144983	0.00505414201448423	2.47648852492372e-05	0.00145856033743328	0.0064878512298263	-0.00383428546102236	-0.00328434841638803	-5.02262028306723e-06	0.00119843987899212	0.000732269319654442	0.00787028725886842	4.542002762435e-05	0.0152473071722714	-0.0164944252552291	4.86349833214812	0.00236854473711442	0.000916624797956242	0.000896308959759617	0.000232992290339898	0.450856163771063	2.38199242500114	-0.0763328905121513	0.397287842618755	-0.00236110770213262	-0.00126796445961793	-0.020744150314705	-0.0208884016691066	-0.00122717990951799	8.28888231310445	-0.00109488384091994	-0.174676974770346	-0.00434761862968358	-0.140965304299949	164.743364015787	156.822055288279	0.093992941420518
BA	0.178855451267962	7.46345639880747e-06	0.88690910920279	8.96761973525087e-05	40.9514041884624	0.0384648734782644	0.117769758646628	0.125439927961942	0.0554805974251967	-0.000125431396634939	0.70384119698739	1.47681920085139	0.0254289715036182	0.00199442794833208	0.322984044909668	0.00562446929006061	0.212925947621187	0.0776413974357184	0.00027932487600514	0.0841638216282531	5.83260027366444	2.70897505690252	0.0201639654203475	-0.000241523489365354	1.63436584363194	-9.40171263475592e-06	0.000740655166700793	0.0233066994137795	0.00599655478335607	0.00729280212391292	0.0289832556876691	0.195027008943706	-0.00886110998570577	0.000699980890880339	0.124402406918517	0.00241433054890065	0.270208057142129	0.0108401258423268	0.714984332513845	2.27466330619913	0.0828493940512482	0.00927330416863955	0.138830293200673	0.528484762497143	1.03276485224875e-05	0.000114816072444897	-0.0862037087961375	0.273665660251946	0.000411905729188739	-0.00668396857563701	0.00324852027384425	-0.00300797033444295	-0.207346065211088	0.00720586412352199	-0.00396319479020856	0.0248352487980663	-0.0665502844400204	-0.0339511875945235	-0.270122584007653	59.5036521714258	60.059987793184	15.9848662472211
BE	-0.000188193855996554	-1.89251935705543e-05	0.141114638267974	-0.00019470006200547	-0.00167460225081133	90.1239093922127	-9.45988776814192e-05	0.0327587242469906	0.199083319526015	-1.26063297204673e-05	0.120864600920988	12.3077564353968	0.122837378680037	0.0034637106388739	0.124798417088535	0.00240620504283595	22.3567373755013	2.5476986560916	-0.000129708562072366	-0.00111186752673735	0.00194826516727979	0.0200354515918375	0.317488872550853	-0.000412711450397968	0.0941571576278918	-1.81312838712086e-05	-0.000531520306656137	0.028966454045269	3.05384155013472	0.0072561214037668	0.00047954875063089	-0.000370829774968326	-0.0001181452863918	-2.23061241383354e-05	12.2064474340731	0.00618647829223735	0.270219538053986	0.0032037243029916	0.00486545670696845	-0.00597678200353682	-0.00213921740963	0.0230178531674935	0.0045547629689953	0.0252550743443755	-4.70305528243383e-06	-0.000106391752950847	-4.28163716010749e-06	0.0197466218437037	-5.9643949639673e-05	-0.0983426963974821	0.00957975489330851	-0.000328399380464107	-0.0189497436325898	-0.0729983878746306	-0.00147676890655979	-0.00800746001988215	-0.221192694976155	-0.0896276345334506	-0.004579137853877	143.651986183266	144.157909351947	143.911603147123
BG	0.440071216034383	0.0018982818991784	0.448056087197987	0.015306347086587	-0.0993214747724414	0.0366429880078811	86.0681618365382	0.719436766535598	0.0536676411976159	0.0032540110406992	0.3562774156933	1.06041293173879	0.0498934218309643	0.00435147825006784	0.210778012977427	0.0145210178023057	0.153258206475912	0.059144067756424	0.0461980235552704	3.91868234784292	0.347615195403316	1.71170765383894	0.0122854422331339	-9.49168996011528e-05	0.592752025964079	2.58677153900887e-05	0.0295993855362213	0.068429500713666	0.00420169118877159	0.0230793798361781	0.825412253925282	-0.10699219242331	1.63508618495791	0.000720605342790329	0.0849905607291269	0.00663072504317807	0.665902459943446	0.00854322824211714	14.6865809596429	4.76735052976256	1.57748733112436	0.0269130985932	0.0782290888093045	0.347650010789122	2.34727426754932e-05	0.00448532599578317	3.39213347289113	3.25612820507499	0.0121688926579081	-0.00661806362369626	0.00409908700186977	-0.15941143812464	-0.244523767181442	0.0115855714262102	-0.0119245312547126	0.117059446500979	0.00126750707156211	-0.0179117948577441	-0.314545661470869	126.998812419551	127.619736064064	111.043034724423
BY	0.0226045753656273	0.00418718971453118	0.266720756264719	0.0320001405434041	0.0225817712768083	0.26784867452049	0.132396242416963	228.923327669373	0.0493348129967321	6.31833942002462e-05	0.829200652034052	6.02493179770186	1.05226818188483	0.523281053193848	0.0935160247024883	0.463849391252757	0.985080720341693	0.727060457963108	0.0246024488936583	0.0407280894296949	0.126325525621178	0.803403073709733	0.142095407790132	0.00133544512481545	0.300512416285868	0.000633269080602331	0.152378556302753	6.78227195455568	0.020856916411215	1.87303357255355	0.716856412252494	-0.00271118620790852	0.00918241193005901	0.000105097715417466	0.743160633258901	0.126728503735471	20.4246227910894	0.00555165618333981	1.89661235681336	0.263175397906711	16.1387412331551	0.895161743990463	0.0606971929715547	0.389077359010244	0.0010838051098537	0.01202900049363	0.2334113624507	17.8090165264035	0.0170926426035748	0.0121894507070495	0.0850188282274811	-0.0167446800878386	-0.0289456286666134	0.10751775896764	0.0376504668560124	0.0367475191860724	0.468457783320958	0.0952807785170296	-0.0331375272713342	311.192059661322	310.428024911565	45.8704329230607
CH	0.000489241461463467	3.68805300861519e-05	0.625742591428797	6.91401001961203e-05	-0.00588276982354039	0.113809008062401	0.000603241185012273	0.0209977878245353	121.016423344839	8.23048730520532e-06	0.0736948199088511	8.66096029769791	0.00368493397205191	0.000330074166037841	0.118731107134947	0.000429148052346039	5.03178773980009	0.1269185589928	3.1466290542623e-05	-0.000122631875463179	0.0085889124573735	0.0233067799568041	0.0270541961746976	-5.73551419927583e-05	4.13215774705161	4.3418463569833e-06	-1.81879433308883e-05	0.00317303264825597	0.0384352463707686	0.00101901804362521	0.000424719611363485	-0.00175146579625046	-0.000348371720562689	7.77742908700214e-05	0.147522241705309	0.000597768151248146	0.0292912983608511	0.00451256205704246	0.00462037575132524	-0.0194763335390265	0.00244002642825591	0.00109640001160748	0.0190514581431222	0.00946740076662891	1.7601220396813e-05	0.000148440570793697	-0.000776199796336005	0.00817548738963498	0.000110264176638254	-0.0114687423017849	-0.0011524999600321	-9.32874485654756e-05	-0.0455980799544307	0.000396926207105241	2.66655364430044e-05	-0.0209262825474924	-0.054391269675519	-0.012156825162825	-0.0425220610611864	140.039721933114	140.227607389483	19.205951562803
CY	0.00691947370961922	0.00265339879023928	0.00400604527952755	0.0114415219866582	-0.00080455191046667	0.000607148187585718	0.0157230667514647	0.00651388796211298	0.00133116751703511	4.99893676510287	0.00243382295485252	0.0102614671044163	0.000390072956732474	9.795858314548e-05	0.0221888534947535	0.000136638111654824	0.00717523801990824	0.000504408381788215	0.00503730225059476	0.0975821746419335	0.00271097155734889	0.00609784802640323	9.99522661872519e-05	-6.9708780584236e-06	0.0275805112274133	-3.07960863504559e-06	0.00300155499643607	0.00060019912455782	4.31076104509023e-05	0.000127420950037893	0.0032079584669841	-0.00110215502906459	0.00213141171784474	0.000387659420439973	0.00109777769919252	1.55918456662136e-05	0.00686522317787593	0.000743611452567624	0.0198362659802704	0.00466053069656272	0.0497503532080724	0.000231548218808991	0.00104730602625354	0.00150720775938065	8.15043833929424e-06	0.000784947689321901	1.665118936244	0.0487614581472961	0.00112580321480093	-0.000168759380230991	2.41292254029152e-06	0.00168280991662348	-0.0742193938745557	4.80023933777896e-05	0.252419821930161	0.150791998544744	0.0526296407280363	-0.00945797087257883	-0.0330850500415563	7.38021047378974	7.03956696152319	5.22902027006783
