	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	17.1562387444392	0.00238108872898233	0.663082034728383	0.00630416225294582	0.781673999049332	0.166105059228877	0.667543086247821	0.0592791472530821	0.181139676234432	0.00152777506492349	0.453541577987343	1.8140079536842	0.041509561844956	0.00444003677164034	1.34013010329051	0.00786307721519175	1.81984469467307	0.430108001526971	0.00927502698969484	7.09064524360906	0.782430143863444	0.837229298120511	0.0397650997929062	0.00149675830942594	11.3660264671433	4.53558068121783e-05	0.00466376747271294	0.0131754258157384	0.021365481607009	0.00678350897749358	0.0306952461338728	1.51389579091786	2.89599138705259	0.0620120734715173	0.253740972758326	0.026335129434675	1.06628771748767	0.101969219801018	0.745374631090174	6.66963528742246	0.242945531379016	0.0197462960735192	0.139316860208387	0.289110006851422	8.91087633262699e-06	0.000700341360239002	0.758022373262028	0.34868622740069	0.000583820675325425	0.23201670599172	0.0638750018666775	0.0820803898289042	11.9357156796019	0.339659202458615	0.0555710064217748	5.12172082472553	2.10126154375574	-0.00726920888498627	-0.00205805904047672	80.8572522681125	60.934679181387	30.2446814089354
AM	0.00783408375421663	13.7520828652481	0.0135210773031025	5.85279354149115	0.00395500382827704	0.0100771545719388	0.026902037221688	0.0128580345899168	0.0108992932528555	0.109476502924452	0.0117788727881288	0.0904101011255756	0.00454605554997999	0.00102334822280689	0.072792224127089	0.00380665519656179	0.0501946509340553	0.0223950151784479	1.84436285340839	0.172723898186012	0.00471210838780754	0.013958160813136	0.0020942153077616	0.000476690688202623	0.140569295880352	0.000408496259666824	0.23045432949801	0.00297160516026321	0.000945082218825507	0.00161394029796387	0.00804718164145093	0.00321909824403515	0.0066810481783015	0.000781096796400069	0.0152882517395957	0.00449110837793676	0.0736776511793757	0.00714648479408228	0.055865157194721	0.0175524601941503	0.690516483650954	0.00478855859936603	0.00235828429011302	0.00696826890702654	3.61521671737234e-05	0.163748633155015	8.63811755562535	0.185328080855769	0.0494035144166586	0.0151170377697653	0.0120915167623959	0.124377803267961	0.65324134047719	0.0249712881002085	51.5312711196007	0.711101804287856	2.06630774427929	-0.00135044861980171	0.0070252451173199	87.5508067144651	32.4066522634223	0.923385754896629
AT	0.0519535518826764	0.000211093794440618	96.5250086536805	0.000787013168373126	0.476948707306057	6.10785378562346	0.318812574921528	0.287872761902753	13.1968390565741	0.000356092005260386	13.1599287144624	101.253086354234	0.415845949353791	0.0396274755514283	5.27941716305295	0.0984254256143397	29.4995853926338	9.62967282916234	0.000912308365059861	0.165230257888503	2.69473873366034	4.00539694316452	0.656723613131029	0.011945613738963	33.3041085080782	0.000117632137916284	0.00780394863414367	0.151691151793645	1.15306188248367	0.0594189354400022	0.0601432106010847	0.0671980335057537	0.0898004292062266	0.00491828719699101	6.82705610633488	0.301153979679826	9.92718957938641	0.654223133173416	1.64323792963872	1.9220326665608	0.42700684614083	0.207330489435189	7.41046227491039	2.04662942866565	2.40673093205939e-05	0.000547455967518714	0.0653018385078406	0.689590430472166	0.000742807161618587	1.51717909020973	0.798660297932736	0.0360930086789596	5.61057021343092	8.61804270084519	0.0205691915835378	2.65849934185821	2.91956109667744	-0.0311732196586352	0.00914585920055507	373.055118698053	350.897971117295	333.239037664678
AZ	0.0113700873795198	4.67797945545909	0.0353328413193778	60.5643800194788	0.00805311279105364	0.0287397324561174	0.0627396310332074	0.0886162839072776	0.0188616455134682	0.129574825560236	0.0441339047219319	0.319057648653537	0.0353373072944173	0.00758048735164455	0.135670344050264	0.0292482988749043	0.112121760157691	0.0906275028065289	9.10844318814497	0.245808620688081	0.0122701983056417	0.0464747245061667	0.00887882058042878	0.00279092168925819	0.226081894688397	0.00774743045489622	2.27433979978508	0.0202829042145043	0.00280756532831017	0.0131634223087705	0.0395448587290665	0.00601275588116795	0.0112026653595464	0.00110515920245453	0.0469546462159203	0.0396043753564342	0.413654365557454	0.0149965451916142	0.221422416316002	0.0457089276852162	9.91264043627586	0.0418776089865119	0.00680186280043679	0.0261530808129749	0.00245284568437429	1.06029852583623	8.88987413558351	1.33367764065226	0.37107371089383	0.0480660843179917	0.0826949778675792	0.439967293409779	0.849192301192106	0.0911923481993725	135.004506902749	0.859945422355795	3.43172200202503	-0.00494588991826175	-0.000488125609966693	241.655424259113	100.853570942524	2.37889811998352
BA	0.75679145707863	0.00195846781534981	8.2659121090458	0.00309635644577599	17.3782451382818	1.43468249656894	0.856475777391088	0.345963158622962	0.909139650407246	0.000394332248941685	7.44956499939685	19.0962899760525	0.322604247972923	0.0325868403263167	3.53111017385639	0.0485892622705601	5.52388167683086	2.3062506313208	0.00809843249283638	1.08133510321487	9.1049637348909	9.80668735248537	0.130683857579473	0.00676402239661415	28.6532434944669	1.53523799795657e-05	0.00476312338330938	0.0662976626564366	0.185285242138385	0.0402137994099002	0.127893022482165	2.03474338577361	0.316273506886061	0.0497016683629782	2.00225363051015	0.176902713742574	12.4038009750269	0.300559691586426	3.43831836436933	11.7249299478456	0.625220455586362	0.147572713773007	1.40464938908545	3.80826726537521	1.45497483294457e-06	0.000385561849046499	0.30467841143409	1.4198585452476	0.000422482480050996	0.533897903686344	0.5605912844004	0.0925006242827664	11.5785770344194	2.30585461745277	0.0187650210643647	5.59675046991459	2.48574845471118	-0.0164200313867815	-0.00891429302747765	180.785672201338	157.63832111582	121.492176468214
BE	0.00399190176383623	0.000227347183012404	0.316325781635189	0.000709640555947398	0.00593230126301448	42.8468093148488	0.0129093780013646	0.0375727906538804	0.301912875407975	0.000137258150391591	0.487743055130597	17.4353505337702	0.173098245459904	0.00680700437916846	3.08628697253605	0.0492427743096886	38.0558593886007	29.9128158171986	0.000677274685010314	0.0170518397954786	0.014345486390658	0.0635895041238358	1.99743367795014	0.0334623434446342	0.427248491786127	0.000100044574462188	0.00218226351682904	0.015452898137675	1.55695588158095	0.0112539727735417	0.00614168165958549	0.00219399100838322	0.00382333646695719	0.000335766678397233	10.2873702573314	0.309152123682403	0.664486532232586	0.377532600317439	0.0484104547801086	0.0430252345550101	0.180421779041377	0.106617069073737	0.016641944134986	0.0499863979131067	2.15410516268263e-05	0.000525431354675752	0.0121131501619912	0.0657184231361784	0.000555037486374689	4.36005450702245	0.196812968635549	0.00257336618674174	0.589429826080776	25.2886118170102	0.0107398342865119	0.324256469801038	4.07760085088698	0.0794886271642205	-0.00105765377503323	183.977069424973	149.048558811674	148.038098299021
BG	1.72815555670819	0.0762890321456054	3.98127846274611	0.316791856366512	1.66545801121436	1.21753980740956	79.7289880317708	1.42695613887015	0.649313221213422	0.0220019580688684	3.72164999892632	13.7020580758171	0.326001176897977	0.065145694007347	2.35428081286656	0.129743499254372	3.60626137184951	2.06255628379157	0.369784120912219	26.4337194392467	1.68493098621425	7.14475907932252	0.135548335052717	0.00801922667377659	8.81419940200199	0.000657613292486096	0.635544774119421	0.230043133363215	0.156280682443461	0.0930870179507876	2.30210495349094	0.830266000227499	3.127098557699	0.0329701679681142	1.50536027268561	0.228323696197986	10.5564112302263	0.273424144003651	36.4348954621968	27.5737133902811	12.5497022646274	0.21289948319739	0.773349535482405	2.47811069459475	3.82295848888655e-05	0.0867447577750397	27.3318236715655	21.733964580493	0.0504551671247063	0.565194628826313	0.730587575061107	7.62485479272401	15.4118104570358	1.97203466235479	1.31065908910179	5.96698209137584	5.44689854222639	-0.0242214211352747	0.00498308657214325	349.578482564083	310.56869905994	207.877494239357
BY	0.393093136478831	0.0517691250115911	4.66245450141533	0.339710442439436	1.06776487024759	5.91106462202753	3.06153992910024	83.6231810917945	1.0900318178221	0.00311933068812957	13.2179247271825	67.4207313201136	8.68983394518733	2.04032898577577	2.83191532574815	3.73411466122325	10.9634678688879	17.1383735057109	0.250500368693601	2.89411816284254	1.67616246571277	7.39429544723093	1.17814397217837	0.0686679405802055	7.88823263215252	0.00272197950879733	1.12068089510112	16.0317876450636	0.571663494022329	6.07830195120162	3.53632760707116	0.384523834245141	0.610655599279169	0.00720004032388461	10.9135069796461	3.64352770089225	156.377370558262	0.308646616829428	16.2941916885352	6.14476870071046	63.9074304363497	7.13311871490486	1.07028920668403	5.7770418893283	0.000344487722281988	0.0900167847309045	6.15590093763422	62.1435868462769	0.0613257247670441	2.64897564256623	23.9951438065548	2.02054511032463	4.64497555575675	18.7677356055856	0.72529219377244	1.63768731091778	3.56177011723104	-0.0941253865838824	0.0226542260790877	673.886124697541	615.955470515336	381.268940187979
CH	0.00268855823838412	3.28022563091945e-05	1.82968497013838	0.000130212948957536	0.0160436505641044	1.82311014794631	0.00388787602985728	0.00781461230889898	46.4988268183216	6.51919046549204e-05	0.430450055405851	16.536632087818	0.0602274222944641	0.00262833454094067	5.58725505430551	0.0135484863014628	35.5910295657427	4.65062760757297	0.000128669855041507	0.0120888172198402	0.13901035198732	0.0577219165983335	0.415693901031027	0.00424028277473051	22.7398350418171	1.62203472277227e-05	0.000424114933786371	0.00493105593768899	0.303719460437097	0.00184934600640876	0.00161796287288311	0.00353023473916024	0.00274841143004146	0.00140912004348628	1.90635295605388	0.102608564238815	0.365539139985508	0.5726899890363	0.0231468544194003	0.0322037153172987	0.0239888170891593	0.0331032602449884	0.257488867069856	0.0278699694195113	2.34057786129415e-06	0.000102918717986322	0.00577265517386942	0.0201266231650865	0.000120986333002686	1.29986540386699	0.0726859031669466	0.00123229458722034	3.55215768738833	3.53550745552801	0.00271983169132467	1.48951486159616	2.45844993590045	-0.0113088789290354	0.00927006642346007	152.524860580733	140.114766019513	93.3915968473089
CY	0.0132421419434209	0.00140555950228622	0.0225769151561031	0.00572682288159927	0.00710093661651854	0.00908073341191436	0.0687110905141865	0.0105114292448362	0.00867054404077648	3.8735268467801	0.015881227044894	0.0904387253891192	0.00290212189402711	0.000667758173001309	0.0580265010023306	0.00190203458180744	0.0543126907919211	0.0224093487175644	0.00720789550914957	0.667776293162533	0.011020334665196	0.0218495326988787	0.00205458242957698	0.000229818013198984	0.195374581328054	3.31397145123531e-05	0.00536877935535895	0.00168278738619853	0.00110474905371107	0.00103380770253142	0.00823753435497855	0.00447475529376883	0.0129162372884884	0.00169081345908468	0.0131263034263306	0.00322070267591129	0.0490583609029371	0.00562867478116633	0.079120008823116	0.0423430424816227	0.144351021514905	0.00266045891934757	0.00476845573356592	0.00870324425195406	7.45543801722427e-06	0.00112933453043705	5.00436869699056	0.0912950602876249	0.000613748093290875	0.0104556852357015	0.00591553218052909	0.0986960699690493	3.87682956155864	0.0165297722941712	3.54546092358326	1.30834922750044	0.688938251043773	-0.00195163729950692	-0.00350915285819552	20.2052578711603	10.6595436379524	5.28708898218116
CZ	0.0258012184358342	0.000265869477990083	23.2834946510214	0.000818924582263455	0.759095811843377	10.0055437690819	0.364929489913304	0.383874308156847	3.88857699578813	0.000401879557865051	73.6937449671438	131.511461855229	1.41081234081357	0.0523820613593347	3.85126614398541	0.145719900551337	25.6252829825191	15.6377828184066	0.000959263998113883	0.142009352052574	2.66883551347986	7.44565575009062	0.907180373600424	0.0258751827414675	10.0003538412704	0.000215425747275973	0.00847642161795435	0.156132609868232	1.60186071875208	0.0783645384178497	0.0941098079766852	0.0935144464690396	0.0818470272128237	0.00186796933126108	12.4447501494146	0.765086704314909	36.2195333300688	0.433558605957877	2.29951485113825	3.48263962638566	0.671910070600633	0.549860773280157	3.19083379775099	6.13453059234667	4.36731352135539e-05	0.00059838183269836	0.0822725596234351	1.09667329993193	0.000850349263476829	1.82312340905641	2.33032274455128	0.037473374300022	2.65701275536651	15.3010750186586	0.0272888147912712	1.49924901695223	2.88801117453723	-0.0464059205597897	0.00614513971140143	407.844466522904	381.321170995539	369.857665626404
