	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	78.9420669154959	0.00595758981566752	0.53312076886913	0.00962570526190692	0.354978180474043	0.0902607397478168	0.567719025618744	0.136207707442407	0.220216126473237	0.00439563919804695	0.414790991678444	1.48820241757767	0.0490900253052393	0.00265462833181101	2.27845423194946	0.00246939247828567	1.50448389593005	0.17000471525924	0.0178994365594567	3.79533379612078	0.952978191052838	1.40391526255313	0.0406328937934275	0.000409675125254473	11.5185515942496	3.1258805358472e-05	0.00387811826103351	0.0133700308559507	0.00911984250688413	0.00513127467682011	0.0562865459771864	0.173435308160144	-0.139883262760732	0.0317023080116776	0.184263953019648	0.0025496576698514	0.647933945091469	0.100403214810488	1.16238758492129	4.39501008711104	0.222097713543168	0.011109383590842	0.139783637079321	0.276298374501858	2.52968398000424e-06	0.00063956675905905	1.2906166866925	0.415638701777212	0.00136063828777336	0.0309617471391357	0.00136892535055972	0.00302725895849274	-0.103905670432673	0.0206465660923052	0.0347906708658136	2.61571401502494	1.6192189387839	0.00140810277684964	-0.426824023655847	117.303993176299	113.507586645395	27.39856175878
AM	0.0156131057986637	56.8325429319216	0.00765500677140849	24.7107324545276	0.00844920902004528	0.0047542843541756	0.0412417357696667	0.0293285374658612	0.00921519179627579	0.200503256890499	0.0130091733962482	0.0720133822452733	0.00604083526879068	0.00133160451427195	0.137244012263664	0.00112020364995518	0.0347649775663124	0.00956596758950269	3.96502004855972	0.118905639995588	0.00487686160086064	0.024869303189337	0.0013808575331519	6.02670030160807e-05	0.178434319824584	0.000277974692965702	0.209967634679527	0.00359086633029891	0.000243735627193159	0.00135901646974823	0.0146676960644363	0.0019309860341996	0.00959012149055861	0.000652536703297247	0.00896861194393085	0.001028224561164	0.0807228905404606	0.0057965991825837	0.0924985409950252	0.0583814902489209	1.17236979467317	0.00319487089774509	0.00147620640802787	0.00824118800486888	0.000407412721133791	0.285612809253963	47.7218424177861	0.289016209132323	0.42719586277582	0.00221274571151395	0.0005434069212048	0.0143136262313832	0.0852945926750744	4.99973244202944e-05	41.2296606713094	1.34877115631196	1.9514023429075	0.0267173940198158	0.0836169308758234	181.570289730022	136.827706865734	1.06445648552647
AT	0.122920304862093	0.000154071541401616	230.773854708377	0.000822731689298254	0.722445263131261	2.90377281253709	0.299633479165417	0.674309660301805	26.2786052757287	2.41958377781557e-05	18.4205285524358	157.290809042346	0.448409251384342	0.0369580224420745	10.4641249970787	0.0462111510275944	37.6914964482038	4.74017680229299	0.000759405189567847	0.0623259706810745	3.92040213955974	7.3478383676429	0.851095753459837	0.00921525724970582	47.8014526859594	-8.19213138365497e-06	0.00844047903235557	0.191752948510889	0.576645471183462	0.0554471811699881	0.0731850499263667	0.0417214291275791	0.0603097457365352	0.00425836100031273	5.19215898933691	0.0605902950579437	6.06056566623506	0.752078861371891	1.82523273858421	1.41160003939068	0.265608135730068	0.158939787856316	10.5593144601837	1.91781449164703	7.0185562291493e-06	0.000207100260162183	0.0578141742009462	0.473879840144998	0.00214331029314854	0.258258269362216	0.0267006270411386	0.00150854251004461	0.792564069290295	0.217843404906626	0.00217466355612758	2.91060233432101	4.41132738358462	0.309938205214067	0.261410635530492	589.850381867847	580.658053732531	550.393323337512
AZ	0.0184458517087977	18.4140716007696	0.0177358546392202	311.697676043963	0.0116966393487859	0.0096972758973535	0.0669177611182376	0.144662038677123	0.0124536914633921	0.236729396386325	0.0349281280145244	0.256912437904013	0.0447945854537824	0.00621981084663762	0.203838228409519	0.00541917402031498	0.0609798811000224	0.0218155138947288	11.0692529188872	0.151146198480641	0.0101630681665533	0.0557023825586572	0.00316380530529733	0.000221492265151193	0.255327101528461	0.010701021731976	1.10012362319637	0.0182637552500478	0.000847966356809406	0.00700218899501651	0.0650399910891233	0.00178148671063028	0.0101719456699313	0.000908174632890383	0.0208758054892463	0.00754771707449039	0.370665356982981	0.00949348706063031	0.307630374951171	0.0829394762653879	21.2867974195586	0.0233326348136111	0.00387902614207333	0.0219643214447134	0.0139962737281468	1.82341280812612	33.0144831029235	1.18411695625054	2.47095196089897	0.00246866990313004	0.0027435598976252	0.0109708435780584	0.100641948588238	0.00200322112087517	98.3789303127152	1.71368433620355	2.98034095149598	0.0433427648605082	0.044739378787698	507.946763743301	404.66689775615	2.22635369584348
BA	1.04490741509661	0.00521309472242681	8.59073502402977	0.00527261019491016	68.610732512095	0.511971573220915	0.9451076887429	0.770379837269626	1.16658369025146	0.000665389035912852	6.41473291237132	14.3152273118008	0.391892882218808	0.0143570560096032	6.38993567033323	0.0200789807622046	4.1649286050964	0.912485454741252	0.0177377167370408	0.549277267805532	24.9095808138585	17.9482738150105	0.133185295374149	0.00392425348623749	39.2841339764166	2.88787126614091e-05	0.00513317324325287	0.0673590933947673	0.062412721658241	0.024325877456101	0.132433760336426	0.588627050665695	0.178922896346574	0.025305203067958	1.17740553611095	0.0368357497271062	5.53732561923614	0.335062253826167	3.96553741612558	13.1231775936055	0.450527022709938	0.117287594502809	1.73298201646755	3.68771398072832	1.21730865019684e-05	0.000390250702830497	0.691433001168733	1.80958788078712	0.00132832465454253	0.0957023587746688	0.0107068962756346	0.00739946169341433	0.467011007326848	0.117338227161113	0.0093363434540839	3.9596809414179	2.43348289722648	0.148375544997988	0.0137073504256044	238.135216943757	230.872475915003	142.229287029403
BE	0.00233705588016969	3.67335103135556e-05	0.199950692620213	7.13996559375276e-05	0.0043482376610823	152.889659721579	0.00599882820129208	0.037136399194674	0.466887596070586	-2.16665364379684e-05	0.217945028693708	15.8067405506772	0.108132732311138	0.00178765960262716	5.21072169260454	0.00867762951348784	94.1383437233747	19.1981769873381	1.25754771251231e-05	-6.75429560349633e-05	0.010422677685393	0.0434144721254613	2.75718248816402	0.00354785507814586	0.539821164502234	-1.6498969377329e-05	0.000831965077444911	0.00612954495506361	3.71560307769467	0.00274103400948706	0.00152997497059777	0.000148393285619095	0.00144013919817284	0.000158293425175051	21.4693385757913	0.0297636638692599	0.456717424291291	0.336261938666351	0.0269533576091218	0.0390002378940626	0.000620704417774455	0.0401051255650775	0.0130210236107583	0.0232079426805954	-3.92114852058391e-06	-4.29513206177702e-05	0.00295780311623216	0.0275114246080779	0.000168846525429438	-0.0263140732873827	0.00521295572817884	-9.30354358938833e-05	0.0418527360649823	-1.21686188370648	6.07747297498087e-05	0.269563801735197	1.33752468819638	-0.0118750358057177	0.00194720397632507	318.246429944047	317.845411811852	317.2271241778
BG	3.92625373099803	0.231635427121259	3.28410183340109	0.557164561624277	1.58026906189662	0.570728497297167	167.333359510062	3.07137388444773	0.690157848445538	0.0437800133779738	2.84629944820779	10.0489321439105	0.274455876413968	0.0388188106932539	4.0577612702343	0.0516536031241462	3.13101341898188	0.819929652105843	0.725267176826385	17.7826762356217	2.6396167775607	11.3702524112398	0.126186134622127	0.00346028684488373	10.4439019805403	0.00199090999500314	0.562819807002252	0.271964276765673	0.0656783654599654	0.0871341782028042	4.57221575961126	0.0704598582021448	6.02209828810123	0.0171097350776219	0.909266570801591	0.0387031118086367	6.15842043409795	0.272799312144363	69.7266514678688	17.2189860039591	12.2100011689338	0.140601966001419	0.77062497730474	2.28040646541631	0.000413861535284823	0.135678891693069	41.1852897175808	21.3439367104264	0.307161295638212	0.0956549014492113	0.0275371960534027	0.0680873171940063	0.753877118486647	0.119028226665961	1.22120945283213	4.29555833334048	4.24762685448766	0.168753505228756	0.100575405826287	441.117371040792	430.019462729227	315.564125366535
BY	0.876270661344688	0.14936250001485	4.39812876833396	0.643514303922365	1.82773398663555	2.73689100611298	3.83884661849867	509.098859309198	1.26131487757415	0.00434628813451994	9.83360037590166	52.6173333216947	8.81008610413305	0.967061335958276	4.27505429466676	1.24353139793874	12.1164061884613	7.22692681030536	0.467751042413401	1.70551225039659	2.60701851557598	12.3990467298403	1.31563116557104	0.0184150208152457	8.38324184266651	0.00387468432677452	1.09621144152063	21.9204880216991	0.272269112793808	6.31193484710864	7.05991452610539	0.299107775482513	0.766146753150032	0.00414443365388294	6.32479162662663	1.2206901085172	130.508680106867	0.284531744871083	27.7092709808311	7.79121845442502	43.257127999561	5.93238472366695	1.10387751093691	4.81609741839542	0.00100633608439293	0.144888945670251	12.3058267962177	106.326904867633	0.397142841243131	0.367082399357216	-0.356235003130683	0.252859491287364	0.732771788592573	0.752783230199982	0.73739625125461	1.61940557445246	7.22167523753811	0.47156939590209	0.636307210253244	1047.1160323492	1034.6804167735	339.667133541641
CH	0.00559465254576636	2.25768169194149e-06	1.62876039167746	6.49262966269162e-05	0.0418063753909294	1.04506764811345	0.00251215537296996	0.0169332084705029	248.298819437693	-1.3738263906717e-05	0.279853084699977	20.6634090636963	0.0504711471404038	0.00128776256369233	12.5342005843681	0.00746904744071529	44.3294356237492	2.1964832248284	2.6776955276068e-05	0.00235718637231345	0.206603562107265	0.108032963072337	0.545680270420501	0.00250493621885664	33.4140630581925	-1.60593127943575e-05	0.000158274203526011	0.00680737858772685	0.153107151388386	0.00194650892957502	0.00144307635034986	0.00178940653011847	0.00138130979160526	0.00135858591793835	1.51825039855189	0.0202177774023194	0.259355975703742	0.690476487098191	0.0222495823147172	0.0376550603370399	0.0166532856932167	0.0149574753824175	0.303695441850134	0.0299859639908428	-1.22478514437874e-05	-8.95102952133554e-06	0.00368029427400064	0.0210528425505386	4.42651501264966e-05	0.195617227925178	0.0027979108566111	-2.58396553624189e-05	0.443392546126752	0.142865539452688	0.000674466721743733	1.75028122832878	2.56942499091009	0.202240703074254	-0.0454171175631805	373.749506546787	368.487654890609	120.017863985267
CY	0.025703485751596	0.00337009467246872	0.0147863600155631	0.0084855616319847	0.00672668825165244	0.00397425685674224	0.062802096951358	0.0131700425205474	0.00728166012080526	10.4340094308139	0.0125787323047441	0.0564619846194707	0.0015085801980223	0.00108890029747714	0.0910962725714981	0.000597986486576498	0.0368492043337695	0.00507730455984695	0.0112779594918427	0.208545357698315	0.011482368473133	0.0230708524114945	0.000971432528854969	1.94015929171971e-05	0.19418585272174	5.55937393638305e-06	0.0053478531096133	0.00140605966294828	0.000423094843883145	0.000614321682964219	0.00924636644111993	-0.000454922275383103	0.0111917135937172	0.00084261587207353	0.00727008299114136	0.000250766512101982	0.024350995669459	0.003816553917678	0.0716034567098063	0.0369827216397488	0.117620473430044	0.000800051071295204	0.00392144847243062	0.00578905045698335	9.21194435252498e-06	0.000955264004775323	5.26049519261677	0.111785925841567	0.0017482341317484	0.000765739766935119	0.000250435974873913	0.0111378266958136	-0.110917960246086	0.00081366489634787	1.43742904927871	2.15560121755051	0.381395125526258	-0.0278240290096711	-0.0521865966610975	20.7076084333637	16.9111439595911	11.2799247051932
CZ	0.0500888403629531	0.000282726657007821	35.8462270883432	0.00115635927799779	1.30864743872116	5.19784523944416	0.426550218371887	0.830856856214096	5.48360653721098	3.11503572082147e-05	210.718121296105	155.55468319421	1.76560064684247	0.0380136279222321	7.3546828591615	0.0747123680930367	33.3293949203141	7.82170961483419	0.00104033396382583	0.0467373267486255	5.06686218601235	13.1099596456118	1.10687075854474	0.0123083860310799	13.4335598017702	-5.42201078481351e-06	0.00979711876056313	0.178044857667642	0.87761023408187	0.064242542407459	0.162070520563122	0.0590713837351794	0.053145124971211	0.00170899875996122	8.87782424242333	0.201196319746503	16.3718946415273	0.474238278818394	2.79165053694044	3.21769607851537	0.400837900696732	0.450644858038884	4.52751685106014	7.34423334599738	4.37782743773423e-05	0.000405963816244466	0.0731933607386485	0.930533612467168	0.0033250607896486	0.258670675118794	0.123763669236176	0.00182175254214027	0.562585577519741	0.404423800566859	0.00254519798957681	1.68839943889249	3.65908716933432	0.256903473998914	0.224766992446903	552.833437357559	545.650469609912	532.851171330409
DE	0.0613919491410206	0.00179870554552414	32.5635508379686	0.00684641096442255	0.255870002897228	94.841847303315	0.147839787180775	1.71480940106552	63.4627880382217	-8.30172104636828e-06	25.0158542478816	2820.71028541946	16.6774168857746	0.181928456364775	44.2022176492951	0.419159418764327	379.056679676399	108.579042709801	0.00335351362068858	0.034770222239453	1.0687252373257	4.44046320588888	16.3712477759459	0.07008912055422	28.657034397397	-0.000124746003109341	0.0842995978280604	0.715775814870848	15.397540874155	0.293955584701127	0.126053921678099	0.0154228811771935	0.0442493251188267	0.00364832430572218	253.778844570909	0.892474532139866	33.5272015236018	3.2671118887492	1.85360018963956	0.955178993232538	1.37808428768237	2.1931139613152	1.435095726639	1.8908523829435	5.49406144178162e-06	0.00340844311771666	0.105614260564798	2.10502643638001	0.0201965711136063	1.73391445820843	-1.16292738252644	0.000292026263322681	1.46089187644867	-9.47038883238517	0.00831277580239593	5.74155574590456	18.4619845943742	0.543143585281211	0.137673465463545	3976.08608522405	3958.63163291122	3887.32479577111
DK	0.00188270000855826	0.000742137049002418	0.921820211550124	0.00345738464898057	0.0679401888750132	3.89320862561999	0.00803999491146874	0.58773358438	0.514485061696206	2.19356711527022e-05	1.88357372301424	75.4324795171689	174.657611171997	0.0488568033411094	2.11710828592256	0.110343528776193	12.0387069919184	16.55661658457	0.00134027195737138	0.00209039286781133	0.149443981103591	0.648945427020653	2.33140486926766	0.0024695816955138	0.567769769436239	9.5329669273148e-06	0.0373020437822035	0.462321381977798	0.198807573751261	0.154435658566672	0.05085631911695	0.00392758849266761	0.00232455720672042	0.000348062235063408	12.8031940876789	0.829302789737617	8.89358785860673	0.175824114292942	0.306138720423248	0.185957503011863	0.820218060565226	2.32694931431871	0.106393437923976	0.250031384677879	1.30022708027003e-05	0.0018535125496417	0.0429848232216352	0.797583551153101	0.0101332832774553	0.307619336225966	-1.12909631804209	0.00112962358754439	0.0816468054167888	-1.45252292268733	0.00520489638086502	0.334151820538338	2.32976355316661	-0.183898591099993	0.0354014970783725	321.337990586839	321.008590886273	317.04607340861
EE	0.020899099146291	0.00472884809148222	0.496987384431334	0.0282519543230471	0.139841730224277	0.71486058206371	0.113374005277804	5.2101882912244	0.283897357230404	0.000101638538504951	1.01385591012596	10.8577248020511	2.91263657353461	31.2082414609455	1.0696102010397	3.2946441519832	3.11254412435214	2.42992255090986	0.0158472517311797	0.071036468783434	0.163577740744076	0.847255422206391	0.324973514205283	0.00445153783637076	0.419373088587515	6.43069035706964e-05	0.0144674309031696	3.92378404616034	0.0432720656571333	5.57189238125896	0.112121790337345	0.0227884025823938	0.0302157080232818	0.000180946237607743	1.59786089998368	0.636756945471038	10.6401934305263	0.0765694913303266	0.851197969200803	0.576162700072989	5.21445216093557	4.55117071110672	0.0886409897189854	0.400726033855029	2.86505097014985e-05	0.00601361889901455	0.50918240122759	2.85991801504848	0.0122965842599138	0.101152871122	-0.112413584052492	0.0098435506908303	0.0668374776530038	0.344911740858993	0.0120955639735205	0.153698071960773	1.30955114830693	0.064822242765582	0.0349522288410291	104.484234681918	102.498783369798	86.7962085848161
EEZ100	5.94850756757175e-05	4.86996415127263e-05	0.0092673446211428	0.00019300669998306	0.000104496701274649	0.0818555930326155	0.000355426857547796	0.00321487116686984	0.00712143846416641	4.00170717359288e-07	0.0128888279734297	0.438630157543646	0.0322119406558257	0.000246119194995699	0.0363121353768162	0.00167739229669502	0.306576465963403	1.3443341492742	5.56250770195329e-05	0.000186275191164605	0.00100770947521708	0.00512685582090117	0.840973249893299	0.0300009246511406	0.00467837364999482	3.69899298518236e-05	0.000335111623130409	0.00215267594514101	0.00399485869621342	0.000431974597502471	0.00043161900322148	1.50805287165179e-05	5.13196308590511e-05	1.17785203828147e-05	0.182289814787703	0.023706150179799	0.0395815590741299	0.00596579916148575	0.00470481580500467	0.00255474028006361	0.00808645071272302	0.00596114314240157	0.000989569194716469	0.00205107263214149	4.88379899384551e-05	6.83102327801559e-05	-2.59734326328908e-05	0.00431267313611108	0.00028702698143462	0.0226053750663992	0.00162280706813741	-3.79524294985458e-08	0.00113349145566212	0.00983878020476091	0.000840853483448921	0.00443799746473647	0.881803815450129	0.00660800656099735	-0.000274825175254324	4.37378662644866	3.44517036282207	3.36446347854843
EEZ1065	0.0010285135629316	0.00128867531476375	0.144624124949274	0.00484175860409344	0.00562887726077195	1.13452081176103	0.0129284013088678	0.208441605098593	0.0989170612289683	8.96074618353426e-05	0.275078411470067	6.32596443901695	1.64827731864011	0.0104540992876084	0.513016516687413	0.0474851354682264	5.18582263869309	18.3265930792658	0.00149223745051924	0.00388534717155033	0.0142032412518952	0.103539898541453	6.56130947985362	0.83674077848836	0.0782876773347167	0.000777590171098503	0.0197465660248752	0.0699017761903474	0.0491704943874615	0.0160442664896739	0.012376719145031	0.00112667975924069	0.00212425096309709	0.000162600903185834	2.0854963795396	1.41261026233741	1.34645599664171	0.0573532584653237	0.11429647355067	0.0492132314729931	0.501460820628186	0.350315185937676	0.0129439755136132	0.0520759638120535	0.00111019991317411	0.0020428784889286	0.0302798231043928	0.3061733945227	0.0081359638259128	0.400173753001235	0.0865205941357848	0.000454363201751854	0.0193377427746115	0.299753789003234	0.025610042276146	0.0696783544340258	13.1416068890872	0.125706099339523	0.00854988545077571	62.2232459996652	48.0458544869609	44.5402965995949
EEZ1071	0.00293337787177426	0.000968940075365089	0.188139006534913	0.00332766001587462	0.0217826387984051	1.61959674244158	0.0590809104560353	0.186778254684709	0.238996931041576	0.000196709455706867	0.51243215552777	12.1970709968272	1.54687500593666	0.020928947234604	1.10199687140879	0.17017553170962	7.27720375938925	18.3863776618712	0.0014139337568386	0.0111990690187775	0.0328940987049085	0.204680995322273	6.52378884252004	14.3531286693271	0.15543635987338	0.000364475711474748	0.0241517907588838	0.0823245366854706	0.0942796361442117	0.0216821528520904	0.0253593929497402	0.00316535636630126	0.0090076058560614	0.000163936423538722	3.93445210530704	1.49206405205771	2.36601924281906	0.111644543666643	0.244338451766605	0.215010781583451	1.07209592178625	0.381461912696028	0.0201964863555876	0.10781415151124	0.000512977054785207	0.00172159913359758	0.073257432833	0.57558560397981	0.00556220866606942	0.584920903530423	0.162571326818318	0.00120740141240377	0.0397023066919031	0.970097144202213	0.0268549038395793	0.2105216830599	70.8378706333185	0.503315534164027	0.0457772141649883	149.062479475971	75.679640424769	57.3724508204602
EEZ108	0.00696159363724719	5.02655101779674e-05	0.460042264430468	0.000107425194482702	0.0217540552297912	3.874757378112	0.0188424046257412	0.209613047011695	0.400090018650049	5.91001231130455e-05	0.438899408502794	11.0146164329025	0.953538454985878	0.0163787588078139	16.5840319773164	0.0633972523605841	43.146613070746	35.7310774272373	0.000192977027456373	0.00803979564095957	0.0453767279421707	0.151802941598071	135.37267041843	0.285544654955508	0.612651308038422	4.10588782085009e-05	0.000524434838632529	0.120154944838157	0.256627880449706	0.0642836553461778	0.0156166983281751	0.00339170537149247	0.00429490189043136	0.00135110182562403	4.53634351880465	0.244234000804423	1.9195316837638	2.63727278504476	0.141531663715971	0.126688943804317	0.134149086279197	0.341561569512595	0.0410054967068229	0.0541882259103201	1.11364630279277e-05	5.02373954148012e-05	0.0197445449486655	0.236863257933852	0.000119528597549244	-1.84649966043948	-0.0274370784833598	0.000288975348180005	0.340835150901182	-0.552345964536341	0.00275921386746238	2.80571677206363	41.1353322522168	-2.39524727801713	0.0581629535058421	299.838256556895	260.316691220469	258.606647647719
EEZ109	5.48567949826829e-05	2.30748626946782e-06	0.0134998114994454	8.07327535158644e-07	3.22689784245255e-05	0.301198357713723	-5.97047255819974e-05	0.00497512922952836	0.0368683705723357	-1.45461766297619e-06	0.0282215202742889	0.824481113521578	0.0104920662443889	0.000318241679467726	1.6299866793823	0.000582385692964618	8.84777807667752	4.01165001848065	-5.81010971373568e-07	-9.74091585047233e-05	0.00139693650065207	0.00407903396490434	1.18473175975073	-0.00073129546975034	0.0903757332762337	3.44399822254976e-07	-2.89234337008869e-06	0.00191847047194435	0.02308176486355	0.000742271384423133	0.000279574905817242	-7.16799639693151e-06	-6.76540118833072e-05	6.9391084429808e-05	0.33229073164766	0.00685772628042723	0.0759862012194533	0.13755242823791	0.00169338350325668	0.000358522938030617	0.00237385909620176	0.00170673876939202	0.00304664127684043	0.0030575867694236	0	8.00703948363662e-07	-4.40674046558949e-05	0.00519271452299242	7.15051486777763e-07	-0.163995525784636	-0.00381843091706513	-2.88964017978869e-05	0.021662831001577	-0.215038743795782	1.7936931764707e-06	0.0869388330075226	0.409828218756767	-0.105271956564714	-0.00569931623769551	17.6105019221935	17.5859231154362	17.5297787753854
