	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	55.226278554855	0.00133212815438051	0.330336155506754	0.00561988445928812	0.63952844734103	0.0703586303603155	0.842396929109136	0.117143354940478	0.131731438883245	0.0110088129360214	0.378643610742578	0.675336090561073	0.0150834750749032	0.00235809407282663	4.25572515410429	0.00600165645395397	1.69891000096067	0.0747701144693293	0.00870608235200177	6.34210810020078	0.807476549896007	1.12134047345515	0.0257322533730347	0.000338076140729818	12.3224205083408	0.000105360134359953	0.00277646180129211	0.0198085847299395	0.00797595434669305	0.00522922500952367	0.104201760398702	1.04620773605617	1.52367639243824	0.0806119764704561	0.0702363405513123	0.00469527095985173	0.345004861718035	0.202209742397799	2.16898774765584	9.64988887843408	0.345334113348527	0.0113521855648541	0.113423562391533	0.303608065336418	8.15709810503888e-05	0.00266575417925788	0.687759869796826	0.649324378592758	0.00219799745409541	0	0	0	0	0	0.0154464505283843	2.86192028083291	0	0	0	105.335415098853	102.458047910564	32.2336847104319
AM	0.023044119532986	37.5663146141761	0.00771511755537306	19.8485284401209	0.00877118804744873	0.00262829299926648	0.0458131112748117	0.0439739374521518	0.00491643485910751	0.465438447262149	0.00982194508657436	0.0417846054539858	0.00415351628791604	0.000964602177822621	0.172055575202961	0.00207413965874257	0.0438421969470172	0.00522400510102612	5.09375566290182	0.266457415119342	0.0131542192024059	0.0207397064620103	0.00184526389547751	9.51870136618941e-05	0.173291627601671	0.000530929232051434	0.0827614627289928	0.00671157157517446	0.000268548765868812	0.00218142820083109	0.023044604446141	0.00307340806738484	0.0156593849477386	0.00316053402046044	0.00575216928799056	0.000666931396700704	0.0776464746411205	0.0125429501971639	0.133928564821855	0.0649390790122376	1.26362797471645	0.00324467974231738	0.00333122329995151	0.00596722105087856	0.000374370581966935	0.652511575046867	49.3204019029551	0.323316960393102	0.247242401805981	0	0	0	0	0	26.675324777988	1.03117440495324	0	0	0	143.825788905268	116.119290651527	1.52651514680346
AT	0.130857588606852	0.00126576831506034	248.948449777353	0.00447550544106845	0.928293995895538	1.98964391432592	0.547880466726042	1.19773441340022	23.5877433140736	0.000269046349509932	23.5851830807239	112.114106534204	0.580588171781163	0.0264328901923291	6.1232270336768	0.0453971097007157	22.655977997191	2.03785881193743	0.00699722742906198	0.394116993575434	7.05106137431782	9.16539831384267	0.487445805097426	0.00240753730075864	53.2219678178834	0.000118755099648875	0.025283805149002	0.267002694752721	0.347299121166712	0.0713237967134374	0.0459272678226595	0.0663259033334185	0.157005021557564	0.00729623417404187	3.55743940679575	0.0759436561679029	11.5886332189133	0.404443073014391	2.19796581111155	5.08168577177103	1.20417012102384	0.240334258777861	13.2039231750952	3.95209222022385	9.90047917923934e-05	0.00210992251687659	0.266170327576927	1.03962883903858	0.00342396441546344	0	0	0	0	0	0.0100583873267678	1.18905705279165	0	0	0	559.839541300463	558.640416584619	522.774900107408
AZ	0.0350624615258508	11.2826487277662	0.0227015343045674	241.029420250417	0.0148889333878573	0.0126162987568485	0.096806114380575	0.211227013849454	0.0109065681913027	0.483886348714786	0.0357430321480552	0.163712230710923	0.0202655549735006	0.00549418849272309	0.193919415067106	0.0110278914687665	0.0795387348049953	0.0194096915177596	16.6708363509414	0.356190200780811	0.0244860180726822	0.0494762569241048	0.00543031163300482	0.000236015172305777	0.267184419850446	0.0111684925034618	0.620795540728401	0.0305830544093644	0.00089007137854678	0.0096859707614311	0.0749410161619138	0.00534234593715242	0.0269925092497401	0.00392704498640024	0.025218987602439	0.00366250274312752	0.312696099736819	0.0124151893632969	0.409643828762178	0.123895706308683	20.6311204822255	0.0171956114189551	0.00755130437804926	0.0163754646555028	0.0141795823194887	5.31552667846005	42.8935960170379	1.76277089218688	1.95500626599503	0	0	0	0	0	64.8133616772612	1.42581601122029	0	0	0	411.627472911645	345.388293229774	2.67466118719571
BA	1.11183885083728	0.000908990733141376	3.77820161901902	0.00344319285920544	51.9143228986729	0.276722188527466	0.768666269463524	0.500613152056205	0.340658810041906	0.00233513542670224	4.71755047444704	6.37609987486818	0.141335244284946	0.00490576978008048	7.67607469713818	0.0227802063776959	3.89603800860831	0.390456002439866	0.00466166132776761	1.04968454728195	23.2191712829759	13.35289303439	0.103104896877923	0.000808801442968598	27.442982544108	0.000189953515153866	0.0109072392153718	0.0975274783380405	0.0282499699151995	0.0248696029265428	0.09075936540648	1.45546992785175	0.266165341979713	0.056505762741919	0.64895059263453	0.0244208530088935	4.10101060480777	0.394267142971468	5.45340119577563	23.9836998478652	0.867663354204292	0.0883686545274254	1.14564390553308	3.06838429333769	0.000158385272453116	0.00296410616290385	0.533695345024276	1.38467067048219	0.00288383580745825	0	0	0	0	0	0.00946009355277115	3.6623548245621	0	0	0	194.498900501406	190.827084905213	107.935725298208
BE	0.000777376254297874	3.55751977568619e-05	0.81214306006074	0.000180590109674034	0.00559511794530979	175.198861005487	0.00057253708842042	0.298349818675318	0.890070482385168	7.87055103936672e-06	1.15790800285196	24.3889344771459	0.388123971552664	0.017666896375978	3.24616355531234	0.0217691753367645	101.659490604417	15.27009884615	5.47563146282531e-05	0.00104159111651287	0.0302541933548329	0.0719819026880672	2.26501122741839	0.00517321502039669	0.657329825194766	1.50700485386667e-06	0.00352295207188352	0.157805730984047	3.40406432966616	0.0407973668813972	0.000228886843407305	0.000332478918781953	0.000325469941483365	0.00087836128053573	28.2401332443756	0.0529142924153999	3.42889803466302	0.278811570272881	0.0103917898400251	0.0195636842289563	0.224143152818739	0.10084290470157	0.041021843756226	0.0478026575687105	2.01050236201303e-06	0.00030133989574515	0.00141603267665427	0.067409258549751	0.000689516405091229	0	0	0	0	0	0.000794580703799795	0.13698139589425	0	0	0	362.647670066866	362.509889744796	345.66870782765
BG	4.30989165177546	0.0231549026487018	1.48646195900339	0.14912660861605	1.3301849248648	0.297930406600128	120.300899360414	1.88248772397093	0.320893001662302	0.0698635321822383	2.21753988258176	4.73280923932027	0.186886037579025	0.0598639083579904	4.11240568833665	0.121614244389311	2.26654252664933	0.337281878472867	0.168492283421879	23.6201677879368	2.07367151469134	6.64762659996843	0.0977826738877415	0.00196531922323103	10.6234534736264	0.00339107548254197	0.143441931280479	0.331439642544478	0.0361197843233806	0.131742017940105	2.89761746611329	0.584134869615595	8.00401078794114	0.0543127068326377	0.398346641922735	0.103270960088447	4.76256426312939	0.234247095536071	73.1301883382582	33.1416896971058	12.6244886482754	0.20202848230254	0.383938440142762	1.93464807244885	0.00272280700310164	0.114830731813573	19.3729151503278	15.9214323005337	0.116086751587052	0	0	0	0	0	0.591527799090706	3.98873236866312	0	0	0	366.648865960484	362.068605971079	260.515094089944
BY	0.503150651862665	0.0416472799052501	4.00685751494557	0.263766050019836	1.68509833939279	2.50440062538447	3.73393300432563	346.730631966147	1.39848135975871	0.0366053783285575	10.0227470028169	45.8944147877653	7.21596722224197	1.41251978854322	3.98001088806068	2.16522969624487	9.28487805493777	4.88695177470897	0.358145835814799	2.26782129642485	4.24644039744968	13.6324268676819	1.17192929499261	0.0139411485380905	9.08447097094372	0.00693477968238533	1.0282200549586	24.790124342207	0.168087783853278	5.14031163351528	7.36730033197653	0.209190798473183	0.603742985806074	0.0125073166944935	6.03268564067557	0.80022101625281	142.313963733693	0.225259232418648	42.8852639382516	12.6507913852988	68.7349326662499	4.33746379002123	1.48835804537236	5.90687972904046	0.0041835218281276	0.321859053087487	10.2709241131264	94.3328965966681	0.647428794716421	0	0	0	0	0	1.14357962304692	1.20659471670423	0	0	0	909.172172820855	906.821995411326	353.961558395389
CH	0.00945649727764823	9.73634854867914e-05	2.77830275312929	0.000322725125903668	0.0317139703250898	1.16007633878019	0.00404486260635411	0.0386816356438313	274.097442144291	5.21790834516593e-06	0.544106019080193	23.3386785547394	0.0657766382782666	0.00189981715386396	7.59262420927908	0.00252622097297945	43.6626757730289	1.73438024358123	0.000234498742660814	0.0257512788316269	0.171640124768101	0.131090641850384	0.47771321842569	0.00237073773953352	28.7759745311094	1.31537485637704e-05	0.00221742882767713	0.0239058695929755	0.223887237606117	0.00590064281693115	0.000910286232308441	0.00321179951536783	0.00419180536953026	0.0024769316395702	1.21372781033913	0.0203716229759136	0.626839740962309	0.455402589483527	0.0310554109340443	0.0750463669258067	0.055093559367859	0.0211649893922492	0.161887454148346	0.0467611218322995	1.09998798548862e-05	0.000246035863687048	0.00520977063379068	0.0437886680518896	0.00038872934534163	0	0	0	0	0	0.00115125607848754	0.769326859789863	0	0	0	388.441774157508	387.671294850312	111.545896236411
CY	0.020688296402346	0.00419961555797195	0.0121555233476228	0.0134886910431681	0.0134132561683204	0.00145741377468713	0.0397468367575153	0.0120499433557837	0.00425666406599063	12.6772572133943	0.00934707288103466	0.0239128020255667	0.00105516884328203	0.000245080167002053	0.0803137392324929	0.000581897467938025	0.0408246348616266	0.00270347660937666	0.0227438763603012	0.302584756148431	0.021714491445565	0.0187783176476926	0.000967723398545156	2.82529083058129e-05	0.20243561794243	8.08683672767062e-05	0.00327941171404092	0.00175396920519819	0.000181240726438511	0.00056264220948428	0.00995499118029118	0.00401250277826156	0.0171095188402402	0.00197727021693216	0.00253714278591762	0.000179368963495297	0.027807878195229	0.00307946803850873	0.0878668049171051	0.0773073013810632	0.314778786784404	0.000919156446695831	0.00554238963104355	0.00493804058320035	6.18802864891368e-05	0.00672816736652918	5.701002159862	0.112195991932571	0.00634846797457771	0	0	0	0	0	1.36272476842711	0.509396497177497	0	0	0	21.7892770477989	19.9171559265184	13.570544401889
