	AL	AM	AST	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	EXC	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	KZT	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	RUE	SE	SI	SK	TJ	TMT	TR	UA	UZT	ATL	BAS	BLS	MED	NOS	NOA	BIC	DMS	VOL	SUM	EU
AL	5.69523677866667	0.00869898613333333	0.0075658304	1.54995397973333	0.00806132373333333	1.7659875328	0.4075495424	2.7498094592	0.0671700352	0.416041949866667	0.0028340104	1.11013533013333	3.39357586773333	0.169732608	-0.000664320466666667	4.8748560384	95.1147220211959	0.0536580437333333	4.43803948373333	1.54443557546667	0.00343392026666667	20.5103868586667	1.09364258133333	1.402783744	0.107997841066667	0.0066748784	23.1229248853333	-0.000448253333333333	0.00568811306666667	0.00139403533333333	0.035906048	0.0279673664	0.0190380437333333	0.0522672384	1.91246800213333	4.00121501013333	0.161538935466667	0.483225053866667	0.135957538133333	1.93636911786667	0.231256132266667	1.89464835413333	6.9308923904	0.539747191466667	0.5321099264	0.0829885952	0.306491221333333	0.440151893333333	-6.01472375e-05	0.000297536366666667	0.721794798933333	0.704724104533333	-0.000427854533333333	0.557345826133333	0.2869266432	0.181445051733333	24.7458059605333	0.843117568	0.3052053504	0.836397192533333	0.0035629064	0.2387843584	123.666314013462	71.0575897091333
AM	0.0092300128	10.2451511296	1.75777573546667	0.0832841045333333	6.5966358528	0.00710681333333333	0.0452425045333333	0.0845214122666667	0.0390904832	0.0254299136	0.0400124757333333	0.0720585386666667	0.273957000533333	0.0271732970666667	0.000781078133333333	0.0939892394666667	32.55587803855	0.0141600586666667	0.196006434133333	0.2082710016	1.00899068586667	0.16595712	0.0206433450666667	0.0780210602666667	0.0136002592	0.00173287666666667	0.2953458688	0.000223482466666667	0.123645038933333	0.2625914368	0.0126834197333333	0.00306524746666667	0.00729159573333333	0.0144000821333333	0.007591648	0.0160101824	0.00162141093333333	0.0581621589333333	0.0299504149333333	0.221372501333333	0.007407016	0.1764403712	0.0372498602666667	1.74372140373333	1.77952098986667	0.0209668245333333	0.0130848362666667	0.0343818453333333	0.000191427683333333	0.167691093333333	9.61588647253333	0.3181336576	0.103567496533333	0.057785984	0.0442012842666667	0.1438654464	0.4768802816	0.100063650133333	0.0302899370666667	1.58927899306667	-0.00316077493333333	0.0903767722666667	38.71060179055	2.24885868106667
AST	0.527894084266667	21.1806191616	246.190685115733	4.23263819093333	63.2136400896	0.2241031168	2.39574166186667	4.2969980928	3.76833529173333	1.35235065173333	10.3476254037333	4.19676596906667	16.4483006464	2.20979664213333	0.126363264	6.66355903146667	1141.63064843947	2.26858748586667	11.4423463936	14.1821345792	4.6442315776	13.0010578944	1.05339508053333	4.11859626666667	0.8831889408	0.144464110933333	14.5015876266667	10.7067168085333	35.4901273258667	161.156257109333	1.14150270293333	0.163650679466667	0.701938141866667	0.947844437333333	0.391055701333333	0.875203310933333	0.106813312	3.48458980693333	3.02266258773333	12.7625232384	0.5364955136	8.51523775146667	1.95754448213333	232.9067126784	239.5577778176	2.2949666816	0.6623686656	1.91194794666667	25.5817984682667	25.027608576	318.456900266667	32.8101090645333	81.4328141141333	4.32139851093333	4.34875733333333	5.66204880213333	75.0616051712	6.7878060032	3.24059927893333	259.326563669333	-0.213057672533333	1.4162460672	2016.1701407232	143.597322530133
AT	0.0656225450666667	0.0138598965333333	0.0119272714666667	60.8561659904	0.0116411541333333	1.1394289664	7.90305068373333	0.755590894933333	0.7032041472	10.2944560469333	0.0018075048	17.8379598506667	82.4916661589333	1.10354056533333	0.0508406314666667	10.2280364032	355.162329001292	0.267659605333333	34.149466112	11.0387888128	0.00946405546666667	0.6445774848	3.95554925226667	6.80396772693333	0.444460817066667	0.0286133674666667	55.9822973610667	-0.000126894241666667	0.044609472	0.0371564032	0.329670724266667	0.601910135466667	0.134509806933333	0.104204040533333	0.156410282666667	0.121874875733333	0.0189097024	7.70001906346667	0.6835585024	17.2930017962667	0.663919547733333	2.792787968	2.01380017493333	2.30890072746667	2.31419849386667	0.681023624533333	8.19068545706667	2.21288420693333	0.000166303933333333	0.0026129816	0.345686528	1.97958587733333	0.00216336333333333	1.84340821333333	1.93955048106667	0.127994948266667	8.60622957226667	8.9281200128	0.141768593066667	5.96724012373333	0.00282437173333333	0.1527896576	385.237692446092	331.179198636533
AZ	0.0185109973333333	6.26500184746667	6.9760909312	0.219162094933333	37.0651605674667	0.0202865429333333	0.134683323733333	0.209297271466667	0.1954113024	0.060304576	0.0525289770666667	0.2257071104	0.887458816	0.106856362666667	0.000779307266666667	0.1980713984	91.3232174352667	0.1010786048	0.523748113066667	0.738319837866667	2.38143269546667	0.306652501333333	0.0500932437333333	0.226501563733333	0.0460819541333333	0.0090324256	0.5458510848	0.0097407104	1.50322899626667	2.49538914986667	0.0571572864	0.00850497386666667	0.0369705770666667	0.0549859541333333	0.0169369237333333	0.0314054336	0.0023792016	0.1800800256	0.159664366933333	0.7511957504	0.0193389077333333	0.529429367466667	0.0914273877333333	19.7905525418667	20.0319762432	0.1147489792	0.031825184	0.104427997866667	0.00378261066666667	1.060558848	12.7018576554667	1.53781302613333	0.703608354133333	0.2851197952	0.1961001984	0.4030078976	0.766939272533333	0.331110434133333	0.0567190016	5.28618728106667	-0.0109499008	0.186274321066667	127.0935982054	6.35883657286667
BA	1.21624876373333	0.0121487765333333	0.017199712	9.69397152426667	0.0128533877333333	20.4622288213333	1.75304157866667	1.93728580266667	0.2846383104	1.6497778688	0.001922516	8.37673888426667	18.041634816	0.637247146666667	0.0145047050666667	9.33571351893333	216.626167127183	0.159564168533333	12.0994267136	4.58570246826667	0.00962974826666667	4.76576699733333	9.5996936192	11.5748689237333	0.2416786944	0.0138178101333333	51.6721737728	-0.0007693594	0.0148148512	0.00284566906666667	0.134825130666667	0.1170316288	0.0705509589333333	0.107563895466667	3.29977719466667	0.969481557333333	0.081979904	2.4387616768	0.313358848	11.8782645589333	0.3764094976	5.09508266666667	14.3154107733333	1.6901042176	1.68194880853333	0.221540829866667	2.1728448512	2.9428965376	0.00020609965	0.00238522773333333	0.450353698133333	1.80029958826667	0.000837548	0.980767266133333	1.10492603733333	0.158474052266667	21.5873333930667	3.3434189824	0.220021179733333	1.02278669653333	-0.0404415189333333	0.1212349696	246.846806966117	160.421430472267
BE	0.0045489344	0.0046737392	0.00450777066666667	0.723270929066667	0.0098215616	0.0238704490666667	22.0270384469333	0.0528032128	0.107266039466667	0.3975169024	0.000344523033333333	1.63655161173333	17.2448219136	0.7333292032	0.0228125184	4.96920876373333	129.354894377883	0.125973205333333	38.7778958677333	26.2266443093333	0.00719455093333333	0.0441075114666667	0.0436089941333333	0.3041410048	1.24031481173333	0.0569232384	0.7658651648	-9.63616583333333e-05	0.0281274133333333	0.0312712469333333	0.0860143104	0.356263970133333	0.0456201685333333	0.0106701344	0.00633971146666667	0.0078329472	0.000379138766666667	8.33270360746667	0.491262020266667	1.96011322026667	0.433764181333333	0.2055169536	0.0542869205333333	0.726799428266667	0.741728802133333	0.3532009472	0.0749489749333333	0.1744641536	0.000120179475	0.00207961573333333	0.0595512064	0.374333576533333	0.00197734493333333	4.4462350336	1.15521850026667	0.0110792085333333	0.482159991466667	19.9362215936	0.0115903914666667	6.10938115413333	0.3500553216	0.0229830698666667	162.639253254683	126.918112623933
BG	2.47785417386667	0.1413852416	0.143033506133333	6.1910925312	0.123171447466667	3.76803628373333	1.76841263786667	96.3781765802667	1.3053771776	1.14333402453333	0.0600248149333333	6.9176868864	15.327526912	0.985089979733333	0.0718247594666667	5.13030007466667	388.177499246067	0.389966404266667	8.45434497706667	5.87219217066667	0.109121501866667	38.7140419584	2.3562305536	9.65598685866667	0.3512444928	0.0247990848	21.5923884032	-0.0015415784	0.302930500266667	0.333605956266667	0.3969000448	0.1154842624	0.201240064	1.79307410773333	1.80235659946667	6.4165117952	0.101275767466667	2.179940352	0.728760388266667	15.0670387882667	0.294370338133333	53.2666034858667	18.510544896	15.3989098154667	15.3898101418667	0.561181661866667	1.0646837248	3.3419280384	0.000677918866666667	0.0115545269333333	15.3447093589333	21.9369876138667	0.0101910624	1.266321408	1.67453928106667	7.6077203456	23.6050557610667	3.44879704746667	0.4812235776	2.61140288853333	-0.0636576810666667	0.2618409472	444.9156166434	294.4509469696
BY	0.2956363776	0.196717192533333	0.2525139456	11.1711748096	0.2751155712	1.61843718826667	6.42165254826667	2.64338691413333	43.5825322666667	2.85815575893333	0.01841888	23.7942363477333	65.4832041984	11.3741594624	2.97948064426667	6.7108077568	649.585466518666	6.599581696	22.0528203093333	26.9023095466667	0.167424682666667	2.266646528	2.9994606592	12.9177976832	1.0539333632	0.0969430186666667	16.9755082752	-0.000965517866666667	1.20441801386667	1.3388967936	16.2322208085333	0.3607825408	4.8834510848	1.86974030506667	0.420974933333333	0.415616955733333	0.0117815701333333	10.076258304	5.03830719146667	154.512584430933	0.530864264533333	15.593947136	3.71953636693333	80.9621433002667	80.9658832213333	8.17484485973333	2.02062615893333	8.20209691306667	0.00202046746666667	0.0570366848	4.67664622933333	58.9424973141333	0.0842758229333333	3.88924429653333	25.7167698602667	1.25871691093333	4.3847974912	20.7958725973333	0.118011392	8.0864886784	-0.1224319232	0.206888942933333	796.3389000248	439.964577034667
CH	0.0095083712	0.0015260736	0.00102231293333333	2.87331259733333	-0.000645943266666667	0.0714561408	3.14068800853333	0.079508736	0.0821742250666667	16.8433035946667	0.000146529	1.3627486208	22.1506240512	0.274315810133333	0.00966180906666667	11.7070976341333	148.611982120229	0.0743579989333333	41.1949902506667	5.55475981653333	0.001128244	0.1019613184	0.283554798933333	0.3645346816	0.311088366933333	0.00847292	35.7092666026667	-5.94478666666667e-05	0.00756328426666667	0.00625975573333333	0.0518579157333333	0.246943982933333	0.0192223616	0.0120329322666667	0.0196350976	0.0200208533333333	0.00414683093333333	2.5192374272	0.1886370816	1.217886208	0.668224512	0.217022139733333	0.1026274304	0.342494549333333	0.3465810944	0.159310045866667	0.340473275733333	0.1261870848	-4.15652791666667e-05	0.000134099991666667	0.029522848	0.106413192533333	0.00016570605	1.45469044053333	0.3381769216	0.00930038613333333	4.52145097386667	3.7648900096	0.0541861333333333	2.87968570026667	0.0009074726	0.04465984	162.031010144696	130.479574616467
