	AL	AM	AST	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	EXC	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	KZT	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	RUE	SE	SI	SK	TJ	TMT	TR	UA	UZT	ATL	BAS	BLS	MED	NOS	NOA	BIC	DMS	VOL	SUM	EU
AL	55.5958228309333	0.0134725184	0.0410037930666667	0.7471157248	0.0295142869333333	-0.565595409066667	0.0889992448	0.200631364266667	0.0882199978666667	0.323535598933333	0.0019795936	0.292706474666667	1.66603229866667	0.0411005824	0.00275389333333333	2.9725351936	103.243358779527	0.00351170586666667	1.73302606506667	0.225279573333333	0.0179761813333333	10.5465271637333	0.7481194496	0.897612868266667	0.0356298794666667	0.00122830506666667	12.0152326144	1.31438697916667e-05	0.0828894976	0.0895212373333333	0.0201084885333333	0.006800168	0.00319481466666667	0.111702340266667	3.3666228224	1.2764889088	0.0860424192	0.127864772266667	0.00536284266666667	0.4922674176	0.123512840533333	1.60174885546667	6.11848137386667	0.2291162624	0.229580424533333	0.0170259626666667	0.183642026666667	0.298194705066667	-5.73874270833333e-06	0.00295715066666667	0.772264072533333	0.584976384	0.0020233464	0.0516442496	0.0133588192	0.00632885653333333	-0.605565201066667	0.0830779221333333	2.56019770026667	1.16646188373333	0.00183901506666667	-0.341650090666667	106.532061487394	34.4310767109333
AM	0.0220806208	47.1892972885333	24.0273675605333	0.030840768	26.181271552	0.00393422906666667	0.0069988864	0.0842906112	0.0573367936	0.0189112277333333	0.055042304	0.0255531797333333	0.1186448128	0.00916554773333333	0.0048657216	0.0882537898666667	115.253008533679	0.0034338384	0.0539988992	0.0141614357333333	4.2107101184	0.119541358933333	0.0218178709333333	0.0396726229333333	0.00245657466666667	6.50340458333333e-05	0.206362248533333	0.00182943946666667	1.1428179968	0.999927261866667	0.0119746442666667	0.000557000166666667	0.0038201104	0.0202594709333333	0.00755833066666667	0.0134343829333333	0.00139780133333333	0.0101573717333333	0.000305847533333333	0.125747413333333	0.00464153546666667	0.20512384	0.056743616	0.839721984	0.813901277866667	0.0057803792	0.0078353056	0.0216000917333333	0.0008034858	0.3266153472	33.8964206933333	0.1553347584	-0.0074682064	0.000870194133333333	0.00767228746666667	-0.00889884266666667	0.0658819754666667	0.00639139306666667	0.212785749333333	0.968383556266667	0.0112697621333333	-0.733026304	141.794245846212	1.26191809296667
AST	0.569702843733333	19.5777746261333	2691.44405224107	0.867763268266667	74.2965815978667	-0.172716168533333	0.3127605248	0.348731630933333	2.34270774613333	0.667197371733333	1.29539659093333	0.9003165696	4.30868780373333	0.3122581504	0.0914543104	2.8660391936	1075.29194997067	0.118968994133333	1.940647936	0.534476526933333	11.9509363370667	0.2670907904	0.605075319466667	1.2942876672	0.0686396458666667	-0.00495665973333333	5.3323907072	20.2931787093333	438.670266641067	531.533275682133	0.385429879466667	0.0188751189333333	0.112747451733333	0.809053047466667	0.130745557333333	0.0189608277333333	0.014301312	0.444333294933333	0.0329000128	4.44046759253333	0.152628667733333	5.71812304213333	1.08280674986667	80.1751083690667	83.4460188672	0.185382075733333	0.202536567466667	0.6203154432	38.527107072	49.0386445653333	151.382934596267	7.22739309226667	48.7815774208	-0.0675793621333333	0.223362850133333	-0.188906939733333	-5.28617253546667	0.2702746624	6.4736608256	68.4684563797333	-0.4725429248	-21.4871703552	4333.5147598224	33.1550507562667
AT	0.182165691733333	0.00794888533333333	0.0092054016	172.990922752	0.0183687381333333	0.7052627968	2.5740591104	0.466627413333333	0.62713856	31.0719348736	8.94946458333333e-06	12.8818981546667	158.3329837056	0.7819710464	0.0364073941333333	10.3081181184	550.172740318631	0.0528437973333333	21.8086156970667	1.83552395946667	0.0121338976	0.458523716266667	4.84571108693333	8.47230948693333	0.301436381866667	0.0063720304	81.2100354048	9.91813333333333e-05	0.205450683733333	0.2210624	0.197594112	0.4205582336	0.0514546474666667	0.2423120896	0.155287995733333	0.0851625045333333	0.0108056437333333	4.68438930773333	0.0758303317333333	5.7046745088	0.6397202432	3.66709336746667	1.34092854613333	0.723869832533333	0.725992448	0.299035613866667	15.8283661312	4.537573376	7.10445e-05	0.0021342964	0.137417975466667	1.15346705066667	0.0023876208	0.3721957376	0.0876827477333333	0.00432596293333333	1.05438426453333	0.0639929216	0.781276637866667	3.79193562453333	0.2895440896	0.0424554496	557.599059672498	508.553550273198
AZ	0.0404100821333333	16.4321383765333	30.9142683648	0.0668295168	159.948070365867	0.00872861973333333	0.0199638656	0.1964281856	0.158933521066667	0.0391690581333333	0.0926242304	0.0718655829333333	0.300708078933333	0.0184661184	0.0109879306666667	0.1479985664	235.9725734617	0.0171281386666667	0.1151881472	0.0390952362666667	8.22255179093333	0.274714555733333	0.0451050581333333	0.0963911850666667	0.00444203413333333	-0.000263336633333333	0.351966685866667	0.0169772832	7.8982365184	8.09078019413333	0.0274104405333333	0.0007782234	0.0083582928	0.0583549141333333	0.0163942090666667	0.0409136341333333	0.0019252632	0.0271277333333333	0.00419393946666667	0.366875409066667	0.00728541546666667	0.519750144	0.147061538133333	12.0661551786667	12.1579492693333	0.0135579232	0.0159466986666667	0.0510070613333333	0.0130853386666667	2.0153069568	24.7522044586667	0.6825029632	0.2171845632	-0.00770557066666667	0.0193366421333333	-0.00729321546666667	0.1659375104	0.0163775274666667	0.380063778133333	2.29841169066667	0.0357323328	-0.846918997333333	288.9051752217	2.86482066366667
BA	2.20836440746667	0.00984224213333333	0.0540818944	6.97657535146667	0.0344600448	39.4274013184	0.399224354133333	1.487570944	0.2391232512	1.8346565632	0.0004875817	2.701410304	10.8454718122667	0.251019144533333	0.0114901365333333	6.1810802688	193.338515550117	0.02648944	4.98501659306667	0.8040835072	0.0174448245333333	2.77222632106667	30.5967005696	10.8842079573333	0.0938823936	0.00240003466666667	38.1312958464	4.17274666666667e-05	0.0952828842666667	0.107140189866667	0.0704676224	0.0461646592	0.017514432	0.225228868266667	3.993870336	0.481644987733333	0.0459008085333333	0.7593920512	0.0310714453333333	3.09799266986667	0.278215816533333	5.95100248746667	9.6939180032	0.5643840512	0.565998216533333	0.0695229056	2.1721899008	2.72236270933333	4.082815e-05	0.00410536826666667	0.667205154133333	1.4125359104	0.00306323973333333	0.163788475733333	0.0363449088	0.0348650133333333	0.464964642133333	0.255726626133333	1.6439177216	2.05206227626667	0.138405256533333	-0.0254654634666667	198.81687383705	101.782258019033
BE	0.00495957706666667	9.36303e-05	0.001777404	0.8122228736	7.38816536458333e-07	0.0333377813333333	147.647242786133	0.0413410048	0.0536233984	0.788023022933333	-0.00025753885	0.303662865066667	25.5030853632	0.6145927168	0.00399033813333333	3.36477989546667	325.817000211383	-0.00701575946666667	79.6545865045333	14.2512979968	-0.0019155024	0.0281421568	0.0570141397333333	0.208467950933333	1.4544830464	-0.0003592963	0.5448871936	-8.679115e-05	0.0560345216	0.0625973034666667	0.022678688	3.9506706432	0.00375226506666667	0.0367728341333333	0.00562778186666667	0.00461604053333333	0.000493437433333333	43.9702913024	0.00558437493333333	0.856802440533333	0.252441924266667	0.416063317333333	0.0506538965333333	0.0385484544	0.0366548266666667	0.0659877930666667	0.0574513877333333	0.241161813333333	-0.0001023554	0.000704257466666667	0.0206860885333333	0.393522688	0.0016873696	0.4191282176	-0.105607552	0.000782858733333333	0.089167872	-1.9199213568	0.0467406122666667	0.717533934933333	0.484937693866667	-0.0054027552	325.640720116783	324.263304406317
BG	4.2145071104	0.178270941866667	0.879980066133333	2.7688255488	0.4076980224	0.983895790933333	0.323709064533333	142.2737539072	1.54380683946667	0.744240401066667	0.0627254485333333	1.56951087786667	6.56625664	0.2282797056	0.0781321813333333	3.331309568	328.167686548542	0.0575764181333333	2.31844222293333	0.6394413056	0.310405632	23.9385007445333	2.6514333696	4.76834911573333	0.1001277952	0.00116488786666667	11.2731040426667	0.000357740133333333	1.54459777706667	1.76597265066667	0.245519121066667	0.0313114474666667	0.0519995093333333	3.35668565333333	1.1863318528	3.3393860608	0.0690753109333333	0.4736150528	0.0310788010666667	4.09705212586667	0.1728535552	54.1418236586667	15.1851958272	4.62006135466667	4.64467503786667	0.0908894464	0.6608959488	1.57893208746667	-8.9286925e-05	0.0427401984	14.2279289514667	11.3948557312	0.0451324842666667	0.0846382762666667	0.0840948138666667	-0.319761271466667	1.23863627093333	0.200933256533333	4.18210747733333	3.22144692906667	0.132186615466667	0.2257743872	344.262382501608	261.912011850667
BY	0.865234944	0.211661038933333	0.889476027733333	5.46123229866667	0.566540288	2.3457759232	1.6926973952	2.57557572266667	529.168352324267	2.9607051264	0.0237823061333333	9.27438056106667	41.6900797781333	5.35335621973333	0.596889531733333	7.16492253866667	977.833818471183	0.9463252992	10.8394687146667	4.1378136064	0.468800955733333	1.46434034346667	4.1912942592	9.51911601493333	0.617986389333333	0.0256965248	18.496094208	0.0002514105	8.25523677866667	8.91711761066667	30.5076873898667	0.146927394133333	7.06738640213333	5.08047742293333	0.557109248	0.338484667733333	0.0104900245333333	4.090171392	0.853138432	131.8762315776	0.524867720533333	25.137414144	5.1236569088	24.4579084970667	24.5695512576	4.4471836672	1.59544046933333	5.10345816746667	0.000123662283333333	0.162915720533333	4.97263520426667	55.9496997546667	0.143276509866667	0.500221269333333	-0.875724049066667	0.0657282005333333	1.17653121706667	0.8918411264	1.08550144	7.6493324288	0.383193634133333	-0.114452360533333	1022.19861268132	330.3613192768
CH	0.0472496469333333	0.0009430486	0.0020140912	3.0597029888	0.00165769026666667	0.0979773866666667	1.2154085376	0.203724561066667	0.0723633408	202.1059985408	0.000367200533333333	0.404457506133333	33.9074809856	0.1922028544	0.00801668906666667	11.0405277013333	361.488971091358	0.00770477706666667	51.4824426837333	1.30874709333333	0.000393427633333333	0.0881699584	0.359610811733333	0.4111407104	0.335906065066667	0.00250407493333333	49.7088288085333	0.000125548841666667	0.0197241258666667	0.0240536810666667	0.030551744	0.2019756032	0.0030006976	0.0308929109333333	0.0250069504	0.0299753301333333	0.0041525624	1.737138176	0.01480296	0.728263202133333	0.640326929066667	0.648847633066667	0.260262314666667	0.1193711872	0.1190977536	0.0461049429333333	0.335756629333333	0.2260366336	0.00014321435	0.000658169666666667	0.0181807722666667	0.2991581184	0.000931524266666667	0.496806126933333	0.0389552810666667	0.00354192373333333	0.562433297066667	0.0254679466666667	0.322744968533333	1.86666298026667	0.257711803733333	0.101534429866667	365.305939253491	157.9769838744
