	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZT	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RUE	SE	SI	SK	TJ	TMT	TR	UA	UZT	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	7.42165102353913	0.00199919122766667	0.651872124246448	0.000888149417947917	0.556590099452646	0.256927627249542	1.50670632670025	0.0766569116182083	0.182314482853094	0.00473241962184375	0.687039981428073	2.15662041179557	0.0687928566217292	0.00143783744609375	2.90811764097646	0.0169106126604375	2.26387293484499	0.734124460186354	0.00596590898580208	17.5692594617966	0.624079062024875	0.929276608600594	0.0462200280874896	0.00739318876611458	13.1196683731791	-8.62626499375e-05	0.0134365681509375	0.0101096438428125	0.0510207742600208	0.00664599517178125	0.0503204978112708	0.91837826120526	3.95626116245308	0.111114867022323	0.186037222897167	0.0567926264109063	1.7974967179095	0.189805198243281	0.971842876002594	7.60498309402194	0.56446324519776	0.0441153891091354	0.151416655624615	0.453546737036875	-4.977561084375e-05	0.000245907415041667	1.62844827872462	0.999524584399021	3.34970748125e-05	0.433626152523531	0.156290554510125	0.124143509704135	22.8018389279222	0.502472650244677	0.0096140269051875	0.410902119248167	2.86340439502382	-0.00056258569140625	0.0477953751034271	98.9145466105449	71.565021485051	47.5188108445865
AM	0.00495171689595086	10.649849379456	0.0415422088597386	9.71771847520571	0.00614157302406919	0.0275588600795198	0.0467668660466422	0.0379724763258212	0.0123711739528712	0.0953668424533289	0.0470643344159083	0.214737702752536	0.0148828476313436	0.00352828350617678	0.123692256417794	0.0157835106126839	0.0995124427691985	0.0837361637393772	2.5730577525428	0.132557188495193	0.00913703737556555	0.028527679438089	0.00469924739621023	0.00144939293283553	0.167761593453807	1.21761461276042e-05	0.298515965695745	0.0093727306780343	0.00546354178496023	0.00899439651717139	0.013488365036226	0.00424769304050543	0.0142002634888179	0.00228150619018126	0.0314134813249126	0.0180566760259756	0.172824337532351	0.0122983804543488	0.0753987590012046	0.0321143441936941	1.598769547772	0.0174052629060634	0.00575225419358315	0.023629572559181	0.000253557382766356	0.256049090234651	12.5752312567664	0.440659282186519	0.190624612218907	0.0366432387677099	0.0297897179289552	0.153462353711632	0.758071464217164	0.0640695023243276	2.51191723267531	0.0938426738944654	2.89371250953934	-0.000240884778978436	0.035797762922085	46.5444896303115	39.9674240591094	1.5216892885851
AT	0.130518590569604	0.0023078139800625	78.710690970914	0.01365016371575	1.16730964584444	4.64033516584386	0.698518014055854	0.689622133923729	10.3031900938756	0.00240518566470833	19.1534566491298	100.447574890842	1.03325370263683	0.0432062173612917	2.91963583160617	0.151599090816083	19.968724071674	6.79885599500094	0.00791112004383333	0.986460589627063	4.83831089006477	7.747138231615	0.248295523080021	0.00957782703929167	45.6647185084218	0.000514516258854167	0.0286868122666667	0.254103305366125	1.27648055283548	0.0997786162312917	0.0618243676927917	0.191086290416562	0.320641900556458	0.0180282605744792	4.16532120782246	0.367766817905083	25.9667198140118	0.259613884537563	2.27036557239925	3.91415043806952	1.04522763727298	0.436857847399312	10.0193176824259	4.43913574035346	0.000308600682	0.00126967412639583	0.584312785525646	1.70317097535531	0.000676063281229167	1.26160050228633	1.750589796777	0.0868168001829792	6.73945955724531	6.677188024764	0.0068149813224375	0.105684502766583	2.50150105153323	-0.0056158987646875	-0.00525693914218749	382.921408659684	363.802626280713	343.258902012311
AZ	0.0108590048355216	3.71389107997988	0.102236591886462	60.6906632720383	0.0154377798951837	0.0974474794990103	0.113098472179147	0.201324697121619	0.0355578235622549	0.0789177935008439	0.138769903477744	0.729134870008424	0.0647538271222612	0.0205884661417442	0.187828286604977	0.102620983107771	0.288280950300647	0.339812698973119	7.3971767383168	0.185376505392236	0.0229974665214849	0.0882967389233857	0.0197439701144681	0.00690896827363232	0.364432841571033	0.00329604573963177	2.05001513362649	0.0460730167869458	0.0169634783660581	0.0463362680451198	0.0475481762583924	0.008656673945845	0.0236582280671509	0.00254863468622837	0.118792931695381	0.0820879414592098	0.715187795827388	0.0204811913301914	0.27631154384799	0.0764720434833301	19.3600880424646	0.0839605243546546	0.0150812604999293	0.0750624784495144	0.0103074568481147	1.11878520618024	9.1265575854139	2.79559662977166	0.745943718894412	0.170558304460949	0.165919091574175	0.424960400122007	0.764993876558992	0.252482045975674	8.09416345309741	0.0844761942205466	4.2414534860836	-0.000903308135103093	0.0335065553699239	126.113579314718	111.88196921539	4.36113696921416
BA	0.976551756719265	0.00128918644238749	6.06830788297367	-0.00535634423621628	14.525630663916	0.89345501164488	1.03714266650732	0.391691028379605	0.766283583335129	0.00328263157991983	5.59165690789972	11.5343696467241	0.30156763850813	0.0109789361191525	4.24382832191102	0.0636047678265107	4.94601149990837	1.72576510521935	0.00233738872632392	2.45369145256159	8.39372604718411	9.32097995551839	0.0667715548259605	0.00951490783449217	28.5324467467625	-5.88772090954253e-05	0.00282733190437773	0.123471489941731	0.187617957554922	0.0321920933610527	0.0564710756286455	2.99198787148113	0.539847436107079	0.0758539053913714	0.790642259403946	0.198251544764404	12.1845340324012	0.239193623980924	2.81042725306523	14.921019324377	0.708466547720604	0.218053485554032	1.29139405294478	3.78460151345025	-2.96845747516753e-05	-8.04845448662586e-05	0.818631227645265	1.65192849385383	-0.000845214331035209	0.579538544314392	0.674813898162487	0.12335207652283	18.4756705953398	1.60668454699393	0.00545054079817105	0.255482485074091	2.27507249829509	-0.00251295093535413	-0.0104903833320521	169.464989055897	145.481927204664	106.925568440724
BE	0.00303453438218712	0.000790214800735292	0.46251089165625	0.0109290151672083	0.010139076018187	20.7534111947731	0.0210922113786927	0.3094419712874	0.463014929582854	0.000185590753458333	1.31128584509982	22.8108437234178	0.607314742716819	0.0482323250281628	3.47014882559615	0.139770169625853	32.5948487522035	20.6697176159524	0.00299608654232089	0.0242870972639992	0.0337329288975671	0.12398818854853	0.839791344921098	0.0490747996153846	0.846860675844224	0.00059173007006297	0.0202318383895091	0.168840102289895	1.66898954875183	0.0960765090882118	0.00969177581701818	0.00317679481225009	0.00448797677299104	0.00047704793013848	8.906206939652	0.418527956907767	3.56171610215715	0.373901579789415	0.0796715346291905	0.0275124152533056	0.611700757992404	0.274729815378038	0.044394090634075	0.126821615161855	0.000338876970479637	0.00101959288232428	0.0471892158712338	0.290723700621909	0.00177172867118457	3.57179420552599	0.914270658497808	0.00932103684905419	0.902684078003213	14.7298131585594	0.00282232532102922	0.0174809660686852	4.05180638185866	0.0221591290618049	-0.0041525033671922	146.564231433946	122.346231997568	120.059847009139
BG	1.32934983628642	0.0258371209646788	3.05834352307115	0.0301314787068801	0.972001200979644	1.06949286530435	71.7809614250138	1.62444582112177	0.543477866535381	0.0427188452164295	3.58655488566753	10.3016674997455	0.319792345668963	0.0760946863945139	3.08900901721611	0.262729669415823	3.41697229541351	1.88443520338136	0.0910872066455878	29.3844858112123	1.20225259986294	5.92425720613581	0.0895224027745975	0.0159241315767905	7.45597231982369	0.000505078895176541	0.400954521517245	0.29602895217761	0.183701117086877	0.175574914107269	1.49316752199175	0.562093623769575	6.6567758180096	0.0499738737774267	0.91342830530951	0.231410694883138	12.2285452434141	0.228793110893727	29.1380442128298	17.6160134000785	10.8006064088157	0.292750883509884	0.524787108541726	2.71805465098042	0.000286692737559502	0.00843294031025712	44.9569497357173	20.3273709918613	0.00704125287194886	0.641304400365499	0.822435621306002	6.97035755014442	21.4879025940692	1.69853421779759	0.0551483324340908	0.569525532926713	4.97578030510956	0.000674022423860315	0.100041549623025	334.710512444423	297.388808318223	189.694944973947
BY	0.230474465243293	0.0488004424754365	7.3926035272643	0.186252159364142	0.892714897647674	3.73182158296948	3.3309142197575	66.8423054011319	1.72537709045145	0.0124646907887593	10.2641957759442	47.736275992105	5.02469769273401	2.1662173469279	2.8778581518352	4.61946080626658	11.3066395618792	11.937572645572	0.153501513476698	2.70022830794069	2.45793113477182	9.80833191994785	0.549706575330011	0.1006131552545	10.6033340592854	0.00313867499681054	0.931886776751871	10.4717762888615	0.67163592792968	4.58468468229769	2.12511906778375	0.279670146690412	0.595813647769812	0.0171535723381527	5.50254785216131	2.16624351492166	94.3212225008122	0.202202533007851	12.2559971489104	4.53981374165886	85.6544863963106	3.74692064956497	2.06982578586411	7.70677376428097	0.00787036191229481	0.145696715931238	10.3345203229607	76.5082821302617	0.220519275359268	2.41457443492304	12.9665314668738	2.68910251191242	5.91617947529773	12.9444643488583	0.152402859427464	0.14201742254144	4.8125578462501	-0.0183954433187139	-0.0269881323691576	573.756541386099	531.764094595703	278.070994697349
CH	0.00656768191355611	0.000505220432878365	4.59102448329284	0.00243284696434875	0.030963886511836	2.64661053671681	0.0241044259861742	0.0652276049018612	34.7376180029943	0.000511398696553926	1.38247727569125	30.2651624878052	0.15171317321155	0.00663062657710993	4.70328013785703	0.0411278370369815	34.861810561243	3.62689940655642	0.00159442262911238	0.0677568800304478	0.194175980500382	0.23822643989599	0.118583859557277	0.00778921512001558	37.835459993449	0.000302282272972115	0.00488971721884778	0.0296638970080731	0.783529028612537	0.0117632529569821	0.00397812337625137	0.0103614091096338	0.00911925109409401	0.0063560455062243	2.2394560840645	0.154115377745169	1.89631844239345	0.353135448308281	0.0657599930486905	0.0603241243232292	0.125716654799597	0.0617736910502984	0.384239588697801	0.157841082726901	0.000172622609909615	0.000223843271074077	0.0769963523102424	0.0860134951001374	-0.000135047644660298	1.09433376576787	0.256803306047466	0.00554505625661268	3.95368295751663	3.13821968469646	0.0013496422951905	0.0782237373950155	2.60844585784304	0.00114452774209906	-0.0144604756607898	173.253457205432	162.130169145532	126.745392058478
CY	0.00977966890758333	0.00412573319778646	0.0341014577017708	0.00893609670107813	0.00795586778520312	0.0257428870615781	0.0695196658501667	0.0196322913789271	0.0130149758791979	1.40509773788625	0.029262429068651	0.167727373681375	0.00654553485923958	0.00152506635341146	0.168709369475229	0.00722533803607812	0.142130025191823	0.0754353710592083	0.008582174082875	0.474475573927089	0.0120090799106146	0.0250354846003542	0.00323713490467708	0.0006277971315	0.255638743034417	-6.817266109375e-06	0.00834544440575	0.00392189239513542	0.00472229639979167	0.00346936018540625	0.00611845081291667	0.00511901342641667	0.0279498508470104	0.00773446329364063	0.0238613915985365	0.00890777905557812	0.0914157700820521	0.0135802387767135	0.0563023806016458	0.0469612584953125	0.218161733262573	0.00712913025085937	0.00656608893344792	0.0151148049869583	-1.03129248958333e-05	0.000303720554864583	5.40532793440489	0.160108991192943	0.000357313093645833	0.0297220602492969	0.0133287294830208	0.0937180536970625	3.59567622247436	0.0486098430254167	0.224003429301026	0.199893799173203	0.602061514831651	-0.000440933440666667	-0.00271803416707292	13.9013897391585	9.09753505453116	3.13723609010611
