	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	88.9748004251458	0.000237738870484375	0.382023347823141	0.00174318383470312	0.169140430899536	0.0675666701448385	0.889726487294229	0.191400548876766	0.12125975448326	0.00309873359151562	0.310760335804146	1.00222823359428	0.0221802766532969	0.00402473052822917	3.56195357406367	0.00610653665548438	1.00693862197938	0.0975797079174583	0.00317912255723958	5.5675549180535	0.560762030363979	1.24173799829144	0.016382080684375	0.000435455060484375	8.92620860824456	-3.1424157e-05	0.0115869859543906	0.0284052312760104	0.0101496316920208	0.00892062976994792	0.0794795380408437	0.114298467224099	0.393124415812938	0.0582560135224688	0.100530485097453	0.00426660527227083	0.622332303360979	0.15140094457538	1.15642994923019	5.64278888894867	0.479030418564162	0.0147402178034948	0.0911822697380938	0.299665567229297	-4.25527806458333e-05	0.00199011728632292	1.17731052565164	0.929891545275593	0.00460180921783333	0.0502129855596562	0.00246935761142188	0.0104589773390573	0.0116519251750313	0.0147937403343698	0.00952704585165104	3.3821377495628	4.68086932947604	0.0438701912869115	-0.466359961844807	132.248969475374	124.509611966022	26.2087306673388
AM	0.0292787318462812	63.625579319828	0.0168397367296563	24.6433856921751	0.0218496709698542	0.00354970071517708	0.0691319229589896	0.034848213186375	0.0110000230144583	0.196222407086177	0.01072014377875	0.0507737950448958	0.0029591549045	0.00143760592560417	0.248300400397365	0.00202176959771875	0.0303962839554583	0.00648580412127083	4.97273678584598	0.216759318279292	0.0121468038308438	0.0204218770300417	0.00103913554535417	8.47765657291667e-05	0.168274822227594	0.000163900895010417	0.367272371320708	0.00539754207378125	0.0004505779431875	0.00130258164991667	0.0129409927712708	0.00611486433765625	0.0226550773789479	0.00181992153522917	0.00542833095335417	0.00143153760552083	0.0502115152179271	0.0082013590778125	0.0772284571410417	0.0649132785679375	1.18546773209311	0.00255451682539583	0.00602500834492708	0.00583850256503125	0.000169146971739583	0.506320401398708	63.4324535148848	0.254539109809927	0.454774787360229	0.0050233100565	0.000455583821177083	0.0151771858565833	0.168321140307615	0.000798576919333333	37.5098352394399	1.83569746691383	7.4468158923969	0.0636842500934167	0.130484410975563	208.046211981065	160.86905491275	1.22217420400879
AT	0.134326731454661	0.00082563297075	253.98790994878	0.00155883440425	0.923869092423068	2.2009594403836	0.382634541954	0.801270224295606	19.7347377409653	0.0038300383838125	28.2883506873847	135.88813772608	0.202069838124562	0.0358798759642995	3.35788338691833	0.044845912699638	19.5902351064043	2.95440537061818	0.00234133000854687	0.197029707810453	5.67678999470438	12.519119371955	0.414411799799213	0.00493225844154948	40.3294828535385	0.000953623436481771	0.0223784764418776	0.304650642364844	0.395714952506589	0.074776323150888	0.0872703420490469	0.0394483599345495	0.0827365967958593	0.00535520026198177	3.68371653411147	0.0418954263959297	9.0814591599545	0.117061640934745	2.44941139171601	2.32579034743266	0.871094058457318	0.115239720890852	12.5481253365783	4.60460938156936	0.000628500744408854	0.00191600302879948	0.616181327797532	1.93649838491173	0.00447669936766406	0.140330239067146	0.0133839272113542	0.00591500062544271	0.407336668416802	0.203114921428049	0.0302511476653542	1.34458932461598	3.88055416767063	0.243601255599841	0.000506000231130209	573.358808529832	567.088563138458	539.45372717819
AZ	0.042456542206526	19.9121627585388	0.024071143445276	301.535475097089	0.034371531281526	0.00731193583909896	0.117825244263563	0.221021786840531	0.0139687931938125	0.222235743270807	0.0214357248992187	0.115745353212917	0.0125569040001719	0.0147193608123177	0.320170327701276	0.0169853076756667	0.0478500975098646	0.0171682224464115	16.7031231720933	0.298438220317932	0.0180543823768437	0.0353461337530417	0.00278667352575521	0.000285220470729167	0.229744354859854	0.001090857207125	1.39035091082366	0.0355248390694948	0.000541003170869792	0.00898516496756771	0.0580470512286354	0.0109069972243021	0.0355584808148958	0.0019454432976875	0.0131104357069115	0.00682160650034375	0.208286128663615	0.0104504090528542	0.19849953364276	0.110683340333943	22.4836514816684	0.0138658519013437	0.00801030265743229	0.0107910436629948	0.00114257475799479	2.43379817770981	50.8739262386619	1.63876039859838	2.21453026068011	0.00597887077872917	0.00185099972072917	0.0327092896668385	0.18376082350949	0.00178012273027604	90.0999741590553	2.54837244707446	13.0825701121987	0.0755619209912187	0.0929100379095364	527.880057347263	421.754656661253	2.03264027590086
BA	1.24140905674529	0.000501936944796875	5.03253970522151	0.0025631522235625	75.3507019027867	0.217882182302083	1.42216062676962	0.659444027540489	0.481998749941292	0.00263644368171875	5.19782892233025	8.21699856371005	0.143494384634786	0.0188228948525521	6.1573606697366	0.0349372742940833	2.34081860117295	0.426340546407719	0.00633162589592187	0.914168255134687	22.0467608981619	16.6493726061392	0.105614175647635	0.00157448018372917	21.6358184328594	0.000440089735895833	0.040131675013849	0.113638100339297	0.0318449022612344	0.0296896197061615	0.29665569636013	0.87854699528137	0.284123697242656	0.0273416161191458	0.571318817494187	0.026601044706625	3.89161703555428	0.200535128291464	6.79107096939948	14.804252160072	1.38436677234432	0.083435671830901	1.0163264289951	3.26442042634374	0.000126205060947917	0.00265427559115625	1.0368395632374	4.2834683544569	0.00598863850016146	0.079140783674375	0.010005024170875	0.0266463851331042	0.546034358247458	0.0857824572628281	0.0481681328212969	3.70763623766603	4.84598370366394	0.196837420295521	0.00580492063127604	216.925553422824	207.373134100214	106.584519040397
BE	0.00108101934323438	7.49127952708333e-05	0.499663805570724	-4.49842810260417e-05	0.006744670744375	160.149633593345	0.00220104610442708	0.158366289450646	0.959442227218318	6.50011196354167e-05	0.347691390704646	27.0538121504616	0.60632284826901	0.0158066287314167	2.93716475491315	0.0131990207510781	88.4986588620083	14.8827637822321	-2.5507206484375e-05	-0.000263209320473958	0.0202003057286406	0.092671992989375	1.76024883183102	0.00882085105109375	0.903650098089235	0.00011389257515625	0.00172694288932812	0.0947973774862187	4.81628149046467	0.0254413566046302	0.00346015024813542	0.000198650819213542	0.00058750103165625	0.000383008527479167	27.5498788035512	0.0395334543028281	1.22587430163223	0.22929807388774	0.0311063579257604	0.0151470090908229	0.277110936032599	0.125305134275125	0.0323978358198958	0.0739558986097344	9.996125378125e-05	0.000213364698723958	0.00269827947336458	0.207208570686417	0.000791049765760416	-0.0247853479475781	0.0421379214549532	-0.000130108236947917	0.0249511699690365	-1.17439995997161	-0.000979026551161458	0.196789975666729	0.347426847314125	-0.000652756488572922	-0.00746171629582291	333.07445678321	333.671301653587	331.987917419651
BG	5.54152366120747	0.0186991278573229	1.58859766017541	0.0867519320219687	1.13594563249402	0.174913067005438	183.051650280018	2.77089490140278	0.225934736077333	0.100966327728505	1.89243596971865	4.65491245642105	0.157689484234656	0.054231379267651	2.79723133609875	0.0797426347274688	0.947253829087245	0.335730863364255	0.248633045112224	23.2392773749002	1.42363864618104	7.58319874326716	0.06685913741075	0.00123552061117708	5.28325661110641	0.000457492876640625	0.444826818977271	0.285230750029302	0.0173278303009635	0.0893534780494688	3.74112502456145	0.027775977338724	8.30091989563434	0.0190080185046354	0.376666647988	0.031650710791599	4.22187481136136	0.121966217534557	62.5556975108778	22.0980879279532	10.4018189606323	0.0951539839589218	0.300179637288292	1.7955632612791	-3.53388733854167e-06	0.0266955599036406	25.4270675575469	18.4745615902494	0.0809338764247656	0.0509833982669948	0.0184650642635313	-0.0292377779361458	0.504715324554214	0.0595283047278021	0.724307899119042	5.66384743913114	10.0097033379509	0.140169076614964	-0.0217476880905052	419.515878742274	402.395459168713	303.309496605153
BY	0.478599102058143	0.103587905206341	4.02236209157573	0.453955005087513	1.37381742818273	2.33750655837231	2.79881694151562	488.581854935607	0.882238639028459	0.0144185504437396	8.91857349039937	45.509307682471	6.0962695777012	1.65897122880404	2.6868237457739	1.56512586123389	9.0189426746177	5.71438813998166	0.459067552590219	1.19898560771171	1.95999482867037	9.60685956075038	1.07060203391107	0.028955605196526	6.45813764673226	0.00439736910099219	1.76077587576688	23.0160376374861	0.193020333587112	5.9806179060299	6.10413419428975	0.187271476990182	0.423869251661536	0.00485811390154427	4.88387542031977	0.856704434510127	103.555431429472	0.124412421143716	23.6197750282161	4.75456814510011	68.6154436302789	4.64673617705544	0.989808641156198	4.13695792667034	0.00447817985032813	0.238326381472734	14.3050255445506	98.0117459124908	0.269228426255149	0.255958386523284	0.0742120233981146	0.192769521794375	0.46201142018002	0.689302270173888	0.725169332264659	2.74048197630546	6.71105864902149	0.325827555423034	0.527084147032641	982.389537533096	969.684323508772	281.7867901228
CH	0.00634556715140495	0.000307679625658854	2.0042859887481	0.000537605555901042	0.0423630762259427	1.11442319632172	0.012326383363375	0.149427498117863	273.133341602664	0.000428369356979167	0.708868402066073	28.5764084240897	0.0352494059412969	0.00532941948161198	6.18295329148869	0.00577522884690885	39.741513000218	1.36539604781371	0.00028082922700651	0.0108458033055846	0.191728820556932	0.359238296099552	0.228210485331081	0.00282401103223828	32.153105554607	-0.000136740754347656	0.00104553420361589	0.0392442199933854	0.322449107931803	0.0100527045965026	0.00300495321061979	0.000491528353917969	0.00233043236212891	0.00237737763624089	1.23241108417516	0.00793349356779687	0.821630808831557	0.278638612934225	0.0476132002938971	0.0823528398857318	0.0681376309448398	0.0162193307793672	0.243284247032517	0.144056949292425	-0.000141267072201823	0.00082228282527474	0.0616499503348125	0.0827309302325391	0.000467494681372396	0.140486974053732	0.00547680447882683	0.000297896517632813	0.273862150356326	0.074597631387681	0.00124351099607943	1.20984877247638	2.4011145337034	0.188417295215647	-0.0045922845211263	393.790933978174	389.501035051529	115.854346106438
CY	0.0145866946655482	0.0031751280129362	0.0100172756338997	0.0127085510742617	0.00693646106916146	0.00362819720666146	0.036303559525612	0.0141010000057669	0.00411758677101953	6.53445354967881	0.00698527771697526	0.0324214044146029	0.000801396268365886	0.000410318649220052	0.0934015350930365	0.000521386905747396	0.037980420359224	0.0018953703871237	0.00607988045808333	0.205238688889792	0.00638580700702474	0.0134262987887461	0.00035813885418099	-6.58627682291667e-07	0.0848011111249948	6.53459191536458e-06	0.00368948507282292	0.0012557981030013	0.0002039824540625	0.000296123251917969	0.0050378453053763	0.000761032263507813	0.0133477488510052	0.00207552275124609	0.00547423093768489	0.000121784027596354	0.0167317426393581	0.00215054924947396	0.0445911632966224	0.0380259388937213	0.0873913189227227	0.000547437021610677	0.00227045878357031	0.00326346003800651	1.22286167851562e-05	0.000934385836257812	3.72168695797403	0.108026507234305	0.00133098660777083	0.00112301801015495	7.58496161002604e-05	0.00468507800116146	-0.0733026677649453	0.000691172444854167	0.80996496984538	1.24279668282517	1.10506865654544	-0.0114337928323008	-0.0362234868799805	14.2334130824685	11.1900257515169	7.14794066731113
