            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.171166;     0.041807;     1.241750;     0.019719;     0.026500;     0.134259;     0.137020;     2.681180;     0.228284;     0.038774;     6.462797;     0.013024;     4.526421;     5.547504;     0.008560;     0.017728;     0.029470;     0.532124;     0.028071;     0.898220;     0.023426;     0.108515;     0.006369;     0.018602;     1.045395;     0.121792;     0.045611;     1.778057;     0.028261;     0.027736;     0.044340;     0.042159;     0.029628;     0.024243;     0.040076;     0.028338;    28.815128;     0.231938;     0.002914;     0.941671;     0.008784;     1.898020;    12.316620
EEZ65       ;     0.318518;     0.010662;     1.738051;     0.015410;     0.039308;     0.150213;     0.848456;     6.235052;     1.366417;     0.010906;     0.381117;     0.195919;     3.127298;    14.990126;     0.004373;     0.023634;     0.168975;     1.324009;     0.125544;     0.489364;     0.032760;     0.117933;     0.029626;     0.004477;     1.893777;     1.912913;     2.133090;     0.034300;     0.105858;     0.022014;     0.321781;     0.738671;     0.041758;     0.168751;     0.008972;     0.153817;     3.977312;     1.088098;     0.002575;     0.066586;     0.007805;     5.149326;     1.487447
EEZ71       ;     0.446337;     0.033508;     2.240029;     0.019813;     0.094787;     0.278527;     0.855125;     7.829833;     1.163363;     0.018617;     1.042138;     0.286993;     5.900664;    20.386751;     0.004809;     0.015642;     0.196483;     2.231176;     0.989856;     1.049456;     0.038760;     0.152871;     0.028841;     0.007267;     2.800634;     1.776835;     1.999949;     0.058523;     0.117705;     0.034633;     0.710182;     0.753387;     0.061584;     0.214111;     0.040081;     0.295980;     7.273902;     1.096233;     0.004053;     0.157002;     0.022557;     5.248631;     5.145375
EEZ91       ;     0.622753;     0.078826;     1.910690;     0.051002;     0.085054;     0.546320;     0.562728;     7.684237;     0.432321;     0.004654;    75.100845;     0.050722;    14.942788;    10.378956;     0.035786;     0.155346;     0.334385;     1.054861;     0.027966;     3.861854;     0.016459;     0.160278;     0.011764;     0.013494;     2.345192;     0.307301;     0.854087;    32.609898;     0.253228;     0.105067;     0.264492;     0.174193;     0.223182;     0.183422;     0.019527;     0.283261;    66.402847;     0.290275;     0.005497;     7.175451;     0.429147;     3.402305;     5.399522
EEZ99       ;     0.016752;     0.000207;     0.054663;     0.002128;     0.003463;     0.002321;     0.038329;     0.190784;     0.010093;     0.000310;     0.397319;     0.001848;     0.293197;     0.482392;     0.000942;     0.000872;     0.005637;     0.057032;     0.000665;     0.045263;     0.000626;     0.004522;     0.000406;     0.000092;     0.053253;     0.006128;     0.054931;     0.077160;     0.007376;     0.000183;     0.015689;     0.005187;     0.003926;     0.005392;     0.000196;     0.012604;     0.605190;     0.011064;     0.000115;     0.017218;     0.000980;     0.216199;     0.038348
EEZ100      ;     0.012950;     0.000472;     0.070015;     0.000360;     0.001343;     0.004820;     0.037704;     0.280326;     0.050891;     0.000518;     0.021513;     0.007554;     0.131239;     0.740439;     0.000126;     0.001035;     0.005408;     0.069093;     0.004292;     0.021458;     0.001976;     0.004681;     0.001482;     0.000212;     0.080032;     0.093064;     0.088832;     0.002119;     0.003361;     0.000585;     0.012634;     0.042261;     0.001642;     0.006374;     0.000249;     0.006743;     0.204967;     0.052023;     0.000109;     0.003080;     0.000201;     0.308968;     0.055853
EEZ108      ;     0.678632;     0.032154;     5.576158;     0.009813;     0.152758;     0.279001;     1.661826;    15.469951;     1.686052;     0.075684;     4.988634;     0.346528;    14.352850;    55.978096;     0.012791;     0.032252;     0.251416;     8.072499;     0.149032;     2.024239;     0.062837;     0.363385;     0.053765;     0.005652;     6.073770;     1.603806;     3.667934;     1.063494;     0.114749;     0.019247;     1.227986;     1.025589;     0.142417;     0.208337;     0.031429;     0.433342;    27.608297;     1.717551;     0.003658;     0.665288;     0.014286;    16.003620;     6.823160
EEZ109      ;     0.019605;     0.003029;     0.036906;     0.000993;     0.017498;     0.011226;     0.083809;     0.602832;     0.063654;     0.007680;     0.559092;     0.025609;     0.064161;     3.673864;     0.001661;     0.003589;     0.025498;     0.420950;     0.009666;     0.098536;     0.007174;     0.006340;     0.006167;     0.000697;     0.136131;     0.143268;     0.256055;     0.096843;     0.013934;     0.003432;     0.104725;     0.092887;     0.005979;     0.009618;     0.004209;     0.045468;     1.596845;     0.062357;     0.000295;     0.012133;     0.001917;     3.102512;     0.942155
EEZ110      ;     0.005452;     0.000733;     0.021888;     0.000227;     0.004727;     0.002382;     0.024083;     0.170598;     0.012688;     0.001891;     0.215031;     0.006881;     0.001868;     1.343920;     0.000375;     0.000835;     0.006874;     0.145579;     0.002378;     0.024623;     0.001785;     0.002659;     0.001654;     0.000141;     0.052196;     0.039434;     0.065776;     0.028916;     0.004871;     0.000870;     0.030483;     0.025334;     0.001403;     0.002699;     0.000915;     0.014250;     0.498006;     0.022214;     0.000070;     0.005232;     0.000614;     0.961016;     0.205430
EEZ119      ;     0.001202;     0.000021;     0.006317;     0.000038;     0.000049;     0.000521;     0.002805;     0.021439;     0.004075;     0.000021;     0.001160;     0.000561;     0.011913;     0.051207;     0.000010;     0.000061;     0.000421;     0.004522;     0.000824;     0.001709;     0.000026;     0.000549;     0.000039;     0.000007;     0.006024;     0.005301;     0.005171;     0.000024;     0.000179;     0.000068;     0.001061;     0.001995;     0.000141;     0.000485;     0.000067;     0.000368;     0.016559;     0.003567;     0.000007;     0.000286;     0.000067;     0.015322;     0.005809
EEZ123      ;     0.020511;     0.000956;     0.065522;     0.001913;     0.011002;     0.008257;     0.052174;     0.348996;     0.068252;     0.000770;     0.020106;     0.020488;     0.162468;     0.747624;     0.000358;     0.000999;     0.012369;     0.070515;     0.016975;     0.018896;     0.006225;     0.007065;     0.001719;     0.000395;     0.114817;     0.123227;     0.128567;     0.001411;     0.010553;     0.001965;     0.074234;     0.050319;     0.002584;     0.013733;     0.003250;     0.022926;     0.167463;     0.064267;     0.000472;     0.004418;     0.002879;     0.236023;     0.342336
EEZ185      ;     0.039167;     0.005356;     0.201567;     0.008547;     0.065223;     0.013793;     0.214943;     1.107590;     0.235330;     0.027950;     0.124435;     0.182323;     0.452653;     3.661420;     0.002958;     0.005210;     0.082873;     0.203316;     0.006572;     0.049988;     0.033405;     0.013972;     0.025190;     0.005230;     0.306023;     0.878411;     1.557226;     0.015188;     0.058956;     0.008658;     0.187418;     0.660030;     0.009630;     0.069285;     0.017059;     0.222427;     0.360777;     2.163069;     0.001106;     0.013899;     0.000730;     3.522348;     0.490751
EEZ187      ;     0.000226;     0.000032;     0.001568;     0.000038;     0.000575;     0.000101;     0.001497;     0.008240;     0.000024;     0.000296;     0.000728;     0.001777;     0.003798;     0.027937;     0.000017;     0.000037;     0.000429;     0.001618;     0.000043;     0.000334;     0.000392;     0.000106;     0.000238;     0.000036;     0.002398;     0.008655;     0.011511;     0.000079;     0.000305;     0.000050;     0.001724;     0.007914;     0.000049;     0.000499;     0.000083;     0.001610;     0.002726;     0.009649;     0.000010;     0.000081;     0.000001;     0.030640;     0.002931
EEZ188      ;     0.023674;     0.002783;     0.073037;     0.000652;     0.007659;     0.008355;     0.077937;     0.528564;     0.062630;     0.003328;     0.218666;     0.014213;     0.877094;     2.693088;     0.000654;     0.002776;     0.013591;     0.205719;     0.007570;     0.073633;     0.003645;     0.005749;     0.002729;     0.000576;     0.171165;     0.120765;     0.139973;     0.050350;     0.006686;     0.002633;     0.037247;     0.056958;     0.005408;     0.008552;     0.000832;     0.013779;     0.500567;     0.091957;     0.000097;     0.016020;     0.001527;     2.686773;     0.640392
EEZ189      ;     0.292807;     0.084211;     1.330758;     0.014991;     0.080715;     0.111052;     1.091193;     4.965621;     0.540963;     0.073604;     2.515459;     0.450400;     7.569265;    47.369446;     0.011185;     0.050445;     0.336362;     2.393770;     0.077220;     0.881520;     0.034214;     0.069879;     0.059067;     0.008236;     1.030846;     2.679385;     2.871740;     0.420767;     0.137840;     0.078229;     0.475171;     1.139626;     0.080417;     0.151130;     0.012638;     0.190084;     5.308104;     2.381697;     0.002663;     0.209435;     0.028188;    31.952797;     6.703859
EEZ190      ;     0.256687;     0.106799;     0.990425;     0.043535;     0.082732;     0.054693;     0.910865;     0.644901;     0.109560;     0.069362;     1.051413;     0.379648;     3.220835;    24.219629;     0.011074;     0.025869;     0.318345;     1.265194;     0.036352;     0.430011;     0.047186;     0.043738;     0.046575;     0.007373;     0.698486;     1.956036;     2.228270;     0.149859;     0.143194;     0.109858;     0.371554;     0.727990;     0.105537;     0.141610;     0.015444;     0.184958;     2.493089;     2.320045;     0.003696;     0.097439;     0.013298;    19.363178;     3.006659
EEZ191      ;     0.417365;     0.143467;     1.287133;     0.099246;     0.237474;     0.066475;     1.581698;     3.999930;     0.247025;     0.128330;     1.005490;     0.826247;     3.863228;    27.879667;     0.036403;     0.070323;     0.721813;     1.429681;     0.046548;     0.507456;     0.136810;     0.067498;     0.109166;     0.044990;     1.453180;     4.443185;     7.102208;     0.132501;     0.431254;     0.202399;     0.795477;     2.145538;     0.130713;     0.472241;     0.107718;     0.701610;     2.836759;     6.326437;     0.007788;     0.100873;     0.015561;    23.255606;     3.365504
