          ;    AT;    BA;    BE;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   NOA
EEZ48       ;     0.361414;     0.253882;     0.440146;     0.123789;     0.256245;     0.291871;     1.739184;     0.246675;     0.094417;     0.989843;     0.103385;     4.832917;     1.735219;     0.115157;     0.227335;     0.573877;     0.037338;     0.214922;     0.095981;     0.066761;     0.089730;     0.064853;     0.563542;     0.089128;     0.415700;     0.243058;     0.253098;     0.233199;     0.222573;     0.098088;     0.107996;     0.163661;     0.103722;     0.203166;     0.089128
EEZ65       ;     0.017452;     0.014731;     0.123039;     0.100395;     0.023781;     0.035487;     1.225271;     0.320982;     0.014879;     0.014210;     0.009392;     0.514533;     1.839110;     0.009729;     0.005064;     1.070245;     0.029600;     0.020421;     0.034480;     0.012429;     0.012120;     0.002013;     0.296455;     0.065741;     0.282320;     0.007623;     0.013367;     0.013644;     0.075424;     0.089187;     0.003215;     0.005729;     0.010824;     0.021368;     0.065741
EEZ71       ;     0.106779;     0.064259;     0.106594;     0.050786;     0.073464;     0.095144;     1.112270;     0.218400;     0.044104;     0.066501;     0.043122;     0.732653;     1.321440;     0.036203;     0.045688;     0.733175;     2.847980;     0.051751;     0.035021;     0.029565;     0.030698;     0.030343;     0.248945;     0.079410;     0.151347;     0.039372;     0.074274;     0.065624;     0.077475;     0.093344;     0.020605;     0.032696;     0.044255;     0.057303;     0.079410
EEZ91       ;     0.347848;     0.031004;     1.112793;     0.040358;     0.310045;     0.167344;     3.802573;     0.132758;     0.016537;    21.384687;     0.018009;    16.962564;     3.103783;     0.025589;     0.060679;     0.661078;     0.007118;     0.339259;     0.033479;     0.108291;     0.014689;     0.010533;     1.289398;     0.037645;     0.220709;    31.130161;     0.032360;     0.028787;     0.054120;     0.048125;     0.022234;     0.048397;     0.018182;     0.041223;     0.037645
EEZ99       ;     0.000931;     0.000192;     0.014118;     0.000192;     0.003011;     0.000192;     0.008725;     0.001045;     0.000192;     0.034689;     0.000192;     1.245027;     0.110238;     0.000192;     0.000064;     0.024807;     0.000166;     0.003008;     0.000192;     0.000964;     0.000192;     0.000105;     0.017305;     0.000102;     0.000192;     0.002609;     0.000192;     0.000192;     0.000192;     0.000134;     0.000085;     0.000074;     0.000192;     0.000192;     0.000102
EEZ100      ;     0.000862;     0.000599;     0.005404;     0.003479;     0.001301;     0.000551;     0.046730;     0.020227;     0.000712;     0.000807;     0.000380;     0.043511;     0.148189;     0.000280;     0.000201;     0.089659;     0.000279;     0.000989;     0.001150;     0.000456;     0.000787;     0.000027;     0.015648;     0.002220;     0.007145;     0.000523;     0.000441;     0.000385;     0.001301;     0.003629;     0.000114;     0.000172;     0.000223;     0.000400;     0.002220
EEZ108      ;     0.173454;     0.026080;     0.546720;     0.090438;     0.116552;     0.079967;     3.130133;     0.382666;     0.025771;     0.049457;     0.021368;     7.062614;    13.638184;     0.017340;     0.061349;    55.290371;     0.011170;     0.085328;     0.034743;     0.050565;     0.018807;     0.024822;     0.843073;     0.055607;     0.165626;     0.021664;     0.042733;     0.027121;     0.068838;     0.100569;     0.014172;     0.063676;     0.022980;     0.041434;     0.055607
EEZ109      ;     0.000276;     0.000276;     0.039428;     0.000254;     0.004119;     0.000276;     0.049086;     0.002809;     0.000276;     0.000276;     0.000276;     2.395853;     1.457513;     0.000276;     0.000276;     0.169071;     0.000276;     0.000276;     0.000276;     0.001589;     0.000276;     0.000196;     0.053500;     0.000276;     0.000276;     0.000222;     0.000276;     0.000276;     0.000276;     0.000276;     0.000276;     0.000276;     0.000276;     0.000276;     0.000276
EEZ110      ;     0.000081;     0.000081;     0.007193;     0.000092;     0.002035;     0.000081;     0.005774;     0.001146;     0.000081;     0.000081;     0.000081;     1.919405;     0.199221;     0.000081;     0.000081;     0.036286;     0.000105;     0.000081;     0.000082;     0.000671;     0.000098;     0.000081;     0.012058;     0.000081;     0.000081;     0.000146;     0.000081;     0.000081;     0.000081;     0.000081;     0.000081;     0.000076;     0.000081;     0.000081;     0.000081
EEZ119      ;     0.000078;     0.000049;     0.000162;     0.000168;     0.000082;     0.000147;     0.003055;     0.000634;     0.000068;     0.000090;     0.000019;     0.002226;     0.003028;     0.000081;     0.000014;     0.002182;     0.000644;     0.000075;     0.000074;     0.000036;     0.000021;     0.000061;     0.000448;     0.000131;     0.000624;     0.000085;     0.000016;     0.000050;     0.000087;     0.000214;     0.000040;     0.000011;     0.000085;     0.000086;     0.000131
