            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.435689;     0.147220;     1.656988;     0.024429;     0.090947;     0.252582;     0.559198;     5.249994;     0.425071;     0.158300;    16.320671;     0.063320;     7.394506;    22.799215;     0.024547;     0.048456;     0.088121;     1.389047;     0.135113;     0.854917;     0.058625;     0.120680;     0.058515;     0.006151;     2.325363;     0.508526;     0.382559;     5.028527;     0.094808;     0.092193;     0.339614;     0.152228;     0.055567;     0.077048;     0.033184;     0.074745;    60.270901;     0.476130;     0.003530;     1.660421;     0.057389;     5.348454;   218.459503
EEZ65       ;     1.577417;     0.035861;     7.960597;     0.033329;     0.341122;     0.596971;     2.974211;    30.628511;     4.467780;     0.054406;     4.278125;     0.671653;    14.712523;    67.874962;     0.022214;     0.066353;     0.523546;     6.103742;     0.398509;     2.072822;     0.186501;     0.475633;     0.070461;     0.044345;    11.555645;     5.004919;     3.904426;     0.568037;     0.238789;     0.028944;     0.955225;     1.736983;     0.219141;     0.347162;     0.034992;     0.749324;    11.995197;     4.027256;     0.024679;     0.473564;     0.014873;    22.607252;    20.811981
EEZ71       ;     3.545480;     0.107022;    16.171389;     0.123144;     0.555701;     1.303285;     6.432057;    58.972107;     5.618789;     0.168689;    12.689304;     1.647018;    26.918947;   155.027954;     0.077480;     0.082985;     0.609198;    13.429214;     2.750115;     5.475487;     0.330063;     1.119875;     0.189054;     0.097490;    24.455883;     9.170550;     6.724087;     1.947609;     0.356769;     0.103782;     2.535324;     3.298944;     0.264473;     0.723540;     0.123838;     1.234678;    32.347076;     6.430876;     0.078593;     1.419477;     0.055937;    40.366116;    76.200623
EEZ91       ;     0.743605;     0.046779;     4.047904;     0.028659;     0.050895;     0.509192;     0.440029;     9.634911;     0.865649;     0.051549;    48.312355;     0.046883;    20.055828;    20.514071;     0.028773;     0.048976;     0.115145;     1.433474;     0.038001;     2.940314;     0.049563;     0.387582;     0.051397;     0.016738;     3.963313;     0.180168;     0.064403;    20.119535;     0.044758;     0.031761;     0.051549;     0.050330;     0.164481;     0.044168;     0.049043;     0.053058;    43.695065;     0.982759;     0.013341;     7.503998;     0.454430;     8.111995;     7.763579
EEZ99       ;     0.011875;     0.000118;     0.176880;     0.000326;     0.000924;     0.020655;     0.025207;     0.494207;     0.024452;     0.000424;     1.242261;     0.001258;     0.756682;     1.426430;     0.000231;     0.001949;     0.003235;     0.060651;     0.001972;     0.093891;     0.000759;     0.017069;     0.000762;     0.000857;     0.204500;     0.011632;     0.002277;     0.228312;     0.000847;     0.000569;     0.000523;     0.009415;     0.002121;     0.000849;     0.000075;     0.000840;     0.757860;     0.029414;     0.000064;     0.159466;     0.004107;     0.435085;     0.180968
EEZ100      ;     0.056762;     0.001262;     0.353821;     0.001033;     0.007759;     0.025286;     0.077679;     0.863531;     0.080683;     0.001268;     0.294619;     0.021852;     0.687914;     2.848898;     0.001147;     0.002694;     0.012600;     0.274848;     0.014552;     0.082788;     0.002232;     0.018899;     0.001191;     0.000826;     0.464348;     0.095633;     0.098964;     0.040389;     0.004308;     0.001142;     0.020584;     0.050607;     0.008049;     0.009193;     0.000686;     0.016298;     0.616291;     0.091555;     0.000465;     0.040263;     0.000764;     0.772336;     0.820979
EEZ108      ;     1.340320;     0.068620;     9.878614;     0.055668;     0.129848;     0.978812;     1.562474;    21.239586;     3.357414;     0.100188;    24.905272;     0.434904;    43.696705;    96.559608;     0.045627;     0.131434;     0.394603;    23.910374;     0.581133;     5.118194;     0.098980;     0.579258;     0.078805;     0.014685;    12.122279;     3.003510;     2.086371;     5.138449;     0.135746;     0.065722;     0.874475;     1.661052;     0.245185;     0.231227;     0.069714;     0.135148;    57.844719;     3.113334;     0.010032;     3.265934;     0.046382;    28.348835;    72.394775
EEZ109      ;     0.068662;     0.000260;     0.921564;     0.001971;     0.013350;     0.093566;     0.158066;     2.212898;     0.088594;     0.004096;     2.048056;     0.039717;     2.623590;     4.508714;     0.002217;     0.003083;     0.005484;     0.396595;     0.008137;     0.093726;     0.006359;     0.082256;     0.005085;     0.000726;     1.076008;     0.098130;     0.119842;     0.304231;     0.004607;     0.001023;     0.087450;     0.080683;     0.002804;     0.003945;     0.000874;     0.010689;     1.694926;     0.137536;     0.000366;     0.209678;     0.009331;     1.754795;     0.923309
EEZ110      ;     0.009932;     0.000492;     0.306349;     0.000490;     0.005314;     0.010966;     0.028657;     0.427737;     0.030655;     0.001240;     0.963365;     0.012700;     1.234011;     2.075159;     0.000651;     0.001028;     0.002093;     0.153016;     0.004093;     0.029506;     0.002109;     0.018260;     0.001927;     0.000171;     0.346856;     0.047188;     0.024501;     0.128926;     0.001666;     0.000444;     0.030123;     0.032718;     0.001069;     0.001543;     0.000267;     0.004424;     0.660721;     0.035994;     0.000107;     0.057766;     0.001654;     0.523988;     0.425125
EEZ119      ;     0.006375;     0.000189;     0.031995;     0.000189;     0.000603;     0.001335;     0.008083;     0.124332;     0.023419;     0.000160;     0.026230;     0.002826;     0.059030;     0.301921;     0.000036;     0.000075;     0.002001;     0.026482;     0.002383;     0.009316;     0.000322;     0.002299;     0.000152;     0.000070;     0.047785;     0.017997;     0.008684;     0.003880;     0.000314;     0.000158;     0.002390;     0.004909;     0.000542;     0.000880;     0.000189;     0.000784;     0.057439;     0.015475;     0.000082;     0.002858;     0.000069;     0.099482;     0.108260
EEZ123      ;     0.178553;     0.006395;     0.494881;     0.006312;     0.073137;     0.039670;     0.426140;     2.632946;     0.594890;     0.018216;     0.356889;     0.216729;     0.765649;     7.063717;     0.000757;     0.004435;     0.051193;     0.481490;     0.073364;     0.125100;     0.024164;     0.030516;     0.013470;     0.001784;     0.815438;     0.874739;     0.897287;     0.077878;     0.007288;     0.004940;     0.356773;     0.353499;     0.014600;     0.059490;     0.005001;     0.107159;     0.929939;     0.644133;     0.001865;     0.031831;     0.005091;     1.956065;     3.030587
EEZ185      ;     0.595889;     0.032829;     1.642163;     0.046955;     0.298692;     0.099187;     1.456092;     8.626067;     3.447333;     0.098762;     1.137805;     0.211421;     3.810076;    11.462061;     0.065031;     0.065355;     0.426036;     0.386589;     0.009063;     0.900193;     0.171863;     0.092429;     0.070828;     0.030032;     2.496902;     1.044482;     3.832061;     0.108275;     0.372816;     0.086343;     0.605831;     1.893176;     0.090386;     0.250096;     0.018425;     0.673951;     1.110069;     3.962156;     0.012356;     0.191354;     0.004779;     7.897548;     1.350246
