          ;    AT;    BA;    BE;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   NOA
EEZ48       ;     0.112018;     0.097802;     3.829502;     0.006546;     0.305886;     0.197200;     9.213894;     0.173980;     0.001094;    26.362488;     0.002045;    32.332199;     6.940755;     0.048634;     0.008626;     2.945976;     0.015882;     0.568028;     0.009255;     0.216356;     0.001703;     0.006598;     5.302518;     0.033298;     0.073213;    40.908058;     0.024214;     0.096553;     0.033777;     0.059124;     0.035388;     0.001477;     0.071944;     0.049498;     2.778467
EEZ65       ;     0.956064;     0.170891;     2.775673;     0.302695;     0.367027;     1.351809;    18.042122;     3.132481;     0.097485;     2.012210;     0.314322;    12.835259;    35.090710;     0.216859;     0.516130;    13.244568;     0.666420;     0.667657;     0.209116;     0.142723;     0.088890;     0.079837;     5.243826;     2.100290;     4.149509;     0.204817;     0.393942;     0.451017;     0.715580;     1.572439;     0.142985;     0.271187;     0.361724;     0.472308;     0.564404
EEZ71       ;     1.259176;     0.388840;     5.888238;     0.771633;     0.707669;     2.801450;    33.180183;     5.175329;     0.326336;     6.879270;     0.550615;    32.016666;    50.313324;     0.308691;     0.748753;    16.954269;    17.851868;     1.692890;     0.826393;     0.389264;     0.328658;     0.135510;     9.585757;     3.359194;     9.711931;     0.690402;     0.552062;     0.855276;     1.937267;     2.980946;     0.184501;     0.483022;     0.591471;     1.038410;     1.605767
EEZ91       ;     0.110022;     0.040716;     0.790238;     0.098678;     0.086983;     0.210758;     3.108191;     0.313680;     0.013630;    34.490177;     0.022274;    10.381061;     4.616154;     0.059975;     0.030664;     1.421261;     0.007275;     1.127507;     0.063929;     0.033585;     0.018047;     0.002738;     1.129791;     0.036077;     0.882343;    16.916754;     0.010392;     0.053432;     0.144874;     0.076419;     0.043543;     0.021639;     0.085457;     0.052235;     8.114515
EEZ99       ;     0.001386;     0.000022;     0.037151;     0.002439;     0.002349;     0.008580;     0.140886;     0.005782;     0.000677;     0.948581;     0.000306;     0.871839;     0.130333;     0.000320;     0.000633;     0.036455;     0.000336;     0.005668;     0.001887;     0.003302;     0.000726;     0.000030;     0.045312;     0.000259;     0.029766;     0.105935;     0.000157;    -0.000021;     0.003318;     0.001483;     0.000394;     0.000432;     0.000177;     0.001339;     0.020763
EEZ100      ;     0.007967;     0.001292;     0.087191;     0.005580;     0.006607;     0.014160;     0.400229;     0.064636;     0.002663;     0.064390;     0.007637;     0.379115;     1.451408;     0.001303;     0.003981;     0.710091;     0.009912;     0.010886;     0.009101;     0.003758;     0.003913;     0.000747;     0.115617;     0.080016;     0.073209;     0.008022;     0.002657;     0.003175;     0.019670;     0.042060;     0.000984;     0.002377;     0.001642;     0.007116;     0.012890
EEZ108      ;     0.430315;     0.032501;     3.333940;     1.090091;     0.322805;     1.379899;    25.470083;     1.995952;     0.139390;     4.409906;     0.157307;    21.087200;    53.251896;     0.030813;     0.162749;    94.530472;     0.115770;     0.289170;     0.725558;     0.211604;     0.215932;     0.022676;     6.869379;     0.291376;     9.214229;     0.907054;     0.072010;     0.081351;     1.578759;     0.629281;     0.027266;     0.149633;     0.055690;     0.433819;     0.766127
EEZ109      ;     0.040474;     0.000539;     0.502582;     0.068686;     0.054343;     0.103502;     1.519302;     0.044102;     0.003211;     0.578785;     0.005896;     6.273310;     1.608784;     0.000797;     0.001716;     0.175795;     0.000250;     0.089223;     0.016502;     0.024151;     0.005078;     0.000256;     0.563718;     0.003033;     0.428145;     0.058327;     0.001137;     0.001182;     0.033471;     0.013603;     0.002360;     0.003189;     0.000475;     0.011116;     0.015959
EEZ110      ;     0.006838;     0.000082;     0.149355;     0.010353;     0.018803;     0.020159;     0.313505;     0.012331;     0.000295;     0.220526;     0.000614;     3.203472;     0.372554;     0.000180;     0.000461;     0.071236;     0.000140;     0.022510;     0.001517;     0.006837;     0.000502;     0.000043;     0.149339;     0.001050;     0.060378;     0.022258;     0.000230;     0.000235;     0.004813;     0.002523;     0.000639;     0.000565;     0.000082;     0.001998;     0.005579
EEZ119      ;     0.001530;     0.000431;     0.012433;     0.000859;     0.001709;     0.003477;     0.070521;     0.008588;     0.000383;     0.008101;     0.001266;     0.078542;     0.127522;     0.000287;     0.000803;     0.048800;     0.005740;     0.003753;     0.001126;     0.000850;     0.000441;     0.000043;     0.022004;     0.006417;     0.013139;     0.000499;     0.000333;     0.000668;     0.002794;     0.006005;     0.000176;     0.000472;     0.000196;     0.000721;     0.001369
