	AT	BA	BE	BG	BY	CH	CZ	DE	DK	EE	ES	FI	FR	GB	GR	HR	HU	IE	IS	IT	LT	LU	LV	MD	NL	NO	PL	PT	RO	RS	SE	SI	SK	TR	UA	ATL	BAS	BLS	MED	NOS	NOA	BIC	
HE8	0.3392716375930071	0.03919236960183244	0.6310815088625851	0.03928988764192371	0.873344705053503	0.12760984158414898	0.8037255111515617	5.40217217358578	1.2382759350773862	0.7286618131805521	0.3617236768802825	2.6363223571756236	1.5652674509811229	2.811527178951719	0.04656275450974104	0.0798815480529422	0.2988490911298616	0.11645057092485317	0.01703488149409055	0.46985799098240744	0.5347296691133128	0.12131374271520716	0.43272375691760057	0.044177374427172476	0.9968094691020143	0.7793439014557477	4.938295087182329	0.034254502120980454	0.24602019107911569	0.16844770018368163	2.657205773459053	0.060171840097179304	0.24213286962089134	0.0417150054895924	0.8701237127834743	0.5650443010665629	6.731008889897609	0.020577677611129955	0.19661001783981635	0.005694837962537849	3.299777045516949	nan	
HE5	8.046268509297684	1.159289787792492	15.006426644492075	0.8314234040392616	11.568711237314005	2.8980227900109354	19.21549437675778	133.5267524187289	24.48750644819255	5.102302413832221	8.35037608805373	13.605326552017866	37.078929089761154	57.17964477484417	1.055322347135393	1.7927317628143962	5.900522683062487	2.249709907094123	0.3739110800865273	10.505044819438835	7.685900933282993	3.0468734070958257	5.025411979849649	0.6652002928310513	23.020001090050375	9.461389114039383	107.2607756725307	0.8829595505824454	4.359992033806422	3.9564968842975663	23.4669116267461	1.5819387593219016	4.912147869377178	1.169578222884159	14.010957640637798	11.433940924129226	99.46760818362691	0.3371622513718815	3.9524137875876213	0.1486115812688447	64.30730019847925	nan	
HE1	0.3551600406877757	0.025026643110249658	0.7241467125508333	0.033458633716964004	0.896729945654121	0.14869742680050854	0.8658760576170706	5.4597358640992075	1.1859408035720072	0.7724265867045275	0.471096706220898	7.434679036090884	1.731642563550875	3.334180355966884	0.03372885610857725	0.051685323258520655	0.2380725943055733	0.15034055107442976	0.02749127068477486	0.38079042058868645	0.5494598760096129	0.14659361314761285	0.4199945979948616	0.041829257798498796	1.0512898929047807	1.5902890166277153	4.818709393982147	0.0342302221292285	0.18032042627761555	0.11613234746905476	4.3704388415768385	0.053184781840253464	0.21931414885492048	0.05291007141249523	0.9286823111389282	0.8367965092876534	5.933191229453577	0.026465166158129494	0.19606726351779494	0.009479407979177257	3.91501894314642	nan	
HE2	0.9619029622387946	0.09030923516399213	1.6727433806198995	0.09701453187101551	2.428641202035511	0.3791546352527171	2.092792007876956	13.272940439376654	3.2839977667376012	1.7313472929579248	1.0855944271361064	9.688650515570401	4.277052389145179	8.169548259831174	0.11897198310102547	0.18445654280932375	0.7160140879801782	0.35565963482280405	0.05059393321175066	1.2268160482791914	1.4405998608014734	0.32988848074901544	1.1111155260938412	0.11685923892059193	2.608863774978689	3.235344553232784	12.678639675712214	0.10522993255610724	0.5805700585980995	0.3800539904098475	10.043478526160662	0.1511312874456812	0.6631583626544683	0.10808747371771878	2.3355439712156048	1.7416622458744404	15.686430373358649	0.06078097032078581	0.5687292831305254	0.017779749468876848	9.90046063003264	nan	
HE3	0.7207670208303938	0.06713243518575725	1.3924234951997823	0.1066392581058926	2.8320919343951587	0.2360685825353325	1.5034990319814796	10.473625878167796	2.076275382653298	3.4761472467410215	0.691287040362675	6.553058379920393	2.981566236063678	5.293241600402061	0.1279166659734945	0.1601511430161575	0.5075712924880921	0.23166542864101625	0.03861421601476928	1.034373171077526	1.4941927674650965	0.2509602712633548	1.2475227010185561	0.11385989843307483	2.0416666393619423	1.3411077250338799	10.45091136083148	0.06241784446109849	0.5691188027851559	0.3667876467354876	3.5441662965545753	0.13780560377842427	0.4848396558873345	0.15183086610469418	2.704599704068512	1.1177955502544898	12.09476156767726	0.07656523547754497	0.45457782669513674	0.008775043236728943	5.74265112146112	nan	
HE4	0.5778398407055092	0.07483203347100383	1.0512347388433345	0.09353109671446973	1.4788919193005532	0.19126881736346793	1.3032053279777964	8.904497616336464	1.7058124823182916	0.8515103235599275	0.5768744289589701	1.6126354445449937	2.411456311519619	4.033591176601175	0.08810612218098478	0.13523955131520982	0.42771263529839326	0.1586883315026912	0.02145246582645124	0.7763971887785441	1.2647950269250452	0.21134148407409245	1.095606344233542	0.08363893929741077	1.605443075963791	0.7226092151495251	8.291522935205322	0.048625623116643174	0.4652818958611649	0.31473509383267667	2.011709731090006	0.11374191757694857	0.36858932821000456	0.10979167126342015	1.4627654692431988	0.7615474310674664	7.374204806570373	0.042190721470999844	0.3103582421747078	0.007826463743638813	4.277070911364338	nan	
HE7	0.7487122697881485	0.08151882333772614	3.165344392985587	0.047687067772143654	0.5593335355282695	0.29102954309618567	1.9433814650073764	18.212170700127313	4.936915192727373	0.17464887587403163	1.4649664275856453	0.5964846718830026	6.921709347584481	15.713305795159906	0.06802625731824476	0.11849830908682013	0.43051270545387393	0.6106400756740288	0.06033547018312587	1.0567385480990608	0.26086293543148303	0.47740259034838317	0.15504346975855077	0.0260499765705977	4.833254383723191	1.9670598206385108	8.183432463933771	0.14979461768349855	0.25410822559358776	0.2650803136533922	2.4959914221348667	0.11397086742959693	0.4046481269472877	0.08427132596278701	0.604457244578582	2.6916295699609933	11.0462561104088	0.022220829186890338	0.3942618807421086	0.02644270318427912	17.273243843678202	nan	
HE6	0.1072232865549172	0.011470495737021802	0.3588323487068081	0.007768529747415229	0.07473165940361522	0.03858676947732676	0.26180401018837257	2.3976739092578314	0.7827741812215803	0.020261656735556483	0.16778986929332781	0.06553443072050703	0.8203188051995812	1.4829324439451854	0.00903635960657294	0.01486737577163588	0.05883983891137761	0.058988347022555676	0.00694778156251065	0.1527770787752583	0.03993843327416533	0.062108916691876605	0.023530703150256026	0.0038824476566771005	0.529851493182369	0.16297802026153582	1.1331433789209855	0.01785693182028607	0.037138374353755436	0.0327265722348727	0.2952221452803426	0.014662516261573002	0.04980389325207249	0.01661763932226317	0.09036597721753974	0.28389272418889255	1.5735898202192298	0.0024876562683188662	0.05109330501927185	0.0024120602208293836	1.5801162497727914	nan	
HE9	0.7378189283505593	0.09981784744779397	3.4504517079509163	0.057838205446230674	0.47902939278587553	0.28280669680206527	1.9022070105543385	19.937308897034832	2.574344309798104	0.15523639662672492	1.2819705396717345	0.4419074251058375	6.759435167958778	13.298328821479693	0.07390652336040308	0.11749896757698812	0.43766576240835636	0.49960327806046906	0.049127348764682034	1.0586521109112164	0.25606632624647396	0.5239726758793565	0.1565479667727827	0.022844363899191613	4.920029149840526	1.1120647461614335	7.080638389839112	0.15125423272123703	0.22953021862493392	0.29548626468744044	1.173528416045056	0.10442472781456008	0.3702640369072237	0.09622108097913257	0.6424607237940534	2.3785401502523547	10.195541239945745	0.018498584506701277	0.3784779965683853	0.020554190925196725	14.235236653861312	nan	
EEZ48	0.3330606561428364	0.10510812135898086	1.5799841238028531	0.07205425590019436	0.07611332139084641	0.21515868135576846	0.44538659420468796	4.653036217344607	0.3247848010155383	0.07498551164619446	7.557947992091333	0.10417682876787264	7.025748780484665	6.863427991218035	0.06401718127753309	0.04873349455323409	0.055340840265032915	0.640017777763	0.15967978737584426	0.792678959430269	0.041167722623927046	0.36464686429355714	0.025341191627987786	0.052247544027320736	1.5062502142600154	0.4595256468522357	0.46244530155202107	2.2676900305830006	0.06253539183456337	0.11792535472090669	0.23864392611416452	0.05302375096180285	0.05206208794021078	0.13036842391701287	0.0860389766562246	62.55914619840704	0.58219641342912	0.02524985785434689	1.7582693132130087	0.0716669298966763	3.7999806956123656	nan	
