	AT	BA	BE	BY	CH	CZ	DE	DK	EE	ES	FI	FR	GB	HR	HU	IE	IS	IT	LT	LU	LV	MD	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TR	UA	NOA	
HE8	0.16200819706618028	0.04701909887498492	0.2526100527939314	0.9560375656279895	0.0908274549778793	0.3651079728751576	3.4561781168351975	1.052100731888401	0.4045454635155909	0.2636586494666655	3.8281088671747963	1.1240411316081047	0.8431252560413443	0.07241046092240211	0.2919182269224963	0.12173181853666781	0.002966376756295607	0.27020751702588686	0.6695474131549357	0.024404765782939843	0.3527025824721681	0.05137911835009057	0.5239674895440636	0.24962381343868914	3.2495908831420515	0.027660558581183006	0.46703097681698197	0.08627598645449329	0.9954986419490508	2.459157456698136	0.03890288041218798	0.12786843498860212	0.01971097751973245	1.929067854478198	0.2552401184662762	
HE5	4.344182005230403	0.8943258992073643	7.53067801052849	14.463199020168874	2.3868984894732406	10.307078229119822	153.00386250481873	54.84315584615729	2.853660891288064	5.855699543671952	5.061706777269502	27.907696346999533	18.909308659941793	1.9277760269201802	6.062770657880624	2.5177410705522485	0.07572127865536495	6.9097132902874145	16.621556027469506	0.7521036230946606	5.72144217527989	0.8049961521475404	20.438783404480624	2.919689024703599	114.48476101377837	0.6089822377554057	7.950594221440923	1.917227315919126	14.830851512173334	52.96693521116333	1.1048353835765787	2.8133540092578	0.426182157731032	30.631052215247383	2.9604442176844823	
HE1	0.1729541607140559	0.03542736352365736	0.2689756241351966	0.8217756964040231	0.09178314175901647	0.35523805027842564	3.006443727857787	0.8451068820315607	0.2696215871998125	0.3356831327074599	10.828993959305928	1.2134258938805222	0.8823724844637334	0.05340353550837693	0.21931522511277435	0.1273185773387615	0.005968576678686093	0.24364154829522885	0.4779773740220202	0.02414263684672248	0.22618486897356826	0.04844780461469691	0.4738520139247456	0.43049429447363324	2.691208086511757	0.03031035361359082	0.388432974858222	0.06738046049633377	2.407300249043725	3.158054206932084	0.035912004816561545	0.1084760992789973	0.03532569219901722	1.982350500915216	0.4373020284632509	
HE2	0.5642531942850935	0.1131727138786864	0.6438795190026739	2.796489765081786	0.2868997981163723	0.9598478856033174	8.231618737984737	3.0625386817162195	0.784301005999435	0.7418187243168913	9.807200290737935	3.2118255033715464	2.4003012786562685	0.194093234585573	0.7597575976430515	0.36645524629733334	0.010469631166765483	0.908015022010446	1.6343980775341382	0.05804539443739452	0.8004664757193435	0.15692131631378137	1.284988415894779	1.2619747327051583	8.009229861596271	0.08481221365908831	1.356447607720959	0.2129136145547649	3.999231156840714	10.687985252888224	0.11491889582784683	0.39632280331566155	0.06503820535182027	6.929739294378382	1.2870500139967285	
HE3	0.3216042155323662	0.08857633514222958	0.579277987459585	3.3273177041550004	0.15774554747954334	0.7068387100292165	6.366040872309924	1.7690741748745555	5.375262334968905	0.5070465829423925	4.5923313611719125	2.0739552710059983	1.6569107055155838	0.14067022103498478	0.48900813005925464	0.24350486394044402	0.008117389700084437	0.650115591922321	1.9113327845161683	0.04840145867719311	1.304216207839551	0.12796357718402437	1.1143241981760388	0.36008768867018154	6.544139216920481	0.046802217288415694	1.131141844886508	0.19161346471300486	6.578082849859462	2.5045112194637826	0.0840230090382807	0.2442701245356407	0.07232300419232836	6.461110165689941	0.36669265712276355	
HE4	0.29745473754532886	0.07979387953548649	0.5020602945157927	2.3855430322799487	0.14327009151778075	0.7017416730209077	6.416406027471731	1.8262617565382306	1.875718317532047	0.4540321268207494	0.6501700843350671	1.9170136734063963	1.6327402283694523	0.14849481358296424	0.4477067841875608	0.20242531428853405	0.006182208122977107	0.5614298292039438	3.135004706739632	0.04932182435583276	3.6978933715353346	0.11135217806272678	1.0273273244833165	0.21549285430229523	6.590006422229568	0.03747128003600535	0.940104593265529	0.17995672909587926	1.3308186804580784	2.0833929036069607	0.08125569017325497	0.21422777011808292	0.056885862303446916	2.9320965252954516	0.21995689809715036	
HE7	0.4407797722346669	0.05864208409449947	1.9013386358637554	0.49393519163664584	0.24508100483978315	1.0698170852070266	22.44517194010416	51.418598609629306	0.04498754652905045	1.1206716213357828	0.12432590756482738	6.292119151782193	6.095721403240694	0.12497028019993563	0.4497015370992173	0.8214161575856784	0.00977744142818661	0.871741450511942	0.2450316329211368	0.12963093219159005	0.0871747394742307	0.02438428968290281	5.146042152736382	0.7022032420593542	5.061276186379973	0.11043778191121556	0.40483311991937443	0.1139401783385323	0.7091126459348738	6.277587153136653	0.09023033221228516	0.22864400042058367	0.01985874808331363	0.898960092733858	0.7094070632944643	
HE6	0.05932851579814046	0.007581192770265085	0.2099951021425056	0.06318342433824777	0.03436011913774587	0.14372001059232706	3.4818106712368997	4.414081176332155	0.005054938772993278	0.11417958032317915	0.008937675222217592	0.6773709625629226	0.518036424445935	0.016817217929196288	0.0563772984991588	0.065398321236445	0.0011411337482924923	0.12104584491950175	0.03866826154813757	0.016220543555049437	0.014058741621378401	0.0031234536105551568	0.609851556982296	0.034092152640082786	0.7004153630008267	0.01131408235813377	0.045927326638522566	0.012540253699349474	0.10794387751714031	0.9487685394436601	0.009905285949388136	0.026500575050531442	0.004829237648863025	0.09801822786782899	0.03446574100784002	
HE9	0.4304589590425856	0.07878347500719302	2.152436840378879	0.4099257367858491	0.2793495976757618	0.9431372951333555	60.00983062203721	42.20592311140218	0.036012892208409315	0.8714428745461248	0.06262847768589123	6.092127298869207	4.586078599034849	0.12557219799757405	0.4153423929607993	0.6404406374129435	0.010344803638538907	0.8556353138264083	0.258233908536509	0.14975613563397236	0.0932978603556443	0.02474542449917186	7.334789560471486	0.22621743362296665	3.829016172121437	0.10206625973181875	0.37404341688095144	0.13782790102797193	0.7350214189815362	1.2955614645737155	0.0805310286432182	0.18997215017494384	0.021228143466369167	0.7964777588964734	0.22834213782100543	
EEZ48	0.7398369241940225	0.2633979349678717	5.313682562142993	0.481284063732016	0.9699362646700801	2.0059351171125495	17.058250554379622	1.3627111368009714	0.12793709347801616	35.32917724341851	0.21760483560132657	41.96457710705497	19.695777698208058	0.19883274472624968	0.6290336034683435	6.4701369702661795	0.1664920227535109	4.130843670051914	0.2973476571717732	0.4936170491426752	0.09244520529950973	0.11432333762805658	5.05822893342299	0.2917005157701496	4.256533949406698	10.554971806797422	0.5986624687856552	0.16318621023948632	0.6800367518006438	0.5422874414287561	0.2512121524815699	0.4019889264337318	0.19928502108364424	5.325121189374783	0.29395001691645123	
