	AT	BA	BE	BY	CH	CZ	DE	DK	EE	ES	FI	FR	GB	HR	HU	IE	IS	IT	LT	LU	LV	MD	NL	NO	PL	PT	RO	RS	SE	SI	SK	TR	UA	NOA	
HE8	0.15823639394847164	0.04701915525276751	0.23525041461167437	1.0658109576963488	0.10331151362312684	0.36613313900460626	3.0564597684041512	0.8479311114341302	0.4473993066358291	0.2441195273969966	3.9250169418232232	0.9861910596870397	0.7550086173458829	0.0614811773972876	0.23827250719234028	0.11475012325138889	0.0024037995275361396	0.2404393486060735	0.5096185752671831	0.016879036481213906	0.43856699308218655	0.0511673893095091	0.47173388814564277	0.24585472024198554	2.697952803778174	0.01812226973703812	0.2829287691350035	0.1244385533262476	2.4269796077480454	0.03666903289513941	0.10795942530804364	0.024951414155124124	0.08828174691300174	0.25649019282598645	
HE5	4.243042683097656	0.8943269715399337	7.013161608928679	16.123881062051634	2.7149730868523467	10.336018894016458	135.3084633799613	44.20034762994546	3.155951603167237	5.421747430139729	5.189843221461616	24.485154377310824	16.93306051978722	1.636806869940113	4.948617222071942	2.373340853968506	0.06136063919389074	6.1484853599105085	12.65131271514977	0.5201764526149325	7.114310514310199	0.8016788304721353	18.40126908017154	2.875604368324438	95.05026727190494	0.39898472567998816	4.816493870053628	2.76527691417796	52.27386773964711	1.0413944827435202	2.3753171144592966	0.5394885927106347	1.401797657385604	2.9749434093950864	
HE1	0.16892751851683743	0.03542740600248503	0.2504913260512925	0.9161329779135136	0.10439855771054446	0.35623550320767555	2.658738638326519	0.6811062819768708	0.2981828299814785	0.31080644567304044	11.103128523234949	1.0646138601936348	0.7901540425997468	0.04534306505452846	0.1790117359370894	0.1200164642033474	0.004836628310897914	0.21680009427668054	0.36380716820525566	0.01669774058529969	0.28124891281240866	0.04824815527234244	0.4266143556518602	0.4239942210464689	2.2343589281412615	0.019858326519269033	0.23531386336960503	0.09718494532708377	3.1167313583401515	0.033849896768475225	0.09158646024613289	0.04471751720541156	0.09072017078528183	0.43944377661991235	
HE2	0.5511165012292959	0.11317284957730274	0.5996314166044282	3.117586109445444	0.3263336224579964	0.9625429884628756	7.279605000372672	2.4682254745100782	0.8673826749373678	0.6868442843077599	10.055468281759913	2.81793388838744	2.1494411851931954	0.16479774379501502	0.6201371855307345	0.34543790755964615	0.008484051932626652	0.8079810022302415	1.2440039395681006	0.04014586081215857	0.9953376946057083	0.15627465672099686	1.1568896806548483	1.242920058738249	6.649613732392095	0.05556611622336847	0.8217400367406554	0.3070919646063044	10.548133949706521	0.10832012248800504	0.3346156702883361	0.08232951389725418	0.31713217818606787	1.2933535223630066	
HE3	0.3141167685711628	0.08857644134880277	0.5394693727270282	3.709364355882832	0.1794273689754876	0.708823402663559	5.629787340951315	1.4257694019643672	5.944668420581841	0.4694705538640349	4.708585628174304	1.8196097001635556	1.483743787620054	0.11943814061942933	0.3991432615051876	0.22953910888188975	0.006577916134381019	0.5784937856687362	1.4547897152149687	0.0334758380401017	1.6217238234890996	0.12743625000721423	1.0032387450560558	0.35465069113822584	5.43323125387828	0.030663242157702785	0.6852491285952743	0.27637009238130256	2.4717399207028166	0.07919831256011682	0.2062374679657469	0.09155107750181525	0.29568586252698276	0.3684885859576099	
HE4	0.2905295280388471	0.07979397521154367	0.46755816381246174	2.6594539746877364	0.16296228948868682	0.7037120539718864	5.674327600532166	1.4718592184720258	2.0744147454161723	0.42038487433179333	0.66662905487459	1.6819150944294208	1.4620994134301817	0.12608172714512966	0.36543185083030955	0.19081559811589954	0.005009744272571944	0.49957833855851924	2.3861740045807056	0.034112389359790066	4.598134681423194	0.11089330506947627	0.9249144705494561	0.21223910763485834	5.471312218410489	0.024549925201674577	0.5695181875163096	0.2595572180658435	2.056131899244122	0.07658989628302346	0.18087268330947726	0.07200975743002795	0.13418429153216208	0.22103416792528272	
HE7	0.4305177327252802	0.05864215440870681	1.7706765722780817	0.5506494290236191	0.2787669166381617	1.072820964393293	19.849314100935654	41.44035656090875	0.04975311538394888	1.0376212846463275	0.1274732016332736	5.520466715569126	5.458645860041437	0.10610787265385213	0.3670600286337318	0.7743054072197796	0.007923136882631751	0.7757036103992786	0.18650310524874683	0.08965647337149074	0.10839717445775505	0.024283804068793158	4.633040258631463	0.6916006099390852	4.202093361529978	0.07235512858792172	0.2452491205283731	0.16433948240812254	6.195445503103443	0.08504920419710267	0.19304431846482362	0.025138471571640328	0.04113995638224242	0.7128814841094622	
HE6	0.05794725556002398	0.007581201860418832	0.1955640098208797	0.07043822170339947	0.039082851294864905	0.1441235539217783	3.07912783371844	3.5574889783507992	0.00559041271275213	0.10571800031315097	0.009163931300001838	0.5942995933035499	0.463895443474357	0.014278908677874264	0.04601686028221871	0.06164752578682219	0.0009247162415156429	0.10771049016052543	0.02943191769700799	0.011218593484809823	0.01748130108997387	0.0031105821200060712	0.5490562905291456	0.03357739205371639	0.5815155385314955	0.007412607078030865	0.027822912484433637	0.018087200075240662	0.9363539904412521	0.009336513195564883	0.022374457410408412	0.0061131574276147215	0.004485700368393345	0.0346345418193316	
HE9	0.42043720413657176	0.0787835694717347	2.0045190344726387	0.4569939067416456	0.3177456615174698	0.9457854772663735	53.06949665341861	34.01548369681277	0.03982776834023805	0.8068622937954347	0.0642139093967665	5.345001448501127	4.1067787227181025	0.10661893990054254	0.3390150534872589	0.6037093913634144	0.008382898108272504	0.7613718514021405	0.19655187066430937	0.10357564170595134	0.11601095118265958	0.024643450678751455	6.6035944350327975	0.22280175553401105	3.17901707900484	0.06687038819125336	0.22659662590785667	0.1987934918711188	1.2786091620690256	0.07590684563995499	0.16039364335106196	0.02687193970179917	0.03644996093294652	0.22946047553941226	
EEZ48	0.7226123684752087	0.2633982507925445	4.948520504362894	0.5365456832789468	1.1032521350007267	2.0115674694376477	15.085407862764159	1.0982647704439388	0.1414895780010687	32.711015054632064	0.22311347351733102	36.81812844990612	17.637334169416388	0.16882189527842364	0.513436298194658	6.099054657330804	0.13491659304032907	3.6757576996854984	0.22632286590859907	0.3413997189865557	0.11495071975060091	0.11385222073525346	4.553981018881038	0.28729610252800425	3.533961078840454	6.915263319365503	0.36267152250850215	0.23536857426377186	0.535191660176402	0.23678726576039097	0.33939958271837417	0.2522677067128097	0.24369853037057101	0.2953896784453351	
