
	AT	BA	BE	BY	CH	CZ	DE	DK	EE	ES	FI	FR	GB	HR	HU	IE	IS	IT	LT	LU	LV	MD	NL	NO	PL	PT	RO	RS	SE	SI	SK	TR	UA	NOA	
HE8	0.16972191754098584	0.056772004242045704	0.22591916078349447	1.0904999588251594	0.1034938959489568	0.36922662089124053	4.127798848831043	0.8335469708134587	0.5691420484575541	0.2455598774756522	3.9019858167859915	1.0815483097316185	0.7467305878434587	0.0418170585213872	0.30444215384012857	0.11371260992452319	0.004276375384816977	0.24965441641130845	0.6948063932404974	0.02145217739711035	0.442044027524838	0.029241041827825456	0.5184529154140348	0.2787041347725862	2.6389512262862236	0.018696574758849414	0.2848658043845864	0.13060131364528335	2.530920970939125	0.04018264688324983	0.16326284391842152	0.05258578276074305	0.9511984562608623	0.3268568757100625	
HE5	4.551022191633679	1.0798308550865037	6.734983178429485	16.49738305587821	2.719765999943837	10.423348566811109	182.73629025011545	43.4505414166596	4.014724058840682	5.453736736446853	5.159390377581254	26.85268444707062	16.747403864579912	1.113291117152776	6.3228767068866745	2.3518822908278563	0.10916098619685959	6.384131936976799	17.248611773545175	0.6611110504864889	7.170713989911788	0.45814188549896134	20.223672374768288	3.2598228198885164	92.9716112990427	0.4116287782688151	4.849469372807263	2.9022259414875453	54.512624528036724	1.1411805401552955	3.5920997745977257	1.1369868562080823	15.103776424013022	3.7911028780302036	
HE1	0.1811890529902648	0.042775860881494106	0.24055553848211733	0.9373547602216394	0.10458285906380897	0.35924535934783536	3.5906699653229808	0.6695521257424005	0.3793219706723132	0.3126402608259914	11.037977838508402	1.1675540045705517	0.7814906733006067	0.03084055454357541	0.22872432532619025	0.11893133525074935	0.008604394009276128	0.22510916506947373	0.4960092874228678	0.02122176189176747	0.28347870249615664	0.027572763540855316	0.468864887605658	0.48064540883747736	2.185495693299294	0.020487648166627348	0.23692490932105081	0.10199798363924707	3.250213034515772	0.03709338211268711	0.1385026450589215	0.09424338158727756	0.9774714413809709	0.5600027755200107	
HE2	0.5911190658678344	0.13664748891695283	0.5758469188770889	3.1898035007374475	0.32690971976770716	0.9706755746254173	9.831225475665976	2.426354971316926	1.1034079514393957	0.6908967918210897	9.996465033942703	3.0904068780425344	2.1258743845819605	0.11208888944883393	0.7923528512122081	0.34231463045507526	0.015093184948489031	0.8389476462677447	1.6960564869032178	0.051022825198621134	1.003228902792378	0.08930754207853436	1.271464363320742	1.408990477063773	6.504193212294839	0.05732703800925324	0.827365973693008	0.32230054846703676	10.999883695915521	0.1186993189793894	0.5060262760297626	0.17351168577791767	3.4169649884534175	1.648177994060701	
HE3	0.3369168050621565	0.1069492226511994	0.5180712142678633	3.7952900072455305	0.1797441234176951	0.7148122961106901	7.60311977450822	1.4015829234946489	7.562284322100761	0.4722405164163746	4.680956696641431	1.9955522575997389	1.46747579469153	0.0812370863312175	0.5099876425328492	0.22746373085392788	0.011702156655838063	0.600665112827746	1.9834386814137244	0.04254565223272449	1.6345811284839673	0.07282702453903886	1.102596326660434	0.40203667402802706	5.314411823676067	0.03163497771907086	0.6899405981863419	0.2900571900947447	2.577598254242771	0.086787067345162	0.3118849090438193	0.19294638143921494	3.185890014738771	0.469581416013971	
HE4	0.31161749437419495	0.09634507202110594	0.4490123775566815	2.721058954172092	0.1632499770884247	0.7096577613129007	7.663272122700413	1.446890881201649	2.638887991209432	0.4228652223533785	0.6627174240857718	1.8445436202489045	1.4460687327176889	0.08575579040127596	0.46691437908427075	0.18909033874005218	0.008912368459200638	0.5187251557934378	3.253274182358313	0.04335466830704352	4.634589482882141	0.0633730939905457	1.0165150645631502	0.2405970355177968	5.351659994922689	0.025327926276208723	0.5734173201774045	0.2724116661549477	2.1441907983901274	0.0839287135269227	0.27352673080653317	0.1517625188427086	1.445778945512149	0.2816736841172179	
HE7	0.46176668533868565	0.07080587945394547	1.7004423388089844	0.5634049597080918	0.2792590414443706	1.081885296100537	26.80682295998537	40.73737030635949	0.06329153752983942	1.0437434409313697	0.12672521728333896	6.054254281161492	5.398796435234133	0.0721703667396225	0.4689947112348383	0.7673045242900526	0.014095313335114434	0.8054331925497701	0.2542755624990642	0.11394765179310744	0.10925656587348127	0.013877661926799428	5.091881863226414	0.7840075204232284	4.1101977076284255	0.07464810371216445	0.24692818693383292	0.17247831731068178	6.460780674900018	0.09319858938539355	0.2919334216992386	0.052980011344644244	0.4432656168436669	0.9084566239367099	
HE6	0.06215333327861026	0.009153716647305563	0.18780692502123095	0.07206988942325987	0.03915184671530978	0.14534126288061905	4.158412441352956	3.4971404181540415	0.007111631367924195	0.10634175594503342	0.009110159392585582	0.6517638892565291	0.45880922315991834	0.0097119473809972	0.058796007237083774	0.06109013963541906	0.0016450763584312722	0.11183859762678922	0.04012703926753066	0.014258115849803452	0.01761989584733357	0.0017776295235582761	0.6034330831525192	0.038063771934254725	0.5687983649540366	0.007647516806856193	0.02801339845867083	0.018982960078283394	0.9764556500865004	0.010231134645165828	0.03383602253839261	0.012883645250413722	0.04833152282169145	0.04413633911685876	
HE9	0.45095446572718806	0.0951250850043625	1.9250093938840858	0.4675799520416401	0.3183065979585072	0.9537764781643516	71.67122219586771	33.43845156038418	0.050665383970089316	0.8116229296229918	0.06383711648138116	5.861822843916233	4.061751375154711	0.07251797441188804	0.4331614850746212	0.5982509524411194	0.014913231620604173	0.7905521551932763	0.267975899954869	0.13163802580606856	0.11693070592788564	0.014083192083935507	7.25759347184664	0.25257099168485064	3.1094950983858793	0.06898954877687348	0.22814799041971603	0.20863864524713016	1.333368740134609	0.08318021320862184	0.24255707443063193	0.05663334249246957	0.3927329009965623	0.2924117031821217	
EEZ48	0.7750628901236437	0.31803307675251347	4.752236468152438	0.5489745074381241	1.1051997755230827	2.0285633293244794	20.373089760176047	1.0796340176813988	0.17999059691093908	32.904016055450086	0.22180429335779725	40.37816425258848	17.44395575062192	0.11482595768995145	0.6560205133356195	6.043910049996479	0.240017518462699	3.8166346261727333	0.3085652325121057	0.4338972395239769	0.1158620687989446	0.06506404945877631	5.004992847259916	0.32568262915510887	3.4566768216233705	7.13441194197662	0.3651545062123746	0.24702509124382602	0.5581125576366195	0.259476139272853	0.5132608009094213	0.5316610409445012	2.625748515261752	0.37642822265390014	
EEZ65	0.4477218257490072	0.1366099704255511	2.454014423702601	0.6247074044568198	0.5221817321522031	1.1167492623769413	17.640447405280693	3.1877986492885424	0.19997199564625842	3.59862034641532	0.42389192525437364	13.77434209836072	28.278694365748535	0.060556884779426896	0.4067122034343535	8.169667039042729	1.405209909455473	1.5043802365313674	0.3512115207512417	0.16763346131845389	0.14781752554960462	0.021548915005379293	4.728011767613638	1.638591831208954	3.8379483394532627	0.3508139095664517	0.292929254404328	0.22005632413780726	1.0818727544689684	0.12428667089164609	0.24211421381497267	0.1971467677478104	0.7483643778719427	1.901171514867369	
EEZ71	0.9016154999078646	0.3992698488506317	4.415029209401593	0.8435782108726794	1.0864254146596828	1.7949155084711006	33.32103900178209	5.143378303152274	0.4528504442939778	10.044442138269714	0.8881281113012333	27.562306773191136	50.62529245618665	0.15718394144688783	0.76025612056287	15.444705400622041	23.77038747214083	3.6336788709345	0.726424354895208	0.3512739193902843	0.31745583500069746	0.06314383226889124	8.673366498222961	2.6819207860261245	6.709029316639931	1.152033421356013	0.6106958531101313	0.4939263958124969	2.296877827402486	0.2786331912918408	0.49130909032737585	0.5298184380270475	3.513671968721573	3.097951568376935	
EEZ91	0.25417900609202554	0.13886209210510617	1.1566936101755803	0.08964505526032447	0.34738902999177407	0.31387488647803125	5.2077422284127195	0.2816879247287602	0.050073970038441544	43.51835921876585	0.04632849596938305	16.764242414489818	4.545938030002942	0.06277372904197469	0.23978235027143882	1.6302010426688192	0.04823454180620129	1.7922669703812104	0.046049651313208505	0.10420715361001855	0.03070373431848913	0.018430064016767247	1.399372876750444	0.0771616985458254	0.5341782618005193	44.802694090263124	0.12188646857188855	0.13200553756612848	0.09808500505629175	0.09588242901448746	0.13212437756507667	0.10928044798584381	0.4033575691913351	0.08906579284144761	
